"Time","(1 - (avg(irate({__name__=~""node_cpu_seconds_total|windows_cpu_time_total"",mode=""idle""}[5m])))) * 100"
2023-03-13 12:00:00,5.75
2023-03-13 12:20:00,5.59
2023-03-13 12:40:00,5.90
2023-03-13 13:00:00,5.99
2023-03-13 13:20:00,5.40
2023-03-13 13:40:00,3.74
2023-03-13 14:00:00,5.05
2023-03-13 14:20:00,5.95
2023-03-13 14:40:00,7.85
2023-03-13 15:00:00,8.24
2023-03-13 15:20:00,8.57
2023-03-13 15:40:00,8.09
2023-03-13 16:00:00,8.00
2023-03-13 16:20:00,6.74
2023-03-13 16:40:00,7.19
2023-03-13 17:00:00,7.73
2023-03-13 17:20:00,8.24
2023-03-13 17:40:00,8.15
2023-03-13 18:00:00,7.91
2023-03-13 18:20:00,8.22
2023-03-13 18:40:00,8.03
2023-03-13 19:00:00,7.57
2023-03-13 19:20:00,7.06
2023-03-13 19:40:00,7.39
2023-03-13 20:00:00,8.35
2023-03-13 20:20:00,8.37
2023-03-13 20:40:00,7.97
2023-03-13 21:00:00,7.87
2023-03-13 21:20:00,7.55
2023-03-13 21:40:00,6.52
2023-03-13 22:00:00,7.41
2023-03-13 22:20:00,8.33
2023-03-13 22:40:00,8.08
2023-03-13 23:00:00,7.93
2023-03-13 23:20:00,8.22
2023-03-13 23:40:00,8.65
2023-03-14 00:00:00,8.06
2023-03-14 00:20:00,7.10
2023-03-14 00:40:00,6.41
2023-03-14 01:00:00,7.86
2023-03-14 01:20:00,8.57
2023-03-14 01:40:00,7.93
2023-03-14 02:00:00,7.98
2023-03-14 02:20:00,8.14
2023-03-14 02:40:00,6.66
2023-03-14 03:00:00,8.07
2023-03-14 03:20:00,6.79
2023-03-14 03:40:00,8.09
2023-03-14 04:00:00,8.62
2023-03-14 04:20:00,8.56
2023-03-14 04:40:00,8.17
2023-03-14 05:00:00,6.54
2023-03-14 05:20:00,6.24
2023-03-14 05:40:00,5.95
2023-03-14 06:00:00,5.52
2023-03-14 06:20:00,4.50
2023-03-14 06:40:00,5.53
2023-03-14 07:00:00,6.03
2023-03-14 07:20:00,5.74
2023-03-14 07:40:00,5.76
2023-03-14 08:00:00,6.33
2023-03-14 08:20:00,6.14
2023-03-14 08:40:00,5.83
2023-03-14 09:00:00,4.59
2023-03-14 09:20:00,4.20
2023-03-14 09:40:00,5.38
2023-03-14 10:00:00,8.73
2023-03-14 10:20:00,8.36
2023-03-14 10:40:00,7.93
2023-03-14 11:00:00,8.06
2023-03-14 11:20:00,8.53
2023-03-14 11:40:00,8.22
2023-03-14 12:00:00,7.76
2023-03-14 12:20:00,6.65
2023-03-14 12:40:00,8.35
2023-03-14 13:00:00,8.36
2023-03-14 13:20:00,8.13
2023-03-14 13:40:00,7.68
2023-03-14 14:00:00,8.34
2023-03-14 14:20:00,8.11
2023-03-14 14:40:00,7.33
2023-03-14 15:00:00,7.07
2023-03-14 15:20:00,7.71
2023-03-14 15:40:00,8.43
2023-03-14 16:00:00,8.13
2023-03-14 16:20:00,7.81
2023-03-14 16:40:00,8.67
2023-03-14 17:00:00,8.53
2023-03-14 17:20:00,7.58
2023-03-14 17:40:00,6.55
2023-03-14 18:00:00,7.39

