"Time","cattle-fleet-local-system","cattle-fleet-system","cattle-monitoring-system","cattle-system","cert-manager","cilium-monitoring","default","falco","kube-system","longhorn-system","sock-shop"
2023-03-13 12:00:00,10.3,18.0,1215,45.9,3.18,21.5,0,3.09,814,28.1,20.8
2023-03-13 12:04:00,9.99,17.7,1227,46.0,3.09,22.8,0,2.37,825,28.5,20.3
2023-03-13 12:08:00,9.99,18.2,1261,47.9,2.97,22.8,0,2.62,820,29.6,20.6
2023-03-13 12:12:00,9.80,18.1,1245,48.6,3.08,21.2,0.0167,3.15,843,29.3,21.3
2023-03-13 12:16:00,10.5,19.3,1301,54.1,3.05,23.1,0,2.84,871,30.1,21.1
2023-03-13 12:20:00,9.88,17.8,1131,46.3,3.06,22.6,0,2.51,759,29.3,20.7
2023-03-13 12:24:00,10.3,18.3,1369,46.3,3.29,20.7,0,2.56,938,28.9,21.2
2023-03-13 12:28:00,10.6,18.7,1222,48.6,3.12,21.8,0,2.56,817,30.6,21.2
2023-03-13 12:32:00,10.2,17.8,1244,45.9,3.06,24.9,0,2.61,836,28.9,21.2
2023-03-13 12:36:00,12.3,19.4,1329,53.4,3.29,21.1,0,2.75,879,29.9,20.9
2023-03-13 12:40:00,10.3,18.2,1123,46.4,3.12,21.8,0,2.44,777,29.1,20.7
2023-03-13 12:44:00,10.3,17.9,2115,46.5,3.02,19.8,0,2.63,1603,30.7,59.7
2023-03-13 12:48:00,10.2,18.1,1270,48.5,2.87,22.3,0,3.02,842,29.6,21.0
2023-03-13 12:52:00,10.3,18.1,1255,52.3,3.20,23.4,0,2.84,836,29.5,21.1
2023-03-13 12:56:00,10.1,19.9,1279,50.1,3.11,21.1,0,2.60,876,29.5,20.6
2023-03-13 13:00:00,10.2,18.0,1216,45.5,3.07,20.2,0,3.30,779,28.6,21.0
2023-03-13 13:04:00,9.99,18.0,1276,47.5,3.13,22.0,0,3.91,832,29.8,23.2
2023-03-13 13:08:00,10.1,18.4,1272,48.4,3.13,21.5,0,3.55,840,29.7,20.6
2023-03-13 13:12:00,10.5,18.4,1296,51.1,3.22,21.6,0,2.97,851,30.8,20.4
2023-03-13 13:16:00,10.6,18.9,1342,53.0,3.20,23.2,0,4.20,907,30.0,26.4
2023-03-13 13:20:00,10.2,18.0,1254,48.4,3.20,22.4,0,4.23,836,30.0,21.2
2023-03-13 13:24:00,10.5,18.1,1206,49.1,3.10,19.9,0,2.81,809,29.7,21.0
2023-03-13 13:28:00,10.3,17.9,1209,46.4,3.26,20.6,0,2.56,820,29.0,20.6
2023-03-13 13:32:00,9.96,17.6,1241,46.6,3.41,20.8,0,2.30,812,28.2,20.6
2023-03-13 13:36:00,12.7,19.0,2224,50.7,3.06,22.8,0,2.30,1679,28.3,63.4
2023-03-13 13:40:00,10.0,18.5,1211,47.0,3.26,22.3,0,3.36,813,29.1,20.9
2023-03-13 13:44:00,10.4,18.1,1226,48.1,3.15,21.2,0,2.58,823,30.5,20.3
2023-03-13 13:48:00,28.5,18.4,1366,50.2,3.15,20.7,0,4.28,950,30.6,20.8
2023-03-13 13:52:00,9.80,18.2,1192,46.4,2.94,22.7,0,3.45,814,28.5,21.3
2023-03-13 13:56:00,9.83,19.0,1458,48.7,2.99,23.2,0,2.62,1016,28.9,21.5
2023-03-13 14:00:00,10.2,18.9,1227,46.7,3.20,20.3,0,2.43,817,30.1,21.2
2023-03-13 14:04:00,10.2,18.1,1269,47.2,3.33,21.8,0,2.75,831,29.6,21.0
2023-03-13 14:08:00,10.1,18.3,1233,48.5,3.07,21.3,0,3.99,844,29.5,20.7
2023-03-13 14:12:00,10.2,18.4,1143,48.5,3.17,23.1,0,2.50,784,29.7,21.0
2023-03-13 14:16:00,10.3,19.3,1262,51.1,2.95,21.1,0.0118,4.12,859,28.4,21.0
2023-03-13 14:20:00,9.99,17.8,1230,47.3,3.09,21.4,0,3.08,828,29.0,20.8
2023-03-13 14:24:00,10.1,18.3,1262,49.1,3.05,20.1,0,2.81,837,29.0,20.9
2023-03-13 14:28:00,10.3,18.0,2016,48.2,3.25,21.5,0,2.49,1494,29.1,59.7
2023-03-13 14:32:00,9.89,17.9,1187,45.2,3.09,22.6,0,2.49,805,27.9,20.5
2023-03-13 14:36:00,31.4,19.1,1435,49.6,3.12,20.4,0,2.45,975,27.7,21.0
2023-03-13 14:40:00,9.94,17.9,1274,47.1,3.15,21.5,0,2.87,846,29.1,21.0
2023-03-13 14:44:00,10.4,18.4,1271,50.7,3.01,22.0,0,4.95,849,31.4,20.9
2023-03-13 14:48:00,9.68,18.2,1623,46.7,3.23,21.3,0,2.89,1148,29.1,27.9
2023-03-13 14:52:00,10.1,17.9,1209,47.7,3.18,19.3,0,2.46,815,29.6,20.8
2023-03-13 14:56:00,10.2,19.6,1238,51.8,3.21,23.9,0,3.74,833,29.8,20.8
2023-03-13 15:00:00,10.4,18.1,1218,49.0,3.30,22.1,0.0226,2.47,826,29.8,20.8
2023-03-13 15:04:00,10.5,18.4,1247,49.0,3.28,22.1,0,2.68,833,30.5,20.7
2023-03-13 15:08:00,10.3,18.0,1221,45.8,3.08,21.6,0,2.80,811,29.5,21.1
2023-03-13 15:12:00,10.3,18.1,1228,47.3,3.22,20.7,0,2.65,850,28.4,20.9
