"Time","cattle-fleet-local-system","cattle-fleet-system","cattle-monitoring-system","cattle-system","cert-manager","cilium-monitoring","default","falco","kube-system","longhorn-system","sock-shop"
2023-03-13 12:00:00,8.61,15.3,1247,42.7,3.06,23.7,0,2.87,868,22.6,19.1
2023-03-13 12:04:00,8.49,15.0,1235,42.6,2.97,25.5,0,2.37,876,22.8,18.9
2023-03-13 12:08:00,8.21,15.3,1282,44.9,2.87,25.1,0,2.55,872,23.2,19.1
2023-03-13 12:12:00,7.73,15.3,1273,45.1,2.89,23.8,0,3.09,903,22.0,19.5
2023-03-13 12:16:00,8.43,16.3,1369,48.7,2.86,25.7,0,2.83,988,23.8,19.5
2023-03-13 12:20:00,8.16,15.3,1172,41.6,2.98,25.2,0,2.51,835,21.9,19.0
2023-03-13 12:24:00,8.53,15.5,1391,44.3,3.15,22.7,0,2.46,992,24.8,19.7
2023-03-13 12:28:00,8.18,15.5,1246,43.3,3.01,23.9,0,2.56,878,22.5,19.5
2023-03-13 12:32:00,8.54,15.1,1258,43.1,2.85,25.6,0,2.62,887,23.6,19.4
2023-03-13 12:36:00,10.2,16.8,1351,49.0,3.25,23.7,0.0200,2.75,956,23.9,19.5
2023-03-13 12:40:00,8.30,15.2,1161,42.8,2.95,24.6,0,2.41,831,22.4,19.3
2023-03-13 12:44:00,8.45,15.8,2192,43.8,2.84,21.9,0,2.58,1716,26.7,58.6
2023-03-13 12:48:00,8.64,15.0,1291,44.8,2.76,23.5,0,3.05,899,23.5,19.5
2023-03-13 12:52:00,8.39,14.9,1291,46.9,3.11,26.0,0,2.84,898,21.7,19.4
2023-03-13 12:56:00,8.20,17.0,1296,46.1,2.93,23.9,0,2.61,930,22.5,18.8
2023-03-13 13:00:00,8.39,15.3,1236,41.9,2.97,22.6,0,3.01,839,22.7,19.5
2023-03-13 13:04:00,8.21,15.1,1332,44.0,3.03,25.0,0,3.17,892,23.8,21.5
2023-03-13 13:08:00,8.21,15.4,1290,45.3,2.92,23.7,0,3.24,906,23.2,19.3
2023-03-13 13:12:00,8.34,15.0,1322,46.0,2.95,22.8,0,2.95,928,22.6,19.0
2023-03-13 13:16:00,8.63,16.1,1375,48.7,3.03,24.9,0,3.56,965,25.1,24.6
2023-03-13 13:20:00,8.27,15.7,1274,45.4,3.13,24.9,0,3.50,887,25.5,19.3
2023-03-13 13:24:00,8.91,15.9,1223,45.9,2.91,23.3,0,2.78,859,25.4,19.2
2023-03-13 13:28:00,8.42,15.2,1191,43.8,2.98,23.2,0,2.53,857,22.8,19.3
2023-03-13 13:32:00,8.48,15.0,1256,44.1,3.23,23.8,0,2.28,864,23.3,19.0
2023-03-13 13:36:00,10.7,16.3,2305,45.7,2.88,25.3,0,2.30,1798,21.4,61.6
2023-03-13 13:40:00,7.84,15.5,1240,42.7,3.10,24.1,0,2.96,874,21.2,19.0
2023-03-13 13:44:00,8.44,15.1,1251,43.9,3.04,23.5,0,2.56,875,24.5,19.2
