"Time","cattle-fleet-local-system","cattle-fleet-system","cattle-monitoring-system","cattle-system","cert-manager","cilium-monitoring","default","falco","kube-system","longhorn-system","sock-shop"
2023-03-13 12:00:00,4428,6966,983248,25180,552,65898,0,2080,616905,11913,2010
2023-03-13 12:04:00,4340,6829,1017173,25207,513,71494,0,201,621642,11853,1967
2023-03-13 12:08:00,4319,6994,1076432,25684,499,70100,0,223,616813,12402,1994
2023-03-13 12:12:00,4426,6933,1020093,28738,499,68757,1.17,1974,649556,12961,2075
2023-03-13 12:16:00,4880,8125,1015936,40826,531,70834,0,1512,603361,14057,2047
2023-03-13 12:20:00,4272,6875,836008,25159,505,71494,0,211,529483,11935,1998
2023-03-13 12:24:00,4379,7027,1066689,25147,549,64440,0,216,677299,12022,2043
2023-03-13 12:28:00,4445,7144,1001818,26545,503,68183,0,618,614728,12926,2053
2023-03-13 12:32:00,4393,6929,1030791,25786,487,71589,0,583,639837,12388,2041
2023-03-13 12:36:00,9669,8435,1059620,42909,528,67736,0,435,634371,13320,2027
2023-03-13 12:40:00,4352,6991,810286,25074,512,68907,0,208,544182,11945,2012
2023-03-13 12:44:00,4343,6895,1591987,25127,497,61933,0,235,1167286,12411,9622
2023-03-13 12:48:00,4611,7028,1098621,28007,492,65296,0,1787,655342,13111,2026
2023-03-13 12:52:00,4821,6906,1038903,32178,526,71538,0,1457,639810,13857,2034
2023-03-13 12:56:00,4312,8136,1023485,34544,531,67345,0,792,648448,12035,1984
2023-03-13 13:00:00,4289,6936,992259,25301,504,62777,0,3886,540719,11941,2036
2023-03-13 13:04:00,4300,6848,955083,25110,527,71485,0,4822,574778,12114,2416
2023-03-13 13:08:00,4536,7029,1047471,28545,515,65182,0,2212,645362,13088,1998
2023-03-13 13:12:00,4743,6998,1111342,31353,551,65796,0,1655,675535,14322,1978
2023-03-13 13:16:00,4424,7773,1093732,35287,533,67679,0,7513,681066,12087,3092
2023-03-13 13:20:00,4259,6912,1038655,25116,520,70620,0,5338,617321,11971,2036
2023-03-13 13:24:00,4622,6962,915241,28163,511,65141,0,898,561002,13121,2027
2023-03-13 13:28:00,4820,6885,951951,26378,542,65715,0,623,594995,12998,1996
2023-03-13 13:32:00,4314,6796,1024215,26116,571,68202,0,396,611395,12226,1984
2023-03-13 13:36:00,10516,8055,1718668,40016,497,72216,0,195,1250235,11799,10108
2023-03-13 13:40:00,4296,7054,1008394,25065,561,66798,0,4011,610473,11810,2016
2023-03-13 13:44:00,4584,6936,989002,28630,561,65843,0,842,605268,13377,1975
2023-03-13 13:48:00,66997,6994,1036394,31259,535,65265,0,6395,648099,14406,2014
2023-03-13 13:52:00,4266,6953,911893,25625,499,73487,0,4814,600450,11923,2052
2023-03-13 13:56:00,4340,7924,1183833,34208,510,70522,0,224,756994,12041,2116
2023-03-13 14:00:00,4268,7122,1023470,25140,525,64943,0,206,625248,12280,2045
2023-03-13 14:04:00,4517,6973,1072121,26742,546,64276,0,421,625951,12453,2036
2023-03-13 14:08:00,4573,7091,974735,30392,500,64931,0,5594,640506,14074,1995
2023-03-13 14:12:00,4308,6962,812462,25855,537,73657,0,211,536690,12121,2023
2023-03-13 14:16:00,4437,7976,1036319,35716,485,65070,0.823,4513,649797,11870,2029
2023-03-13 14:20:00,4581,6943,1022019,28396,532,66767,0,879,617385,13032,2023
2023-03-13 14:24:00,4607,7009,1081661,29937,502,62997,0,954,641126,13253,2017
2023-03-13 14:28:00,4438,6905,1530330,26577,543,67598,0,215,1074642,12006,9512
2023-03-13 14:32:00,4357,6985,934974,25177,526,69122,0,210,596041,11768,1989
2023-03-13 14:36:00,81871,8210,1090374,40859,513,63943,0,208,667376,11863,2026
2023-03-13 14:40:00,4535,6913,1076182,27511,517,67804,0,941,649505,12905,2019
2023-03-13 14:44:00,4726,7009,1054777,32008,496,67725,0,10107,638661,14432,2010
2023-03-13 14:48:00,4235,6990,1338085,25134,534,67191,0,734,863655,12080,3212
2023-03-13 14:52:00,4379,6870,966430,25514,507,59920,0,223,595088,12005,2015
2023-03-13 14:56:00,4306,8250,866326,36204,533,72096,0,4905,550277,12386,2009
2023-03-13 15:00:00,4506,6862,972026,26842,555,67099,1.58,400,592875,12086,1999
2023-03-13 15:04:00,4800,6943,1026872,27943,533,69144,0,1069,622099,13466,1992
2023-03-13 15:08:00,4374,6919,1018519,25166,504,65383,0,257,611421,12069,2034
2023-03-13 15:12:00,4344,6897,1002127,25251,541,70026,0,992,653253,11808,2018
2023-03-13 15:16:00,4609,8129,854825,40025,542,64300,0,1928,565628,12851,2015
2023-03-13 15:20:00,4707,6908,1433436,30142,498,67561,1.08,1260,999711,14247,10645
2023-03-13 15:24:00,4323,6880,987327,25242,545,68782,0,247,593159,11939,2044
2023-03-13 15:28:00,4382,6927,1044587,24764,511,72230,0,6512,597853,11935,2029
2023-03-13 15:32:00,4311,6959,1049866,25222,498,71843,0,1773,621307,12118,2019
2023-03-13 15:36:00,9721,8325,1157837,42136,560,69270,0,828,708463,12969,2068
2023-03-13 15:40:00,4805,6940,1072288,31194,531,62862,0,1499,722192,14310,2168
2023-03-13 15:44:00,4236,6904,869928,24933,562,66771,0,821,587866,12354,2035
2023-03-13 15:48:00,75786,6997,1180509,24743,522,68515,0,203,723874,11971,2035
2023-03-13 15:52:00,4607,7005,1036653,28591,539,62299,0,698,645905,13319,2010
2023-03-13 15:56:00,4501,7935,1095266,36337,508,66933,0,721,676000,12757,2023
2023-03-13 16:00:00,4386,6924,969602,25638,522,69370,0,181,637480,12687,2003
2023-03-13 16:04:00,4407,6915,800486,25217,499,71338,0,233,529001,12021,2043
2023-03-13 16:08:00,4269,6956,964776,25331,565,67837,0,226,601094,12043,2016
2023-03-13 16:12:00,4558,6874,1777504,28337,568,65854,0,896,1119232,12870,9858
2023-03-13 16:16:00,4610,8094,1090095,42162,535,72065,0,10239,666732,14362,2026
2023-03-13 16:20:00,4268,6974,998458,25336,558,65690,0,210,634874,11954,1995
2023-03-13 16:24:00,4281,6993,918275,25436,552,67637,0,795,582049,12029,2017
2023-03-13 16:28:00,4465,6811,817778,25498,534,62174,0,998,538685,12098,2045
2023-03-13 16:32:00,4187,6905,1212204,28018,536,68256,0.943,6622,688002,12599,3050
2023-03-13 16:36:00,11264,8236,1088954,44334,528,64420,0,1505,680289,14245,2007
2023-03-13 16:40:00,76585,6839,1164709,25068,527,73691,0,199,704560,11910,2014
2023-03-13 16:44:00,4301,6911,1007049,25172,542,66855,0,245,656395,12334,2531
2023-03-13 16:48:00,4658,6936,952127,28061,517,72783,0,774,583851,12814,2005
2023-03-13 16:52:00,4619,7019,1002567,30569,543,65997,1.53,10215,612448,13981,2013
2023-03-13 16:56:00,4300,8204,1042067,34937,537,68625,0,223,589947,12000,2031
2023-03-13 17:00:00,4328,6944,1031374,25306,522,66031,0,8884,661448,12080,1980
2023-03-13 17:04:00,4386,6946,1680854,25540,535,61209,0,233,1195554,12025,10886
2023-03-13 17:08:00,89272,6938,1057884,28071,536,66537,0,819,672637,12812,1971
2023-03-13 17:12:00,4734,6856,883237,30982,499,68312,0,3430,612902,14075,2012
2023-03-13 17:16:00,4271,8097,983506,34446,547,67398,0,236,609255,12022,1995
2023-03-13 17:20:00,4342,6982,1012465,24838,479,73524,1.62,208,591102,11896,2012
2023-03-13 17:24:00,4559,6800,1101858,25996,544,66617,0,1609,646830,12336,2279
2023-03-13 17:28:00,4480,6997,1046194,25661,535,72715,0,16366,656560,12477,2020
2023-03-13 17:32:00,4735,6883,855189,29269,586,67981,0,8932,591485,13140,2028
2023-03-13 17:36:00,10036,8247,1076524,41885,578,69468,0,203,650432,11888,4235
2023-03-13 17:40:00,4315,6910,1066708,25315,595,61895,0,220,621000,12355,2006
2023-03-13 17:44:00,4455,6955,1050115,27969,502,65037,0,3023,639953,13346,2045
2023-03-13 17:48:00,4903,6939,1058233,31405,542,66390,0,1484,654389,14369,2014
2023-03-13 17:52:00,4319,6935,1053831,25429,497,68760,0,224,633068,12034,2012
2023-03-13 17:56:00,4410,8179,1473890,36976,551,66009,0,4037,1129830,12048,10289
2023-03-13 18:00:00,4270,6918,830142,25081,523,69464,0,211,526190,11958,2012
2023-03-13 18:04:00,4508,6849,1020204,28615,503,69933,0,5400,639597,12991,2016
2023-03-13 18:08:00,58416,10861,1455143,49244,3159,68088,1.06,1559,822865,21170,2008
2023-03-13 18:12:00,4326,6935,1005972,25466,553,66277,0,1206,615427,12004,2011
2023-03-13 18:16:00,4423,7836,1030708,33756,500,67052,0,226,608021,12457,1984
2023-03-13 18:20:00,4502,7090,886273,28084,482,68661,0,853,537524,13038,2013
2023-03-13 18:24:00,4662,7000,941244,27617,549,69119,0,1039,603929,12947,2027
2023-03-13 18:28:00,4479,6968,1119882,25735,532,69938,1.01,614,732507,12378,4908
2023-03-13 18:32:00,4295,6835,1042797,25560,540,68052,0,238,631696,11860,1980
2023-03-13 18:36:00,12088,8247,1080999,44111,495,67671,0,216,664866,11992,2029
2023-03-13 18:40:00,4531,6948,924550,28338,496,68011,0,1498,560311,12950,1991
2023-03-13 18:44:00,4892,6845,842815,30538,529,63913,0,8759,568566,14416,2004
2023-03-13 18:48:00,4432,7017,1606128,25245,533,65249,0,7437,1140606,11894,8576
2023-03-13 18:52:00,4344,6943,983592,25605,517,69246,0,999,629335,12049,2059
2023-03-13 18:56:00,77401,7865,1193049,35628,541,65150,0,208,715886,12153,2046
2023-03-13 19:00:00,4534,7054,1014535,25766,538,64218,0,413,664490,12258,2023
2023-03-13 19:04:00,4659,6969,815460,30255,521,68197,0,1497,549570,13999,2001
2023-03-13 19:08:00,4301,6897,878893,24918,511,66570,0,243,596776,11748,2051
2023-03-13 19:12:00,4361,7030,975931,25723,546,66620,0,208,615338,11835,2010
2023-03-13 19:16:00,4524,7967,1073813,38574,518,67270,0,854,698192,12995,2002
2023-03-13 19:20:00,4619,6897,1276591,29484,503,66611,0,1225,817377,13639,8148
2023-03-13 19:24:00,4343,6868,991466,25146,518,69314,0,238,580281,11992,2007
2023-03-13 19:28:00,4231,7005,808561,25347,487,66948,0,1720,522130,11828,2034
2023-03-13 19:32:00,4379,6987,996132,25147,571,66452,0,6466,628641,11861,2025
2023-03-13 19:36:00,78273,8315,1282354,43470,568,65292,0,800,728782,12910,2016
2023-03-13 19:40:00,4775,6879,1673199,31313,546,67074,0,1535,1105909,14075,5309
2023-03-13 19:44:00,4260,6879,1005616,24991,546,66094,0,203,605577,12349,2035
2023-03-13 19:48:00,4240,6904,818489,25457,535,67870,0,209,596244,12331,1995
2023-03-13 19:52:00,4475,6858,841736,27004,532,70984,0,374,591542,12620,2030
2023-03-13 19:56:00,4505,7997,1046298,37158,545,69661,0,6798,645239,12227,2028
2023-03-13 20:00:00,4354,6967,1059788,28236,528,67726,0,915,628670,13083,2013
2023-03-13 20:04:00,4277,7059,1026700,25086,543,66469,0,841,603572,12053,1988
2023-03-13 20:08:00,4267,6876,962830,25272,548,66934,0,228,577758,12002,2000
2023-03-13 20:12:00,4447,6826,1158648,28922,500,67568,0,848,756084,13353,8695
2023-03-13 20:16:00,4716,8003,988535,43138,552,68854,0,1473,642591,14370,2010
2023-03-13 20:20:00,4302,6952,980977,25479,540,62431,0,222,638209,12103,1983
2023-03-13 20:24:00,4370,6936,1018454,25061,537,66512,0,220,612259,11867,2032
2023-03-13 20:28:00,4352,6984,1001652,25144,546,66570,0,199,618872,11898,1997
2023-03-13 20:32:00,4518,6866,1442038,28130,552,67517,0,841,1053856,12889,4662
2023-03-13 20:36:00,10356,8780,990719,43747,559,65838,0,1324,598210,14001,1987
2023-03-13 20:40:00,4214,6913,1017372,25306,494,67286,0,223,609199,11901,2003
2023-03-13 20:44:00,4429,6890,1037367,25246,521,68507,0,258,616738,12420,2017
2023-03-13 20:48:00,4574,6944,1108969,27623,587,66511,0,3162,639200,12919,2042
2023-03-13 20:52:00,4481,6844,951764,29448,493,69803,0,7382,584518,13331,2027
2023-03-13 20:56:00,4461,8078,879961,36300,567,64231,0,5145,569856,12845,2016
2023-03-13 21:00:00,4277,6986,897356,25358,534,72652,0,210,577123,12044,1987
2023-03-13 21:04:00,4406,7036,1389541,25053,531,68078,0,209,957685,12011,8663
2023-03-13 21:08:00,4554,6998,1090293,28463,588,67101,0,851,643944,13025,2019
2023-03-13 21:12:00,4710,6915,1053853,32078,552,63098,0,1637,659856,14205,2000
2023-03-13 21:16:00,4220,7719,1084549,34901,522,70445,0.896,2050,630328,11957,2028
2023-03-13 21:20:00,4371,6936,1021873,25122,486,70748,1.18,1748,602191,11958,1984
2023-03-13 21:24:00,4251,6838,1425789,26841,558,70374,0,1252,1005448,12192,3945
2023-03-13 21:28:00,4328,6902,883189,26510,574,70632,0,1030,536572,12588,1982
2023-03-13 21:32:00,4773,6965,1084112,29328,552,61633,0,1263,649950,13699,1982
2023-03-13 21:36:00,10858,8052,1131881,37928,495,68480,0,217,654036,12100,2007
2023-03-13 21:40:00,4307,6925,1024251,24891,491,63727,0,14006,642491,11940,1993
2023-03-13 21:44:00,4623,6901,1085484,28437,516,67171,0,838,681805,13212,2066
2023-03-13 21:48:00,4682,6961,867172,31032,555,65917,0,1521,537882,14245,2043
2023-03-13 21:52:00,4274,6973,936872,25170,548,71140,0,211,589747,11804,1994
2023-03-13 21:56:00,4260,7884,1507762,35532,574,69443,0,191,1008141,11825,9219
2023-03-13 22:00:00,4311,6881,1008387,25042,469,67095,1.21,199,604230,11822,2019
2023-03-13 22:04:00,4494,6921,1075654,27965,543,65723,0,2279,615086,12912,1960
2023-03-13 22:08:00,4698,6947,960737,31603,524,65427,1.05,1584,617471,14398,2010
2023-03-13 22:12:00,4296,6959,861313,25374,570,69488,0,9879,542664,12142,2033
2023-03-13 22:16:00,4324,7946,1318478,34556,564,65439,0,194,856322,12038,3735
2023-03-13 22:20:00,4466,6912,1027715,28099,562,64501,0,1377,609871,12758,2006
2023-03-13 22:24:00,4395,6898,1031773,25756,529,66101,0,614,623254,12426,2014
2023-03-13 22:28:00,4445,6923,991959,28407,526,67328,0,1244,587408,12875,2038
2023-03-13 22:32:00,66841,6896,971597,25146,548,63966,0,248,651851,11984,2023
2023-03-13 22:36:00,10200,8069,985213,43658,520,68461,0,239,580631,11733,1992
2023-03-13 22:40:00,4500,7013,1115227,28193,532,66074,0,780,688084,12882,1992
2023-03-13 22:44:00,4838,6923,1087132,30699,493,67382,0,1511,635096,14909,2025
2023-03-13 22:48:00,4198,6894,1577894,24839,562,73078,0,1496,1161638,11797,10302
2023-03-13 22:52:00,4310,6876,915202,25681,539,68166,0,224,586539,11742,1998
2023-03-13 22:56:00,67403,8371,988491,36701,574,66132,0,206,627291,11833,2004
2023-03-13 23:00:00,4500,7041,1068788,27915,513,70614,0,786,547241,13028,2036
2023-03-13 23:04:00,4695,6942,1083615,31463,542,64590,0,1625,640135,13893,2004
2023-03-13 23:08:00,4303,6892,1268819,25220,543,68015,0,1316,847516,11978,3390
2023-03-13 23:12:00,4399,7049,1022108,26160,585,69296,1.14,218,618234,12006,2033
2023-03-13 23:16:00,4445,8120,967026,41025,520,71229,0,4212,563770,12833,2026
2023-03-13 23:20:00,4465,6804,899652,28013,558,72283,1.14,1420,583952,13114,2138
2023-03-13 23:24:00,4346,6926,1025968,26163,525,71311,0,829,606224,12760,2004
2023-03-13 23:28:00,4298,6866,987912,24636,632,65852,0,1671,599446,11911,2042
2023-03-13 23:32:00,4388,6924,1017541,25373,532,65674,0,214,600073,12035,1976
2023-03-13 23:36:00,11107,8174,1057551,42335,504,66826,0,864,672445,12936,2021
2023-03-13 23:40:00,4799,6985,1550055,31441,562,66298,0,5805,1030496,14408,9845
