"Time"," 192.168.0.211:10250 /v1, Kind=ConfigMap"," 192.168.0.211:10250 /v1, Kind=Node"," 192.168.0.211:10250 /v1, Kind=Pod"," 192.168.0.211:10250 /v1, Kind=Secret"," 192.168.0.211:10250 /v1, Kind=ServiceAccount"," 192.168.0.211:10250 APIServiceRegistrationController"," 192.168.0.211:10250 AvailableConditionController"," 192.168.0.211:10250 ClusterRoleAggregator"," 192.168.0.211:10250 DiscoveryController"," 192.168.0.211:10250 DynamicCABundle-aggregator-proxy-cert"," 192.168.0.211:10250 DynamicCABundle-client-ca"," 192.168.0.211:10250 DynamicCABundle-client-ca-bundle"," 192.168.0.211:10250 DynamicCABundle-csr-controller"," 192.168.0.211:10250 DynamicCABundle-request-header"," 192.168.0.211:10250 DynamicCABundle-serving-cert"," 192.168.0.211:10250 DynamicClientCertificate"," 192.168.0.211:10250 DynamicConfigMapCABundle-client-ca"," 192.168.0.211:10250 DynamicServingCertificateController"," 192.168.0.211:10250 Nodes"," 192.168.0.211:10250 RequestHeaderAuthRequestController"," 192.168.0.211:10250 admission_quota_controller"," 192.168.0.211:10250 apps/v1, Kind=DaemonSet"," 192.168.0.211:10250 autoregister"," 192.168.0.211:10250 batch/v1, Kind=Job"," 192.168.0.211:10250 certificate"," 192.168.0.211:10250 claims"," 192.168.0.211:10250 cluster_authentication_trust_controller"," 192.168.0.211:10250 crdEstablishing"," 192.168.0.211:10250 crd_autoregistration_controller"," 192.168.0.211:10250 crd_finalizer"," 192.168.0.211:10250 crd_naming_condition_controller"," 192.168.0.211:10250 crd_openapi_controller"," 192.168.0.211:10250 crd_openapi_v3_controller"," 192.168.0.211:10250 cronjob"," 192.168.0.211:10250 daemonset"," 192.168.0.211:10250 deployment"," 192.168.0.211:10250 disruption"," 192.168.0.211:10250 disruption_recheck"," 192.168.0.211:10250 endpoint"," 192.168.0.211:10250 endpoint_slice"," 192.168.0.211:10250 endpoint_slice_mirroring"," 192.168.0.211:10250 ephemeral_volume"," 192.168.0.211:10250 garbage_collector_attempt_to_delete"," 192.168.0.211:10250 garbage_collector_attempt_to_orphan"," 192.168.0.211:10250 garbage_collector_graph_changes"," 192.168.0.211:10250 helm.cattle.io/v1, Kind=HelmChart"," 192.168.0.211:10250 helm.cattle.io/v1, Kind=HelmChartConfig"," 192.168.0.211:10250 horizontalpodautoscaler"," 192.168.0.211:10250 job"," 192.168.0.211:10250 job_orphan_pod"," 192.168.0.211:10250 k3s.cattle.io/v1, Kind=Addon"," 192.168.0.211:10250 kubernetes_api_approval_conformant_condition_controller"," 192.168.0.211:10250 namespace"," 192.168.0.211:10250 node_lifecycle_controller"," 192.168.0.211:10250 node_lifecycle_controller_pods"," 192.168.0.211:10250 noexec_taint_node"," 192.168.0.211:10250 noexec_taint_pod"," 192.168.0.211:10250 non_structural_schema_condition_controller"," 192.168.0.211:10250 open_api_aggregation_controller"," 192.168.0.211:10250 open_api_v3_aggregation_controller"," 192.168.0.211:10250 orphaned_pods_nodes"," 192.168.0.211:10250 priority_and_fairness_config_queue"," 192.168.0.211:10250 pvcprotection"," 192.168.0.211:10250 pvcs"," 192.168.0.211:10250 pvprotection"," 192.168.0.211:10250 rbac.authorization.k8s.io/v1, Kind=ClusterRoleBinding"," 192.168.0.211:10250 replicaset"," 192.168.0.211:10250 replicationmanager"," 192.168.0.211:10250 resource_quota_controller_resource_changes"," 192.168.0.211:10250 resourcequota_primary"," 192.168.0.211:10250 resourcequota_priority"," 192.168.0.211:10250 root_ca_cert_publisher"," 192.168.0.211:10250 service"," 192.168.0.211:10250 serviceaccount"," 192.168.0.211:10250 serviceaccount_tokens_secret"," 192.168.0.211:10250 serviceaccount_tokens_service"," 192.168.0.211:10250 statefulset"," 192.168.0.211:10250 ttl_jobs_to_delete"," 192.168.0.211:10250 ttlcontroller"," 192.168.0.211:10250 volume_expand"," 192.168.0.211:10250 volumes"," 192.168.0.221:10250 DynamicCABundle-client-ca-bundle"," 192.168.0.221:10250 DynamicClientCertificate"," 192.168.0.222:10250 DynamicCABundle-client-ca-bundle"," 192.168.0.222:10250 DynamicClientCertificate"
2023-03-13 12:00:00,0.0000752,0.00000991,,,,0.000990,0.000690,,0.000850,,,,,,,0.0000910,0.00000991,0.00000991,0.00000991,,0.00000991,,0.000893,,,,0.00000991,,0.0000879,,0.000918,0.988,0.988,,,,,,,,0.00000991,,,,0.00000996,,,,,,,0.00000968,,0.00000991,,,,0.0000886,0.0000985,0.000987,,,,,,,,,,0.00000991,,,,,,,,,0.00000991,,,,0.00000991,,0.00000991
2023-03-13 12:02:00,0.0000430,0.00000991,,,,0.000990,0.000690,,0.000850,,,,,,,0.0000910,0.00000991,0.00000991,0.00000991,,0.00000991,,0.000893,,,,0.00000991,,0.0000879,,0.000918,0.988,0.988,,,,,,,,0.00000991,,,,0.00000996,,,,,,,0.00000968,,0.00000987,,,,0.0000886,0.0000984,0.000988,,,,,,,,,,0.00000991,,,,,,,,,0.00000991,,,,0.00000991,,0.00000991
2023-03-13 12:04:00,0.00000997,0.00000991,,,,,0.000633,,,,,,,,,,0.00000991,0.0000856,0.00000991,,0.00000991,,,,,,0.00000991,,,,,,,,,,,,,,,,,,0.00000998,,,,,,,,,0.00000987,,,,,0.0000983,0.000990,,,,,,,,,,,,,,,,,,,0.00000991,,,,0.00000991,,0.00000991
2023-03-13 12:06:00,0.0000286,0.0000964,,,,0.000748,0.000862,,0.000899,,,,,,,0.00000991,0.00000991,0.0000928,0.00000991,,0.00000991,,0.000913,,,,0.00000991,,0.0000908,,0.000629,0.983,0.984,,,,,,,,0.00000991,,,,0.00001000,,,,,,,0.00000987,,0.00000991,,,,0.000258,0.0000984,0.000992,,,,,,,,,,0.0000982,,,,,,,,,0.00000982,,,,,,
2023-03-13 12:08:00,0.0000383,0.0000946,,,,0.000748,0.000736,,0.000899,,,,,,,0.00000991,0.00000991,0.0000856,0.00000991,,0.00000991,,0.000913,,,,0.00000991,,0.0000908,,0.000629,0.983,0.984,,,,,,,,0.00000991,,,,0.00000998,,,,,,,0.00000987,,0.00000991,,,,0.000258,0.0000983,0.000992,,,,,,,,,,0.0000982,,,,,,,,,0.00000987,,,,0.00000991,,0.00000991
2023-03-13 12:10:00,0.0000286,0.00000991,,,,0.0000973,0.0000896,,0.00727,,,,,,,0.00000991,0.00000991,0.00000991,0.00000991,,0.00000991,,0.00292,,,,0.00000991,,0.00163,,0.0258,0.988,0.988,,,,,,,,0.00000991,,,,0.00000996,,,,,,,0.00000991,,0.00000991,,,,0.000708,0.0000987,0.000993,,,,,,,,,,0.0000982,,,,,,,,,0.00000991,,,,0.00000991,,0.00000991
2023-03-13 12:12:00,0.0000517,0.00000991,,,,0.0000973,0.0000974,,0.00727,,,,,,,0.00000991,0.0000784,0.00000991,0.00000991,,0.0000982,,0.00292,,,,0.00000991,,0.00163,,0.0258,0.988,0.988,,,,,,0.0000929,0.0000918,0.00000991,,,,0.00000995,,,,,,,0.00000991,,0.00000991,,,,0.000708,0.0000987,0.000990,,,,,,,,,,0.0000982,,,,,,,,,0.00000991,,,,0.00000991,,0.00000991
2023-03-13 12:14:00,0.0000145,0.00000991,,,,,0.0000969,,,,,,,,,,0.0000784,0.00000991,0.00000991,,0.0000991,,,,,,0.00000991,,,,,,,,,,,,0.0000929,0.0000918,0.00000991,,,,0.00000998,,,,,,,,,0.00000991,,,,,0.0000984,0.000986,,,,,,,,,,,,,,,,,,,0.00000991,,,,0.00000991,,0.00000991
2023-03-13 12:16:00,0.0000143,0.00000991,,,,0.0000976,0.000856,,0.000839,,,,,,,0.00000991,0.0000784,0.00000991,0.00000991,,0.0000991,,0.000866,,,,0.00000991,,0.0000880,,0.000814,0.984,0.985,,,,,,,,0.00000991,,,,0.00000998,,,,,,,0.00000956,,0.00000991,,,,0.0000955,0.0000984,0.000988,,,,,,,,,,0.0000982,,,,,,,,,0.00000991,,,,,,
2023-03-13 12:18:00,0.0000286,0.00000991,,,,0.0000976,0.000856,,0.000839,,,,,,,0.00000991,0.0000892,0.00000991,0.00000991,,0.0000982,,0.000866,,,,0.00000991,,0.0000880,,0.000814,0.984,0.985,,,,,,,,0.00000991,,,,0.00000996,,,,,,,0.00000956,,0.00000991,,,,0.0000955,0.0000984,0.000988,,,,,,,,,,0.0000982,,,,,,,,,0.00000991,,,,0.00000991,,0.00000991
