"Time","cattle-fleet-local-system","cattle-fleet-system","cattle-monitoring-system","cattle-system","cert-manager","cilium-monitoring","default","falco","kube-system","longhorn-system","sock-shop"
2023-03-13 12:00:00,18546,3507,4894,7327,178,34060,0,711,4366,376,142
2023-03-13 12:02:00,18546,3507,4894,7327,178,34060,0,711,4366,376,142
2023-03-13 12:04:00,18546,3507,4894,7327,178,34060,0,711,4366,376,142
2023-03-13 12:06:00,4429,3612,5367,7341,172,33344,0,549,4981,385,249
2023-03-13 12:08:00,4429,3612,5367,7341,172,33344,0,549,4981,385,249
2023-03-13 12:10:00,5735,3602,4746,7448,174,33694,0,941,4275,384,144
2023-03-13 12:12:00,5735,3602,4746,7448,174,33694,0,941,4275,384,144
2023-03-13 12:14:00,5735,3602,4746,7448,174,33694,0,941,4275,384,144
2023-03-13 12:16:00,4529,3618,5367,7384,181,33680,0.0467,924,5039,383,248
2023-03-13 12:18:00,4529,3618,5367,7384,181,33680,0.0467,924,5039,383,248
2023-03-13 12:20:00,4457,3579,4756,7141,178,33644,0,807,4203,381,145
2023-03-13 12:22:00,4457,3579,4756,7141,178,33644,0,807,4203,381,145
2023-03-13 12:24:00,4457,3579,4756,7141,178,33644,0,807,4203,381,145
2023-03-13 12:26:00,4335,3666,5496,7696,175,34798,0.0467,1047,5028,380,249
2023-03-13 12:28:00,4335,3666,5496,7696,175,34798,0.0467,1047,5028,380,249
2023-03-13 12:30:00,18795,3570,4888,7313,175,33704,0.0467,527,4250,389,145
2023-03-13 12:32:00,18795,3570,4888,7313,175,33704,0.0467,527,4250,389,145
2023-03-13 12:34:00,18795,3570,4888,7313,175,33704,0.0467,527,4250,389,145
2023-03-13 12:36:00,4310,3617,5264,7219,173,32608,0,599,5105,384,254
2023-03-13 12:38:00,4310,3617,5264,7219,173,32608,0,599,5105,384,254
2023-03-13 12:40:00,5890,3551,4675,7529,176,34431,0,526,4185,382,141
2023-03-13 12:42:00,5890,3551,4675,7529,176,34431,0,526,4185,382,141
2023-03-13 12:44:00,5890,3551,4675,7529,176,34431,0,526,4185,382,141
2023-03-13 12:46:00,4491,3618,5396,7271,176,32954,0,660,4982,385,255
2023-03-13 12:48:00,4491,3618,5396,7271,176,32954,0,660,4982,385,255
2023-03-13 12:50:00,4468,3487,4770,7314,179,33698,0.0467,585,4204,383,143
2023-03-13 12:52:00,4468,3487,4770,7314,179,33698,0.0467,585,4204,383,143
2023-03-13 12:54:00,4468,3487,4770,7314,179,33698,0.0467,585,4204,383,143
2023-03-13 12:56:00,18575,3718,5473,7602,175,33734,0.0467,752,5053,380,258
2023-03-13 12:58:00,18575,3718,5473,7602,175,33734,0.0467,752,5053,380,258
2023-03-13 13:00:00,4385,3649,4786,7198,173,33809,0,916,4216,383,142
2023-03-13 13:02:00,4385,3649,4786,7198,173,33809,0,916,4216,383,142
2023-03-13 13:04:00,4385,3649,4786,7198,173,33809,0,916,4216,383,142
2023-03-13 13:06:00,4613,3493,5285,7320,180,34453,0,685,5025,382,241
2023-03-13 13:08:00,4613,3493,5285,7320,180,34453,0,685,5025,382,241
2023-03-13 13:10:00,5663,3644,4821,7650,173,31902,0,629,4236,385,146
2023-03-13 13:12:00,5663,3644,4821,7650,173,31902,0,629,4236,385,146
2023-03-13 13:14:00,5663,3644,4821,7650,173,31902,0,629,4236,385,146
2023-03-13 13:16:00,4599,3563,5480,7308,176,34840,0.0933,526,5112,391,236
2023-03-13 13:18:00,4599,3563,5480,7308,176,34840,0.0933,526,5112,391,236
2023-03-13 13:20:00,18662,3610,4949,7327,175,33781,0,1093,4315,386,159
2023-03-13 13:22:00,18662,3610,4949,7327,175,33781,0,1093,4315,386,159
2023-03-13 13:24:00,18662,3610,4949,7327,175,33781,0,1093,4315,386,159
2023-03-13 13:26:00,4402,3627,5048,7427,175,33765,0,735,4550,379,170
2023-03-13 13:28:00,4402,3627,5048,7427,175,33765,0,735,4550,379,170
2023-03-13 13:30:00,4554,3657,5071,7393,173,34877,0.0467,554,4751,384,227
2023-03-13 13:32:00,4554,3657,5071,7393,173,34877,0.0467,554,4751,384,227
2023-03-13 13:34:00,4554,3657,5071,7393,173,34877,0.0467,554,4751,384,227
2023-03-13 13:36:00,4465,3554,4801,7222,182,31542,0,708,4345,386,144
2023-03-13 13:38:00,4465,3554,4801,7222,182,31542,0,708,4345,386,144
2023-03-13 13:40:00,5718,3656,5377,7603,172,35988,0,665,4877,382,255
2023-03-13 13:42:00,5718,3656,5377,7603,172,35988,0,665,4877,382,255
2023-03-13 13:44:00,5718,3656,5377,7603,172,35988,0,665,4877,382,255
2023-03-13 13:46:00,4381,3519,4671,7275,176,32270,0,916,4226,385,143
2023-03-13 13:48:00,4381,3519,4671,7275,176,32270,0,916,4226,385,143
2023-03-13 13:50:00,18633,3606,5566,7288,174,35199,0,807,5057,382,257
2023-03-13 13:52:00,18633,3606,5566,7288,174,35199,0,807,5057,382,257
2023-03-13 13:54:00,18633,3606,5566,7288,174,35199,0,807,5057,382,257
2023-03-13 13:56:00,4627,3611,4750,7588,184,32680,0.0467,906,4308,384,143
2023-03-13 13:58:00,4627,3611,4750,7588,184,32680,0.0467,906,4308,384,143
2023-03-13 14:00:00,4262,3571,5307,7263,177,33742,0.0467,629,4965,384,257
2023-03-13 14:02:00,4262,3571,5307,7263,177,33742,0.0467,629,4965,384,257
2023-03-13 14:04:00,4262,3571,5307,7263,177,33742,0.0467,629,4965,384,257
2023-03-13 14:06:00,4589,3686,4778,7266,172,33750,0,735,4129,390,145
2023-03-13 14:08:00,4589,3686,4778,7266,172,33750,0,735,4129,390,145
2023-03-13 14:10:00,5718,3575,6527,37662,175,34873,0,716,6111,381,256
2023-03-13 14:12:00,5718,3575,6527,37662,175,34873,0,716,6111,381,256
2023-03-13 14:14:00,5718,3575,6527,37662,175,34873,0,716,6111,381,256
2023-03-13 14:16:00,18589,3652,4930,7349,179,33745,0,753,4356,381,147
2023-03-13 14:18:00,18589,3652,4930,7349,179,33745,0,753,4356,381,147
2023-03-13 14:20:00,4538,3508,5398,7279,174,32661,0.0933,685,4945,383,258
2023-03-13 14:22:00,4538,3508,5398,7279,174,32661,0.0933,685,4945,383,258
2023-03-13 14:24:00,4538,3508,5398,7279,174,32661,0.0933,685,4945,383,258
2023-03-13 14:26:00,4387,3652,4787,7635,172,33720,0,576,4262,386,142
2023-03-13 14:28:00,4387,3652,4787,7635,172,33720,0,576,4262,386,142
2023-03-13 14:30:00,4423,3574,5340,7119,181,33795,0,895,5023,378,259
2023-03-13 14:32:00,4423,3574,5340,7119,181,33795,0,895,5023,378,259
2023-03-13 14:34:00,4423,3574,5340,7119,181,33795,0,895,5023,378,259
2023-03-13 14:36:00,4580,3561,4824,7373,176,34845,0.0467,265,4214,383,143
2023-03-13 14:38:00,4580,3561,4824,7373,176,34845,0.0467,265,4214,383,143
2023-03-13 14:40:00,19705,3598,5654,7554,176,33441,0,520,5137,379,257
2023-03-13 14:42:00,19705,3598,5654,7554,176,33441,0,520,5137,379,257
2023-03-13 14:44:00,19705,3598,5654,7554,176,33441,0,520,5137,379,257
2023-03-13 14:46:00,4500,3579,4842,7225,180,32969,0,1247,4400,386,145
2023-03-13 14:48:00,4500,3579,4842,7225,180,32969,0,1247,4400,386,145
2023-03-13 14:50:00,4512,3542,5506,7165,167,34888,0,560,5024,384,257
2023-03-13 14:52:00,4512,3542,5506,7165,167,34888,0,560,5024,384,257
2023-03-13 14:54:00,4512,3542,5506,7165,167,34888,0,560,5024,384,257
2023-03-13 14:56:00,4364,3686,4989,7402,182,32655,0.0467,250,4490,375,144
2023-03-13 14:58:00,4364,3686,4989,7402,182,32655,0.0467,250,4490,375,144
2023-03-13 15:00:00,4543,3579,5429,7464,178,33782,0.0467,497,5048,379,260
2023-03-13 15:02:00,4543,3579,5429,7464,178,33782,0.0467,497,5048,379,260
2023-03-13 15:04:00,4543,3579,5429,7464,178,33782,0.0467,497,5048,379,260
2023-03-13 15:06:00,18542,3523,5038,7142,178,34871,0,695,4490,389,142
2023-03-13 15:08:00,18542,3523,5038,7142,178,34871,0,695,4490,389,142
2023-03-13 15:10:00,5577,3529,5587,7488,172,32662,0,207,5025,376,257
2023-03-13 15:12:00,5577,3529,5587,7488,172,32662,0,207,5025,376,257
2023-03-13 15:14:00,5577,3529,5587,7488,172,32662,0,207,5025,376,257
2023-03-13 15:16:00,4472,3663,4873,7322,181,34858,0,1119,4378,380,143
2023-03-13 15:18:00,4472,3663,4873,7322,181,34858,0,1119,4378,380,143
2023-03-13 15:20:00,4473,3569,5353,7343,176,32739,0.0467,368,5037,386,256
2023-03-13 15:22:00,4473,3569,5353,7343,176,32739,0.0467,368,5037,386,256
2023-03-13 15:24:00,4473,3569,5353,7343,176,32739,0.0467,368,5037,386,256
2023-03-13 15:26:00,18707,3580,4980,7519,179,33376,0.0467,264,4418,376,147
2023-03-13 15:28:00,18707,3580,4980,7519,179,33376,0.0467,264,4418,376,147
2023-03-13 15:30:00,4291,3595,5412,7298,178,34218,0,667,5007,385,238
2023-03-13 15:32:00,4291,3595,5412,7298,178,34218,0,667,5007,385,238
2023-03-13 15:34:00,4291,3595,5412,7298,178,34218,0,667,5007,385,238
2023-03-13 15:36:00,4505,3584,5051,7213,176,33375,0.0467,942,4500,382,162
2023-03-13 15:38:00,4505,3584,5051,7213,176,33375,0.0467,942,4500,382,162
2023-03-13 15:40:00,5778,3601,5103,7681,181,34236,0,1480,4681,382,145
2023-03-13 15:42:00,5778,3601,5103,7681,181,34236,0,1480,4681,382,145
2023-03-13 15:44:00,5778,3601,5103,7681,181,34236,0,1480,4681,382,145
2023-03-13 15:46:00,4521,3543,5292,7203,169,33784,0,336,4736,384,257
2023-03-13 15:48:00,4521,3543,5292,7203,169,33784,0,336,4736,384,257
2023-03-13 15:50:00,18664,3610,5017,7128,183,34881,0,267,4473,385,144
2023-03-13 15:52:00,18664,3610,5017,7128,183,34881,0,267,4473,385,144
2023-03-13 15:54:00,18664,3610,5017,7128,183,34881,0,267,4473,385,144
2023-03-13 15:56:00,4367,3613,5458,7479,176,33783,0.0467,249,5107,373,259
2023-03-13 15:58:00,4367,3613,5458,7479,176,33783,0.0467,249,5107,373,259
2023-03-13 16:00:00,4237,3549,4813,7089,177,32663,0,401,4263,376,144
2023-03-13 16:02:00,4237,3549,4813,7089,177,32663,0,401,4263,376,144
2023-03-13 16:04:00,4237,3549,4813,7089,177,32663,0,401,4263,376,144
2023-03-13 16:06:00,4603,3579,5440,7184,177,34875,0,771,5006,371,258
2023-03-13 16:08:00,4603,3579,5440,7184,177,34875,0,771,5006,371,258
2023-03-13 16:10:00,5583,3594,4893,7670,176,32315,0.0467,511,4315,384,145
2023-03-13 16:12:00,5583,3594,4893,7670,176,32315,0.0467,511,4315,384,145
2023-03-13 16:14:00,5583,3594,4893,7670,176,32315,0.0467,511,4315,384,145
2023-03-13 16:16:00,4463,3581,5517,7166,179,34166,0,685,5153,381,255
2023-03-13 16:18:00,4463,3581,5517,7166,179,34166,0,685,5153,381,255
2023-03-13 16:20:00,18593,3466,4962,7312,182,33802,0.0933,875,4293,387,146
2023-03-13 16:22:00,18593,3466,4962,7312,182,33802,0.0933,875,4293,387,146
2023-03-13 16:24:00,18593,3466,4962,7312,182,33802,0.0933,875,4293,387,146
2023-03-13 16:26:00,4511,3724,5529,7541,174,34902,0,701,5235,379,258
2023-03-13 16:28:00,4511,3724,5529,7541,174,34902,0,701,5235,379,258
2023-03-13 16:30:00,4345,3587,4888,7289,172,32674,0,352,4273,387,143
2023-03-13 16:32:00,4345,3587,4888,7289,172,32674,0,352,4273,387,143
2023-03-13 16:34:00,4345,3587,4888,7289,172,32674,0,352,4273,387,143
2023-03-13 16:36:00,4471,3573,5609,7278,181,33795,0.0467,1046,5202,385,260
