"Time","cattle-fleet-local-system","cattle-fleet-system","cattle-monitoring-system","cattle-system","cert-manager","cilium-monitoring","default","falco","kube-system","longhorn-system","sock-shop"
2023-03-13 12:00:00,12.1,15.1,1306,44.4,3.01,24.3,0,5.91,921,22.3,19.1
2023-03-13 12:01:00,12.1,15.1,1306,44.4,3.01,24.3,0,5.91,921,22.3,19.1
2023-03-13 12:02:00,12.1,15.1,1306,44.4,3.01,24.3,0,5.91,921,22.3,19.1
2023-03-13 12:03:00,12.1,15.1,1306,44.4,3.01,24.3,0,5.91,921,22.3,19.1
2023-03-13 12:04:00,12.1,15.1,1306,44.4,3.01,24.3,0,5.91,921,22.3,19.1
2023-03-13 12:05:00,8.19,15.3,1455,44.9,2.96,23.6,0,5.78,1044,23.3,27.7
2023-03-13 12:06:00,8.19,15.3,1455,44.9,2.96,23.6,0,5.78,1044,23.3,27.7
2023-03-13 12:07:00,8.19,15.3,1455,44.9,2.96,23.6,0,5.78,1044,23.3,27.7
2023-03-13 12:08:00,8.19,15.3,1455,44.9,2.96,23.6,0,5.78,1044,23.3,27.7
2023-03-13 12:09:00,8.19,15.3,1455,44.9,2.96,23.6,0,5.78,1044,23.3,27.7
2023-03-13 12:10:00,8.78,15.5,1252,43.6,3.04,23.9,0.00333,6,899,23.0,19.4
2023-03-13 12:11:00,8.78,15.5,1252,43.6,3.04,23.9,0.00333,6,899,23.0,19.4
2023-03-13 12:12:00,8.78,15.5,1252,43.6,3.04,23.9,0.00333,6,899,23.0,19.4
2023-03-13 12:13:00,8.78,15.5,1252,43.6,3.04,23.9,0.00333,6,899,23.0,19.4
2023-03-13 12:14:00,8.78,15.5,1252,43.6,3.04,23.9,0.00333,6,899,23.0,19.4
2023-03-13 12:15:00,8.41,15.9,1470,45.5,3.10,23.9,0,6.14,1063,23.9,26.8
2023-03-13 12:16:00,8.41,15.9,1470,45.5,3.10,23.9,0,6.14,1063,23.9,26.8
2023-03-13 12:17:00,8.41,15.9,1470,45.5,3.10,23.9,0,6.14,1063,23.9,26.8
2023-03-13 12:18:00,8.41,15.9,1470,45.5,3.10,23.9,0,6.14,1063,23.9,26.8
2023-03-13 12:19:00,8.41,15.9,1470,45.5,3.10,23.9,0,6.14,1063,23.9,26.8
2023-03-13 12:20:00,8.25,15.5,1262,43.4,2.98,24.0,0,6.08,889,22.8,19.3
2023-03-13 12:21:00,8.25,15.5,1262,43.4,2.98,24.0,0,6.08,889,22.8,19.3
2023-03-13 12:22:00,8.25,15.5,1262,43.4,2.98,24.0,0,6.08,889,22.8,19.3
2023-03-13 12:23:00,8.25,15.5,1262,43.4,2.98,24.0,0,6.08,889,22.8,19.3
2023-03-13 12:24:00,8.25,15.5,1262,43.4,2.98,24.0,0,6.08,889,22.8,19.3
2023-03-13 12:25:00,8.27,15.8,1482,46.5,3.02,24.6,0,6.18,1052,24.2,26.7
2023-03-13 12:26:00,8.27,15.8,1482,46.5,3.02,24.6,0,6.18,1052,24.2,26.7
2023-03-13 12:27:00,8.27,15.8,1482,46.5,3.02,24.6,0,6.18,1052,24.2,26.7
2023-03-13 12:28:00,8.27,15.8,1482,46.5,3.02,24.6,0,6.18,1052,24.2,26.7
2023-03-13 12:29:00,8.27,15.8,1482,46.5,3.02,24.6,0,6.18,1052,24.2,26.7
2023-03-13 12:30:00,12.1,15.4,1297,44.2,3.02,23.9,0.00333,5.76,904,22.6,19.5
2023-03-13 12:31:00,12.1,15.4,1297,44.2,3.02,23.9,0.00333,5.76,904,22.6,19.5
2023-03-13 12:32:00,12.1,15.4,1297,44.2,3.02,23.9,0.00333,5.76,904,22.6,19.5
2023-03-13 12:33:00,12.1,15.4,1297,44.2,3.02,23.9,0.00333,5.76,904,22.6,19.5
2023-03-13 12:34:00,12.1,15.4,1297,44.2,3.02,23.9,0.00333,5.76,904,22.6,19.5
2023-03-13 12:35:00,8.02,15.5,1443,44.3,2.90,23.3,0,5.83,1073,23.1,27.4
2023-03-13 12:36:00,8.02,15.5,1443,44.3,2.90,23.3,0,5.83,1073,23.1,27.4
2023-03-13 12:37:00,8.02,15.5,1443,44.3,2.90,23.3,0,5.83,1073,23.1,27.4
2023-03-13 12:38:00,8.02,15.5,1443,44.3,2.90,23.3,0,5.83,1073,23.1,27.4
2023-03-13 12:39:00,8.02,15.5,1443,44.3,2.90,23.3,0,5.83,1073,23.1,27.4
2023-03-13 12:40:00,9.19,15.2,1248,44.7,3.01,24.5,0.00333,5.70,883,23.0,18.8
2023-03-13 12:41:00,9.19,15.2,1248,44.7,3.01,24.5,0.00333,5.70,883,23.0,18.8
2023-03-13 12:42:00,9.19,15.2,1248,44.7,3.01,24.5,0.00333,5.70,883,23.0,18.8
2023-03-13 12:43:00,9.19,15.2,1248,44.7,3.01,24.5,0.00333,5.70,883,23.0,18.8
2023-03-13 12:44:00,9.19,15.2,1248,44.7,3.01,24.5,0.00333,5.70,883,23.0,18.8
2023-03-13 12:45:00,8.51,15.9,1467,44.9,3.02,23.4,0.00333,5.81,1053,24.3,27.6
2023-03-13 12:46:00,8.51,15.9,1467,44.9,3.02,23.4,0.00333,5.81,1053,24.3,27.6
2023-03-13 12:47:00,8.51,15.9,1467,44.9,3.02,23.4,0.00333,5.81,1053,24.3,27.6
