"Time","cattle-fleet-local-system","cattle-fleet-system","cattle-monitoring-system","cattle-system","cert-manager","cilium-monitoring","default","falco","kube-system","longhorn-system","sock-shop"
2023-03-13 12:00:00,18546,7014,1022928,29308,534,68121,0,4265,633104,12414,1994
2023-03-13 12:01:00,18546,7014,1022928,29308,534,68121,0,4265,633104,12414,1994
2023-03-13 12:02:00,18546,7014,1022928,29308,534,68121,0,4265,633104,12414,1994
2023-03-13 12:03:00,18546,7014,1022928,29308,534,68121,0,4265,633104,12414,1994
2023-03-13 12:04:00,18546,7014,1022928,29308,534,68121,0,4265,633104,12414,1994
2023-03-13 12:05:00,4429,7224,1121644,29363,517,66688,0,3291,722293,12720,3491
2023-03-13 12:06:00,4429,7224,1121644,29363,517,66688,0,3291,722293,12720,3491
2023-03-13 12:07:00,4429,7224,1121644,29363,517,66688,0,3291,722293,12720,3491
2023-03-13 12:08:00,4429,7224,1121644,29363,517,66688,0,3291,722293,12720,3491
2023-03-13 12:09:00,4429,7224,1121644,29363,517,66688,0,3291,722293,12720,3491
2023-03-13 12:10:00,5735,7204,991870,29791,523,67388,0,5647,619902,12688,2022
2023-03-13 12:11:00,5735,7204,991870,29791,523,67388,0,5647,619902,12688,2022
2023-03-13 12:12:00,5735,7204,991870,29791,523,67388,0,5647,619902,12688,2022
2023-03-13 12:13:00,5735,7204,991870,29791,523,67388,0,5647,619902,12688,2022
2023-03-13 12:14:00,5735,7204,991870,29791,523,67388,0,5647,619902,12688,2022
2023-03-13 12:15:00,4529,7235,1121616,29537,542,67361,0.233,5547,730714,12626,3466
2023-03-13 12:16:00,4529,7235,1121616,29537,542,67361,0.233,5547,730714,12626,3466
2023-03-13 12:17:00,4529,7235,1121616,29537,542,67361,0.233,5547,730714,12626,3466
2023-03-13 12:18:00,4529,7235,1121616,29537,542,67361,0.233,5547,730714,12626,3466
2023-03-13 12:19:00,4529,7235,1121616,29537,542,67361,0.233,5547,730714,12626,3466
2023-03-13 12:20:00,4457,7158,993944,28564,535,67288,0,4844,609474,12583,2025
2023-03-13 12:21:00,4457,7158,993944,28564,535,67288,0,4844,609474,12583,2025
2023-03-13 12:22:00,4457,7158,993944,28564,535,67288,0,4844,609474,12583,2025
2023-03-13 12:23:00,4457,7158,993944,28564,535,67288,0,4844,609474,12583,2025
2023-03-13 12:24:00,4457,7158,993944,28564,535,67288,0,4844,609474,12583,2025
2023-03-13 12:25:00,4335,7332,1148739,30783,526,69596,0.233,6284,729013,12533,3479
2023-03-13 12:26:00,4335,7332,1148739,30783,526,69596,0.233,6284,729013,12533,3479
2023-03-13 12:27:00,4335,7332,1148739,30783,526,69596,0.233,6284,729013,12533,3479
2023-03-13 12:28:00,4335,7332,1148739,30783,526,69596,0.233,6284,729013,12533,3479
2023-03-13 12:29:00,4335,7332,1148739,30783,526,69596,0.233,6284,729013,12533,3479
2023-03-13 12:30:00,18795,7140,1021565,29250,526,67408,0.233,3161,616321,12831,2026
2023-03-13 12:31:00,18795,7140,1021565,29250,526,67408,0.233,3161,616321,12831,2026
2023-03-13 12:32:00,18795,7140,1021565,29250,526,67408,0.233,3161,616321,12831,2026
2023-03-13 12:33:00,18795,7140,1021565,29250,526,67408,0.233,3161,616321,12831,2026
2023-03-13 12:34:00,18795,7140,1021565,29250,526,67408,0.233,3161,616321,12831,2026
2023-03-13 12:35:00,4310,7234,1100210,28876,520,65215,0,3596,740165,12672,3551
2023-03-13 12:36:00,4310,7234,1100210,28876,520,65215,0,3596,740165,12672,3551
2023-03-13 12:37:00,4310,7234,1100210,28876,520,65215,0,3596,740165,12672,3551
2023-03-13 12:38:00,4310,7234,1100210,28876,520,65215,0,3596,740165,12672,3551
2023-03-13 12:39:00,4310,7234,1100210,28876,520,65215,0,3596,740165,12672,3551
2023-03-13 12:40:00,5890,7102,977100,30116,528,68862,0,3155,606827,12612,1969
2023-03-13 12:41:00,5890,7102,977100,30116,528,68862,0,3155,606827,12612,1969
2023-03-13 12:42:00,5890,7102,977100,30116,528,68862,0,3155,606827,12612,1969
2023-03-13 12:43:00,5890,7102,977100,30116,528,68862,0,3155,606827,12612,1969
2023-03-13 12:44:00,5890,7102,977100,30116,528,68862,0,3155,606827,12612,1969
2023-03-13 12:45:00,4491,7236,1127864,29082,527,65909,0,3958,722424,12691,3563
2023-03-13 12:46:00,4491,7236,1127864,29082,527,65909,0,3958,722424,12691,3563
2023-03-13 12:47:00,4491,7236,1127864,29082,527,65909,0,3958,722424,12691,3563
