"Time","alertmanager-rancher-monitoring-alertmanager-0","carts-764fc55cb5-28vx2","carts-db-b8857f897-7p4xn","catalogue-64499f4dc4-zwhjl","catalogue-db-5b6696d9bd-fbb5s","cert-manager-85f7c4c4b8-cdjxb","cert-manager-cainjector-7656fbb787-pkv8n","cert-manager-webhook-797b5db9c6-hhdgx","cilium-hks2q","cilium-lnk87","cilium-operator-d7fc69fd7-f2msg","cilium-xsrc2","coredns-7b5bbc6644-tpp2m","csi-attacher-54dfc6cdf4-2d2sn","csi-attacher-54dfc6cdf4-9nwjl","csi-attacher-54dfc6cdf4-m58tc","csi-provisioner-7544d7867c-8h99q","csi-provisioner-7544d7867c-fdqx9","csi-provisioner-7544d7867c-jmgt2","csi-resizer-59fc8b7895-66tql","csi-resizer-59fc8b7895-k8fz9","csi-resizer-59fc8b7895-s45wt","csi-snapshotter-69f4795cf8-68mkk","csi-snapshotter-69f4795cf8-brzk9","csi-snapshotter-69f4795cf8-lp65b","deathstar-6cf8dd5457-jgbrm","deathstar-6cf8dd5457-vmvfq","engine-image-ei-881c42db-dq56c","engine-image-ei-881c42db-gp65l","engine-image-ei-881c42db-sflls","falco-dsqrf","falco-mqksg","falco-n9kjw","falco-ph57w","falco-t9bpz","falco-z9qn4","fleet-agent-59557c8896-7lp6n","fleet-controller-6f8f94fffb-wcgt6","front-end-5c6fdd77d7-q2jtq","gitjob-766b5f678d-4rrlp","grafana-67b5cf6bdd-bbv8c","hubble-relay-6565cf56c6-52kkq","hubble-ui-64bd8dcbf5-7x4nn","instance-manager-e-40c0f7f8","instance-manager-e-6b83fa90","instance-manager-e-a461837b","instance-manager-r-10aaabb9","instance-manager-r-8266b245","instance-manager-r-f7a5bf94","local-path-provisioner-687d6d7765-dblqm","longhorn-admission-webhook-5bc44d4c9c-ffgx6","longhorn-admission-webhook-5bc44d4c9c-hvw2b","longhorn-conversion-webhook-595c45975-h7lhl","longhorn-conversion-webhook-595c45975-nk4bs","longhorn-csi-plugin-lc9ss","longhorn-csi-plugin-w6s4p","longhorn-csi-plugin-zc8xs","longhorn-driver-deployer-86487c7d89-d2mwr","longhorn-manager-mqctm","longhorn-manager-sfh8w","longhorn-manager-tmf5v","longhorn-ui-6588b76644-wdhzj","metrics-server-667586758d-9bmlb","orders-846cc4998f-d2dbw","orders-db-64cf56d65-8wpxb","payment-7f8c55ccdb-r6ssj","prometheus-678fcbcfb7-7jkrz","prometheus-rancher-monitoring-prometheus-0","pushprox-k3s-server-client-5xvrv","pushprox-k3s-server-client-kqnvf","pushprox-k3s-server-client-tmr89","pushprox-k3s-server-proxy-575bb76848-wfk24","queue-master-7f97ddc64c-ggs74","rabbitmq-6d4b4d589f-2vrzz","rancher-747786585f-8dkk4","rancher-747786585f-ckbfh","rancher-747786585f-fj5hc","rancher-monitoring-grafana-68576c5cfc-ptnxf","rancher-monitoring-kube-state-metrics-7798b97f8-528sn","rancher-monitoring-operator-7f84c87bfc-swdnn","rancher-monitoring-prometheus-adapter-d7f6d6b87-t8wwr","rancher-monitoring-prometheus-node-exporter-8bj82","rancher-monitoring-prometheus-node-exporter-bmktd","rancher-monitoring-prometheus-node-exporter-bq4nv","rancher-webhook-555dd59d4c-lsjlj","session-db-74fb9d6f76-87cd7","shipping-748699d84b-5jw4t","svclb-traefik-72825b3b-d5nvs","svclb-traefik-72825b3b-j6q8w","svclb-traefik-72825b3b-lqlx5","tiefighter","traefik-64b96ccbcd-64qtj","ubuntu","user-665b475d67-fhr6l","user-db-847ddd8676-twtdk","xwing"
2023-03-13 12:00:00,166,38.7,18.6,305,0,223,172,139,192975,121982,159960,155670,351,128,447,124,425,122,122,127,449,126,451,125,129,0,0,0.233,0,0,1160,208,210,1009,1170,508,18546,4539,421,2476,103,87.5,0,65.1,66.2,68.1,64.5,69.5,65.8,3.38,1834,1816,28.5,31.1,0,0,0,0.233,1762,1855,1912,0,1897,37.2,19,308,68018,40441,174124,126474,167871,18644,4.35,4.30,13888,6847,7021,158,1497,342,22809,155807,189061,125535,1552,0.580,0,0.233,0,0,0,178,0,574,264,0
2023-03-13 12:02:00,166,38.7,18.6,305,0,223,172,139,192975,121982,159960,155670,351,128,447,124,425,122,122,127,449,126,451,125,129,0,0,0.233,0,0,1160,208,210,1009,1170,508,18546,4539,421,2476,103,87.5,0,65.1,66.2,68.1,64.5,69.5,65.8,3.38,1834,1816,28.5,31.1,0,0,0,0.233,1762,1855,1912,0,1897,37.2,19,308,68018,40441,174124,126474,167871,18644,4.35,4.30,13888,6847,7021,158,1497,342,22809,155807,189061,125535,1552,0.580,0,0.233,0,0,0,178,0,574,264,0
2023-03-13 12:04:00,166,38.7,18.6,305,0,223,172,139,192975,121982,159960,155670,351,128,447,124,425,122,122,127,449,126,451,125,129,0,0,0.233,0,0,1160,208,210,1009,1170,508,18546,4539,421,2476,103,87.5,0,65.1,66.2,68.1,64.5,69.5,65.8,3.38,1834,1816,28.5,31.1,0,0,0,0.233,1762,1855,1912,0,1897,37.2,19,308,68018,40441,174124,126474,167871,18644,4.35,4.30,13888,6847,7021,158,1497,342,22809,155807,189061,125535,1552,0.580,0,0.233,0,0,0,178,0,574,264,0
2023-03-13 12:06:00,172,334,188,415,40.7,222,151,143,169919,148509,194040,194151,378,128,463,121,440,119,122,120,444,123,469,129,126,0,0,0,0,0,1160,208,207,338,1170,209,4429,4629,1238,2595,81.3,87.3,0,66.6,67.9,64.2,68.3,65.0,66.2,5,1863,1931,33.8,47.8,0,0,0.233,0,1890,1897,1857,0,1938,38.5,18.6,294,66607,41662,176510,155104,195301,16135,4.13,4.13,13707,7128,6967,103,1574,187,22303,198435,158931,155227,1560,27.0,0,0,0,0,0,13266,0,610,279,0
2023-03-13 12:08:00,172,334,188,415,40.7,222,151,143,169919,148509,194040,194151,378,128,463,121,440,119,122,120,444,123,469,129,126,0,0,0,0,0,1160,208,207,338,1170,209,4429,4629,1238,2595,81.3,87.3,0,66.6,67.9,64.2,68.3,65.0,66.2,5,1863,1931,33.8,47.8,0,0,0.233,0,1890,1897,1857,0,1938,38.5,18.6,294,66607,41662,176510,155104,195301,16135,4.13,4.13,13707,7128,6967,103,1574,187,22303,198435,158931,155227,1560,27.0,0,0,0,0,0,13266,0,610,279,0
2023-03-13 12:10:00,168,38.5,19,314,0,215,162,146,169878,131710,157203,158559,355,118,448,121,448,115,115,117,449,117,476,119,119,0,0,0,0,0,1160,208,383,1159,1170,1568,5735,4624,412,2580,102,87.4,0,65.7,65.4,68.5,65.8,64.8,65.1,5.15,1837,1868,32.9,48.7,0,0,0,0,1861,1980,1904,0.233,1927,38.5,19.6,308,67286,41562,178234,125059,151575,17412,4.13,4.93,14431,6881,6923,154,1591,341,22307,151782,180375,121310,1556,0.360,0,0,0,0,0,177,0,589,274,0
2023-03-13 12:12:00,168,38.5,19,314,0,215,162,146,169878,131710,157203,158559,355,118,448,121,448,115,115,117,449,117,476,119,119,0,0,0,0,0,1160,208,383,1159,1170,1568,5735,4624,412,2580,102,87.4,0,65.7,65.4,68.5,65.8,64.8,65.1,5.15,1837,1868,32.9,48.7,0,0,0,0,1861,1980,1904,0.233,1927,38.5,19.6,308,67286,41562,178234,125059,151575,17412,4.13,4.93,14431,6881,6923,154,1591,341,22307,151782,180375,121310,1556,0.360,0,0,0,0,0,177,0,589,274,0
2023-03-13 12:14:00,168,38.5,19,314,0,215,162,146,169878,131710,157203,158559,355,118,448,121,448,115,115,117,449,117,476,119,119,0,0,0,0,0,1160,208,383,1159,1170,1568,5735,4624,412,2580,102,87.4,0,65.7,65.4,68.5,65.8,64.8,65.1,5.15,1837,1868,32.9,48.7,0,0,0,0,1861,1980,1904,0.233,1927,38.5,19.6,308,67286,41562,178234,125059,151575,17412,4.13,4.93,14431,6881,6923,154,1591,341,22307,151782,180375,121310,1556,0.360,0,0,0,0,0,177,0,589,274,0
2023-03-13 12:16:00,172,382,197,425,37.4,234,164,144,172278,159215,190247,193276,387,128,456,128,463,129,122,130,450,126,468,122,125,0,0,0,0.233,0,1160,208,1573,389,1170,1047,4529,4588,1207,2648,85.2,87.1,0,65.7,64.7,63.3,66.3,66.6,66.8,5.22,1867,1853,32.0,33.8,0,0,0,0,1903,1819,1878,0,1965,40.0,19,300,67276,41800,172482,149933,190289,17391,4.55,4.30,13536,7195,7260,104,1619,341,22639,193447,175015,156383,1546,22.8,0,0,0,0,0.233,13252,0,561,266,0
2023-03-13 12:18:00,172,382,197,425,37.4,234,164,144,172278,159215,190247,193276,387,128,456,128,463,129,122,130,450,126,468,122,125,0,0,0,0.233,0,1160,208,1573,389,1170,1047,4529,4588,1207,2648,85.2,87.1,0,65.7,64.7,63.3,66.3,66.6,66.8,5.22,1867,1853,32.0,33.8,0,0,0,0,1903,1819,1878,0,1965,40.0,19,300,67276,41800,172482,149933,190289,17391,4.55,4.30,13536,7195,7260,104,1619,341,22639,193447,175015,156383,1546,22.8,0,0,0,0,0.233,13252,0,561,266,0
