"Time","192.168.0.211:10250","192.168.0.221:10250","192.168.0.222:10250"
2023-03-13 12:00:00,14548,501,505
2023-03-13 12:04:00,14536,498,505
2023-03-13 12:08:00,14543,498,503
2023-03-13 12:12:00,14534,499,501
2023-03-13 12:16:00,14545,500,503
2023-03-13 12:20:00,14539,499,501
2023-03-13 12:24:00,14538,498,502
2023-03-13 12:28:00,14537,501,502
2023-03-13 12:32:00,14534,499,505
2023-03-13 12:36:00,14543,499,505
2023-03-13 12:40:00,14538,498,503
2023-03-13 12:44:00,14496,501,503
2023-03-13 12:48:00,14493,499,503
2023-03-13 12:52:00,14498,499,503
2023-03-13 12:56:00,14502,500,503
2023-03-13 13:00:00,14497,501,500
2023-03-13 13:04:00,14496,499,503
2023-03-13 13:08:00,14494,499,502
2023-03-13 13:12:00,14494,501,503
2023-03-13 13:16:00,14503,500,503
2023-03-13 13:20:00,14498,501,505
2023-03-13 13:24:00,14492,501,503
2023-03-13 13:28:00,14492,501,503
2023-03-13 13:32:00,14495,499,503
2023-03-13 13:36:00,14503,501,500
2023-03-13 13:40:00,14496,499,503
2023-03-13 13:44:00,14496,499,503
2023-03-13 13:48:00,14496,499,501
2023-03-13 13:52:00,14492,499,503
2023-03-13 13:56:00,14501,501,503
2023-03-13 14:00:00,14496,501,505
2023-03-13 14:04:00,14499,501,501
2023-03-13 14:08:00,14495,501,505
2023-03-13 14:12:00,14492,498,503
2023-03-13 14:16:00,14501,499,503
2023-03-13 14:20:00,14496,499,504
2023-03-13 14:24:00,14496,498,500
2023-03-13 14:28:00,14496,501,505
2023-03-13 14:32:00,14496,501,503
2023-03-13 14:36:00,14501,501,500
2023-03-13 14:40:00,14497,498,503
2023-03-13 14:44:00,14494,499,503
2023-03-13 14:48:00,14496,501,500
2023-03-13 14:52:00,14493,498,503
2023-03-13 14:56:00,14503,501,503
2023-03-13 15:00:00,14502,499,500
2023-03-13 15:04:00,14494,501,503
2023-03-13 15:08:00,14496,500,503
2023-03-13 15:12:00,14496,501,503
2023-03-13 15:16:00,14501,498,503
2023-03-13 15:20:00,14500,500,500
2023-03-13 15:24:00,14496,501,503
2023-03-13 15:28:00,14494,499,503
2023-03-13 15:32:00,14496,499,503
2023-03-13 15:36:00,14503,501,503
2023-03-13 15:40:00,14503,498,505
2023-03-13 15:44:00,14499,501,500
2023-03-13 15:48:00,14498,499,503
2023-03-13 15:52:00,14493,499,501
2023-03-13 15:56:00,14496,498,503
2023-03-13 16:00:00,14501,501,500
2023-03-13 16:04:00,14493,501,500
2023-03-13 16:08:00,14493,501,503
2023-03-13 16:12:00,14504,499,503
2023-03-13 16:16:00,14502,499,503
2023-03-13 16:20:00,14501,501,503
2023-03-13 16:24:00,14497,500,500
2023-03-13 16:28:00,14494,499,504
2023-03-13 16:32:00,14497,501,501
2023-03-13 16:36:00,14493,498,501
2023-03-13 16:40:00,14504,501,505
2023-03-13 16:44:00,14495,498,500
2023-03-13 16:48:00,14495,501,503
2023-03-13 16:52:00,14494,498,503
2023-03-13 16:56:00,14495,498,504
2023-03-13 17:00:00,14504,501,504
2023-03-13 17:04:00,14500,498,503
2023-03-13 17:08:00,14500,501,503
2023-03-13 17:12:00,14498,499,504
2023-03-13 17:16:00,14495,498,503
2023-03-13 17:20:00,14503,498,503
2023-03-13 17:24:00,14502,499,503
2023-03-13 17:28:00,14494,499,503
2023-03-13 17:32:00,14493,498,503
2023-03-13 17:36:00,14499,499,505
2023-03-13 17:40:00,14512,499,500
2023-03-13 17:44:00,14499,499,503
2023-03-13 17:48:00,14500,499,503
2023-03-13 17:52:00,14496,501,503
2023-03-13 17:56:00,14496,499,503
2023-03-13 18:00:00,14508,499,505
2023-03-13 18:04:00,14498,501,503
2023-03-13 18:08:00,14503,498,503
2023-03-13 18:12:00,14500,499,503
2023-03-13 18:16:00,14501,501,503
2023-03-13 18:20:00,14510,501,503
2023-03-13 18:24:00,14498,499,503
2023-03-13 18:28:00,14501,499,503
2023-03-13 18:32:00,14496,501,500
2023-03-13 18:36:00,14499,499,501
2023-03-13 18:40:00,14504,502,503
2023-03-13 18:44:00,14497,501,501
2023-03-13 18:48:00,14496,499,503
2023-03-13 18:52:00,14496,501,503
2023-03-13 18:56:00,14496,502,500
2023-03-13 19:00:00,14509,501,503
2023-03-13 19:04:00,14500,501,505
2023-03-13 19:08:00,14498,499,500
2023-03-13 19:12:00,14498,499,500
2023-03-13 19:16:00,14500,498,500
2023-03-13 19:20:00,14508,498,504
2023-03-13 19:24:00,14499,499,501
2023-03-13 19:28:00,14496,499,505
2023-03-13 19:32:00,14496,499,503
2023-03-13 19:36:00,14498,499,501
2023-03-13 19:40:00,14502,498,503
2023-03-13 19:44:00,14495,499,500
2023-03-13 19:48:00,14503,499,505
2023-03-13 19:52:00,14497,499,500
2023-03-13 19:56:00,14496,499,500
2023-03-13 20:00:00,14501,500,503
2023-03-13 20:04:00,14495,499,504
2023-03-13 20:08:00,14497,501,503
2023-03-13 20:12:00,14504,499,503
2023-03-13 20:16:00,14503,501,501
2023-03-13 20:20:00,14500,500,503
2023-03-13 20:24:00,14497,501,502
2023-03-13 20:28:00,14499,500,500
2023-03-13 20:32:00,14497,498,503
2023-03-13 20:36:00,14506,501,500
2023-03-13 20:40:00,14502,500,505
2023-03-13 20:44:00,14495,501,503
2023-03-13 20:48:00,14499,499,503
2023-03-13 20:52:00,14495,498,500
2023-03-13 20:56:00,14508,499,503
2023-03-13 21:00:00,14501,499,500
2023-03-13 21:04:00,14498,501,501
2023-03-13 21:08:00,14499,499,505
2023-03-13 21:12:00,14497,501,503
2023-03-13 21:16:00,14507,500,500
2023-03-13 21:20:00,14499,501,503
2023-03-13 21:24:00,14498,499,503
2023-03-13 21:28:00,14499,501,503
2023-03-13 21:32:00,14497,499,503
2023-03-13 21:36:00,14506,501,503
2023-03-13 21:40:00,14499,499,500
2023-03-13 21:44:00,14496,501,504
2023-03-13 21:48:00,14497,501,503
2023-03-13 21:52:00,14498,502,503
2023-03-13 21:56:00,14502,501,503
2023-03-13 22:00:00,14504,499,503
2023-03-13 22:04:00,14495,499,503
2023-03-13 22:08:00,14498,499,500
2023-03-13 22:12:00,14496,499,503
2023-03-13 22:16:00,14503,499,504
2023-03-13 22:20:00,14502,498,503
2023-03-13 22:24:00,14499,501,503
2023-03-13 22:28:00,14496,501,500
2023-03-13 22:32:00,14498,499,503
2023-03-13 22:36:00,14507,499,503
2023-03-13 22:40:00,14504,498,503
2023-03-13 22:44:00,14496,501,504
2023-03-13 22:48:00,14496,498,500
2023-03-13 22:52:00,14498,498,500
2023-03-13 22:56:00,14505,501,503
2023-03-13 23:00:00,14505,498,503
2023-03-13 23:04:00,14497,499,500
2023-03-13 23:08:00,14496,499,501
2023-03-13 23:12:00,14498,498,500
2023-03-13 23:16:00,14509,498,503
2023-03-13 23:20:00,14501,501,500
2023-03-13 23:24:00,14500,498,504
2023-03-13 23:28:00,14500,498,503
2023-03-13 23:32:00,14501,499,503
2023-03-13 23:36:00,14505,501,500
2023-03-13 23:40:00,14505,501,503
2023-03-13 23:44:00,14497,499,500
2023-03-13 23:48:00,14502,499,500
2023-03-13 23:52:00,14499,500,503
2023-03-13 23:56:00,14508,499,500
2023-03-14 00:00:00,14509,499,503
2023-03-14 00:04:00,14501,501,500
2023-03-14 00:08:00,14499,501,503
2023-03-14 00:12:00,14501,499,503
2023-03-14 00:16:00,14521,500,503
2023-03-14 00:20:00,14505,500,504
2023-03-14 00:24:00,14501,499,500
2023-03-14 00:28:00,14501,501,505
2023-03-14 00:32:00,14502,498,503
2023-03-14 00:36:00,14506,501,503
2023-03-14 00:40:00,14502,501,500
2023-03-14 00:44:00,14497,500,504
2023-03-14 00:48:00,14501,500,503
2023-03-14 00:52:00,14500,500,500
2023-03-14 00:56:00,14505,501,500
2023-03-14 01:00:00,14513,499,503
2023-03-14 01:04:00,14497,501,503
2023-03-14 01:08:00,14500,498,505
2023-03-14 01:12:00,14497,500,503
2023-03-14 01:16:00,14507,500,503
2023-03-14 01:20:00,14501,501,500
2023-03-14 01:24:00,14497,500,502
2023-03-14 01:28:00,14501,501,503
2023-03-14 01:32:00,14497,499,504
2023-03-14 01:36:00,14509,499,500
2023-03-14 01:40:00,14501,500,504
2023-03-14 01:44:00,14502,501,503
2023-03-14 01:48:00,14498,499,503
2023-03-14 01:52:00,14501,498,503
2023-03-14 01:56:00,14509,501,505
2023-03-14 02:00:00,14499,503,503
2023-03-14 02:04:00,14499,498,504
2023-03-14 02:08:00,14499,500,503
