"Time","Receive Errors","Receive Total","Transmit Errors","Receive Dropped","Transmit Dropped","Transmit Total"
2023-03-13 12:00:00,0,614,0,0,0,629
2023-03-13 12:02:00,0,644,0,0,0,656
2023-03-13 12:04:00,0,739,0,0,0,769
2023-03-13 12:06:00,0,606,0,0,0,614
2023-03-13 12:08:00,0,612,0,0,0,634
2023-03-13 12:10:00,0,584,0,0,0,600
2023-03-13 12:12:00,0,602,0,0,0,614
2023-03-13 12:14:00,0,743,0,0,0,774
2023-03-13 12:16:00,0,660,0,0,0,674
2023-03-13 12:18:00,0,618,0,0,0,641
2023-03-13 12:20:00,0,588,0,0,0,605
2023-03-13 12:22:00,0,604,0,0,0,617
2023-03-13 12:24:00,0,750,0,0,0,780
2023-03-13 12:26:00,0,717,0,0,0,734
2023-03-13 12:28:00,0,633,0,0,0,658
2023-03-13 12:30:00,0,611,0,0,0,630
2023-03-13 12:32:00,0,604,0,0,0,622
2023-03-13 12:34:00,0,738,0,0,0,763
2023-03-13 12:36:00,0,749,0,0,0,767
2023-03-13 12:38:00,0,609,0,0,0,632
2023-03-13 12:40:00,0,590,0,0,0,599
2023-03-13 12:42:00,0,594,0,0,0,616
2023-03-13 12:44:00,0,682,0,0,0,700
2023-03-13 12:46:00,0,755,0,0,0,771
2023-03-13 12:48:00,0,607,0,0,0,632
2023-03-13 12:50:00,0,596,0,0,0,607
2023-03-13 12:52:00,0,595,0,0,0,620
2023-03-13 12:54:00,0,637,0,0,0,655
2023-03-13 12:56:00,0,751,0,0,0,769
2023-03-13 12:58:00,0,608,0,0,0,626
2023-03-13 13:00:00,0,594,0,0,0,605
2023-03-13 13:02:00,0,594,0,0,0,616
2023-03-13 13:04:00,0,596,0,0,0,613
2023-03-13 13:06:00,0,752,0,0,0,780
2023-03-13 13:08:00,0,638,0,0,0,656
2023-03-13 13:10:00,0,598,0,0,0,609
2023-03-13 13:12:00,0,592,0,0,0,613
2023-03-13 13:14:00,0,608,0,0,0,621
2023-03-13 13:16:00,0,765,0,0,0,793
2023-03-13 13:18:00,0,698,0,0,0,723
2023-03-13 13:20:00,0,637,0,0,0,647
2023-03-13 13:22:00,0,602,0,0,0,622
2023-03-13 13:24:00,0,609,0,0,0,617
2023-03-13 13:26:00,0,755,0,0,0,782
2023-03-13 13:28:00,0,744,0,0,0,768
2023-03-13 13:30:00,0,598,0,0,0,608
2023-03-13 13:32:00,0,592,0,0,0,610
2023-03-13 13:34:00,0,603,0,0,0,612
2023-03-13 13:36:00,0,702,0,0,0,730
2023-03-13 13:38:00,0,757,0,0,0,783
2023-03-13 13:40:00,0,588,0,0,0,611
2023-03-13 13:42:00,0,587,0,0,0,604
2023-03-13 13:44:00,0,596,0,0,0,607
2023-03-13 13:46:00,0,634,0,0,0,652
2023-03-13 13:48:00,0,763,0,0,0,777
2023-03-13 13:50:00,0,636,0,0,0,656
2023-03-13 13:52:00,0,594,0,0,0,613
2023-03-13 13:54:00,0,602,0,0,0,612
2023-03-13 13:56:00,0,601,0,0,0,624
2023-03-13 13:58:00,0,753,0,0,0,772
2023-03-13 14:00:00,0,596,0,0,0,618
2023-03-13 14:02:00,0,591,0,0,0,608
2023-03-13 14:04:00,0,603,0,0,0,611
2023-03-13 14:06:00,0,663,0,0,0,678
2023-03-13 14:08:00,0,969,0,0,0,968
2023-03-13 14:10:00,0,739,0,0,0,757
2023-03-13 14:12:00,0,620,0,0,0,636
2023-03-13 14:14:00,0,629,0,0,0,652
2023-03-13 14:16:00,0,614,0,0,0,630
2023-03-13 14:18:00,0,756,0,0,0,774
2023-03-13 14:20:00,0,715,0,0,0,746
2023-03-13 14:22:00,0,602,0,0,0,611
2023-03-13 14:24:00,0,592,0,0,0,612
2023-03-13 14:26:00,0,596,0,0,0,612
2023-03-13 14:28:00,0,719,0,0,0,738
2023-03-13 14:30:00,0,735,0,0,0,765
2023-03-13 14:32:00,0,592,0,0,0,600
2023-03-13 14:34:00,0,580,0,0,0,600
2023-03-13 14:36:00,0,591,0,0,0,606
2023-03-13 14:38:00,0,699,0,0,0,712
2023-03-13 14:40:00,0,744,0,0,0,765
2023-03-13 14:42:00,0,607,0,0,0,612
2023-03-13 14:44:00,0,597,0,0,0,616
2023-03-13 14:46:00,0,605,0,0,0,619
2023-03-13 14:48:00,0,600,0,0,0,619
2023-03-13 14:50:00,0,742,0,0,0,762
2023-03-13 14:52:00,0,609,0,0,0,615
2023-03-13 14:54:00,0,589,0,0,0,606
2023-03-13 14:56:00,0,630,0,0,0,639
2023-03-13 14:58:00,0,623,0,0,0,643
2023-03-13 15:00:00,0,750,0,0,0,772
2023-03-13 15:02:00,0,669,0,0,0,682
2023-03-13 15:04:00,0,592,0,0,0,616
2023-03-13 15:06:00,0,641,0,0,0,653
2023-03-13 15:08:00,0,633,0,0,0,656
2023-03-13 15:10:00,0,731,0,0,0,759
2023-03-13 15:12:00,0,724,0,0,0,747
2023-03-13 15:14:00,0,585,0,0,0,602
2023-03-13 15:16:00,0,612,0,0,0,624
2023-03-13 15:18:00,0,596,0,0,0,621
2023-03-13 15:20:00,0,704,0,0,0,730
2023-03-13 15:22:00,0,786,0,0,0,819
2023-03-13 15:24:00,0,583,0,0,0,603
2023-03-13 15:26:00,0,602,0,0,0,614
2023-03-13 15:28:00,0,597,0,0,0,622
2023-03-13 15:30:00,0,634,0,0,0,645
2023-03-13 15:32:00,0,750,0,0,0,785
2023-03-13 15:34:00,0,589,0,0,0,607
2023-03-13 15:36:00,0,617,0,0,0,631
2023-03-13 15:38:00,0,623,0,0,0,649
2023-03-13 15:40:00,0,590,0,0,0,602
2023-03-13 15:42:00,0,747,0,0,0,782
2023-03-13 15:44:00,0,601,0,0,0,618
2023-03-13 15:46:00,0,605,0,0,0,617
2023-03-13 15:48:00,0,610,0,0,0,629
2023-03-13 15:50:00,0,619,0,0,0,631
2023-03-13 15:52:00,0,750,0,0,0,785
2023-03-13 15:54:00,0,658,0,0,0,683
2023-03-13 15:56:00,0,592,0,0,0,611
2023-03-13 15:58:00,0,595,0,0,0,610
2023-03-13 16:00:00,0,580,0,0,0,587
2023-03-13 16:02:00,0,741,0,0,0,771
2023-03-13 16:04:00,0,728,0,0,0,743
2023-03-13 16:06:00,0,602,0,0,0,617
2023-03-13 16:08:00,0,615,0,0,0,627
2023-03-13 16:10:00,0,601,0,0,0,605
2023-03-13 16:12:00,0,713,0,0,0,734
2023-03-13 16:14:00,0,755,0,0,0,772
2023-03-13 16:16:00,0,605,0,0,0,621
2023-03-13 16:18:00,0,643,0,0,0,654
2023-03-13 16:20:00,0,631,0,0,0,637
2023-03-13 16:22:00,0,639,0,0,0,654
2023-03-13 16:24:00,0,754,0,0,0,769
2023-03-13 16:26:00,0,606,0,0,0,623
2023-03-13 16:28:00,0,617,0,0,0,630
2023-03-13 16:30:00,0,607,0,0,0,615
2023-03-13 16:32:00,0,607,0,0,0,616
2023-03-13 16:34:00,0,772,0,0,0,788
2023-03-13 16:36:00,0,633,0,0,0,650
2023-03-13 16:38:00,0,629,0,0,0,636
2023-03-13 16:40:00,0,596,0,0,0,611
2023-03-13 16:42:00,0,631,0,0,0,645
2023-03-13 16:44:00,0,748,0,0,0,769
2023-03-13 16:46:00,0,687,0,0,0,718
2023-03-13 16:48:00,0,610,0,0,0,621
2023-03-13 16:50:00,0,582,0,0,0,605
2023-03-13 16:52:00,0,600,0,0,0,618
2023-03-13 16:54:00,0,766,0,0,0,785
2023-03-13 16:56:00,0,747,0,0,0,780
2023-03-13 16:58:00,0,606,0,0,0,618
2023-03-13 17:00:00,0,584,0,0,0,609
2023-03-13 17:02:00,0,595,0,0,0,612
2023-03-13 17:04:00,0,700,0,0,0,717
2023-03-13 17:06:00,0,753,0,0,0,781
2023-03-13 17:08:00,0,657,0,0,0,669
2023-03-13 17:10:00,0,622,0,0,0,643
2023-03-13 17:12:00,0,601,0,0,0,613
2023-03-13 17:14:00,0,617,0,0,0,642
2023-03-13 17:16:00,0,742,0,0,0,770
2023-03-13 17:18:00,0,611,0,0,0,622
2023-03-13 17:20:00,0,594,0,0,0,618
2023-03-13 17:22:00,0,600,0,0,0,611
2023-03-13 17:24:00,0,607,0,0,0,627
2023-03-13 17:26:00,0,750,0,0,0,772
2023-03-13 17:28:00,0,656,0,0,0,666
2023-03-13 17:30:00,0,608,0,0,0,627
2023-03-13 17:32:00,0,602,0,0,0,608
2023-03-13 17:34:00,0,601,0,0,0,620
2023-03-13 17:36:00,0,779,0,0,0,802
2023-03-13 17:38:00,0,735,0,0,0,756
2023-03-13 17:40:00,0,602,0,0,0,614
2023-03-13 17:42:00,0,609,0,0,0,616
2023-03-13 17:44:00,0,606,0,0,0,626
2023-03-13 17:46:00,0,761,0,0,0,779
2023-03-13 17:48:00,0,758,0,0,0,787
2023-03-13 17:50:00,0,601,0,0,0,613
2023-03-13 17:52:00,0,645,0,0,0,653
2023-03-13 17:54:00,0,640,0,0,0,659
2023-03-13 17:56:00,0,697,0,0,0,706
2023-03-13 17:58:00,0,764,0,0,0,793
2023-03-13 18:00:00,0,605,0,0,0,620
2023-03-13 18:02:00,0,616,0,0,0,625
2023-03-13 18:04:00,0,612,0,0,0,626
2023-03-13 18:06:00,0,811,0,0,0,787
2023-03-13 18:08:00,0,1067,0,0,0,1076
2023-03-13 18:10:00,0,689,0,0,0,700
2023-03-13 18:12:00,0,594,0,0,0,616
2023-03-13 18:14:00,0,633,0,0,0,643
2023-03-13 18:16:00,0,638,0,0,0,648
2023-03-13 18:18:00,0,744,0,0,0,776
2023-03-13 18:20:00,0,653,0,0,0,666
2023-03-13 18:22:00,0,598,0,0,0,622
2023-03-13 18:24:00,0,598,0,0,0,614
2023-03-13 18:26:00,0,611,0,0,0,621
2023-03-13 18:28:00,0,761,0,0,0,787
2023-03-13 18:30:00,0,725,0,0,0,743
2023-03-13 18:32:00,0,602,0,0,0,620
2023-03-13 18:34:00,0,599,0,0,0,609
2023-03-13 18:36:00,0,617,0,0,0,628
2023-03-13 18:38:00,0,739,0,0,0,761
2023-03-13 18:40:00,0,788,0,0,0,803
2023-03-13 18:42:00,0,600,0,0,0,618
2023-03-13 18:44:00,0,606,0,0,0,619
2023-03-13 18:46:00,0,627,0,0,0,647
2023-03-13 18:48:00,0,668,0,0,0,682
2023-03-13 18:50:00,0,756,0,0,0,772
2023-03-13 18:52:00,0,609,0,0,0,628
2023-03-13 18:54:00,0,607,0,0,0,612
2023-03-13 18:56:00,0,612,0,0,0,633
2023-03-13 18:58:00,0,644,0,0,0,659
2023-03-13 19:00:00,0,762,0,0,0,778
2023-03-13 19:02:00,0,617,0,0,0,636
2023-03-13 19:04:00,0,604,0,0,0,612
2023-03-13 19:06:00,0,602,0,0,0,626
2023-03-13 19:08:00,0,606,0,0,0,622
2023-03-13 19:10:00,0,749,0,0,0,770
