"Time","Load[5m] (192.168.0.211:9796)","Load[5m] (192.168.0.221:9796)","Load[5m] (192.168.0.222:9796)","Load[1m] (192.168.0.211:9796)","Load[1m] (192.168.0.221:9796)","Load[1m] (192.168.0.222:9796)","Load[15m] (192.168.0.211:9796)","Load[15m] (192.168.0.221:9796)","Load[15m] (192.168.0.222:9796)"
2023-03-13 12:00:00,0.340,0.0800,0.250,0.290,0.0400,0.150,0.260,0.0900,0.310
2023-03-13 12:02:00,0.240,0.160,0.240,0.0500,0.330,0.250,0.230,0.110,0.300
2023-03-13 12:04:00,0.250,0.380,0.220,0.220,0.510,0.180,0.240,0.200,0.280
2023-03-13 12:06:00,0.310,0.300,0.240,0.440,0.240,0.340,0.260,0.190,0.280
2023-03-13 12:08:00,0.290,0.400,0.210,0.230,0.820,0.150,0.260,0.230,0.260
2023-03-13 12:10:00,0.290,0.420,0.230,0.340,0.680,0.260,0.270,0.250,0.270
2023-03-13 12:12:00,0.240,0.350,0.230,0.120,0.380,0.260,0.250,0.240,0.260
2023-03-13 12:14:00,0.190,0.260,0.230,0.0500,0.160,0.250,0.230,0.220,0.260
2023-03-13 12:16:00,0.170,0.200,0.250,0.180,0.0700,0.260,0.220,0.200,0.270
2023-03-13 12:18:00,0.120,0.220,0.280,0.0400,0.180,0.300,0.190,0.200,0.270
2023-03-13 12:20:00,0.230,0.220,0.320,0.360,0.250,0.470,0.210,0.200,0.290
2023-03-13 12:22:00,0.300,0.220,0.270,0.490,0.220,0.220,0.240,0.190,0.270
2023-03-13 12:24:00,0.360,0.190,0.350,0.400,0.160,0.370,0.270,0.180,0.300
2023-03-13 12:26:00,0.250,0.190,0.330,0.0700,0.170,0.380,0.240,0.180,0.290
2023-03-13 12:28:00,0.160,0.180,0.300,0.0100,0.180,0.210,0.200,0.180,0.280
2023-03-13 12:30:00,0.180,0.150,0.370,0.220,0.0800,0.500,0.200,0.170,0.300
2023-03-13 12:32:00,0.160,0.140,0.280,0.150,0.0900,0.150,0.180,0.160,0.270
2023-03-13 12:34:00,0.170,0.140,0.700,0.240,0.0900,0.940,0.180,0.160,0.440
2023-03-13 12:36:00,0.190,0.140,0.580,0.290,0.0900,0.490,0.190,0.160,0.420
2023-03-13 12:38:00,0.340,0.130,0.470,0.370,0.140,0.280,0.250,0.160,0.400
2023-03-13 12:40:00,0.290,0.250,0.500,0.250,0.390,0.580,0.240,0.190,0.420
2023-03-13 12:42:00,0.290,0.300,0.420,0.200,0.500,0.260,0.250,0.210,0.400
