"Time","Transmit Total (cilium_host)","Transmit Total (cilium_net)","Transmit Total (cilium_vxlan)","Transmit Total (enp1s0)","Transmit Total (lxc08f9bbcf2cc2)","Transmit Total (lxc18b2a9fae4e6)","Transmit Total (lxc2d0cb026a340)","Transmit Total (lxc32ecf1ec23fa)","Transmit Total (lxc38d81bba1941)","Transmit Total (lxc536989e0bbe0)","Transmit Total (lxc7b55c12eff69)","Transmit Total (lxc815054fad3e3)","Transmit Total (lxc896636513d9b)","Transmit Total (lxc898970f2c474)","Transmit Total (lxc89bd03f98afc)","Transmit Total (lxc98325d012b94)","Transmit Total (lxc9a6f6d3b6e50)","Transmit Total (lxc9e5774929ec6)","Transmit Total (lxc_health)","Transmit Total (lxcb1aea5f13203)","Transmit Total (lxcc010f2457e82)","Transmit Total (lxcc255ada0b5e4)","Transmit Total (lxcc306a8298bc0)","Transmit Total (lxcd67315019948)","Transmit Total (lxcd95baf1a2e26)","Transmit Total (lxcdcee95369ec3)","Transmit Total (lxce37cface0780)","Transmit Total (lxcf1e7004cd84c)","Transmit Total (lxcf2b5505183fa)","Transmit Total (lxcf31ee673b547)","Transmit Total (lxcf4214ee191c8)","Transmit Total (lxcf97c652df312)","Receive Total (cilium_host)","Receive Total (cilium_net)","Receive Total (cilium_vxlan)","Receive Total (enp1s0)","Receive Total (lxc08f9bbcf2cc2)","Receive Total (lxc18b2a9fae4e6)","Receive Total (lxc2d0cb026a340)","Receive Total (lxc32ecf1ec23fa)","Receive Total (lxc38d81bba1941)","Receive Total (lxc536989e0bbe0)","Receive Total (lxc7b55c12eff69)","Receive Total (lxc815054fad3e3)","Receive Total (lxc896636513d9b)","Receive Total (lxc898970f2c474)","Receive Total (lxc89bd03f98afc)","Receive Total (lxc98325d012b94)","Receive Total (lxc9a6f6d3b6e50)","Receive Total (lxc9e5774929ec6)","Receive Total (lxc_health)","Receive Total (lxcb1aea5f13203)","Receive Total (lxcc010f2457e82)","Receive Total (lxcc255ada0b5e4)","Receive Total (lxcc306a8298bc0)","Receive Total (lxcd67315019948)","Receive Total (lxcd95baf1a2e26)","Receive Total (lxcdcee95369ec3)","Receive Total (lxce37cface0780)","Receive Total (lxcf1e7004cd84c)","Receive Total (lxcf2b5505183fa)","Receive Total (lxcf31ee673b547)","Receive Total (lxcf4214ee191c8)","Receive Total (lxcf97c652df312)"
2023-03-13 12:00:00,0,78.5,24847,52565,0,0,0,0.389,0,171,288,136,452,66.2,446,38.9,0,585,32.0,0,38.5,1722,4.27,451,0,65.8,41692,19,1726,6736,71.3,1076,78.5,0,35345,59270,0,0,0.389,0,0,225,112,31.6,252,40.7,249,19.4,0,701,25.5,0,19,165,4.13,254,0,40.6,20285,38.5,184,1065,70.2,1077
2023-03-13 12:02:00,0,80,23042,55449,0,0,0.389,0,0,171,284,124,454,65.8,448,38.5,0,588,31.8,0,38.5,1947,4.27,452,0,65.7,41672,19.4,1985,7141,297,1875,80,0,40521,66835,0,0,0,0,0,226,103,29.0,254,40.7,259,19,0,698,25.7,0,19,161,4.13,249,0,41.4,17261,38.5,206,1058,79.1,1871
2023-03-13 12:04:00,0,83.3,34696,87984,0,0,0,0,67.8,172,290,119,454,65.7,447,531,0,604,32.3,0,38.5,1784,4.03,453,0,66.5,41715,19,1812,6809,368,1348,83.3,0,58893,88454,0,0,0,0,155,225,110,27.7,259,41,251,406,0,730,26.2,0,19,166,3.90,250,0,42.6,27101,38.5,203,1087,87.0,1333
2023-03-13 12:06:00,0,77.1,25140,53026,0,0,0,0,3.22,173,293,119,455,65.7,445,38.5,0,582,32.3,0,38.5,1872,4.27,449,0,66.6,41618,19,1898,7082,220,1612,77.1,0,35821,61046,0,0,0,0,3.06,224,119,27.7,261,40.6,249,19,0,698,26.2,0,19,180,4.13,251,0,41.1,20052,38.5,200,1129,72.8,1600
2023-03-13 12:08:00,0,74.9,32288,60755,0,0,0,0,0,174,292,124,455,65.7,449,38.5,0,585,32.0,0,38.5,1951,4.50,450,0,65.7,41707,19,1991,7216,1889,1873,74.9,0,36163,63402,0,0,0,0,0,223,111,29.0,254,40.6,255,19,0,701,26.0,0,19,182,4.76,254,0,41,26941,38.5,219,1112,103,1865
2023-03-13 12:10:00,0,80.8,24827,52654,0,0,0,0,0,175,286,119,456,65.7,447,38.5,0,583,31.6,0,38.5,1744,4.97,447,0,66.2,41674,19,1792,6733,71.7,1082,80.8,0,35335,59472,0,0,0,0,0,225,111,27.7,260,40.6,251,19,0,702,25.5,0,19.4,163,5.22,249,0,42.2,20280,38.5,199,1115,70.2,1072
2023-03-13 12:12:00,0,83.3,23360,51107,0,0,0,0,0,173,288,118,443,65.7,448,38.5,0,583,31.6,0,38.9,1951,4.97,436,0,66.2,41666,19,1985,7227,586,1865,83.3,0,36116,62005,0,0,0,0,0,226,108,27.7,248,40.3,258,19,0,703,25.5,0,19.4,159,4.83,248,0,41.8,18013,38.5,181,1117,88.5,1860
2023-03-13 12:14:00,0,72.3,35462,88814,0.389,0,0,0,62.4,172,290,130,444,65.8,447,613,0,585,31.6,0,38.9,1799,4.27,436,0,66.1,41714,19,1811,6906,446,1334,72.3,0,58922,88646,0,0,0,0,151,225,115,35.4,248,40.3,256,411,0,700,25.5,0,19,180,4.13,249,0,41.4,27882,38.5,207,1096,89.3,1341
2023-03-13 12:16:00,0,74.9,24909,52908,0.389,0,0,0,0,172,292,129,459,65.7,447,38.5,0,588,31.6,0,38.5,1894,4.27,450,0,66.1,41657,19,1898,7104,220,1598,74.9,0,35836,60999,0,0,0,0,0,225,118,35.4,259,40.6,251,19,0,698,25.5,0,19,204,4.13,253,0,41.0,19827,38.5,203,1125,73.5,1599
2023-03-13 12:18:00,0,78.9,34834,63434,0,0,0,0,0,173,283,124,455,65.7,452,38.5,0,590,31.8,0,38.5,1952,4.27,449,0,65.8,41669,19,1967,7210,299,1874,78.9,0,36135,61804,0,0,0,0,0,225,103,29.0,255,40.7,256,19,0,697,25.7,0,19,180,4.13,251,0,41.0,29505,38.5,192,1089,87.3,1871
