"Time","Read (dm-0)","Read (vda)","Read (vdb)","Write (dm-0)","Write (vda)","Write (vdb)"
2023-03-13 12:00:00,0,0,0,43122,43122,0
2023-03-13 12:02:00,0,0,0,719098,719098,0
2023-03-13 12:04:00,22.8,22.8,0,52520,52520,0
2023-03-13 12:06:00,22.8,22.8,0,94140,94140,0
2023-03-13 12:08:00,0,0,0,108954,108954,0
2023-03-13 12:10:00,0,0,0,40664,40664,0
2023-03-13 12:12:00,0,0,0,101217,101217,0
2023-03-13 12:14:00,0,0,0,51314,51314,0
2023-03-13 12:16:00,0,0,0,92570,92570,0
2023-03-13 12:18:00,0,0,0,133825,133825,0
2023-03-13 12:20:00,0,0,0,46148,46148,0
2023-03-13 12:22:00,0,0,0,101763,101763,0
2023-03-13 12:24:00,0,0,0,51246,51246,0
2023-03-13 12:26:00,0,0,0,93457,93457,0
2023-03-13 12:28:00,0,0,0,100807,100807,0
2023-03-13 12:30:00,0,0,0,42576,42576,0
2023-03-13 12:32:00,0,0,0,127181,127181,0
2023-03-13 12:34:00,0,0,0,76481,76481,0
2023-03-13 12:36:00,0,0,0,95687,95687,0
2023-03-13 12:38:00,0,0,0,107725,107725,0
2023-03-13 12:40:00,0,0,0,40899,40899,0
2023-03-13 12:42:00,0,0,0,101148,101148,0
2023-03-13 12:44:00,0,0,0,51519,51519,0
2023-03-13 12:46:00,0,0,0,93753,93753,0
2023-03-13 12:48:00,0,0,0,106633,106633,0
2023-03-13 12:50:00,0,0,0,39754,39754,0
2023-03-13 12:52:00,546,546,0,103879,103879,0
2023-03-13 12:54:00,546,546,0,53066,53066,0
2023-03-13 12:56:00,273,273,0,93548,93548,0
2023-03-13 12:58:00,0,0,0,105313,105313,0
2023-03-13 13:00:00,0,0,0,40687,40687,0
2023-03-13 13:02:00,0,0,0,148935,148935,0
2023-03-13 13:04:00,0,0,0,95209,95209,0
2023-03-13 13:06:00,0,0,0,88678,88678,0
2023-03-13 13:08:00,0,0,0,109454,109454,0
2023-03-13 13:10:00,0,0,0,48401,48401,0
2023-03-13 13:12:00,0,0,0,108840,108840,0
2023-03-13 13:14:00,0,0,0,54886,54886,0
2023-03-13 13:16:00,0,0,0,94390,94390,0
2023-03-13 13:18:00,0,0,0,105563,105563,0
2023-03-13 13:20:00,0,0,0,44214,44214,0
2023-03-13 13:22:00,0,0,0,108817,108817,0
2023-03-13 13:24:00,0,0,0,52315,52315,0
2023-03-13 13:26:00,0,0,0,90271,90271,0
2023-03-13 13:28:00,0,0,0,102901,102901,0
2023-03-13 13:30:00,0,0,0,44669,44669,0
2023-03-13 13:32:00,0,0,0,133734,133734,0
2023-03-13 13:34:00,0,0,0,77323,77323,0
2023-03-13 13:36:00,0,0,0,96643,96643,0
2023-03-13 13:38:00,0,0,0,107702,107702,0
2023-03-13 13:40:00,1024,1024,0,46117,46117,0
2023-03-13 13:42:00,0,0,0,131186,131186,0
2023-03-13 13:44:00,0,0,0,75913,75913,0
2023-03-13 13:46:00,0,0,0,93184,93184,0
2023-03-13 13:48:00,0,0,0,110546,110546,0
2023-03-13 13:50:00,1206,1206,0,44760,44760,0
2023-03-13 13:52:00,0,0,0,110137,110137,0
2023-03-13 13:54:00,0,0,0,55342,55342,0
2023-03-13 13:56:00,0,0,0,90726,90726,0
2023-03-13 13:58:00,0,0,0,105677,105677,0
2023-03-13 14:00:00,0,0,0,43213,43213,0
2023-03-13 14:02:00,0,0,0,289155,289155,0
2023-03-13 14:04:00,0,0,0,50586,50586,0
2023-03-13 14:06:00,0,0,0,91159,91159,0
2023-03-13 14:08:00,273,273,0,175400,175400,0
2023-03-13 14:10:00,273,273,0,45670,45670,0
2023-03-13 14:12:00,0,0,0,104835,104835,0
2023-03-13 14:14:00,0,0,0,53680,53680,0
2023-03-13 14:16:00,0,0,0,91523,91523,0
2023-03-13 14:18:00,0,0,0,130731,130731,0
2023-03-13 14:20:00,0,0,0,42052,42052,0
2023-03-13 14:22:00,0,0,0,107795,107795,0
2023-03-13 14:24:00,0,0,0,50608,50608,0
2023-03-13 14:26:00,0,0,0,94322,94322,0
2023-03-13 14:28:00,0,0,0,107042,107042,0
2023-03-13 14:30:00,0,0,0,36477,36477,0
2023-03-13 14:32:00,0,0,0,124518,124518,0
2023-03-13 14:34:00,0,0,0,76937,76937,0
2023-03-13 14:36:00,0,0,0,95278,95278,0
2023-03-13 14:38:00,0,0,0,111366,111366,0
2023-03-13 14:40:00,0,0,0,42462,42462,0
2023-03-13 14:42:00,0,0,0,103788,103788,0
2023-03-13 14:44:00,0,0,0,55273,55273,0
2023-03-13 14:46:00,0,0,0,94390,94390,0
