"Time","Read (dm-0)","Read (vda)","Read (vdb)","Write (dm-0)","Write (vda)","Write (vdb)"
2023-03-13 12:00:00,0,0,0,276480,276480,0
2023-03-13 12:02:00,0,0,0,337488,337488,0
2023-03-13 12:04:00,0,0,0,284331,284331,0
2023-03-13 12:06:00,0,0,0,322492,322492,0
2023-03-13 12:08:00,0,0,0,346772,346772,0
2023-03-13 12:10:00,0,0,0,272293,272293,0
2023-03-13 12:12:00,0,0,0,328613,328613,0
2023-03-13 12:14:00,0,0,0,295140,295140,0
2023-03-13 12:16:00,0,0,0,321126,321126,0
2023-03-13 12:18:00,0,0,0,340173,340173,0
2023-03-13 12:20:00,0,0,0,265239,265239,0
2023-03-13 12:22:00,0,0,0,342630,342630,0
2023-03-13 12:24:00,0,0,0,298894,298894,0
2023-03-13 12:26:00,0,0,0,320740,320740,0
2023-03-13 12:28:00,0,0,0,344041,344041,0
2023-03-13 12:30:00,11924,11924,0,316052,316052,0
2023-03-13 12:32:00,11924,11924,0,373942,373942,0
2023-03-13 12:34:00,0,0,0,295344,295344,0
2023-03-13 12:36:00,0,0,0,324153,324153,0
2023-03-13 12:38:00,0,0,0,336350,336350,0
2023-03-13 12:40:00,0,0,0,265739,265739,0
2023-03-13 12:42:00,0,0,0,345969,345969,0
2023-03-13 12:44:00,0,0,0,299873,299873,0
2023-03-13 12:46:00,0,0,0,312070,312070,0
2023-03-13 12:48:00,0,0,0,332868,332868,0
2023-03-13 12:50:00,0,0,0,286970,286970,0
2023-03-13 12:52:00,0,0,0,331890,331890,0
2023-03-13 12:54:00,0,0,0,298507,298507,0
2023-03-13 12:56:00,0,0,0,317827,317827,0
2023-03-13 12:58:00,0,0,0,334666,334666,0
2023-03-13 13:00:00,0,0,0,278505,278505,0
2023-03-13 13:02:00,0,0,0,338853,338853,0
2023-03-13 13:04:00,0,0,0,296459,296459,0
2023-03-13 13:06:00,0,0,0,319010,319010,0
2023-03-13 13:08:00,0,0,0,343768,343768,0
2023-03-13 13:10:00,0,0,0,275206,275206,0
2023-03-13 13:12:00,0,0,0,342471,342471,0
2023-03-13 13:14:00,0,0,0,292818,292818,0
2023-03-13 13:16:00,0,0,0,324449,324449,0
2023-03-13 13:18:00,0,0,0,338739,338739,0
2023-03-13 13:20:00,0,0,0,267833,267833,0
2023-03-13 13:22:00,0,0,0,324699,324699,0
2023-03-13 13:24:00,0,0,0,292181,292181,0
2023-03-13 13:26:00,0,0,0,326861,326861,0
2023-03-13 13:28:00,0,0,0,342881,342881,0
