"Time","Load[5m]","Load[1m]","Load[15m]"
2023-03-13 12:00:00,0.340,0.290,0.260
2023-03-13 12:02:00,0.240,0.0500,0.230
2023-03-13 12:04:00,0.250,0.220,0.240
2023-03-13 12:06:00,0.310,0.440,0.260
2023-03-13 12:08:00,0.290,0.230,0.260
2023-03-13 12:10:00,0.290,0.340,0.270
2023-03-13 12:12:00,0.240,0.120,0.250
2023-03-13 12:14:00,0.190,0.0500,0.230
2023-03-13 12:16:00,0.170,0.180,0.220
2023-03-13 12:18:00,0.120,0.0400,0.190
2023-03-13 12:20:00,0.230,0.360,0.210
2023-03-13 12:22:00,0.300,0.490,0.240
2023-03-13 12:24:00,0.360,0.400,0.270
2023-03-13 12:26:00,0.250,0.0700,0.240
2023-03-13 12:28:00,0.160,0.0100,0.200
2023-03-13 12:30:00,0.180,0.220,0.200
2023-03-13 12:32:00,0.160,0.150,0.180
2023-03-13 12:34:00,0.170,0.240,0.180
2023-03-13 12:36:00,0.190,0.290,0.190
2023-03-13 12:38:00,0.340,0.370,0.250
2023-03-13 12:40:00,0.290,0.250,0.240
2023-03-13 12:42:00,0.290,0.200,0.250
2023-03-13 12:44:00,0.310,0.330,0.260
2023-03-13 12:46:00,0.300,0.290,0.260
2023-03-13 12:48:00,0.210,0.0600,0.230
2023-03-13 12:50:00,0.170,0.0800,0.220
2023-03-13 12:52:00,0.160,0.100,0.200
2023-03-13 12:54:00,0.180,0.200,0.200
2023-03-13 12:56:00,0.130,0.0600,0.170
2023-03-13 12:58:00,0.0800,0.0100,0.150
2023-03-13 13:00:00,0.120,0.140,0.150
2023-03-13 13:02:00,0.120,0.220,0.150
2023-03-13 13:04:00,0.0900,0.0800,0.130
2023-03-13 13:06:00,0.140,0.210,0.140
2023-03-13 13:08:00,0.320,0.870,0.200
2023-03-13 13:10:00,0.260,0.300,0.180
2023-03-13 13:12:00,0.210,0.150,0.180
2023-03-13 13:14:00,0.220,0.140,0.180
2023-03-13 13:16:00,0.200,0.190,0.180
2023-03-13 13:18:00,0.230,0.270,0.190
2023-03-13 13:20:00,0.230,0.210,0.190
2023-03-13 13:22:00,0.190,0.150,0.180
2023-03-13 13:24:00,0.150,0.0400,0.160
2023-03-13 13:26:00,0.190,0.330,0.170
2023-03-13 13:28:00,0.230,0.250,0.190
2023-03-13 13:30:00,0.300,0.340,0.220
2023-03-13 13:32:00,0.240,0.160,0.200
2023-03-13 13:34:00,0.200,0.200,0.180
2023-03-13 13:36:00,0.190,0.240,0.180
2023-03-13 13:38:00,0.210,0.240,0.190
2023-03-13 13:40:00,0.140,0.0300,0.160
2023-03-13 13:42:00,0.330,0.740,0.220
2023-03-13 13:44:00,0.380,0.400,0.260
2023-03-13 13:46:00,0.290,0.0900,0.240
2023-03-13 13:48:00,0.310,0.330,0.260
2023-03-13 13:50:00,0.220,0.0600,0.230
2023-03-13 13:52:00,0.220,0.270,0.220
2023-03-13 13:54:00,0.180,0.120,0.210
2023-03-13 13:56:00,0.120,0.0100,0.170
2023-03-13 13:58:00,0.0700,0,0.150
2023-03-13 14:00:00,0.170,0.220,0.180
2023-03-13 14:02:00,0.130,0.0600,0.160
2023-03-13 14:04:00,0.170,0.230,0.180
2023-03-13 14:06:00,0.120,0.0500,0.160
2023-03-13 14:08:00,0.130,0.170,0.160
2023-03-13 14:10:00,0.100,0.0300,0.140
2023-03-13 14:12:00,0.0600,0,0.120
2023-03-13 14:14:00,0.0500,0.0300,0.100
2023-03-13 14:16:00,0.0700,0.0900,0.0900
2023-03-13 14:18:00,0.100,0.180,0.100
2023-03-13 14:20:00,0.110,0.240,0.100
2023-03-13 14:22:00,0.480,1.04,0.240
2023-03-13 14:24:00,0.380,0.280,0.220
2023-03-13 14:26:00,0.430,0.440,0.260
2023-03-13 14:28:00,0.370,0.240,0.260
2023-03-13 14:30:00,0.390,0.320,0.280
2023-03-13 14:32:00,0.270,0.0700,0.250
2023-03-13 14:34:00,0.200,0.0700,0.230
2023-03-13 14:36:00,0.230,0.160,0.240
2023-03-13 14:38:00,0.270,0.210,0.250
2023-03-13 14:40:00,0.340,0.330,0.280
2023-03-13 14:42:00,0.280,0.160,0.260
2023-03-13 14:44:00,0.260,0.250,0.260
2023-03-13 14:46:00,0.270,0.320,0.260
2023-03-13 14:48:00,0.220,0.180,0.240
2023-03-13 14:50:00,0.220,0.250,0.240
2023-03-13 14:52:00,0.190,0.0900,0.220
2023-03-13 14:54:00,0.180,0.120,0.220
2023-03-13 14:56:00,0.180,0.190,0.210
2023-03-13 14:58:00,0.140,0.0800,0.180
2023-03-13 15:00:00,0.120,0.110,0.170
2023-03-13 15:02:00,0.330,0.650,0.240
2023-03-13 15:04:00,0.420,0.670,0.280
2023-03-13 15:06:00,0.330,0.260,0.270
2023-03-13 15:08:00,0.300,0.170,0.260
2023-03-13 15:10:00,0.250,0.160,0.250
2023-03-13 15:12:00,0.250,0.250,0.250
2023-03-13 15:14:00,0.210,0.110,0.240
2023-03-13 15:16:00,0.220,0.270,0.240
2023-03-13 15:18:00,0.150,0.0300,0.200
2023-03-13 15:20:00,0.320,0.610,0.260
2023-03-13 15:22:00,0.380,0.520,0.280
2023-03-13 15:24:00,0.390,0.610,0.290
2023-03-13 15:26:00,0.390,0.490,0.300
2023-03-13 15:28:00,0.580,0.790,0.380
2023-03-13 15:30:00,0.420,0.160,0.350
2023-03-13 15:32:00,0.360,0.180,0.330
2023-03-13 15:34:00,0.260,0.100,0.300
2023-03-13 15:36:00,0.270,0.340,0.290
2023-03-13 15:38:00,0.320,0.510,0.300
2023-03-13 15:40:00,0.290,0.260,0.280
2023-03-13 15:42:00,0.230,0.110,0.260
2023-03-13 15:44:00,0.250,0.140,0.260
2023-03-13 15:46:00,0.170,0.0300,0.230
2023-03-13 15:48:00,0.210,0.240,0.240
2023-03-13 15:50:00,0.150,0.0500,0.210
2023-03-13 15:52:00,0.230,0.390,0.230
2023-03-13 15:54:00,0.260,0.330,0.240
2023-03-13 15:56:00,0.390,0.730,0.290
2023-03-13 15:58:00,0.320,0.300,0.270
2023-03-13 16:00:00,0.300,0.400,0.270
2023-03-13 16:02:00,0.380,0.490,0.300
