"Time","Transmit Total (cilium_host)","Transmit Total (cilium_net)","Transmit Total (cilium_vxlan)","Transmit Total (enp1s0)","Transmit Total (lxc045e0df77a65)","Transmit Total (lxc04ba3655f7bb)","Transmit Total (lxc058f11ae84e2)","Transmit Total (lxc101aa30b6d42)","Transmit Total (lxc1055eece523d)","Transmit Total (lxc17545d6a2c13)","Transmit Total (lxc1b3ec4421f95)","Transmit Total (lxc1cde9a003cb8)","Transmit Total (lxc25dc796f779e)","Transmit Total (lxc2cf3504ea230)","Transmit Total (lxc2f20023e145d)","Transmit Total (lxc42de66ecdcc8)","Transmit Total (lxc53962ca4487f)","Transmit Total (lxc586756a19dbd)","Transmit Total (lxc6609bc973c6e)","Transmit Total (lxc8f825b75ba1b)","Transmit Total (lxc901c98c966b2)","Transmit Total (lxc970c5453f2c7)","Transmit Total (lxc9bf9c5e25fda)","Transmit Total (lxc9d9580e18417)","Transmit Total (lxc_health)","Transmit Total (lxca3d1fbc08b7c)","Transmit Total (lxcaee2fab0754f)","Transmit Total (lxcb3f5b6163447)","Transmit Total (lxcbba06f29c914)","Transmit Total (lxccc10b9c35713)","Transmit Total (lxccd3f5d5c9dab)","Transmit Total (lxcd19ab656bbb2)","Transmit Total (lxcd4e1a68a8393)","Transmit Total (lxcf0be76b85bba)","Receive Total (cilium_host)","Receive Total (cilium_net)","Receive Total (cilium_vxlan)","Receive Total (enp1s0)","Receive Total (lxc045e0df77a65)","Receive Total (lxc04ba3655f7bb)","Receive Total (lxc058f11ae84e2)","Receive Total (lxc101aa30b6d42)","Receive Total (lxc1055eece523d)","Receive Total (lxc17545d6a2c13)","Receive Total (lxc1b3ec4421f95)","Receive Total (lxc1cde9a003cb8)","Receive Total (lxc25dc796f779e)","Receive Total (lxc2cf3504ea230)","Receive Total (lxc2f20023e145d)","Receive Total (lxc42de66ecdcc8)","Receive Total (lxc53962ca4487f)","Receive Total (lxc586756a19dbd)","Receive Total (lxc6609bc973c6e)","Receive Total (lxc8f825b75ba1b)","Receive Total (lxc901c98c966b2)","Receive Total (lxc970c5453f2c7)","Receive Total (lxc9bf9c5e25fda)","Receive Total (lxc9d9580e18417)","Receive Total (lxc_health)","Receive Total (lxca3d1fbc08b7c)","Receive Total (lxcaee2fab0754f)","Receive Total (lxcb3f5b6163447)","Receive Total (lxcbba06f29c914)","Receive Total (lxccc10b9c35713)","Receive Total (lxccd3f5d5c9dab)","Receive Total (lxcd19ab656bbb2)","Receive Total (lxcd4e1a68a8393)","Receive Total (lxcf0be76b85bba)"
2023-03-13 12:00:00,0,11992,35675,178025,0,1759,136,166,32.1,126,1858,138,65.8,422,0,6841,82.1,4.07,144,87.5,0,17394,1785,129,31.6,1514,66.1,19.4,329,0,0,128,176,0,11992,0,19711,77512,0,151,31.6,99.4,21.5,30.3,2889,71.7,40.6,6283,0,1054,3672,4.44,136,66.2,0,17281,182,30.3,25.5,16348,42.1,39.3,399,0,0,30.7,588,0
2023-03-13 12:02:00,0,12361,35994,183916,0,1896,124,163,57.0,121,1971,737,66.2,419,0,7024,80.5,3.27,142,87.5,0,17385,1921,123,31.6,1591,66.1,19.4,343,0,0,128,171,0,12361,0,20079,78237,0,168,29.0,96.8,69.5,29.0,3006,91.9,41,6285,0,1089,3686,3.27,135,66.2,0,17281,181,29.0,25.5,16352,41.4,38.9,427,0,0,30.3,578,0
2023-03-13 12:04:00,0,11406,58913,179809,0,1796,119,157,59.2,116,1865,147,66.2,1782,0,6835,82.4,5.57,143,87.3,0,17396,1827,124,32.0,1544,66.6,302,401,0,0,117,22007,0,11406,0,21907,80486,0,172,32.6,88.1,71.8,27.7,2668,75.8,41.7,25872,0,1103,3710,6.38,134,66.2,0,17275,193,29.0,25.5,16344,41.8,439,520,0,0,27.7,24531,0
2023-03-13 12:06:00,0,14020,35765,157879,0,1774,119,162,30.7,121,1900,140,65.8,421,0,6804,80.7,3.97,142,87.4,0,17394,1789,117,32.0,1482,66.2,19,336,0,0,116,172,0,14020,0,21711,79193,0,157,27.7,104,20.8,29.0,2327,70.6,41,6284,0,1051,3634,3.97,136,66.2,0,17268,185,27.7,25.5,16357,41,38.5,413,0,0,27.7,586,0
2023-03-13 12:08:00,0,13600,36300,166354,0,1969,124,165,56.2,121,2026,294,65.8,418,0,7261,120,4.30,142,86.7,0,17417,1979,124,31.6,1612,66.3,19,376,0,0,128,174,0,13600,0,21315,79609,0,175,29.0,105,63.5,34.0,2342,76.9,41,6284,0,1115,3724,4.67,136,65.5,0,17270,196,29.0,25.5,16352,41.5,38.5,485,0,0,30.3,586,0
2023-03-13 12:10:00,0,11398,35655,153293,0,1806,124,162,58.1,116,1861,2426,65.9,421,0,6850,83.1,5.90,143,87.5,0,17421,1826,118,31.6,1500,66.0,19,339,0.389,0,121,173,0,11398,0,19121,76313,0,163,29.0,99.0,65.9,33.3,2216,102,40.3,6283,0,1103,3748,7.09,134,66.2,0,17276,188,27.7,25.5,16340,41.1,38.5,421,0,0,29.0,578,0
2023-03-13 12:12:00,0,12225,35971,159101,0,1879,124,159,33.7,115,1949,2500,65.9,422,0,7039,80.2,5.26,144,87.6,0,17404,1906,118,31.6,1626,65.6,19,336,0,0,117,176,0,12225,0,19974,77636,0,164,29.4,90.1,23.9,27.7,2308,100,40.6,6279,0,1080,3663,6.07,134,66.6,0,17275,182,27.7,25.5,16357,40.4,38.5,412,0,0.389,27.7,581,0
2023-03-13 12:14:00,0,12089,59239,181668,0,1876,130,164,30.7,127,1911,225,66.7,1728,0,7065,81.2,3.50,143,87.0,0,17387,1903,118,31.6,1607,66.9,316,396,0,0,122,21965,0,12089,0,22545,81616,0,165,30.3,97.4,20.1,30.3,2204,77.7,41.8,25776,0,1100,3654,3.50,142,65.8,0,17271,198,32.7,25.5,16358,42.9,532,497,0,0,29.0,24508,0
2023-03-13 12:16:00,0.389,11988,45797,178868,0,1724,129,164,33.7,120,1833,1466,66.5,1202,0,6720,79.2,6.16,142,85.2,0,17389,1746,129,31.6,1499,66.5,316,383,0,0,122,9576,0,11988,0.389,21209,79310,0,199,30.3,98.4,29.1,29.0,2325,88.4,41.5,14766,0,1067,3616,6.98,141,64,0,17259,215,30.3,25.5,16364,42.5,532,491,0,0,33.9,10911,0
2023-03-13 12:18:00,0,14524,36328,171106,0,1947,119,160,32.3,121,2015,295,65.7,419,0,7202,117,5.79,143,86.3,0,17386,1982,124,31.6,1666,65.8,19,369,0,0,122,162,0,14524,0,22261,80574,0,175,27.7,97.8,21.9,29.0,2333,78.8,40.6,6280,0,1101,3578,6.62,134,64.7,0,17263,199,29.0,25.5,16363,41,38.5,465,0,0,33.9,579,0
