,Time,Type,Response,Code
0,2023-03-13 11:01:30.568161,Public,0.005727,200
0,2023-03-13 11:01:30.684113,Public,0.014442,200
0,2023-03-13 11:01:30.790430,Public,0.004949,200
0,2023-03-13 11:01:30.896564,Public,0.004759,200
0,2023-03-13 11:01:31.004021,Public,0.006067,200
0,2023-03-13 11:01:31.110553,Public,0.005186,200
0,2023-03-13 11:01:31.216966,Public,0.005063,200
0,2023-03-13 11:01:31.322904,Public,0.004654,200
0,2023-03-13 11:01:31.428946,Public,0.004752,200
0,2023-03-13 11:01:31.534893,Public,0.00459,200
0,2023-03-13 11:01:31.640851,Public,0.004634,200
0,2023-03-13 11:01:31.748162,Public,0.005966,200
0,2023-03-13 11:01:31.854418,Public,0.004896,200
0,2023-03-13 11:01:31.960643,Public,0.004823,200
0,2023-03-13 11:01:32.066904,Public,0.004933,200
0,2023-03-13 11:01:32.173647,Public,0.005433,200
0,2023-03-13 11:01:32.279652,Public,0.004632,200
0,2023-03-13 11:01:32.385760,Public,0.004759,200
0,2023-03-13 11:01:32.491794,Public,0.00475,200
0,2023-03-13 11:01:32.597731,Public,0.004643,200
0,2023-03-13 11:01:32.703718,Public,0.00469,200
0,2023-03-13 11:01:32.809788,Public,0.004768,200
0,2023-03-13 11:01:32.917208,Public,0.006054,200
0,2023-03-13 11:01:33.024162,Public,0.005638,200
0,2023-03-13 11:01:33.130540,Public,0.005071,200
0,2023-03-13 11:01:33.236679,Public,0.004817,200
0,2023-03-13 11:01:33.342691,Public,0.004713,200
0,2023-03-13 11:01:33.448663,Public,0.004647,200
0,2023-03-13 11:01:33.554807,Public,0.004845,200
0,2023-03-13 11:01:33.660830,Public,0.004721,200
0,2023-03-13 11:01:33.767038,Public,0.004922,200
0,2023-03-13 11:01:33.873512,Public,0.005106,200
0,2023-03-13 11:01:33.979938,Public,0.005108,200
0,2023-03-13 11:01:34.085736,Public,0.004532,200
0,2023-03-13 11:01:34.191959,Public,0.004863,200
0,2023-03-13 11:01:34.298872,Public,0.005438,200
0,2023-03-13 11:01:34.405865,Public,0.005644,200
0,2023-03-13 11:01:34.511809,Public,0.004654,200
0,2023-03-13 11:01:34.617964,Public,0.004814,200
