,Time,Type,Response,Code
0,2023-03-14 01:35:54.518535,Public,0.005731,200
0,2023-03-14 01:35:54.625328,Public,0.005314,200
0,2023-03-14 01:35:54.732176,Public,0.00543,200
0,2023-03-14 01:35:54.838887,Public,0.005248,200
0,2023-03-14 01:35:54.945188,Public,0.004989,200
0,2023-03-14 01:35:55.058145,Public,0.010672,200
0,2023-03-14 01:35:55.165524,Public,0.005518,200
0,2023-03-14 01:35:55.272083,Public,0.005091,200
0,2023-03-14 01:35:55.385573,Public,0.011533,200
0,2023-03-14 01:35:55.504817,Public,0.015362,200
0,2023-03-14 01:35:55.612810,Public,0.005381,200
0,2023-03-14 01:35:55.720222,Public,0.006034,200
0,2023-03-14 01:35:55.826892,Public,0.005264,200
0,2023-03-14 01:35:55.933189,Public,0.004904,200
0,2023-03-14 01:35:56.039798,Public,0.005146,200
0,2023-03-14 01:35:56.146446,Public,0.005231,200
0,2023-03-14 01:35:56.266763,Public,0.017685,200
0,2023-03-14 01:35:56.381658,Public,0.011356,200
0,2023-03-14 01:35:56.488863,Public,0.005382,200
0,2023-03-14 01:35:56.595652,Public,0.005201,200
0,2023-03-14 01:35:56.702741,Public,0.005615,200
0,2023-03-14 01:35:56.817438,Public,0.012155,200
0,2023-03-14 01:35:56.927630,Public,0.007646,200
0,2023-03-14 01:35:57.034802,Public,0.005638,200
0,2023-03-14 01:35:57.142318,Public,0.006044,200
0,2023-03-14 01:35:57.254468,Public,0.010177,200
0,2023-03-14 01:35:57.362722,Public,0.005825,200
0,2023-03-14 01:35:57.469109,Public,0.005046,200
0,2023-03-14 01:35:57.590106,Public,0.0182,200
0,2023-03-14 01:35:57.712282,Public,0.018521,200
0,2023-03-14 01:35:57.819197,Public,0.005462,200
0,2023-03-14 01:35:57.925723,Public,0.005046,200
0,2023-03-14 01:35:58.045531,Public,0.017133,200
0,2023-03-14 01:35:58.156778,Public,0.00791,200
0,2023-03-14 01:35:58.263378,Public,0.005229,200
0,2023-03-14 01:35:58.369734,Public,0.004981,200
0,2023-03-14 01:35:58.479221,Public,0.00791,200
0,2023-03-14 01:35:58.598186,Public,0.016107,200
0,2023-03-14 01:35:58.706210,Public,0.004723,200
0,2023-03-14 01:35:58.812943,Public,0.005281,200
0,2023-03-14 01:35:58.920020,Public,0.005634,200
0,2023-03-14 01:35:59.028013,Public,0.006598,200
0,2023-03-14 01:35:59.135055,Public,0.005662,200
0,2023-03-14 01:35:59.241741,Public,0.005213,200
0,2023-03-14 01:35:59.347960,Public,0.004875,200
0,2023-03-14 01:35:59.469169,Public,0.018817,200
0,2023-03-14 01:35:59.576944,Public,0.005528,200
0,2023-03-14 01:35:59.684166,Public,0.005758,200
0,2023-03-14 01:35:59.791249,Public,0.005631,200
0,2023-03-14 01:35:59.906758,Public,0.01311,200
0,2023-03-14 01:36:00.014273,Public,0.005851,200
0,2023-03-14 01:36:00.121047,Public,0.005388,200
0,2023-03-14 01:36:00.231525,Public,0.008711,200
0,2023-03-14 01:36:00.343229,Public,0.00979,200
0,2023-03-14 01:36:00.451176,Public,0.005834,200
0,2023-03-14 01:36:00.558584,Public,0.006016,200
