"Time","EGRESS","EGRESS","EGRESS","INGRESS","INGRESS","INGRESS"
2023-03-20 13:00:00,582522,859815,2178071,3542867,682728,842624
2023-03-20 13:02:00,471210,264893,1385207,1520429,598074,757087
2023-03-20 13:04:00,515795,832264,1394787,2098110,598904,769946
2023-03-20 13:06:00,549817,285111,1688731,2435751,651350,862379
2023-03-20 13:08:00,530886,832268,1406309,2089808,602597,793773
2023-03-20 13:10:00,539828,837194,1386904,2125335,631998,761612
2023-03-20 13:12:00,474395,268757,1665896,1540771,621965,815583
2023-03-20 13:14:00,546678,831504,1407077,2091505,602504,795022
2023-03-20 13:16:00,556652,303937,1731314,1845643,782314,901053
2023-03-20 13:18:00,481722,832651,1388094,2082721,613096,748703
2023-03-20 13:20:00,502996,775206,1382190,2033338,593088,742688
2023-03-20 13:22:00,536644,1231197,3033940,1544269,1627620,961199
2023-03-20 13:24:00,522446,833449,1408569,2083237,619453,778306
2023-03-20 13:26:00,516740,312392,1682406,1975578,704944,860868
2023-03-20 13:28:00,463424,832324,1358682,2093460,593520,716073
2023-03-20 13:30:00,574170,736727,1407729,1981259,612082,782956
2023-03-20 13:32:00,526487,1700968,3201204,1883179,2061318,923709
2023-03-20 13:34:00,579569,824798,2073187,3442891,599467,787384
2023-03-20 13:36:00,569892,315784,1811300,2106225,721461,950412
2023-03-20 13:38:00,536008,831575,1391652,2087362,592362,761156
2023-03-20 13:40:00,489056,268720,1378290,1944911,592044,744204
2023-03-20 13:42:00,518335,1102887,1804331,2089266,1093180,780307
2023-03-20 13:44:00,517634,826690,1390589,2089952,597704,809717
2023-03-20 13:46:00,526583,301217,1610505,1871785,668081,836815
2023-03-20 13:48:00,511340,835065,1400562,2089024,614679,771836
2023-03-20 13:50:00,510499,266773,1389930,1532756,595016,775949
2023-03-20 13:52:00,520609,834400,1467884,2081338,598191,818656
2023-03-20 13:54:00,512096,1974783,4112080,2038695,2658875,981076
2023-03-20 13:56:00,517191,628995,1685664,1797153,636759,848138
2023-03-20 13:58:00,484863,832961,1379364,2078900,598502,729884
2023-03-20 14:00:00,487987,271956,1399504,1527802,618253,763495
2023-03-20 14:02:00,499198,866639,1500474,2125372,673900,820003
2023-03-20 14:04:00,525731,377613,1399059,1967997,583427,773787
2023-03-20 14:06:00,590039,1467783,3242875,2555293,4809756,4287679
2023-03-20 14:08:00,500339,829104,1383969,2073036,591896,738205
2023-03-20 14:10:00,520249,271623,1409949,1528235,599738,789686
2023-03-20 14:12:00,516830,882336,1556852,2182192,720706,854328
2023-03-20 14:14:00,474169,269403,1383487,1616602,587391,743358
2023-03-20 14:16:00,554249,1692378,3489755,2356426,2166128,986495
2023-03-20 14:18:00,540313,800125,1737829,2698701,724041,786964
2023-03-20 14:20:00,556040,266755,1379872,2885796,711079,740127
2023-03-20 14:22:00,523742,880214,1548028,2226930,827503,856874
2023-03-20 14:24:00,504081,269074,1387181,1507148,719487,737364
2023-03-20 14:26:00,490535,1171375,2057180,2302181,1381889,781624
2023-03-20 14:28:00,562702,755584,1379875,2005213,715185,732280
2023-03-20 14:30:00,468121,615911,1384072,1523173,735760,734252
2023-03-20 14:32:00,552461,880048,1500348,2220065,824800,833324
