"Time","DROPPED","FORWARDED"
2023-03-20 13:00:00,0.0400,90.3
2023-03-20 13:02:00,0.0400,89.6
2023-03-20 13:04:00,0,91.0
2023-03-20 13:06:00,0.0400,95.2
2023-03-20 13:08:00,0.0400,90.5
2023-03-20 13:10:00,0.0400,90.7
2023-03-20 13:12:00,0.100,103
2023-03-20 13:14:00,0.0200,90.4
2023-03-20 13:16:00,0,94.1
2023-03-20 13:18:00,0,89.2
2023-03-20 13:20:00,0,88.5
2023-03-20 13:22:00,0.0200,184
2023-03-20 13:24:00,0,90.4
2023-03-20 13:26:00,0.0400,94.4
2023-03-20 13:28:00,0,88.9
2023-03-20 13:30:00,0.0800,88.8
2023-03-20 13:32:00,0.0200,209
2023-03-20 13:34:00,0.0600,90.7
2023-03-20 13:36:00,0.0200,97.1
2023-03-20 13:38:00,0.0400,90.9
2023-03-20 13:40:00,0,89.3
2023-03-20 13:42:00,0,132
2023-03-20 13:44:00,0,90.4
2023-03-20 13:46:00,0.0400,95.8
2023-03-20 13:48:00,0,88.9
2023-03-20 13:50:00,0.0400,88.8
2023-03-20 13:52:00,0.0200,92.4
2023-03-20 13:54:00,0.0400,260
2023-03-20 13:56:00,0.0400,102
2023-03-20 13:58:00,0.0400,88.5
2023-03-20 14:00:00,0.0200,88.5
2023-03-20 14:02:00,0.0200,91.0
2023-03-20 14:04:00,0,88.6
2023-03-20 14:06:00,0,184
2023-03-20 14:08:00,0,89.5
2023-03-20 14:10:00,0,88.3
2023-03-20 14:12:00,0.0200,90.4
2023-03-20 14:14:00,0.0400,88.2
2023-03-20 14:16:00,0.120,228
2023-03-20 14:18:00,0,90.5
2023-03-20 14:20:00,0.0200,87.1
2023-03-20 14:22:00,0.0200,91.0
2023-03-20 14:24:00,0.0200,87.8
2023-03-20 14:26:00,0,141
2023-03-20 14:28:00,0,88.3
2023-03-20 14:30:00,0,88.6
2023-03-20 14:32:00,0,91.0
2023-03-20 14:34:00,0.0400,89.9
2023-03-20 14:36:00,0.0200,95.2
2023-03-20 14:38:00,0,89.8
2023-03-20 14:40:00,0.0400,89.0
2023-03-20 14:42:00,0.0400,91.4
2023-03-20 14:44:00,0.0400,88.5
2023-03-20 14:46:00,0.0400,94.1
2023-03-20 14:48:00,0.0200,104
2023-03-20 14:50:00,0,91.2
2023-03-20 14:52:00,0,90.7
2023-03-20 14:54:00,0,87.8
2023-03-20 14:56:00,0,95.6
2023-03-20 14:58:00,0,188
2023-03-20 15:00:00,0,90.1
2023-03-20 15:02:00,0.0200,91.4
2023-03-20 15:04:00,0.0600,88.8
2023-03-20 15:06:00,0.0600,95.1
2023-03-20 15:08:00,0.0400,205
2023-03-20 15:10:00,0.0200,89.0
2023-03-20 15:12:00,0.0400,90.3
2023-03-20 15:14:00,0,89.5
2023-03-20 15:16:00,0,92.8
2023-03-20 15:18:00,0,121
2023-03-20 15:20:00,0.0400,88.2
2023-03-20 15:22:00,0.0600,89.4
2023-03-20 15:24:00,0.0200,89.5
2023-03-20 15:26:00,0.0200,95.1
2023-03-20 15:28:00,0.0400,89.5
2023-03-20 15:30:00,0.0800,88.9
2023-03-20 15:32:00,0,90.2
2023-03-20 15:34:00,0.0600,89.9
2023-03-20 15:36:00,0.0200,94.0
2023-03-20 15:38:00,0,89.7
2023-03-20 15:40:00,0,118
2023-03-20 15:42:00,0,89.7
2023-03-20 15:44:00,0.0400,90.8
2023-03-20 15:46:00,0,93.6
2023-03-20 15:48:00,0.0200,88.5
2023-03-20 15:50:00,0.0400,204
2023-03-20 15:52:00,0.0600,89.4
2023-03-20 15:54:00,0.0400,90.4
2023-03-20 15:56:00,0.0200,94.1
2023-03-20 15:58:00,0.0200,89.4
2023-03-20 16:00:00,0.0200,189
2023-03-20 16:02:00,0,90.1
2023-03-20 16:04:00,0,91.0
2023-03-20 16:06:00,0,94.7
2023-03-20 16:08:00,0.0200,89.2
2023-03-20 16:10:00,0.0200,109
2023-03-20 16:12:00,0.0400,89.1
2023-03-20 16:14:00,0.0400,91.7
2023-03-20 16:16:00,0.0600,94.3
2023-03-20 16:18:00,0.0400,88.8
2023-03-20 16:20:00,0.0800,89.0
2023-03-20 16:22:00,0.0200,91.7
2023-03-20 16:24:00,0.0400,90.1
2023-03-20 16:26:00,0,92.7
2023-03-20 16:28:00,0,90.4
2023-03-20 16:30:00,0,88.3
2023-03-20 16:32:00,0,138
2023-03-20 16:34:00,0.0400,89.3
2023-03-20 16:36:00,0.0200,94.1
2023-03-20 16:38:00,0,89.0
2023-03-20 16:40:00,0.0400,89.7
2023-03-20 16:42:00,0.0400,194
2023-03-20 16:44:00,0.0600,112
2023-03-20 16:46:00,0.0400,94.5
2023-03-20 16:48:00,0,89.4
2023-03-20 16:50:00,0,89.9
2023-03-20 16:52:00,0,91.3
2023-03-20 16:54:00,0,220
2023-03-20 16:56:00,0.0400,93.8
2023-03-20 16:58:00,0.0400,89.5
2023-03-20 17:00:00,0.0400,89.0
2023-03-20 17:02:00,0,90.3
2023-03-20 17:04:00,0.0600,135
2023-03-20 17:06:00,0,94.3
2023-03-20 17:08:00,0.0200,89.9
2023-03-20 17:10:00,0.100,89.2
2023-03-20 17:12:00,0,88.8
2023-03-20 17:14:00,0,87.2
2023-03-20 17:16:00,0,92.5
2023-03-20 17:18:00,0,89.4
2023-03-20 17:20:00,0.0200,89.5
2023-03-20 17:22:00,0.0600,91.0
2023-03-20 17:24:00,0.0600,89.6
2023-03-20 17:26:00,0.0200,114
2023-03-20 17:28:00,0,89.0
2023-03-20 17:30:00,0.0400,89.3
2023-03-20 17:32:00,0.120,91.4
2023-03-20 17:34:00,0.0600,88.7
2023-03-20 17:36:00,0,199
2023-03-20 17:38:00,0,89.5
2023-03-20 17:40:00,0,90.2
2023-03-20 17:42:00,0.0200,91.2
2023-03-20 17:44:00,0,89.9
2023-03-20 17:46:00,0.0400,212
2023-03-20 17:48:00,0,88.5
2023-03-20 17:50:00,0.0200,88.5
2023-03-20 17:52:00,0.0600,90.0
2023-03-20 17:54:00,0.0200,88.6
2023-03-20 17:56:00,0,128
2023-03-20 17:58:00,0,89.2
2023-03-20 18:00:00,0,89.1
2023-03-20 18:02:00,0,90.3
2023-03-20 18:04:00,0,89.4
2023-03-20 18:06:00,0.0400,95.0
2023-03-20 18:08:00,0,89.3
2023-03-20 18:10:00,0.0600,88.9
2023-03-20 18:12:00,0.0200,90.3
2023-03-20 18:14:00,0.0400,90.8
2023-03-20 18:16:00,0.0600,94.0
2023-03-20 18:18:00,0.0200,124
2023-03-20 18:20:00,0.100,89.0
2023-03-20 18:22:00,0.0200,90.8
2023-03-20 18:24:00,0,89.3
2023-03-20 18:26:00,0,93.3
2023-03-20 18:28:00,0,206
2023-03-20 18:30:00,0,89.3
2023-03-20 18:32:00,0.0600,91.1
2023-03-20 18:34:00,0.0600,89.1
2023-03-20 18:36:00,0,93.3
2023-03-20 18:38:00,0.0600,191
2023-03-20 18:40:00,0.0400,88.9
2023-03-20 18:42:00,0.0600,90.7
2023-03-20 18:44:00,0.0200,90.0
2023-03-20 18:46:00,0,92.9
2023-03-20 18:48:00,0,108
2023-03-20 18:50:00,0,89.6
2023-03-20 18:52:00,0,90.7
2023-03-20 18:54:00,0,88.6
2023-03-20 18:56:00,0.0200,93.0
2023-03-20 18:58:00,0,90.2
2023-03-20 19:00:00,0.0200,89.0
2023-03-20 19:02:00,0.0400,91.9
2023-03-20 19:04:00,0.0200,89.5
2023-03-20 19:06:00,0.0200,92.9
2023-03-20 19:08:00,0,89.8
2023-03-20 19:10:00,0.0400,131
2023-03-20 19:12:00,0,91.1
2023-03-20 19:14:00,0,89.2
2023-03-20 19:16:00,0,94.6
2023-03-20 19:18:00,0,92.1
2023-03-20 19:20:00,0,213
2023-03-20 19:22:00,0.0400,91.6
2023-03-20 19:24:00,0.0200,89.4
2023-03-20 19:26:00,0.0400,93.2
2023-03-20 19:28:00,0.0400,90.8
2023-03-20 19:30:00,0.100,172
2023-03-20 19:32:00,0,90.3
2023-03-20 19:34:00,0,89.5
2023-03-20 19:36:00,0,95.1
2023-03-20 19:38:00,0,90.4
2023-03-20 19:40:00,0,94.0
2023-03-20 19:42:00,0,90.9
2023-03-20 19:44:00,0,90.8
2023-03-20 19:46:00,0.0200,95.1
2023-03-20 19:48:00,0.0200,89.2
2023-03-20 19:50:00,0.0600,88.1
2023-03-20 19:52:00,0.0600,91.3
2023-03-20 19:54:00,0.0200,91.1
2023-03-20 19:56:00,0,93.5
2023-03-20 19:58:00,0,88.6
2023-03-20 20:00:00,0,88.6
2023-03-20 20:02:00,0,155
2023-03-20 20:04:00,0.0400,89.3
2023-03-20 20:06:00,0.0200,104
2023-03-20 20:08:00,0,88.9
2023-03-20 20:10:00,0,88.8
2023-03-20 20:12:00,0.0800,222
2023-03-20 20:14:00,0.0400,88.5
2023-03-20 20:16:00,0.0800,92.9
2023-03-20 20:18:00,0.0400,88.5
2023-03-20 20:20:00,0,88.3
2023-03-20 20:22:00,0,156
2023-03-20 20:24:00,0,88.7
2023-03-20 20:26:00,0,93.7
2023-03-20 20:28:00,0.0200,87.7
2023-03-20 20:30:00,0.0400,88.1
2023-03-20 20:32:00,0.0400,90.9
2023-03-20 20:34:00,0.0200,89.0
2023-03-20 20:36:00,0.0200,93.5
2023-03-20 20:38:00,0.0200,88.3
2023-03-20 20:40:00,0.0600,89.9
2023-03-20 20:42:00,0.0200,89.3
2023-03-20 20:44:00,0,89.4
2023-03-20 20:46:00,0,92.4
2023-03-20 20:48:00,0,87.7
2023-03-20 20:50:00,0,90.2
2023-03-20 20:52:00,0,88.5
2023-03-20 20:54:00,0,170
2023-03-20 20:56:00,0.0200,92.5
2023-03-20 20:58:00,0.0200,88.1
2023-03-20 21:00:00,0.0600,88.5
2023-03-20 21:02:00,0.0200,87.8
2023-03-20 21:04:00,0.0200,220
2023-03-20 21:06:00,0.0200,93.1
2023-03-20 21:08:00,0,87.5
2023-03-20 21:10:00,0,90.4
2023-03-20 21:12:00,0,89.6
2023-03-20 21:14:00,0,141
2023-03-20 21:16:00,0.0200,93.4
2023-03-20 21:18:00,0.0400,89.7
2023-03-20 21:20:00,0.0600,87.7
2023-03-20 21:22:00,0.0400,88.3
2023-03-20 21:24:00,0.0200,88.6
2023-03-20 21:26:00,0.0600,95.2
2023-03-20 21:28:00,0.0600,88.8
2023-03-20 21:30:00,0.0800,89.0
2023-03-20 21:32:00,0.0800,88.9
2023-03-20 21:34:00,0,87.6
2023-03-20 21:36:00,0,107
2023-03-20 21:38:00,0,88.1
2023-03-20 21:40:00,0,88.3
2023-03-20 21:42:00,0.0400,89.6
2023-03-20 21:44:00,0,88.6
2023-03-20 21:46:00,0.0400,189
2023-03-20 21:48:00,0.0400,89.4
2023-03-20 21:50:00,0.0800,87.4
2023-03-20 21:52:00,0,90.6
2023-03-20 21:54:00,0.0600,88.8
2023-03-20 21:56:00,0,212
2023-03-20 21:58:00,0,89.2
2023-03-20 22:00:00,0,86.7
2023-03-20 22:02:00,0,90.5
2023-03-20 22:04:00,0.0200,87.3
2023-03-20 22:06:00,0,128
2023-03-20 22:08:00,0.0200,89.7
2023-03-20 22:10:00,0.0200,87.6
2023-03-20 22:12:00,0.0400,89.6
2023-03-20 22:14:00,0.0600,88.0
2023-03-20 22:16:00,0.0200,93.0
2023-03-20 22:18:00,0.0600,88.9
2023-03-20 22:20:00,0,89
2023-03-20 22:22:00,0,90.4
2023-03-20 22:24:00,0,87.5
2023-03-20 22:26:00,0.0200,94.3
2023-03-20 22:28:00,0,109
2023-03-20 22:30:00,0,88.3
2023-03-20 22:32:00,0.0200,90.3
2023-03-20 22:34:00,0.0200,86.6
2023-03-20 22:36:00,0.0200,92.6
2023-03-20 22:38:00,0.0400,196
2023-03-20 22:40:00,0.0400,88.2
2023-03-20 22:42:00,0.0200,91.6
2023-03-20 22:44:00,0,88.0
2023-03-20 22:46:00,0,92.0
2023-03-20 22:48:00,0,189
2023-03-20 22:50:00,0,89.2
2023-03-20 22:52:00,0,90.1
2023-03-20 22:54:00,0.0200,87.0
2023-03-20 22:56:00,0.0200,92.1
2023-03-20 22:58:00,0.100,106
