"Time","10250/TCP","443/TCP","53/UDP","6443/TCP","80/TCP","8079/TCP","8080/TCP","8181/TCP","8443/TCP","8500/TCP","8765/TCP","9093/TCP","9443/TCP"
2023-03-20 13:00:00,3.46,,,6.36,8.94,3.28,2.58,2.06,,5.18,1.64,1.68,1.70
2023-03-20 13:02:00,3.52,1.62,,6.20,8.84,3.20,2.50,2.10,,5.14,,1.76,1.68
2023-03-20 13:04:00,3.50,,,6.08,8.98,3.24,2.52,2.10,,5.16,1.64,1.66,1.68
2023-03-20 13:06:00,3.66,1.88,2.12,6.26,9.12,3.24,2.50,2.16,,5.20,,1.80,
2023-03-20 13:08:00,3.28,1.66,,6.12,9.20,3.30,2.54,1.96,,5.22,,1.66,1.68
2023-03-20 13:10:00,3.42,,,6.30,9.28,3.26,2.54,2.14,,5.20,1.60,1.78,1.68
2023-03-20 13:12:00,3.52,,,6.16,12.6,3.26,2.50,1.98,3.02,5.22,,1.78,1.80
2023-03-20 13:14:00,3.36,,,6.16,8.98,3.18,2.54,2.12,,5.20,1.64,1.78,1.66
2023-03-20 13:16:00,3.58,1.88,1.80,6.46,8.78,3.36,2.52,2.02,,5.18,,1.72,
2023-03-20 13:18:00,3.32,1.58,,6.20,8.96,3.22,2.50,2.04,,5.20,,1.68,1.66
2023-03-20 13:20:00,3.20,,,6.20,9.18,3.24,2.50,2,,5.20,1.60,1.76,1.66
2023-03-20 13:22:00,3.36,,,6.22,16.2,3.36,2.50,2.02,64.8,5.22,,1.80,1.68
2023-03-20 13:24:00,3.24,,,6.26,9.20,3.28,2.50,1.94,,5.16,1.66,1.72,1.68
2023-03-20 13:26:00,3.56,1.88,1.98,6.54,8.78,3.22,2.48,2.06,,5.22,,1.78,
2023-03-20 13:28:00,3.24,,,6,9.22,3.28,2.50,1.94,,5.20,1.62,1.72,1.68
2023-03-20 13:30:00,3.22,,,6.10,8.74,3.22,2.54,2,,5.16,1.56,1.66,1.66
2023-03-20 13:32:00,3.38,,,5.94,12.2,3.46,2.54,2.12,96.7,5.22,1.66,,1.68
2023-03-20 13:34:00,3.34,,,6.44,9.24,3.22,2.54,2.06,,5.20,1.66,1.74,1.68
2023-03-20 13:36:00,3.52,2.06,2.52,6.32,9.20,3.30,2.54,2.14,,5.18,,1.78,
2023-03-20 13:38:00,3.40,1.82,,6.10,9.16,3.26,2.56,2.06,,5.14,,1.80,1.68
2023-03-20 13:40:00,3.38,,,6.04,9.14,3.24,2.48,2.12,,5.18,1.62,1.70,1.68
2023-03-20 13:42:00,3.40,,,6.26,9.10,3.36,2.52,2.10,36.4,5.22,,1.68,1.68
2023-03-20 13:44:00,3.40,,,6.08,8.88,3.32,2.54,2.08,,5.16,1.64,1.68,1.68
2023-03-20 13:46:00,3.52,2.06,1.82,6.54,9.18,3.36,2.60,2.10,,5.14,,1.74,
2023-03-20 13:48:00,3.40,,,6.16,9.08,3.28,2.50,2.06,,5.22,1.64,1.68,1.68
2023-03-20 13:50:00,3.36,,,5.98,9.06,3.18,2.50,2,,5.26,1.64,1.58,1.68
2023-03-20 13:52:00,3.48,,,6.24,9.08,3.20,2.56,2.04,,5.14,1.68,1.68,1.66
