"Time","udp:99%","udp:90%","udp:50%"
2023-03-20 13:00:00,287,197,151
2023-03-20 13:04:00,286,196,142
2023-03-20 13:08:00,293,234,157
2023-03-20 13:12:00,280,194,144
2023-03-20 13:16:00,293,232,159
2023-03-20 13:20:00,293,234,156
2023-03-20 13:24:00,280,194,144
2023-03-20 13:28:00,292,224,156
2023-03-20 13:32:00,293,226,158
2023-03-20 13:36:00,283,195,142
2023-03-20 13:40:00,372,228,155
2023-03-20 13:44:00,286,196,146
2023-03-20 13:48:00,357,241,158
2023-03-20 13:52:00,294,237,159
2023-03-20 13:56:00,275,192,140
2023-03-20 14:00:00,290,199,153
2023-03-20 14:04:00,291,212,156
2023-03-20 14:08:00,290,200,147
2023-03-20 14:12:00,293,226,158
2023-03-20 14:16:00,292,224,158
2023-03-20 14:20:00,279,193,143
2023-03-20 14:24:00,295,248,162
2023-03-20 14:28:00,282,194,144
2023-03-20 14:32:00,291,215,157
2023-03-20 14:36:00,293,232,159
2023-03-20 14:40:00,285,195,142
2023-03-20 14:44:00,291,215,157
2023-03-20 14:48:00,329,198,147
2023-03-20 14:52:00,291,215,157
2023-03-20 14:56:00,295,248,162
2023-03-20 15:00:00,279,193,143
2023-03-20 15:04:00,294,237,159
2023-03-20 15:08:00,292,217,155
2023-03-20 15:12:00,286,196,143
2023-03-20 15:16:00,293,232,159
2023-03-20 15:20:00,279,193,143
2023-03-20 15:24:00,290,200,155
2023-03-20 15:28:00,292,224,154
2023-03-20 15:32:00,275,193,143
2023-03-20 15:36:00,293,232,159
2023-03-20 15:40:00,279,193,143
2023-03-20 15:44:00,295,248,162
2023-03-20 15:48:00,361,232,156
2023-03-20 15:52:00,284,195,145
2023-03-20 15:56:00,292,224,158
2023-03-20 16:00:00,293,234,156
2023-03-20 16:04:00,286,196,146
2023-03-20 16:08:00,293,230,157
2023-03-20 16:12:00,280,194,144
2023-03-20 16:16:00,295,248,162
2023-03-20 16:20:00,291,210,154
2023-03-20 16:24:00,280,194,144
2023-03-20 16:28:00,292,217,155
2023-03-20 16:32:00,295,250,163
2023-03-20 16:36:00,287,197,146
2023-03-20 16:40:00,290,200,153
2023-03-20 16:44:00,291,215,157
2023-03-20 16:48:00,335,204,147
2023-03-20 16:52:00,293,226,158
2023-03-20 16:56:00,286,196,146
2023-03-20 17:00:00,289,199,153
2023-03-20 17:04:00,295,248,162
2023-03-20 17:08:00,287,197,146
2023-03-20 17:12:00,292,218,157
2023-03-20 17:16:00,284,195,145
2023-03-20 17:20:00,293,225,154
2023-03-20 17:24:00,289,199,155
2023-03-20 17:28:00,286,196,145
2023-03-20 17:32:00,293,226,158
2023-03-20 17:36:00,295,252,163
2023-03-20 17:40:00,279,193,143
2023-03-20 17:44:00,293,232,159
2023-03-20 17:48:00,327,199,148
2023-03-20 17:52:00,295,245,161
2023-03-20 17:56:00,293,232,159
2023-03-20 18:00:00,282,194,144
2023-03-20 18:04:00,292,224,158
2023-03-20 18:08:00,290,200,146
2023-03-20 18:12:00,293,228,158
2023-03-20 18:16:00,292,224,158
2023-03-20 18:20:00,272,192,142
2023-03-20 18:24:00,294,243,161
2023-03-20 18:28:00,292,224,156
2023-03-20 18:32:00,280,194,144
2023-03-20 18:36:00,293,232,159
2023-03-20 18:40:00,285,195,142
2023-03-20 18:44:00,291,212,156
2023-03-20 18:48:00,357,241,158
2023-03-20 18:52:00,284,195,145
2023-03-20 18:56:00,295,248,162
2023-03-20 19:00:00,282,194,144
2023-03-20 19:04:00,293,232,159
2023-03-20 19:08:00,293,229,156
2023-03-20 19:12:00,286,196,143
2023-03-20 19:16:00,294,237,159
2023-03-20 19:20:00,290,199,153
2023-03-20 19:24:00,284,195,145
2023-03-20 19:28:00,294,237,157
2023-03-20 19:32:00,280,194,144
2023-03-20 19:36:00,292,224,158
2023-03-20 19:40:00,291,210,154
2023-03-20 19:44:00,286,196,143
2023-03-20 19:48:00,357,241,158
2023-03-20 19:52:00,280,194,144
2023-03-20 19:56:00,292,224,158
2023-03-20 20:00:00,293,234,156
2023-03-20 20:04:00,286,196,146
2023-03-20 20:08:00,292,223,156
2023-03-20 20:12:00,293,228,158
2023-03-20 20:16:00,286,196,143
2023-03-20 20:20:00,287,197,151
2023-03-20 20:24:00,286,196,146
2023-03-20 20:28:00,292,224,156
2023-03-20 20:32:00,294,237,159
2023-03-20 20:36:00,286,196,146
2023-03-20 20:40:00,291,210,154
2023-03-20 20:44:00,286,196,145
2023-03-20 20:48:00,363,257,160
2023-03-20 20:52:00,291,215,157
2023-03-20 20:56:00,280,194,144
2023-03-20 21:00:00,287,197,151
2023-03-20 21:04:00,295,252,163
2023-03-20 21:08:00,288,198,147
2023-03-20 21:12:00,292,218,157
2023-03-20 21:16:00,284,195,145
2023-03-20 21:20:00,293,225,154
2023-03-20 21:24:00,292,224,158
2023-03-20 21:28:00,282,195,144
2023-03-20 21:32:00,293,226,158
2023-03-20 21:36:00,288,198,145
2023-03-20 21:40:00,291,210,154
2023-03-20 21:44:00,293,226,158
2023-03-20 21:48:00,327,199,148
2023-03-20 21:52:00,295,245,161
2023-03-20 21:56:00,294,237,159
2023-03-20 22:00:00,282,194,144
2023-03-20 22:04:00,293,232,159
2023-03-20 22:08:00,289,199,146
2023-03-20 22:12:00,292,218,157
2023-03-20 22:16:00,293,232,159
2023-03-20 22:20:00,272,192,142
2023-03-20 22:24:00,295,248,162
2023-03-20 22:28:00,286,196,145
2023-03-20 22:32:00,286,197,154
2023-03-20 22:36:00,293,232,159
2023-03-20 22:40:00,285,195,142
2023-03-20 22:44:00,293,233,159
2023-03-20 22:48:00,357,241,158
2023-03-20 22:52:00,284,195,145
2023-03-20 22:56:00,295,252,163
2023-03-20 23:00:00,279,193,143
2023-03-20 23:04:00,294,237,159
2023-03-20 23:08:00,293,229,156
2023-03-20 23:12:00,286,196,143
2023-03-20 23:16:00,293,226,158
2023-03-20 23:20:00,290,199,153
2023-03-20 23:24:00,284,195,145
2023-03-20 23:28:00,295,245,159
2023-03-20 23:32:00,264,191,141
2023-03-20 23:36:00,293,232,159
2023-03-20 23:40:00,290,199,153
2023-03-20 23:44:00,286,196,143
2023-03-20 23:48:00,359,237,157
2023-03-20 23:52:00,284,195,145
2023-03-20 23:56:00,293,232,159
2023-03-21 00:00:00,293,234,156
2023-03-21 00:04:00,286,196,146
2023-03-21 00:08:00,292,223,156
2023-03-21 00:12:00,291,215,157
2023-03-21 00:16:00,288,198,144
2023-03-21 00:20:00,291,210,154
2023-03-21 00:24:00,286,196,146
2023-03-21 00:28:00,292,217,155
2023-03-21 00:32:00,295,245,161
2023-03-21 00:36:00,284,195,145
2023-03-21 00:40:00,291,210,154
2023-03-21 00:44:00,280,194,144
2023-03-21 00:48:00,365,255,160
2023-03-21 00:52:00,291,215,157
2023-03-21 00:56:00,284,195,145
2023-03-21 01:00:00,290,199,153
2023-03-21 01:04:00,294,243,161
2023-03-21 01:08:00,284,195,145
2023-03-21 01:12:00,290,200,155
2023-03-21 01:16:00,284,195,145
2023-03-21 01:20:00,293,234,156
2023-03-21 01:24:00,292,224,158
2023-03-21 01:28:00,286,196,145
2023-03-21 01:32:00,286,197,154
2023-03-21 01:36:00,286,196,143
2023-03-21 01:40:00,290,199,153
2023-03-21 01:44:00,293,233,159
2023-03-21 01:48:00,333,196,146
2023-03-21 01:52:00,295,245,161
2023-03-21 01:56:00,291,212,156
2023-03-21 02:00:00,262,190,138
2023-03-21 02:04:00,292,224,158
2023-03-21 02:08:00,294,244,159
2023-03-21 02:12:00,284,195,145
2023-03-21 02:16:00,293,226,158
2023-03-21 02:20:00,282,194,144
2023-03-21 02:24:00,295,252,163
2023-03-21 02:28:00,292,217,155
2023-03-21 02:32:00,275,193,143
2023-03-21 02:36:00,293,232,159
2023-03-21 02:40:00,293,234,156
2023-03-21 02:44:00,286,196,146
2023-03-21 02:48:00,357,242,158
2023-03-21 02:52:00,280,194,144
2023-03-21 02:56:00,295,248,162
2023-03-21 03:00:00,290,199,153
2023-03-21 03:04:00,284,195,145
2023-03-21 03:08:00,292,223,156
2023-03-21 03:12:00,286,196,143
2023-03-21 03:16:00,294,239,160
2023-03-21 03:20:00,291,210,154
2023-03-21 03:24:00,286,196,146
2023-03-21 03:28:00,291,206,152
2023-03-21 03:32:00,290,200,155
2023-03-21 03:36:00,280,194,144
2023-03-21 03:40:00,289,199,153
2023-03-21 03:44:00,286,196,143
2023-03-21 03:48:00,357,242,158
2023-03-21 03:52:00,291,215,157
2023-03-21 03:56:00,286,196,146
2023-03-21 04:00:00,294,240,157
2023-03-21 04:04:00,293,232,159
2023-03-21 04:08:00,279,193,141
2023-03-21 04:12:00,291,215,157
2023-03-21 04:16:00,295,253,164
2023-03-21 04:20:00,282,194,144
2023-03-21 04:24:00,292,224,158
2023-03-21 04:28:00,284,195,145
2023-03-21 04:32:00,295,245,161
2023-03-21 04:36:00,291,213,156
2023-03-21 04:40:00,282,194,144
2023-03-21 04:44:00,294,237,159
2023-03-21 04:48:00,338,200,146
2023-03-21 04:52:00,291,215,157
2023-03-21 04:56:00,293,232,159
2023-03-21 05:00:00,282,194,144
2023-03-21 05:04:00,295,248,162
2023-03-21 05:08:00,293,233,157
2023-03-21 05:12:00,275,193,143
2023-03-21 05:16:00,291,215,157
2023-03-21 05:20:00,266,191,138
2023-03-21 05:24:00,292,224,158
2023-03-21 05:28:00,293,230,157
2023-03-21 05:32:00,284,195,145
2023-03-21 05:36:00,295,252,163
2023-03-21 05:40:00,282,194,144
2023-03-21 05:44:00,293,232,159
2023-03-21 05:48:00,357,242,158
2023-03-21 05:52:00,288,198,144
2023-03-21 05:56:00,293,232,159
2023-03-21 06:00:00,291,210,154
2023-03-21 06:04:00,284,195,145
2023-03-21 06:08:00,294,243,158
2023-03-21 06:12:00,284,195,145
2023-03-21 06:16:00,292,224,158
2023-03-21 06:20:00,290,200,153
2023-03-21 06:24:00,288,198,145
2023-03-21 06:28:00,292,224,156
2023-03-21 06:32:00,284,195,145
2023-03-21 06:36:00,292,224,158
2023-03-21 06:40:00,293,234,156
2023-03-21 06:44:00,286,196,146
2023-03-21 06:48:00,357,242,158
2023-03-21 06:52:00,284,195,145
2023-03-21 06:56:00,295,252,163
2023-03-21 07:00:00,291,210,154
2023-03-21 07:04:00,287,197,146
2023-03-21 07:08:00,293,229,156
2023-03-21 07:12:00,295,250,163
2023-03-21 07:16:00,284,195,145
2023-03-21 07:20:00,287,198,152
2023-03-21 07:24:00,284,195,145
2023-03-21 07:28:00,294,241,158
2023-03-21 07:32:00,291,215,157
2023-03-21 07:36:00,284,195,145
2023-03-21 07:40:00,290,199,153
2023-03-21 07:44:00,288,198,145
2023-03-21 07:48:00,357,242,158
2023-03-21 07:52:00,293,226,158
2023-03-21 07:56:00,284,195,145
2023-03-21 08:00:00,293,234,156
2023-03-21 08:04:00,292,224,158
2023-03-21 08:08:00,287,197,146
2023-03-21 08:12:00,293,226,158
2023-03-21 08:16:00,288,198,145
2023-03-21 08:20:00,291,212,154
2023-03-21 08:24:00,292,224,158
2023-03-21 08:28:00,286,196,145
2023-03-21 08:32:00,295,253,164
2023-03-21 08:36:00,280,194,144
2023-03-21 08:40:00,291,210,154
2023-03-21 08:44:00,293,232,159
2023-03-21 08:48:00,335,204,147
2023-03-21 08:52:00,293,228,158
2023-03-21 08:56:00,294,237,159
2023-03-21 09:00:00,262,190,138
2023-03-21 09:04:00,295,248,162
2023-03-21 09:08:00,292,223,156
2023-03-21 09:12:00,280,194,144
2023-03-21 09:16:00,292,224,158
2023-03-21 09:20:00,287,197,143
2023-03-21 09:24:00,291,212,156
2023-03-21 09:28:00,288,198,151
2023-03-21 09:32:00,284,195,145
2023-03-21 09:36:00,295,248,162
2023-03-21 09:40:00,291,210,154
2023-03-21 09:44:00,284,195,145
2023-03-21 09:48:00,359,237,157
2023-03-21 09:52:00,286,196,143
2023-03-21 09:56:00,292,224,158
2023-03-21 10:00:00,290,199,153
2023-03-21 10:04:00,275,192,140
2023-03-21 10:08:00,294,240,158
2023-03-21 10:12:00,291,215,157
2023-03-21 10:16:00,280,194,144
2023-03-21 10:20:00,290,200,153
2023-03-21 10:24:00,286,196,143
2023-03-21 10:28:00,292,224,156
2023-03-21 10:32:00,291,215,157
2023-03-21 10:36:00,286,196,146
2023-03-21 10:40:00,293,234,156
2023-03-21 10:44:00,292,224,158
2023-03-21 10:48:00,329,198,147
2023-03-21 10:52:00,277,194,152
2023-03-21 10:56:00,283,195,142
2023-03-21 11:00:00,291,210,154
2023-03-21 11:04:00,293,232,159
2023-03-21 11:08:00,286,196,145
2023-03-21 11:12:00,295,250,163
2023-03-21 11:16:00,286,196,146
2023-03-21 11:20:00,290,199,153
2023-03-21 11:24:00,293,234,159
2023-03-21 11:28:00,288,198,145
2023-03-21 11:32:00,293,226,158
2023-03-21 11:36:00,292,224,158
2023-03-21 11:40:00,282,194,144
2023-03-21 11:44:00,295,252,163
2023-03-21 11:48:00,331,197,146
2023-03-21 11:52:00,293,228,158
2023-03-21 11:56:00,294,237,159
2023-03-21 12:00:00,285,195,142
2023-03-21 12:04:00,292,224,158
2023-03-21 12:08:00,287,197,146
2023-03-21 12:12:00,293,226,158
2023-03-21 12:16:00,295,248,162
2023-03-21 12:20:00,279,193,143
2023-03-21 12:24:00,291,215,157
2023-03-21 12:28:00,292,224,156
2023-03-21 12:32:00,286,196,143
2023-03-21 12:36:00,293,232,159
2023-03-21 12:40:00,279,193,143
2023-03-21 12:44:00,293,232,159
2023-03-21 12:48:00,367,253,159
2023-03-21 12:52:00,264,191,138
2023-03-21 12:56:00,292,224,158
2023-03-21 13:00:00,291,210,154
2023-03-21 13:04:00,286,196,143
2023-03-21 13:08:00,292,217,155
2023-03-21 13:12:00,291,215,157
2023-03-21 13:16:00,286,196,146
2023-03-21 13:20:00,291,210,152
2023-03-21 13:24:00,284,195,145
2023-03-21 13:28:00,292,224,156
2023-03-21 13:32:00,290,200,155
2023-03-21 13:36:00,286,196,143
2023-03-21 13:40:00,373,215,154
2023-03-21 13:44:00,291,212,156
2023-03-21 13:48:00,331,197,146
2023-03-21 13:52:00,295,250,163
2023-03-21 13:56:00,286,196,146
2023-03-21 14:00:00,270,191,140
2023-03-21 14:04:00,292,224,158
2023-03-21 14:08:00,290,200,147
2023-03-21 14:12:00,293,233,159
2023-03-21 14:16:00,293,232,159
2023-03-21 14:20:00,279,193,143
2023-03-21 14:24:00,295,253,164
2023-03-21 14:28:00,284,195,145
2023-03-21 14:32:00,293,226,158
2023-03-21 14:36:00,293,232,159
2023-03-21 14:40:00,276,192,140
2023-03-21 14:44:00,292,224,158
2023-03-21 14:48:00,357,241,158
2023-03-21 14:52:00,290,204,153
2023-03-21 14:56:00,295,253,164
2023-03-21 15:00:00,292,220,155
2023-03-21 15:04:00,292,224,158
2023-03-21 15:08:00,293,229,156
2023-03-21 15:12:00,295,245,161
2023-03-21 15:16:00,292,224,158
2023-03-21 15:20:00,290,199,153
2023-03-21 15:24:00,294,239,160
2023-03-21 15:28:00,292,217,153
2023-03-21 15:32:00,291,215,157
2023-03-21 15:36:00,292,224,158
2023-03-21 15:40:00,291,210,154
2023-03-21 15:44:00,295,252,163
2023-03-21 15:48:00,355,244,158
2023-03-21 15:52:00,291,215,157
2023-03-21 15:56:00,293,233,159
2023-03-21 16:00:00,293,225,154
