"Time","sum(irate({__name__=~""node_cpu_seconds_total|windows_cpu_time_total"",mode!=""idle""}[5m]))"
2023-03-20 13:00:00,0.904
2023-03-20 13:20:00,0.866
2023-03-20 13:40:00,0.906
2023-03-20 14:00:00,0.928
2023-03-20 14:20:00,0.863
2023-03-20 14:40:00,0.725
2023-03-20 15:00:00,0.869
2023-03-20 15:20:00,0.939
2023-03-20 15:40:00,0.948
2023-03-20 16:00:00,0.891
2023-03-20 16:20:00,0.905
2023-03-20 16:40:00,0.909
2023-03-20 17:00:00,0.877
2023-03-20 17:20:00,0.696
2023-03-20 17:40:00,0.847
2023-03-20 18:00:00,0.969
2023-03-20 18:20:00,0.933
2023-03-20 18:40:00,0.840
2023-03-20 19:00:00,1.03
2023-03-20 19:20:00,0.929
2023-03-20 19:40:00,0.898
2023-03-20 20:00:00,0.750
2023-03-20 20:20:00,0.790
2023-03-20 20:40:00,0.926
2023-03-20 21:00:00,0.900
2023-03-20 21:20:00,0.873
2023-03-20 21:40:00,0.903
2023-03-20 22:00:00,0.935
2023-03-20 22:20:00,0.863
2023-03-20 22:40:00,0.687
2023-03-20 23:00:00,0.945
2023-03-20 23:20:00,0.983
2023-03-20 23:40:00,0.873
2023-03-21 00:00:00,0.926
2023-03-21 00:20:00,0.908
2023-03-21 00:40:00,0.898
2023-03-21 01:00:00,0.755
2023-03-21 01:20:00,0.771
2023-03-21 01:40:00,0.888
2023-03-21 02:00:00,0.947
2023-03-21 02:20:00,0.942
2023-03-21 02:40:00,0.897
2023-03-21 03:00:00,0.952
2023-03-21 03:20:00,0.896
2023-03-21 03:40:00,0.840
2023-03-21 04:00:00,0.753
2023-03-21 04:20:00,0.809
2023-03-21 04:40:00,0.922
2023-03-21 05:00:00,0.853
2023-03-21 05:20:00,0.660
2023-03-21 05:40:00,0.684
2023-03-21 06:00:00,0.769
2023-03-21 06:20:00,0.689
2023-03-21 06:40:00,0.461
2023-03-21 07:00:00,0.641
2023-03-21 07:20:00,0.669
2023-03-21 07:40:00,0.689
2023-03-21 08:00:00,0.712
2023-03-21 08:20:00,0.658
2023-03-21 08:40:00,0.701
2023-03-21 09:00:00,0.749
2023-03-21 09:20:00,0.546
2023-03-21 09:40:00,0.464
2023-03-21 10:00:00,0.570
2023-03-21 10:20:00,0.875
2023-03-21 10:40:00,0.895
2023-03-21 11:00:00,0.899
2023-03-21 11:20:00,0.872
2023-03-21 11:40:00,0.913
2023-03-21 12:00:00,0.895
2023-03-21 12:20:00,0.697
2023-03-21 12:40:00,0.838
2023-03-21 13:00:00,0.992
2023-03-21 13:20:00,0.926
2023-03-21 13:40:00,0.869
2023-03-21 14:00:00,0.921
2023-03-21 14:20:00,0.903
2023-03-21 14:40:00,0.917
2023-03-21 15:00:00,0.786
2023-03-21 15:20:00,0.811
2023-03-21 15:40:00,0.901
2023-03-21 16:00:00,0.911
2023-03-21 16:20:00,0.884
2023-03-21 16:40:00,0.956
2023-03-21 17:00:00,0.969
2023-03-21 17:20:00,0.827
2023-03-21 17:40:00,0.694
2023-03-21 18:00:00,0.931
2023-03-21 18:20:00,0.935
2023-03-21 18:40:00,0.856
2023-03-21 19:00:00,0.960

