"Time","cattle-fleet-local-system","cattle-fleet-system","cattle-monitoring-system","cattle-system","cert-manager","cilium-monitoring","default","falco","kube-system","longhorn-system","sock-shop"
2023-03-20 13:00:00,31.5,18.6,1569,49.1,3.28,22.2,0,2.56,1015,30.5,21.0
2023-03-20 13:04:00,10.2,18.0,1365,47.0,3.10,22.4,0,2.73,905,29.3,21.0
2023-03-20 13:08:00,10.2,18.1,1376,46.5,3.34,21.5,0,2.49,899,29.1,21.0
2023-03-20 13:12:00,10.1,17.8,1804,47.6,3.11,22.5,0.0158,2.56,1240,29.7,51.4
2023-03-20 13:16:00,10.3,19.0,1415,55.1,3.30,23.2,0,4.60,967,30.7,20.7
2023-03-20 13:20:00,9.85,17.6,1281,46.1,3.28,21.8,0,2.48,835,29.1,21.0
2023-03-20 13:24:00,10.5,18.3,1331,48.3,3.16,25.7,0,2.57,902,30.1,21.0
2023-03-20 13:28:00,10.5,18.1,1339,46.8,3.11,22.0,0,2.57,884,29.2,21.2
2023-03-20 13:32:00,10.1,18.3,1965,46.8,3.06,21.5,0.0149,2.25,1543,29.7,39.3
2023-03-20 13:36:00,12.5,19.8,1480,55.9,3.27,23.6,0,3.65,982,30.5,20.9
2023-03-20 13:40:00,10.0,18.3,1259,45.8,3.03,21.9,0,2.55,864,28.9,20.5
2023-03-20 13:44:00,10.0,18.2,1341,47.4,2.99,23.2,0,3.64,878,29.6,20.8
2023-03-20 13:48:00,10.1,18.4,1405,46.6,3.19,22.0,0,2.85,940,29.2,21.0
2023-03-20 13:52:00,10.4,18.1,1402,52.4,3.27,25.7,0,3.20,938,31.3,21.1
2023-03-20 13:56:00,10.6,19.7,1862,51.9,3.05,22.4,0,2.52,1300,29.6,52.6
2023-03-20 14:00:00,10.7,18.4,1259,47.7,3.22,22.4,0,2.52,869,30.1,20.9
2023-03-20 14:04:00,9.94,18.1,1168,46.7,3.27,24.1,0,2.61,782,29.2,20.8
2023-03-20 14:08:00,10.0,18.6,1297,48.3,3.26,21.2,0,2.46,846,29.5,21.1
2023-03-20 14:12:00,10.6,18.2,1315,53.8,3.54,23.2,0.0123,3.27,883,31.2,20.8
2023-03-20 14:16:00,10.2,19.5,2054,50.9,2.97,22.0,0,2.51,1419,29.4,53.2
2023-03-20 14:20:00,9.98,18.0,1433,46.4,3.48,21.4,0,3.32,861,29.1,20.9
2023-03-20 14:24:00,10.2,17.9,1155,45.9,3.21,21.7,0,2.62,768,27.9,20.5
2023-03-20 14:28:00,10.2,18.3,1211,48.9,3.26,22.2,0,2.83,852,29.5,20.9
2023-03-20 14:32:00,10.8,18.4,1320,52.7,3.25,23.2,0,3.16,862,30.8,21.0
2023-03-20 14:36:00,12.5,19.8,1391,54.8,3.09,21.6,0,2.35,935,29.8,21.0
2023-03-20 14:40:00,10.3,18.3,1298,48.7,3.33,23.0,0,2.51,864,30.2,20.7
2023-03-20 14:44:00,10.3,18.1,1217,46.8,3.14,20.2,0,3.06,840,29.9,20.5
2023-03-20 14:48:00,10.5,18.1,1679,52.9,3.23,23.4,0,2.79,1169,30.4,55.2
2023-03-20 14:52:00,9.93,18.0,1265,48.5,3.08,22.1,0,4.31,823,28.8,21.2
2023-03-20 14:56:00,10.6,19.8,1351,52.3,3.07,22.7,0,2.61,892,30.0,20.9
2023-03-20 15:00:00,9.82,17.9,1276,45.3,3.43,22.7,0,2.62,841,28.6,20.8
2023-03-20 15:04:00,10.1,18.6,1258,48.3,3.14,21.9,0,2.41,851,29.3,20.9
2023-03-20 15:08:00,10.6,18.4,1873,51.9,3.10,21.3,0,3.35,1408,30.8,43.3
2023-03-20 15:12:00,10.5,18.6,1250,49.8,3.18,22.8,0,5.87,853,29.8,20.9
2023-03-20 15:16:00,10.2,19.6,1444,51.6,3.18,20.8,0,2.52,946,29.2,20.9
2023-03-20 15:20:00,10.0,18.4,1264,48.9,3.18,21.7,0,2.53,857,29.0,20.8
2023-03-20 15:24:00,10.3,18.0,1310,49.2,3.37,21.2,0.0183,3.64,861,30.3,21.0
2023-03-20 15:28:00,28.7,18.2,1452,51.1,3.41,22.4,0,3.21,992,30.3,21.0
2023-03-20 15:32:00,10.1,18.6,1199,48.8,3.31,22.5,0,3.23,820,29.6,20.7
2023-03-20 15:36:00,12.5,19.8,1374,54.4,3.34,21.7,0,2.80,934,29.7,20.7
2023-03-20 15:40:00,10.6,18.0,1853,47.6,3.21,20.3,0,2.52,1353,29.0,51.5
2023-03-20 15:44:00,10.6,18.1,1345,54.1,3.33,22.5,0,2.95,896,30.8,20.8
2023-03-20 15:48:00,9.93,17.9,1276,47.2,3.06,22.3,0,2.18,870,28.6,21.0
2023-03-20 15:52:00,9.87,18.2,1261,49.3,3.10,20.2,0,4.02,854,28.6,20.9
2023-03-20 15:56:00,9.73,18.9,1285,49.6,3.13,22.8,0,2.48,843,28.7,20.9
2023-03-20 16:00:00,10.2,17.9,1734,48.1,3.22,21.2,0,2.67,1193,29.2,31.9
2023-03-20 16:04:00,9.92,17.6,1305,50.6,3.15,22.4,0,3.11,853,29.9,20.8
2023-03-20 16:08:00,9.84,18.0,1258,45.2,3.14,22.7,0,2.29,838,27.5,20.7
2023-03-20 16:12:00,9.79,17.5,1311,44.9,3.16,24.3,0,2.52,862,27.3,20.9
2023-03-20 16:16:00,10.0,18.9,1239,50.9,3.10,19.6,0,3.70,889,28.6,21.1
2023-03-20 16:20:00,10.7,18.0,1234,50.8,3.34,23.7,0,5.78,854,30.4,20.6
2023-03-20 16:24:00,10.2,18.2,1284,48.4,3.31,21.8,0,2.68,857,28.8,20.9
2023-03-20 16:28:00,10.0,18.3,1301,46.4,3.23,23.0,0,2.90,873,28.9,20.9
2023-03-20 16:32:00,10.3,18.2,2022,48.7,3.29,21.6,0,4.59,1505,29.4,60.2
2023-03-20 16:36:00,12.3,20.0,1395,53.6,3.27,22.0,0,2.49,931,29.7,21.1
2023-03-20 16:40:00,10.8,18.8,1280,52.4,3.21,19.4,0,3.17,867,31.2,20.7
2023-03-20 16:44:00,10.4,18.5,1405,47.6,3.12,20.0,0,2.46,954,29.4,47.0
2023-03-20 16:48:00,10.1,18.7,1274,48.7,3.23,23.9,0,4.17,855,30.0,21.1
2023-03-20 16:52:00,10.1,18.8,1340,49.9,3.22,22.4,0,2.33,881,29.8,20.7
2023-03-20 16:56:00,10.3,20.0,1352,52.4,3.22,21.8,0,3.81,922,29.7,20.7
2023-03-20 17:00:00,10.2,18.1,1351,52.1,3.30,24.3,0,3.04,881,30.6,20.5
2023-03-20 17:04:00,10.0,18.0,1431,48.5,3.38,20.0,0.0142,2.79,1016,29.7,23.6
2023-03-20 17:08:00,10.5,18.3,1271,49.0,3.07,22.7,0,2.76,829,29.6,21.0
2023-03-20 17:12:00,10.1,18.4,1309,48.0,3.14,19.8,0,2.63,869,29.8,21.1
2023-03-20 17:16:00,10.3,18.9,1394,57.8,3.13,21.8,0,4.73,908,30.2,20.4
2023-03-20 17:20:00,10.3,18.2,1296,47.4,3.20,20.6,0,2.85,838,30.0,21.3
2023-03-20 17:24:00,10.2,17.8,1240,46.3,3.44,23.4,0,2.89,836,28.9,21.0
2023-03-20 17:28:00,10.3,17.8,1146,46.0,2.98,21.9,0,2.70,805,29.3,20.6
2023-03-20 17:32:00,10.4,18.2,1323,47.7,3.52,22.6,0.0191,3.59,902,29.2,20.4
2023-03-20 17:36:00,12.3,19.6,2385,59.7,3.43,23.4,0,5.28,1795,31.4,64.1
