"Time","192.168.0.211:10250","192.168.0.221:10250","192.168.0.222:10250"
2023-03-20 13:00:00,0.173,0.0391,0.0377
2023-03-20 13:04:00,0.168,0.0388,0.0359
2023-03-20 13:08:00,0.177,0.0396,0.0375
2023-03-20 13:12:00,0.173,0.0382,0.0378
2023-03-20 13:16:00,0.175,0.0402,0.0377
2023-03-20 13:20:00,0.165,0.0389,0.0367
2023-03-20 13:24:00,0.167,0.0384,0.0368
2023-03-20 13:28:00,0.173,0.0394,0.0370
2023-03-20 13:32:00,0.169,0.0393,0.0371
2023-03-20 13:36:00,0.178,0.0385,0.0377
2023-03-20 13:40:00,0.177,0.0400,0.0378
2023-03-20 13:44:00,0.165,0.0405,0.0381
2023-03-20 13:48:00,0.174,0.0391,0.0362
2023-03-20 13:52:00,0.177,0.0400,0.0383
2023-03-20 13:56:00,0.175,0.0404,0.0381
2023-03-20 14:00:00,0.176,0.0389,0.0376
2023-03-20 14:04:00,0.170,0.0386,0.0376
2023-03-20 14:08:00,0.170,0.0389,0.0378
2023-03-20 14:12:00,0.179,0.0396,0.0364
2023-03-20 14:16:00,0.170,0.0400,0.0385
2023-03-20 14:20:00,0.168,0.0376,0.0376
2023-03-20 14:24:00,0.166,0.0395,0.0375
2023-03-20 14:28:00,0.172,0.0385,0.0383
2023-03-20 14:32:00,0.172,0.0395,0.0372
2023-03-20 14:36:00,0.179,0.0395,0.0363
2023-03-20 14:40:00,0.178,0.0395,0.0380
2023-03-20 14:44:00,0.170,0.0382,0.0369
2023-03-20 14:48:00,0.174,0.0392,0.0384
2023-03-20 14:52:00,0.165,0.0389,0.0379
2023-03-20 14:56:00,0.172,0.0396,0.0381
2023-03-20 15:00:00,0.172,0.0398,0.0375
2023-03-20 15:04:00,0.166,0.0386,0.0389
2023-03-20 15:08:00,0.176,0.0391,0.0383
2023-03-20 15:12:00,0.175,0.0391,0.0378
2023-03-20 15:16:00,0.172,0.0395,0.0383
2023-03-20 15:20:00,0.175,0.0396,0.0367
