"Time","cattle-fleet-local-system","cattle-fleet-system","cattle-monitoring-system","cattle-system","cert-manager","cilium-monitoring","default","falco","kube-system","longhorn-system","sock-shop"
2023-03-20 13:00:00,1750,1390,6209,1807,152,3156,0.0467,76.6,6282,73.3,586
2023-03-20 13:02:00,1750,1390,6209,1807,152,3156,0.0467,76.6,6282,73.3,586
2023-03-20 13:04:00,1750,1390,6209,1807,152,3156,0.0467,76.6,6282,73.3,586
2023-03-20 13:06:00,1440,1327,6577,1731,151,3012,0.0467,74.7,6453,72.9,1473
2023-03-20 13:08:00,1440,1327,6577,1731,151,3012,0.0467,74.7,6453,72.9,1473
2023-03-20 13:10:00,1422,1361,5880,1674,149,3119,0,82.9,5821,72.8,580
2023-03-20 13:12:00,1422,1361,5880,1674,149,3119,0,82.9,5821,72.8,580
2023-03-20 13:14:00,1422,1361,5880,1674,149,3119,0,82.9,5821,72.8,580
2023-03-20 13:16:00,1383,1392,6504,1819,147,3083,0.0467,82.8,6513,74.0,1477
2023-03-20 13:18:00,1383,1392,6504,1819,147,3083,0.0467,82.8,6513,74.0,1477
2023-03-20 13:20:00,1805,1335,6109,1761,147,3103,0,79.5,6029,73.7,583
2023-03-20 13:22:00,1805,1335,6109,1761,147,3103,0,79.5,6029,73.7,583
2023-03-20 13:24:00,1805,1335,6109,1761,147,3103,0,79.5,6029,73.7,583
2023-03-20 13:26:00,1415,1433,6750,1815,152,3116,0,81.1,6625,72.3,1472
2023-03-20 13:28:00,1415,1433,6750,1815,152,3116,0,81.1,6625,72.3,1472
2023-03-20 13:30:00,1349,1348,5727,1732,148,3038,0,88.6,5888,72.8,583
2023-03-20 13:32:00,1349,1348,5727,1732,148,3038,0,88.6,5888,72.8,583
2023-03-20 13:34:00,1349,1348,5727,1732,148,3038,0,88.6,5888,72.8,583
2023-03-20 13:36:00,1801,1354,6892,1820,153,3092,0,83.2,6823,74.4,1479
2023-03-20 13:38:00,1801,1354,6892,1820,153,3092,0,83.2,6823,74.4,1479
2023-03-20 13:40:00,1463,1375,5976,1811,145,3056,0,85.0,5830,78.3,586
2023-03-20 13:42:00,1463,1375,5976,1811,145,3056,0,85.0,5830,78.3,586
2023-03-20 13:44:00,1463,1375,5976,1811,145,3056,0,85.0,5830,78.3,586
2023-03-20 13:46:00,1413,1387,6615,1787,152,3128,0,88.9,6726,79.3,1479
2023-03-20 13:48:00,1413,1387,6615,1787,152,3128,0,88.9,6726,79.3,1479
2023-03-20 13:50:00,1438,1409,5993,1808,149,3098,0.0933,81.5,5799,78.2,577
2023-03-20 13:52:00,1438,1409,5993,1808,149,3098,0.0933,81.5,5799,78.2,577
2023-03-20 13:54:00,1438,1409,5993,1808,149,3098,0.0933,81.5,5799,78.2,577
2023-03-20 13:56:00,1822,1394,8920,1842,156,3096,0,77.3,9922,79.5,4439
2023-03-20 13:58:00,1822,1394,8920,1842,156,3096,0,77.3,9922,79.5,4439
2023-03-20 14:00:00,1441,1384,6297,1802,151,3008,0.0467,88.1,5994,79.8,1024
2023-03-20 14:02:00,1441,1384,6297,1802,151,3008,0.0467,88.1,5994,79.8,1024
2023-03-20 14:04:00,1441,1384,6297,1802,151,3008,0.0467,88.1,5994,79.8,1024
2023-03-20 14:06:00,1359,1352,5853,1834,148,3101,0.0467,79.8,5832,76.2,740
2023-03-20 14:08:00,1359,1352,5853,1834,148,3101,0.0467,79.8,5832,76.2,740
2023-03-20 14:10:00,1515,1397,7784,2562,148,3063,0,81.8,7772,79,1312
2023-03-20 14:12:00,1515,1397,7784,2562,148,3063,0,81.8,7772,79,1312
2023-03-20 14:14:00,1515,1397,7784,2562,148,3063,0,81.8,7772,79,1312
