"Time","cattle-fleet-local-system","cattle-fleet-system","cattle-monitoring-system","cattle-system","cert-manager","cilium-monitoring","default","falco","kube-system","longhorn-system","sock-shop"
2023-03-20 13:00:00,12.6,15.8,1284,45.6,3.05,24.7,0.00333,2.68,942,23.1,19.3
2023-03-20 13:01:00,12.6,15.8,1284,45.6,3.05,24.7,0.00333,2.68,942,23.1,19.3
2023-03-20 13:02:00,12.6,15.8,1284,45.6,3.05,24.7,0.00333,2.68,942,23.1,19.3
2023-03-20 13:03:00,12.6,15.8,1284,45.6,3.05,24.7,0.00333,2.68,942,23.1,19.3
2023-03-20 13:04:00,12.6,15.8,1284,45.6,3.05,24.7,0.00333,2.68,942,23.1,19.3
2023-03-20 13:05:00,8.46,15.1,1458,43.4,2.93,22.8,0.00333,2.65,1029,22.6,27.6
2023-03-20 13:06:00,8.46,15.1,1458,43.4,2.93,22.8,0.00333,2.65,1029,22.6,27.6
2023-03-20 13:07:00,8.46,15.1,1458,43.4,2.93,22.8,0.00333,2.65,1029,22.6,27.6
2023-03-20 13:08:00,8.46,15.1,1458,43.4,2.93,22.8,0.00333,2.65,1029,22.6,27.6
2023-03-20 13:09:00,8.46,15.1,1458,43.4,2.93,22.8,0.00333,2.65,1029,22.6,27.6
2023-03-20 13:10:00,8.38,15.4,1270,44.4,3,24.5,0,2.84,902,22.6,19.0
2023-03-20 13:11:00,8.38,15.4,1270,44.4,3,24.5,0,2.84,902,22.6,19.0
2023-03-20 13:12:00,8.38,15.4,1270,44.4,3,24.5,0,2.84,902,22.6,19.0
2023-03-20 13:13:00,8.38,15.4,1270,44.4,3,24.5,0,2.84,902,22.6,19.0
2023-03-20 13:14:00,8.38,15.4,1270,44.4,3,24.5,0,2.84,902,22.6,19.0
2023-03-20 13:15:00,8.12,15.7,1445,45.4,2.91,23.9,0.00333,2.95,1039,23.0,27.1
2023-03-20 13:16:00,8.12,15.7,1445,45.4,2.91,23.9,0.00333,2.95,1039,23.0,27.1
2023-03-20 13:17:00,8.12,15.7,1445,45.4,2.91,23.9,0.00333,2.95,1039,23.0,27.1
2023-03-20 13:18:00,8.12,15.7,1445,45.4,2.91,23.9,0.00333,2.95,1039,23.0,27.1
2023-03-20 13:19:00,8.12,15.7,1445,45.4,2.91,23.9,0.00333,2.95,1039,23.0,27.1
2023-03-20 13:20:00,12.9,15.2,1273,43.7,2.91,24.0,0,2.79,904,22.9,18.9
2023-03-20 13:21:00,12.9,15.2,1273,43.7,2.91,24.0,0,2.79,904,22.9,18.9
2023-03-20 13:22:00,12.9,15.2,1273,43.7,2.91,24.0,0,2.79,904,22.9,18.9
2023-03-20 13:23:00,12.9,15.2,1273,43.7,2.91,24.0,0,2.79,904,22.9,18.9
2023-03-20 13:24:00,12.9,15.2,1273,43.7,2.91,24.0,0,2.79,904,22.9,18.9
2023-03-20 13:25:00,8.22,16.2,1496,45.3,3.02,24.7,0,2.83,1051,22.4,27.5
2023-03-20 13:26:00,8.22,16.2,1496,45.3,3.02,24.7,0,2.83,1051,22.4,27.5
2023-03-20 13:27:00,8.22,16.2,1496,45.3,3.02,24.7,0,2.83,1051,22.4,27.5
2023-03-20 13:28:00,8.22,16.2,1496,45.3,3.02,24.7,0,2.83,1051,22.4,27.5
2023-03-20 13:29:00,8.22,16.2,1496,45.3,3.02,24.7,0,2.83,1051,22.4,27.5
2023-03-20 13:30:00,7.94,15.2,1225,43.3,2.91,23.2,0,3.04,911,22.7,18.8
2023-03-20 13:31:00,7.94,15.2,1225,43.3,2.91,23.2,0,3.04,911,22.7,18.8
2023-03-20 13:32:00,7.94,15.2,1225,43.3,2.91,23.2,0,3.04,911,22.7,18.8
2023-03-20 13:33:00,7.94,15.2,1225,43.3,2.91,23.2,0,3.04,911,22.7,18.8
2023-03-20 13:34:00,7.94,15.2,1225,43.3,2.91,23.2,0,3.04,911,22.7,18.8
2023-03-20 13:35:00,12.8,15.4,1501,45.0,3.03,23.7,0,2.87,1062,23.3,27.5
2023-03-20 13:36:00,12.8,15.4,1501,45.0,3.03,23.7,0,2.87,1062,23.3,27.5
2023-03-20 13:37:00,12.8,15.4,1501,45.0,3.03,23.7,0,2.87,1062,23.3,27.5
2023-03-20 13:38:00,12.8,15.4,1501,45.0,3.03,23.7,0,2.87,1062,23.3,27.5
2023-03-20 13:39:00,12.8,15.4,1501,45.0,3.03,23.7,0,2.87,1062,23.3,27.5
2023-03-20 13:40:00,8.76,15.7,1267,45.4,2.89,24.4,0,3,897,24.9,19.3
2023-03-20 13:41:00,8.76,15.7,1267,45.4,2.89,24.4,0,3,897,24.9,19.3
2023-03-20 13:42:00,8.76,15.7,1267,45.4,2.89,24.4,0,3,897,24.9,19.3
2023-03-20 13:43:00,8.76,15.7,1267,45.4,2.89,24.4,0,3,897,24.9,19.3
2023-03-20 13:44:00,8.76,15.7,1267,45.4,2.89,24.4,0,3,897,24.9,19.3
2023-03-20 13:45:00,8.57,16.0,1462,45.0,3.01,24.0,0,3.09,1056,25.5,27.7
2023-03-20 13:46:00,8.57,16.0,1462,45.0,3.01,24.0,0,3.09,1056,25.5,27.7
2023-03-20 13:47:00,8.57,16.0,1462,45.0,3.01,24.0,0,3.09,1056,25.5,27.7
2023-03-20 13:48:00,8.57,16.0,1462,45.0,3.01,24.0,0,3.09,1056,25.5,27.7
2023-03-20 13:49:00,8.57,16.0,1462,45.0,3.01,24.0,0,3.09,1056,25.5,27.7
2023-03-20 13:50:00,8.79,16.4,1284,46.0,2.97,23.4,0.00667,2.80,906,25.7,19.2
2023-03-20 13:51:00,8.79,16.4,1284,46.0,2.97,23.4,0.00667,2.80,906,25.7,19.2
2023-03-20 13:52:00,8.79,16.4,1284,46.0,2.97,23.4,0.00667,2.80,906,25.7,19.2
2023-03-20 13:53:00,8.79,16.4,1284,46.0,2.97,23.4,0.00667,2.80,906,25.7,19.2
2023-03-20 13:54:00,8.79,16.4,1284,46.0,2.97,23.4,0.00667,2.80,906,25.7,19.2
2023-03-20 13:55:00,13.2,16.1,2081,47.0,2.99,24.6,0,2.76,1597,25.7,44.9
2023-03-20 13:56:00,13.2,16.1,2081,47.0,2.99,24.6,0,2.76,1597,25.7,44.9
2023-03-20 13:57:00,13.2,16.1,2081,47.0,2.99,24.6,0,2.76,1597,25.7,44.9
2023-03-20 13:58:00,13.2,16.1,2081,47.0,2.99,24.6,0,2.76,1597,25.7,44.9
2023-03-20 13:59:00,13.2,16.1,2081,47.0,2.99,24.6,0,2.76,1597,25.7,44.9
2023-03-20 14:00:00,8.76,16.1,1402,46.6,3.04,23.9,0.00333,3.04,953,26.0,26.0
2023-03-20 14:01:00,8.76,16.1,1402,46.6,3.04,23.9,0.00333,3.04,953,26.0,26.0
2023-03-20 14:02:00,8.76,16.1,1402,46.6,3.04,23.9,0.00333,3.04,953,26.0,26.0
2023-03-20 14:03:00,8.76,16.1,1402,46.6,3.04,23.9,0.00333,3.04,953,26.0,26.0
2023-03-20 14:04:00,8.76,16.1,1402,46.6,3.04,23.9,0.00333,3.04,953,26.0,26.0
2023-03-20 14:05:00,8.02,15.3,1246,46.7,2.93,23.5,0.00333,2.75,906,23.5,20.1
2023-03-20 14:06:00,8.02,15.3,1246,46.7,2.93,23.5,0.00333,2.75,906,23.5,20.1
2023-03-20 14:07:00,8.02,15.3,1246,46.7,2.93,23.5,0.00333,2.75,906,23.5,20.1
2023-03-20 14:08:00,8.02,15.3,1246,46.7,2.93,23.5,0.00333,2.75,906,23.5,20.1
2023-03-20 14:09:00,8.02,15.3,1246,46.7,2.93,23.5,0.00333,2.75,906,23.5,20.1
2023-03-20 14:10:00,9.34,16.0,1690,86.2,2.98,23.5,0,2.85,1197,25.2,25.8
2023-03-20 14:11:00,9.34,16.0,1690,86.2,2.98,23.5,0,2.85,1197,25.2,25.8
2023-03-20 14:12:00,9.34,16.0,1690,86.2,2.98,23.5,0,2.85,1197,25.2,25.8
2023-03-20 14:13:00,9.34,16.0,1690,86.2,2.98,23.5,0,2.85,1197,25.2,25.8
2023-03-20 14:14:00,9.34,16.0,1690,86.2,2.98,23.5,0,2.85,1197,25.2,25.8
2023-03-20 14:15:00,8.93,16.0,1251,45.6,3.01,24.5,0,2.74,877,24.1,19.6
2023-03-20 14:16:00,8.93,16.0,1251,45.6,3.01,24.5,0,2.74,877,24.1,19.6
2023-03-20 14:17:00,8.93,16.0,1251,45.6,3.01,24.5,0,2.74,877,24.1,19.6
2023-03-20 14:18:00,8.93,16.0,1251,45.6,3.01,24.5,0,2.74,877,24.1,19.6
2023-03-20 14:19:00,8.93,16.0,1251,45.6,3.01,24.5,0,2.74,877,24.1,19.6
2023-03-20 14:20:00,7.98,15.0,1491,44.5,2.95,22.6,0.00333,2.97,1059,23.3,26.6
2023-03-20 14:21:00,7.98,15.0,1491,44.5,2.95,22.6,0.00333,2.97,1059,23.3,26.6
2023-03-20 14:22:00,7.98,15.0,1491,44.5,2.95,22.6,0.00333,2.97,1059,23.3,26.6
2023-03-20 14:23:00,7.98,15.0,1491,44.5,2.95,22.6,0.00333,2.97,1059,23.3,26.6
2023-03-20 14:24:00,7.98,15.0,1491,44.5,2.95,22.6,0.00333,2.97,1059,23.3,26.6
2023-03-20 14:25:00,13.5,16.0,1280,46.8,2.90,25.6,0,3.15,947,25.2,19.2
2023-03-20 14:26:00,13.5,16.0,1280,46.8,2.90,25.6,0,3.15,947,25.2,19.2
2023-03-20 14:27:00,13.5,16.0,1280,46.8,2.90,25.6,0,3.15,947,25.2,19.2
2023-03-20 14:28:00,13.5,16.0,1280,46.8,2.90,25.6,0,3.15,947,25.2,19.2
2023-03-20 14:29:00,13.5,16.0,1280,46.8,2.90,25.6,0,3.15,947,25.2,19.2
2023-03-20 14:30:00,8.60,16.3,1472,44.9,3.00,23.0,0,2.83,1035,25.8,27.0
2023-03-20 14:31:00,8.60,16.3,1472,44.9,3.00,23.0,0,2.83,1035,25.8,27.0
2023-03-20 14:32:00,8.60,16.3,1472,44.9,3.00,23.0,0,2.83,1035,25.8,27.0
2023-03-20 14:33:00,8.60,16.3,1472,44.9,3.00,23.0,0,2.83,1035,25.8,27.0
2023-03-20 14:34:00,8.60,16.3,1472,44.9,3.00,23.0,0,2.83,1035,25.8,27.0
2023-03-20 14:35:00,8.54,16.0,1279,47.0,3.01,24.5,0,3.23,893,25.6,19.0
2023-03-20 14:36:00,8.54,16.0,1279,47.0,3.01,24.5,0,3.23,893,25.6,19.0
2023-03-20 14:37:00,8.54,16.0,1279,47.0,3.01,24.5,0,3.23,893,25.6,19.0
2023-03-20 14:38:00,8.54,16.0,1279,47.0,3.01,24.5,0,3.23,893,25.6,19.0
2023-03-20 14:39:00,8.54,16.0,1279,47.0,3.01,24.5,0,3.23,893,25.6,19.0
2023-03-20 14:40:00,9.15,16.3,1468,48.5,2.93,23.7,0,2.59,1066,26.1,27.3
2023-03-20 14:41:00,9.15,16.3,1468,48.5,2.93,23.7,0,2.59,1066,26.1,27.3
2023-03-20 14:42:00,9.15,16.3,1468,48.5,2.93,23.7,0,2.59,1066,26.1,27.3
2023-03-20 14:43:00,9.15,16.3,1468,48.5,2.93,23.7,0,2.59,1066,26.1,27.3
2023-03-20 14:44:00,9.15,16.3,1468,48.5,2.93,23.7,0,2.59,1066,26.1,27.3
2023-03-20 14:45:00,8.23,15.8,1249,43.9,3.05,23.8,0.00333,2.89,894,23.5,19.1
2023-03-20 14:46:00,8.23,15.8,1249,43.9,3.05,23.8,0.00333,2.89,894,23.5,19.1
2023-03-20 14:47:00,8.23,15.8,1249,43.9,3.05,23.8,0.00333,2.89,894,23.5,19.1
