"Time","cattle-fleet-local-system","cattle-fleet-system","cattle-monitoring-system","cattle-system","cert-manager","cilium-monitoring","default","falco","kube-system","longhorn-system","sock-shop"
2023-03-20 13:00:00,18629,7267,1050363,29079,539,70673,0,1251,663093,12515,2023
2023-03-20 13:01:00,18629,7267,1050363,29079,539,70673,0,1251,663093,12515,2023
2023-03-20 13:02:00,18629,7267,1050363,29079,539,70673,0,1251,663093,12515,2023
2023-03-20 13:03:00,18629,7267,1050363,29079,539,70673,0,1251,663093,12515,2023
2023-03-20 13:04:00,18629,7267,1050363,29079,539,70673,0,1251,663093,12515,2023
2023-03-20 13:05:00,4526,6968,1132553,28094,535,65313,0,571,715271,12426,3517
2023-03-20 13:06:00,4526,6968,1132553,28094,535,65313,0,571,715271,12426,3517
2023-03-20 13:07:00,4526,6968,1132553,28094,535,65313,0,571,715271,12426,3517
2023-03-20 13:08:00,4526,6968,1132553,28094,535,65313,0,571,715271,12426,3517
2023-03-20 13:09:00,4526,6968,1132553,28094,535,65313,0,571,715271,12426,3517
2023-03-20 13:10:00,5515,7117,1005207,29409,534,69287,0.233,1677,625821,12516,1996
2023-03-20 13:11:00,5515,7117,1005207,29409,534,69287,0.233,1677,625821,12516,1996
2023-03-20 13:12:00,5515,7117,1005207,29409,534,69287,0.233,1677,625821,12516,1996
2023-03-20 13:13:00,5515,7117,1005207,29409,534,69287,0.233,1677,625821,12516,1996
2023-03-20 13:14:00,5515,7117,1005207,29409,534,69287,0.233,1677,625821,12516,1996
2023-03-20 13:15:00,4352,7249,1117593,29311,520,68315,0.233,1945,710181,12564,3477
2023-03-20 13:16:00,4352,7249,1117593,29311,520,68315,0.233,1945,710181,12564,3477
2023-03-20 13:17:00,4352,7249,1117593,29311,520,68315,0.233,1945,710181,12564,3477
2023-03-20 13:18:00,4352,7249,1117593,29311,520,68315,0.233,1945,710181,12564,3477
2023-03-20 13:19:00,4352,7249,1117593,29311,520,68315,0.233,1945,710181,12564,3477
2023-03-20 13:20:00,18777,7017,1016761,28815,532,68413,0,1719,630658,12584,1993
2023-03-20 13:21:00,18777,7017,1016761,28815,532,68413,0,1719,630658,12584,1993
2023-03-20 13:22:00,18777,7017,1016761,28815,532,68413,0,1719,630658,12584,1993
2023-03-20 13:23:00,18777,7017,1016761,28815,532,68413,0,1719,630658,12584,1993
