".+",".+"
2023-03-20 13:00:00,2.18 MB/s
2023-03-20 13:20:00,2.12 MB/s
2023-03-20 13:40:00,2.06 MB/s
2023-03-20 14:00:00,2.16 MB/s
2023-03-20 14:20:00,2.39 MB/s
2023-03-20 14:40:00,2.31 MB/s
2023-03-20 15:00:00,2.29 MB/s
2023-03-20 15:20:00,2.28 MB/s
2023-03-20 15:40:00,2.30 MB/s
2023-03-20 16:00:00,2.22 MB/s
2023-03-20 16:20:00,2.05 MB/s
2023-03-20 16:40:00,2.06 MB/s
2023-03-20 17:00:00,2.04 MB/s
2023-03-20 17:20:00,2.01 MB/s
2023-03-20 17:40:00,2.35 MB/s
2023-03-20 18:00:00,2.30 MB/s
2023-03-20 18:20:00,2.30 MB/s
2023-03-20 18:40:00,2.33 MB/s
2023-03-20 19:00:00,2.26 MB/s
2023-03-20 19:20:00,2.28 MB/s
2023-03-20 19:40:00,2.06 MB/s
2023-03-20 20:00:00,2.03 MB/s
2023-03-20 20:20:00,2.14 MB/s
2023-03-20 20:40:00,2.03 MB/s
2023-03-20 21:00:00,2.05 MB/s
2023-03-20 21:20:00,2.02 MB/s
2023-03-20 21:40:00,2.13 MB/s
2023-03-20 22:00:00,2.29 MB/s
2023-03-20 22:20:00,2.30 MB/s
2023-03-20 22:40:00,2.31 MB/s
2023-03-20 23:00:00,2.30 MB/s
2023-03-20 23:20:00,2.31 MB/s
2023-03-20 23:40:00,2.25 MB/s
2023-03-21 00:00:00,2.04 MB/s
2023-03-21 00:20:00,2.05 MB/s
2023-03-21 00:40:00,2.04 MB/s
2023-03-21 01:00:00,2.15 MB/s
2023-03-21 01:20:00,2.06 MB/s
2023-03-21 01:40:00,2.08 MB/s
2023-03-21 02:00:00,3.27 MB/s
2023-03-21 02:20:00,2.29 MB/s
2023-03-21 02:40:00,2.42 MB/s
2023-03-21 03:00:00,2.14 MB/s
2023-03-21 03:20:00,2.09 MB/s
2023-03-21 03:40:00,2.19 MB/s
2023-03-21 04:00:00,2.14 MB/s
2023-03-21 04:20:00,2.31 MB/s
2023-03-21 04:40:00,2.30 MB/s
2023-03-21 05:00:00,2.31 MB/s
2023-03-21 05:20:00,2.32 MB/s
2023-03-21 05:40:00,2.28 MB/s
2023-03-21 06:00:00,2.26 MB/s
2023-03-21 06:20:00,2.19 MB/s
2023-03-21 06:40:00,2.08 MB/s
2023-03-21 07:00:00,2.17 MB/s
2023-03-21 07:20:00,2.14 MB/s
2023-03-21 07:40:00,2.10 MB/s
2023-03-21 08:00:00,2.12 MB/s
2023-03-21 08:20:00,2.04 MB/s
2023-03-21 08:40:00,2.07 MB/s
2023-03-21 09:00:00,3.29 MB/s
2023-03-21 09:20:00,2.28 MB/s
2023-03-21 09:40:00,2.30 MB/s
2023-03-21 10:00:00,2.19 MB/s
2023-03-21 10:20:00,2.02 MB/s
2023-03-21 10:40:00,2.07 MB/s
2023-03-21 11:00:00,2.02 MB/s
2023-03-21 11:20:00,2.20 MB/s
2023-03-21 11:40:00,2.42 MB/s
2023-03-21 12:00:00,2.28 MB/s
2023-03-21 12:20:00,2.32 MB/s
2023-03-21 12:40:00,2.33 MB/s
2023-03-21 13:00:00,2.04 MB/s
2023-03-21 13:20:00,2.02 MB/s
2023-03-21 13:40:00,2.04 MB/s
2023-03-21 14:00:00,2.62 MB/s
2023-03-21 14:20:00,2.28 MB/s
2023-03-21 14:40:00,2.34 MB/s
2023-03-21 15:00:00,2.11 MB/s
2023-03-21 15:20:00,2.19 MB/s
2023-03-21 15:40:00,2.19 MB/s
2023-03-21 16:00:00,2.05 MB/s
2023-03-21 16:20:00,2.60 MB/s
2023-03-21 16:40:00,2.28 MB/s
2023-03-21 17:00:00,2.32 MB/s
2023-03-21 17:20:00,2.02 MB/s
2023-03-21 17:40:00,2.12 MB/s
2023-03-21 18:00:00,2.03 MB/s
2023-03-21 18:20:00,2.03 MB/s
2023-03-21 18:40:00,2.02 MB/s
2023-03-21 19:00:00,2.04 MB/s

