"Time","Read","Write"
2023-03-20 13:00:00,0,722550
2023-03-20 13:02:00,0,1437013
2023-03-20 13:04:00,0,1188523
2023-03-20 13:06:00,0,931977
2023-03-20 13:08:00,0,1082391
2023-03-20 13:10:00,0,718666
2023-03-20 13:12:00,0,1062548
2023-03-20 13:14:00,0,858249
2023-03-20 13:16:00,0,908220
2023-03-20 13:18:00,0,1067918
2023-03-20 13:20:00,0,746519
2023-03-20 13:22:00,0,1037153
2023-03-20 13:24:00,0,830396
2023-03-20 13:26:00,0,921145
2023-03-20 13:28:00,0,1064596
2023-03-20 13:30:00,0,723581
2023-03-20 13:32:00,0,1109743
2023-03-20 13:34:00,0,860671
2023-03-20 13:36:00,12106,868443
2023-03-20 13:38:00,12106,1052126
2023-03-20 13:40:00,3732,711612
2023-03-20 13:42:00,3732,1217286
2023-03-20 13:44:00,0,894157
2023-03-20 13:46:00,0,976987
2023-03-20 13:48:00,0,1082209
2023-03-20 13:50:00,6554,730590
2023-03-20 13:52:00,6554,1073425
2023-03-20 13:54:00,0,849101
2023-03-20 13:56:00,0,936801
2023-03-20 13:58:00,0,1081390
2023-03-20 14:00:00,0,722352
2023-03-20 14:02:00,0,2152585
2023-03-20 14:04:00,0,849783
2023-03-20 14:06:00,0,953524
2023-03-20 14:08:00,0,1308672
2023-03-20 14:10:00,0,716163
2023-03-20 14:12:00,0,1051762
2023-03-20 14:14:00,0,847599
2023-03-20 14:16:00,0,909739
2023-03-20 14:18:00,0,1116342
2023-03-20 14:20:00,0,719531
2023-03-20 14:22:00,0,1060818
2023-03-20 14:24:00,0,831442
2023-03-20 14:26:00,0,894157
2023-03-20 14:28:00,0,998696
2023-03-20 14:30:00,0,722762
2023-03-20 14:32:00,0,1099985
2023-03-20 14:34:00,0,870855
2023-03-20 14:36:00,0,917641
2023-03-20 14:38:00,0,1059817
2023-03-20 14:40:00,0,708107
2023-03-20 14:42:00,0,972709
2023-03-20 14:44:00,0,758716
2023-03-20 14:46:00,0,896068
2023-03-20 14:48:00,0,1070110
2023-03-20 14:50:00,0,719820
2023-03-20 14:52:00,0,1055312
2023-03-20 14:54:00,0,840454
2023-03-20 14:56:00,20526,938121
2023-03-20 14:58:00,0,1063094
2023-03-20 15:00:00,0,726993
2023-03-20 15:02:00,0,1408296
2023-03-20 15:04:00,0,1155846
2023-03-20 15:06:00,364,933886
2023-03-20 15:08:00,0,1031236
2023-03-20 15:10:00,0,701507
2023-03-20 15:12:00,0,1068191
2023-03-20 15:14:00,0,839999
2023-03-20 15:16:00,0,950864
2023-03-20 15:18:00,0,1095862
2023-03-20 15:20:00,0,743834
2023-03-20 15:22:00,0,975937
2023-03-20 15:24:00,0,800313
2023-03-20 15:26:00,0,946358
2023-03-20 15:28:00,0,1073607
2023-03-20 15:30:00,0,700689
2023-03-20 15:32:00,0,1126764
2023-03-20 15:34:00,0,897252
2023-03-20 15:36:00,0,901211
2023-03-20 15:38:00,0,1028570
2023-03-20 15:40:00,0,710975
2023-03-20 15:42:00,0,1115705
2023-03-20 15:44:00,0,895204
2023-03-20 15:46:00,0,942217
2023-03-20 15:48:00,0,1080528
2023-03-20 15:50:00,0,724446
2023-03-20 15:52:00,0,1049668
2023-03-20 15:54:00,0,834583
2023-03-20 15:56:00,0,926925
2023-03-20 15:58:00,0,1045936
2023-03-20 16:00:00,0,694363
2023-03-20 16:02:00,27944,2120499
2023-03-20 16:04:00,0,828757
2023-03-20 16:06:00,0,941215
2023-03-20 16:08:00,0,1056404
2023-03-20 16:10:00,0,708881
2023-03-20 16:12:00,0,1041749
2023-03-20 16:14:00,0,837324
2023-03-20 16:16:00,0,950044
2023-03-20 16:18:00,0,1130769
2023-03-20 16:20:00,0,703420
2023-03-20 16:22:00,0,1077840
2023-03-20 16:24:00,0,860114
2023-03-20 16:26:00,0,941852
2023-03-20 16:28:00,0,1048166
2023-03-20 16:30:00,0,720168
2023-03-20 16:32:00,0,1117844
2023-03-20 16:34:00,0,874359
2023-03-20 16:36:00,0,913909
2023-03-20 16:38:00,0,1083210
2023-03-20 16:40:00,0,693453
2023-03-20 16:42:00,0,960193
2023-03-20 16:44:00,0,793805
2023-03-20 16:46:00,0,935181
2023-03-20 16:48:00,182,1074062
2023-03-20 16:50:00,182,708927
2023-03-20 16:52:00,0,1066189
2023-03-20 16:54:00,0,826072
2023-03-20 16:56:00,0,939395
2023-03-20 16:58:00,0,1093860
2023-03-20 17:00:00,0,717028
2023-03-20 17:02:00,0,1472785
2023-03-20 17:04:00,0,1217923
2023-03-20 17:06:00,0,933160
2023-03-20 17:08:00,0,1062047
2023-03-20 17:10:00,0,682439
2023-03-20 17:12:00,0,1089764
2023-03-20 17:14:00,0,849237
2023-03-20 17:16:00,0,921509
2023-03-20 17:18:00,0,1068419
2023-03-20 17:20:00,0,708184
2023-03-20 17:22:00,0,1056085
2023-03-20 17:24:00,0,830942
2023-03-20 17:26:00,0,920508
2023-03-20 17:28:00,319,1070376
2023-03-20 17:30:00,319,707106
2023-03-20 17:32:00,0,1097045
2023-03-20 17:34:00,0,908129
2023-03-20 17:36:00,0,935435
2023-03-20 17:38:00,0,1059681
2023-03-20 17:40:00,0,715708
2023-03-20 17:42:00,0,1103690
2023-03-20 17:44:00,0,880822
2023-03-20 17:46:00,0,938245
2023-03-20 17:48:00,0,1074244
2023-03-20 17:50:00,0,697776
2023-03-20 17:52:00,0,1073061
2023-03-20 17:54:00,0,841333
2023-03-20 17:56:00,0,904124
2023-03-20 17:58:00,0,1103189
2023-03-20 18:00:00,0,704239
2023-03-20 18:02:00,91.0,4211689
2023-03-20 18:04:00,0,851331
2023-03-20 18:06:00,0,951728
2023-03-20 18:08:00,0,1062912
2023-03-20 18:10:00,0,719804
2023-03-20 18:12:00,0,1043615
2023-03-20 18:14:00,0,837541
2023-03-20 18:16:00,0,962423
2023-03-20 18:18:00,0,1119027
2023-03-20 18:20:00,0,706393
2023-03-20 18:22:00,0,1062684
2023-03-20 18:24:00,0,827438
2023-03-20 18:26:00,0,927744
2023-03-20 18:28:00,0,1063391
2023-03-20 18:30:00,0,715935
2023-03-20 18:32:00,0,1110608
2023-03-20 18:34:00,0,886556
2023-03-20 18:36:00,0,933478
2023-03-20 18:38:00,0,1042887
2023-03-20 18:40:00,27489,700006
2023-03-20 18:42:00,27489,1072151
2023-03-20 18:44:00,637,857566
2023-03-20 18:46:00,0,900938
2023-03-20 18:48:00,0,1066689
2023-03-20 18:50:00,0,708471
2023-03-20 18:52:00,0,1076292
2023-03-20 18:54:00,0,826209
2023-03-20 18:56:00,228,930748
2023-03-20 18:58:00,0,1070330
2023-03-20 19:00:00,0,726585
2023-03-20 19:02:00,0,1433451
2023-03-20 19:04:00,0,1195486
2023-03-20 19:06:00,0,922101
2023-03-20 19:08:00,0,1041385
2023-03-20 19:10:00,0,723945
2023-03-20 19:12:00,0,1103690
2023-03-20 19:14:00,0,840727
2023-03-20 19:16:00,0,907264
2023-03-20 19:18:00,0,1039610
2023-03-20 19:20:00,0,717119
2023-03-20 19:22:00,0,1093040
2023-03-20 19:24:00,0,841546
2023-03-20 19:26:00,0,914787
2023-03-20 19:28:00,0,1052991
2023-03-20 19:30:00,0,707015
2023-03-20 19:32:00,0,1078568
2023-03-20 19:34:00,0,890880
2023-03-20 19:36:00,0,963425
2023-03-20 19:38:00,0,1035287
2023-03-20 19:40:00,0,704102
2023-03-20 19:42:00,0,1118936
2023-03-20 19:44:00,0,916916
2023-03-20 19:46:00,0,925559
2023-03-20 19:48:00,0,1062866
2023-03-20 19:50:00,182,726858
2023-03-20 19:52:00,182,1038609
2023-03-20 19:54:00,0,810325
2023-03-20 19:56:00,0,925605
2023-03-20 19:58:00,0,1060500
2023-03-20 20:00:00,0,715480
2023-03-20 20:02:00,0,2076535
2023-03-20 20:04:00,0,840408
2023-03-20 20:06:00,0,943673
2023-03-20 20:08:00,0,1172912
2023-03-20 20:10:00,0,714115
2023-03-20 20:12:00,0,1057860
2023-03-20 20:14:00,0,824343
2023-03-20 20:16:00,0,969705
2023-03-20 20:18:00,0,1125217
2023-03-20 20:20:00,0,735687
2023-03-20 20:22:00,0,1048030
2023-03-20 20:24:00,0,847280
2023-03-20 20:26:00,0,967475
2023-03-20 20:28:00,0,1091721
2023-03-20 20:30:00,0,700826
2023-03-20 20:32:00,0,1072287
2023-03-20 20:34:00,0,820975
2023-03-20 20:36:00,0,981174
2023-03-20 20:38:00,0,1048166
2023-03-20 20:40:00,0,686444
2023-03-20 20:42:00,0,1075382
2023-03-20 20:44:00,0,839263
2023-03-20 20:46:00,0,956644
2023-03-20 20:48:00,0,1064869
2023-03-20 20:50:00,0,697685
2023-03-20 20:52:00,0,1054629
2023-03-20 20:54:00,0,798811
2023-03-20 20:56:00,0,952912
2023-03-20 20:58:00,0,1036151
2023-03-20 21:00:00,0,712158
2023-03-20 21:02:00,0,1423633
2023-03-20 21:04:00,0,1158485
2023-03-20 21:06:00,0,975258
2023-03-20 21:08:00,0,1066371
2023-03-20 21:10:00,0,723854
2023-03-20 21:12:00,0,1057587
2023-03-20 21:14:00,0,817744
2023-03-20 21:16:00,0,940169
2023-03-20 21:18:00,0,1075428
2023-03-20 21:20:00,0,720122
2023-03-20 21:22:00,0,1078295
2023-03-20 21:24:00,0,814603
2023-03-20 21:26:00,0,925059
2023-03-20 21:28:00,0,1150384
2023-03-20 21:30:00,0,738600
2023-03-20 21:32:00,0,1076429
2023-03-20 21:34:00,0,847702
2023-03-20 21:36:00,0,981174
2023-03-20 21:38:00,0,1069693
2023-03-20 21:40:00,0,691632
2023-03-20 21:42:00,0,1095266
2023-03-20 21:44:00,0,867032
2023-03-20 21:46:00,0,940669
2023-03-20 21:48:00,0,1062502
2023-03-20 21:50:00,0,705588
2023-03-20 21:52:00,0,1064596
2023-03-20 21:54:00,0,820429
2023-03-20 21:56:00,0,963284
2023-03-20 21:58:00,0,1038199
2023-03-20 22:00:00,0,661504
2023-03-20 22:02:00,0,2189858
2023-03-20 22:04:00,0,811827
2023-03-20 22:06:00,0,947996
2023-03-20 22:08:00,0,1064823
2023-03-20 22:10:00,0,729134
2023-03-20 22:12:00,0,1049850
2023-03-20 22:14:00,0,804574
2023-03-20 22:16:00,9284,961149
2023-03-20 22:18:00,0,1085030
2023-03-20 22:20:00,0,744789
2023-03-20 22:22:00,0,1068510
2023-03-20 22:24:00,0,805032
2023-03-20 22:26:00,0,963230
2023-03-20 22:28:00,0,1070694
2023-03-20 22:30:00,0,720304
2023-03-20 22:32:00,0,1114158
2023-03-20 22:34:00,0,860843
2023-03-20 22:36:00,0,967339
2023-03-20 22:38:00,0,1060545
2023-03-20 22:40:00,0,702569
2023-03-20 22:42:00,0,1046983
2023-03-20 22:44:00,0,831579
2023-03-20 22:46:00,0,961650
2023-03-20 22:48:00,0,1038564
2023-03-20 22:50:00,0,700143
2023-03-20 22:52:00,0,1051580
2023-03-20 22:54:00,0,803726
2023-03-20 22:56:00,0,957554
2023-03-20 22:58:00,0,1085440
2023-03-20 23:00:00,0,679253
2023-03-20 23:02:00,0,1387770
2023-03-20 23:04:00,0,1167901
2023-03-20 23:06:00,0,936528
2023-03-20 23:08:00,0,1047211
2023-03-20 23:10:00,0,728041
2023-03-20 23:12:00,0,1064318
2023-03-20 23:14:00,0,796763
2023-03-20 23:16:00,0,971617
2023-03-20 23:18:00,0,1041704
2023-03-20 23:20:00,0,699915
2023-03-20 23:22:00,0,1062740
2023-03-20 23:24:00,0,813557
2023-03-20 23:26:00,0,932659
2023-03-20 23:28:00,0,1084803
2023-03-20 23:30:00,0,705149
