"Time","Transmit Total","Receive Total"
2023-03-20 13:00:00,555266,448158
2023-03-20 13:02:00,721826,598933
2023-03-20 13:04:00,604398,479238
2023-03-20 13:06:00,570545,461186
2023-03-20 13:08:00,598239,478175
2023-03-20 13:10:00,544970,442362
2023-03-20 13:12:00,668514,566669
2023-03-20 13:14:00,650919,532192
2023-03-20 13:16:00,575910,476579
2023-03-20 13:18:00,596695,473506
2023-03-20 13:20:00,591231,465657
2023-03-20 13:22:00,698931,581928
2023-03-20 13:24:00,676741,561432
2023-03-20 13:26:00,565349,469188
2023-03-20 13:28:00,587327,464106
2023-03-20 13:30:00,540772,436072
2023-03-20 13:32:00,605366,510230
2023-03-20 13:34:00,669210,554838
2023-03-20 13:36:00,609708,489351
2023-03-20 13:38:00,590000,465487
2023-03-20 13:40:00,545787,440701
2023-03-20 13:42:00,580781,460955
2023-03-20 13:44:00,661316,552295
2023-03-20 13:46:00,594881,486000
2023-03-20 13:48:00,613971,482447
2023-03-20 13:50:00,557789,462856
2023-03-20 13:52:00,639082,492867
2023-03-20 13:54:00,817583,699441
2023-03-20 13:56:00,1027954,916233
2023-03-20 13:58:00,711306,574475
2023-03-20 14:00:00,549547,449896
2023-03-20 14:02:00,576891,452881
2023-03-20 14:04:00,558152,448352
2023-03-20 14:06:00,714650,608555
2023-03-20 14:08:00,892489,779637
2023-03-20 14:10:00,633039,536612
2023-03-20 14:12:00,567384,447171
2023-03-20 14:14:00,565380,464962
2023-03-20 14:16:00,581025,476381
2023-03-20 14:18:00,673594,561464
2023-03-20 14:20:00,582213,471539
2023-03-20 14:22:00,633267,486129
2023-03-20 14:24:00,566303,465921
2023-03-20 14:26:00,571618,452192
2023-03-20 14:28:00,673396,559168
2023-03-20 14:30:00,564634,464918
2023-03-20 14:32:00,558727,442920
2023-03-20 14:34:00,567691,463323
2023-03-20 14:36:00,569044,449744
2023-03-20 14:38:00,680513,564482
2023-03-20 14:40:00,642793,519429
2023-03-20 14:42:00,550711,441715
2023-03-20 14:44:00,556794,455522
2023-03-20 14:46:00,564311,444749
2023-03-20 14:48:00,680109,574341
2023-03-20 14:50:00,714023,565077
2023-03-20 14:52:00,558363,449079
2023-03-20 14:54:00,570896,469525
2023-03-20 14:56:00,589651,459245
2023-03-20 14:58:00,638878,546800
2023-03-20 15:00:00,681366,559151
2023-03-20 15:02:00,551793,440224
2023-03-20 15:04:00,571538,467178
2023-03-20 15:06:00,620566,478963
2023-03-20 15:08:00,640795,525725
2023-03-20 15:10:00,679454,560222
2023-03-20 15:12:00,550197,441812
2023-03-20 15:14:00,583253,466430
2023-03-20 15:16:00,568446,456947
2023-03-20 15:18:00,560834,464786
2023-03-20 15:20:00,677476,557132
2023-03-20 15:22:00,583586,480246
2023-03-20 15:24:00,577723,456903
2023-03-20 15:26:00,570579,458495
2023-03-20 15:28:00,572997,475763
2023-03-20 15:30:00,732523,585570
2023-03-20 15:32:00,627404,512255
2023-03-20 15:34:00,577216,454536
2023-03-20 15:36:00,571747,459058
2023-03-20 15:38:00,581292,474020
2023-03-20 15:40:00,664251,548664
2023-03-20 15:42:00,655193,553500
2023-03-20 15:44:00,567822,448889
2023-03-20 15:46:00,564433,449213
2023-03-20 15:48:00,574937,455869
2023-03-20 15:50:00,618889,517998
2023-03-20 15:52:00,737513,601380
2023-03-20 15:54:00,566784,447518
2023-03-20 15:56:00,572503,470525
2023-03-20 15:58:00,573031,455463
2023-03-20 16:00:00,569784,463579
2023-03-20 16:02:00,669181,567528
2023-03-20 16:04:00,566978,450635
2023-03-20 16:06:00,573027,469833
2023-03-20 16:08:00,582362,460293
2023-03-20 16:10:00,607892,473039
2023-03-20 16:12:00,669653,564058
2023-03-20 16:14:00,571947,455745
2023-03-20 16:16:00,570822,467205
2023-03-20 16:18:00,570399,451227
2023-03-20 16:20:00,554563,444196
2023-03-20 16:22:00,694476,570356
2023-03-20 16:24:00,633393,513704
2023-03-20 16:26:00,571308,471064
2023-03-20 16:28:00,573559,455886
2023-03-20 16:30:00,566902,466690
2023-03-20 16:32:00,732593,583215
2023-03-20 16:34:00,653183,543899
2023-03-20 16:36:00,598346,486002
2023-03-20 16:38:00,591168,469189
2023-03-20 16:40:00,558584,459309
2023-03-20 16:42:00,619672,508582
2023-03-20 16:44:00,643948,539097
2023-03-20 16:46:00,598026,491992
2023-03-20 16:48:00,614022,479620
2023-03-20 16:50:00,554420,456100
2023-03-20 16:52:00,586354,461182
2023-03-20 16:54:00,568616,482930
2023-03-20 16:56:00,682081,558548
2023-03-20 16:58:00,574398,460321
2023-03-20 17:00:00,550493,453546
2023-03-20 17:02:00,578348,461842
2023-03-20 17:04:00,607299,491270
2023-03-20 17:06:00,693002,569761
2023-03-20 17:08:00,585413,471701
2023-03-20 17:10:00,555189,462635
2023-03-20 17:12:00,589804,466941
2023-03-20 17:14:00,557003,462852
2023-03-20 17:16:00,693337,568461
2023-03-20 17:18:00,631661,502403
2023-03-20 17:20:00,562192,460265
2023-03-20 17:22:00,588279,463788
2023-03-20 17:24:00,550668,455894
2023-03-20 17:26:00,683204,563403
2023-03-20 17:28:00,676551,566941
2023-03-20 17:30:00,555268,437094
2023-03-20 17:32:00,617615,479206
2023-03-20 17:34:00,565306,467518
2023-03-20 17:36:00,655362,543851
2023-03-20 17:38:00,699953,597868
2023-03-20 17:40:00,568626,452278
2023-03-20 17:42:00,574975,462286
2023-03-20 17:44:00,574749,469912
2023-03-20 17:46:00,575521,476897
2023-03-20 17:48:00,679899,584735
2023-03-20 17:50:00,610273,478605
2023-03-20 17:52:00,623299,487078
2023-03-20 17:54:00,577716,465608
2023-03-20 17:56:00,552124,447675
2023-03-20 17:58:00,672070,574121
2023-03-20 18:00:00,568179,455363
2023-03-20 18:02:00,579045,480894
2023-03-20 18:04:00,578539,460039
2023-03-20 18:06:00,559094,451976
2023-03-20 18:08:00,689601,584938
2023-03-20 18:10:00,637120,509301
2023-03-20 18:12:00,564904,465982
2023-03-20 18:14:00,574508,457324
2023-03-20 18:16:00,619022,483873
2023-03-20 18:18:00,691637,584321
2023-03-20 18:20:00,662458,553096
2023-03-20 18:22:00,567567,466398
