"Time","192.168.0.211:9796","192.168.0.221:9796","192.168.0.222:9796"
2023-03-20 13:00:00,0.0712,0.0694,0.107
2023-03-20 13:02:00,0.0814,0.0684,0.110
2023-03-20 13:04:00,0.0757,0.0647,0.104
2023-03-20 13:06:00,0.0762,0.0739,0.110
2023-03-20 13:08:00,0.0810,0.0661,0.0523
2023-03-20 13:10:00,0.0738,0.0572,0.108
2023-03-20 13:12:00,0.0824,0.0741,0.103
2023-03-20 13:14:00,0.0746,0.0668,0.111
2023-03-20 13:16:00,0.0770,0.0687,0.115
2023-03-20 13:18:00,0.0794,0.0748,0.0710
2023-03-20 13:20:00,0.0730,0.0550,0.110
2023-03-20 13:22:00,0.0786,0.0658,0.0817
2023-03-20 13:24:00,0.0704,0.0785,0.107
2023-03-20 13:26:00,0.0797,0.0650,0.112
2023-03-20 13:28:00,0.0815,0.0606,0.0932
2023-03-20 13:30:00,0.0739,0.0648,0.109
2023-03-20 13:32:00,0.0757,0.0657,0.0602
2023-03-20 13:34:00,0.0728,0.0640,0.111
2023-03-20 13:36:00,0.0729,0.0754,0.109
2023-03-20 13:38:00,0.0770,0.0635,0.106
2023-03-20 13:40:00,0.0743,0.0629,0.111
2023-03-20 13:42:00,0.0795,0.0704,0.0517
2023-03-20 13:44:00,0.0750,0.0591,0.109
2023-03-20 13:46:00,0.0813,0.0640,0.0940
2023-03-20 13:48:00,0.0692,0.0730,0.110
2023-03-20 13:50:00,0.0746,0.0665,0.111
2023-03-20 13:52:00,0.0838,0.0654,0.0775
2023-03-20 13:54:00,0.0887,0.0721,0.108
2023-03-20 13:56:00,0.101,0.0691,0.0723
2023-03-20 13:58:00,0.0713,0.0713,0.115
2023-03-20 14:00:00,0.0739,0.0711,0.108
2023-03-20 14:02:00,0.0803,0.0664,0.105
2023-03-20 14:04:00,0.0683,0.0616,0.107
2023-03-20 14:06:00,0.0876,0.0909,0.0502
2023-03-20 14:08:00,0.0763,0.0618,0.113
2023-03-20 14:10:00,0.0755,0.0626,0.108
2023-03-20 14:12:00,0.0756,0.0734,0.111
2023-03-20 14:14:00,0.0734,0.0647,0.109
2023-03-20 14:16:00,0.0840,0.0651,0.0596
2023-03-20 14:18:00,0.0695,0.0650,0.109
2023-03-20 14:20:00,0.0741,0.0665,0.102
2023-03-20 14:22:00,0.0725,0.0697,0.114
2023-03-20 14:24:00,0.0730,0.0687,0.108
2023-03-20 14:26:00,0.0845,0.0665,0.0783
2023-03-20 14:28:00,0.0743,0.0553,0.110
2023-03-20 14:30:00,0.0777,0.0737,0.0685
2023-03-20 14:32:00,0.0718,0.0676,0.114
2023-03-20 14:34:00,0.0717,0.0607,0.120
2023-03-20 14:36:00,0.0817,0.0748,0.102
2023-03-20 14:38:00,0.0844,0.0688,0.111
2023-03-20 14:40:00,0.0801,0.0725,0.0539
2023-03-20 14:42:00,0.0710,0.0660,0.107
2023-03-20 14:44:00,0.0742,0.0654,0.108
2023-03-20 14:46:00,0.0817,0.0677,0.110
2023-03-20 14:48:00,0.0834,0.0780,0.111
2023-03-20 14:50:00,0.0783,0.0620,0.0574
2023-03-20 14:52:00,0.0729,0.0583,0.111
2023-03-20 14:54:00,0.0703,0.0733,0.0887
2023-03-20 14:56:00,0.0758,0.0688,0.111
2023-03-20 14:58:00,0.0781,0.0685,0.111
2023-03-20 15:00:00,0.0786,0.0736,0.0875
2023-03-20 15:02:00,0.0781,0.0574,0.110
2023-03-20 15:04:00,0.0778,0.0653,0.0636
2023-03-20 15:06:00,0.0782,0.0734,0.113
2023-03-20 15:08:00,0.0736,0.0674,0.109
2023-03-20 15:10:00,0.0772,0.0637,0.106
2023-03-20 15:12:00,0.0735,0.0796,0.111
2023-03-20 15:14:00,0.0841,0.0674,0.0536
2023-03-20 15:16:00,0.0764,0.0570,0.108
2023-03-20 15:18:00,0.0717,0.0790,0.0972
2023-03-20 15:20:00,0.0777,0.0704,0.110
2023-03-20 15:22:00,0.0743,0.0643,0.108
2023-03-20 15:24:00,0.0824,0.0737,0.0731
2023-03-20 15:26:00,0.0789,0.0555,0.109
2023-03-20 15:28:00,0.0753,0.0668,0.0828
2023-03-20 15:30:00,0.0799,0.0815,0.112
2023-03-20 15:32:00,0.0751,0.0686,0.110
2023-03-20 15:34:00,0.0786,0.0644,0.109
2023-03-20 15:36:00,0.0761,0.0665,0.110
2023-03-20 15:38:00,0.0792,0.0731,0.0598
2023-03-20 15:40:00,0.0864,0.0671,0.108
2023-03-20 15:42:00,0.0722,0.0731,0.110
2023-03-20 15:44:00,0.0782,0.0652,0.108
2023-03-20 15:46:00,0.0817,0.0650,0.110
2023-03-20 15:48:00,0.0752,0.0728,0.0505
2023-03-20 15:50:00,0.0792,0.0602,0.108
