"Time","Load[5m] (192.168.0.211:9796)","Load[5m] (192.168.0.221:9796)","Load[5m] (192.168.0.222:9796)","Load[1m] (192.168.0.211:9796)","Load[1m] (192.168.0.221:9796)","Load[1m] (192.168.0.222:9796)","Load[15m] (192.168.0.211:9796)","Load[15m] (192.168.0.221:9796)","Load[15m] (192.168.0.222:9796)"
2023-03-20 13:00:00,0.270,0.390,0.290,0.160,0.400,0.140,0.350,0.300,0.330
2023-03-20 13:02:00,0.210,0.370,0.320,0.0800,0.330,0.390,0.310,0.300,0.340
2023-03-20 13:04:00,0.180,0.310,0.280,0.0700,0.170,0.190,0.290,0.280,0.320
2023-03-20 13:06:00,0.160,0.230,0.710,0.100,0.0600,1.15,0.260,0.250,0.480
2023-03-20 13:08:00,0.140,0.150,0.560,0.140,0.0100,0.400,0.250,0.220,0.450
2023-03-20 13:10:00,0.610,0.150,0.470,1.34,0.150,0.270,0.410,0.210,0.430
2023-03-20 13:12:00,0.680,0.220,0.410,1.01,0.390,0.320,0.450,0.220,0.410
2023-03-20 13:14:00,0.650,0.220,0.360,0.600,0.320,0.300,0.460,0.210,0.390
2023-03-20 13:16:00,0.680,0.370,0.620,0.630,0.470,1.23,0.500,0.270,0.470
2023-03-20 13:18:00,0.600,0.400,0.550,0.380,0.500,0.470,0.490,0.290,0.460
2023-03-20 13:20:00,0.450,0.500,0.430,0.160,1.02,0.230,0.450,0.330,0.430
2023-03-20 13:22:00,0.310,0.770,0.340,0.0600,0.960,0.180,0.390,0.460,0.390
2023-03-20 13:24:00,0.300,0.570,0.320,0.400,0.230,0.270,0.370,0.420,0.370
2023-03-20 13:26:00,0.260,0.400,0.300,0.180,0.0700,0.300,0.350,0.370,0.360
2023-03-20 13:28:00,0.290,0.340,0.420,0.340,0.170,0.620,0.350,0.350,0.390
2023-03-20 13:30:00,0.240,0.280,0.600,0.160,0.160,0.970,0.320,0.330,0.470
2023-03-20 13:32:00,0.190,0.270,0.470,0.100,0.250,0.300,0.290,0.320,0.430
2023-03-20 13:34:00,0.340,0.360,0.400,0.560,0.310,0.230,0.330,0.350,0.410
2023-03-20 13:36:00,0.310,0.430,0.420,0.290,0.350,0.410,0.320,0.380,0.420
2023-03-20 13:38:00,0.340,0.450,0.370,0.390,0.520,0.290,0.330,0.380,0.400
2023-03-20 13:40:00,0.330,0.350,0.340,0.270,0.220,0.300,0.330,0.350,0.380
2023-03-20 13:42:00,0.310,0.300,0.330,0.190,0.180,0.220,0.320,0.330,0.370
2023-03-20 13:44:00,0.320,0.270,0.310,0.390,0.250,0.250,0.320,0.320,0.360
2023-03-20 13:46:00,0.300,0.230,0.420,0.280,0.120,0.670,0.310,0.290,0.390
2023-03-20 13:48:00,0.310,0.160,0.400,0.360,0.0500,0.340,0.300,0.260,0.380
2023-03-20 13:50:00,0.350,0.100,0.380,0.340,0,0.380,0.320,0.220,0.370
2023-03-20 13:52:00,0.370,0.0800,0.310,0.380,0.0400,0.170,0.330,0.190,0.350
2023-03-20 13:54:00,0.350,0.130,0.350,0.270,0.210,0.370,0.330,0.190,0.360
2023-03-20 13:56:00,0.340,0.200,0.330,0.340,0.380,0.320,0.330,0.200,0.350
2023-03-20 13:58:00,0.350,0.220,0.290,0.330,0.340,0.200,0.330,0.200,0.340
2023-03-20 14:00:00,0.320,0.240,0.340,0.280,0.320,0.470,0.320,0.210,0.350
2023-03-20 14:02:00,0.320,0.350,0.580,0.360,0.590,1.02,0.320,0.250,0.430
2023-03-20 14:04:00,0.310,0.320,0.580,0.380,0.340,0.570,0.310,0.250,0.450
2023-03-20 14:06:00,0.330,0.290,0.450,0.400,0.300,0.200,0.310,0.250,0.420
2023-03-20 14:08:00,0.340,0.340,0.370,0.440,0.380,0.180,0.310,0.270,0.390
2023-03-20 14:10:00,0.370,0.250,0.570,0.510,0.110,0.830,0.320,0.250,0.460
2023-03-20 14:12:00,0.300,0.200,0.530,0.240,0.0600,0.400,0.300,0.230,0.460
2023-03-20 14:14:00,0.390,0.200,0.510,0.630,0.130,0.440,0.330,0.220,0.460
2023-03-20 14:16:00,0.470,0.170,0.440,0.550,0.100,0.370,0.370,0.210,0.440
2023-03-20 14:18:00,0.350,0.170,0.440,0.160,0.290,0.360,0.340,0.200,0.440
2023-03-20 14:20:00,0.400,0.560,0.490,0.440,1.04,0.470,0.360,0.340,0.460
2023-03-20 14:22:00,0.280,0.510,0.610,0.110,0.500,0.950,0.310,0.350,0.500
2023-03-20 14:24:00,0.330,0.500,0.520,0.410,0.390,0.450,0.330,0.370,0.480
2023-03-20 14:26:00,0.360,0.400,0.440,0.500,0.200,0.290,0.340,0.340,0.450
2023-03-20 14:28:00,0.280,0.290,0.460,0.140,0.0900,0.570,0.310,0.310,0.460
2023-03-20 14:30:00,0.200,0.190,0.360,0.0500,0.0100,0.170,0.270,0.270,0.420
