"Time","Load[5m]","Load[1m]","Load[15m]"
2023-03-20 13:00:00,0.290,0.140,0.330
2023-03-20 13:02:00,0.320,0.390,0.340
2023-03-20 13:04:00,0.280,0.190,0.320
2023-03-20 13:06:00,0.710,1.15,0.480
2023-03-20 13:08:00,0.560,0.400,0.450
2023-03-20 13:10:00,0.470,0.270,0.430
2023-03-20 13:12:00,0.410,0.320,0.410
2023-03-20 13:14:00,0.360,0.300,0.390
2023-03-20 13:16:00,0.620,1.23,0.470
2023-03-20 13:18:00,0.550,0.470,0.460
2023-03-20 13:20:00,0.430,0.230,0.430
2023-03-20 13:22:00,0.340,0.180,0.390
2023-03-20 13:24:00,0.320,0.270,0.370
2023-03-20 13:26:00,0.300,0.300,0.360
2023-03-20 13:28:00,0.420,0.620,0.390
2023-03-20 13:30:00,0.600,0.970,0.470
2023-03-20 13:32:00,0.470,0.300,0.430
2023-03-20 13:34:00,0.400,0.230,0.410
2023-03-20 13:36:00,0.420,0.410,0.420
2023-03-20 13:38:00,0.370,0.290,0.400
2023-03-20 13:40:00,0.340,0.300,0.380
2023-03-20 13:42:00,0.330,0.220,0.370
2023-03-20 13:44:00,0.310,0.250,0.360
2023-03-20 13:46:00,0.420,0.670,0.390
2023-03-20 13:48:00,0.400,0.340,0.380
2023-03-20 13:50:00,0.380,0.380,0.370
2023-03-20 13:52:00,0.310,0.170,0.350
2023-03-20 13:54:00,0.350,0.370,0.360
2023-03-20 13:56:00,0.330,0.320,0.350
2023-03-20 13:58:00,0.290,0.200,0.340
2023-03-20 14:00:00,0.340,0.470,0.350
2023-03-20 14:02:00,0.580,1.02,0.430
2023-03-20 14:04:00,0.580,0.570,0.450
2023-03-20 14:06:00,0.450,0.200,0.420
2023-03-20 14:08:00,0.370,0.180,0.390
2023-03-20 14:10:00,0.570,0.830,0.460
2023-03-20 14:12:00,0.530,0.400,0.460
2023-03-20 14:14:00,0.510,0.440,0.460
2023-03-20 14:16:00,0.440,0.370,0.440
2023-03-20 14:18:00,0.440,0.360,0.440
2023-03-20 14:20:00,0.490,0.470,0.460
2023-03-20 14:22:00,0.610,0.950,0.500
2023-03-20 14:24:00,0.520,0.450,0.480
2023-03-20 14:26:00,0.440,0.290,0.450
2023-03-20 14:28:00,0.460,0.570,0.460
2023-03-20 14:30:00,0.360,0.170,0.420
2023-03-20 14:32:00,0.350,0.320,0.410
2023-03-20 14:34:00,0.340,0.370,0.400
2023-03-20 14:36:00,0.390,0.420,0.410
2023-03-20 14:38:00,0.470,0.590,0.430
2023-03-20 14:40:00,0.360,0.190,0.400
2023-03-20 14:42:00,0.330,0.240,0.380
2023-03-20 14:44:00,0.370,0.490,0.380
2023-03-20 14:46:00,0.330,0.320,0.360
2023-03-20 14:48:00,0.380,0.550,0.370
2023-03-20 14:50:00,0.800,1.32,0.530
2023-03-20 14:52:00,0.640,0.420,0.510
2023-03-20 14:54:00,0.610,0.490,0.520
2023-03-20 14:56:00,0.530,0.350,0.500
2023-03-20 14:58:00,0.440,0.300,0.460
2023-03-20 15:00:00,0.490,0.550,0.480
2023-03-20 15:02:00,0.450,0.370,0.460
2023-03-20 15:04:00,0.380,0.290,0.430
2023-03-20 15:06:00,0.330,0.230,0.410
2023-03-20 15:08:00,0.340,0.350,0.400
2023-03-20 15:10:00,0.310,0.200,0.380
2023-03-20 15:12:00,0.460,0.830,0.420
2023-03-20 15:14:00,0.660,1.14,0.500
2023-03-20 15:16:00,0.600,0.560,0.490
2023-03-20 15:18:00,0.470,0.290,0.450
2023-03-20 15:20:00,0.420,0.260,0.440
2023-03-20 15:22:00,0.470,0.530,0.450
2023-03-20 15:24:00,0.410,0.320,0.440
2023-03-20 15:26:00,0.490,0.680,0.460
2023-03-20 15:28:00,0.390,0.270,0.430
2023-03-20 15:30:00,0.400,0.410,0.430
2023-03-20 15:32:00,0.390,0.390,0.420
2023-03-20 15:34:00,0.410,0.510,0.420
2023-03-20 15:36:00,0.350,0.270,0.400
2023-03-20 15:38:00,0.400,0.580,0.400
2023-03-20 15:40:00,0.330,0.220,0.370
2023-03-20 15:42:00,0.320,0.360,0.360
2023-03-20 15:44:00,0.390,0.600,0.380
2023-03-20 15:46:00,0.490,0.740,0.410
2023-03-20 15:48:00,0.350,0.150,0.360
2023-03-20 15:50:00,0.400,0.350,0.380
2023-03-20 15:52:00,0.440,0.430,0.400
2023-03-20 15:54:00,0.460,0.510,0.410
2023-03-20 15:56:00,0.400,0.370,0.390
2023-03-20 15:58:00,0.350,0.210,0.360
2023-03-20 16:00:00,0.310,0.230,0.350
2023-03-20 16:02:00,0.270,0.220,0.330
2023-03-20 16:04:00,0.280,0.230,0.330
2023-03-20 16:06:00,0.350,0.390,0.350
2023-03-20 16:08:00,0.320,0.270,0.350
2023-03-20 16:10:00,0.280,0.210,0.330
2023-03-20 16:12:00,0.250,0.160,0.310
2023-03-20 16:14:00,0.340,0.480,0.340
2023-03-20 16:16:00,0.370,0.500,0.350
2023-03-20 16:18:00,0.290,0.170,0.320
2023-03-20 16:20:00,0.350,0.420,0.340
2023-03-20 16:22:00,0.310,0.220,0.330
2023-03-20 16:24:00,0.300,0.260,0.320
2023-03-20 16:26:00,0.400,0.570,0.350
2023-03-20 16:28:00,0.330,0.220,0.340
2023-03-20 16:30:00,0.320,0.290,0.330
2023-03-20 16:32:00,0.330,0.310,0.340
2023-03-20 16:34:00,0.640,1.22,0.450
2023-03-20 16:36:00,0.530,0.380,0.430
2023-03-20 16:38:00,0.440,0.240,0.420
2023-03-20 16:40:00,0.560,0.760,0.460
2023-03-20 16:42:00,0.420,0.210,0.430
2023-03-20 16:44:00,0.450,0.480,0.430
2023-03-20 16:46:00,0.370,0.230,0.400
2023-03-20 16:48:00,0.360,0.270,0.400
2023-03-20 16:50:00,0.400,0.680,0.400
2023-03-20 16:52:00,0.350,0.300,0.380
2023-03-20 16:54:00,0.380,0.460,0.380
2023-03-20 16:56:00,0.330,0.260,0.360
2023-03-20 16:58:00,0.610,1.10,0.460
2023-03-20 17:00:00,0.520,0.460,0.440
2023-03-20 17:02:00,0.440,0.330,0.420
2023-03-20 17:04:00,0.430,0.430,0.420
2023-03-20 17:06:00,0.380,0.290,0.400
2023-03-20 17:08:00,0.320,0.180,0.370
2023-03-20 17:10:00,0.320,0.250,0.360
2023-03-20 17:12:00,0.260,0.200,0.340
2023-03-20 17:14:00,0.320,0.430,0.350
2023-03-20 17:16:00,0.280,0.290,0.330
2023-03-20 17:18:00,0.280,0.260,0.320
2023-03-20 17:20:00,0.260,0.160,0.310
2023-03-20 17:22:00,0.250,0.220,0.300
2023-03-20 17:24:00,0.380,0.640,0.340
2023-03-20 17:26:00,0.370,0.390,0.340
2023-03-20 17:28:00,0.390,0.530,0.350
2023-03-20 17:30:00,0.490,0.800,0.390
2023-03-20 17:32:00,0.490,0.520,0.400
2023-03-20 17:34:00,0.410,0.350,0.370
2023-03-20 17:36:00,0.370,0.320,0.360
2023-03-20 17:38:00,0.390,0.400,0.370
2023-03-20 17:40:00,0.300,0.150,0.340
2023-03-20 17:42:00,0.280,0.280,0.320
2023-03-20 17:44:00,0.280,0.210,0.320
2023-03-20 17:46:00,0.370,0.440,0.350
2023-03-20 17:48:00,0.350,0.350,0.340
2023-03-20 17:50:00,0.290,0.200,0.320
2023-03-20 17:52:00,0.400,0.620,0.360
2023-03-20 17:54:00,0.360,0.240,0.350
2023-03-20 17:56:00,0.430,0.710,0.370
2023-03-20 17:58:00,0.400,0.460,0.370
2023-03-20 18:00:00,0.330,0.260,0.350
2023-03-20 18:02:00,0.400,0.570,0.370
2023-03-20 18:04:00,0.360,0.260,0.360
2023-03-20 18:06:00,0.340,0.270,0.350
2023-03-20 18:08:00,0.350,0.300,0.360
2023-03-20 18:10:00,0.310,0.210,0.340
2023-03-20 18:12:00,0.320,0.370,0.340
2023-03-20 18:14:00,0.280,0.220,0.330
2023-03-20 18:16:00,0.270,0.230,0.310
2023-03-20 18:18:00,0.680,1.40,0.450
2023-03-20 18:20:00,0.600,0.460,0.450
2023-03-20 18:22:00,0.630,0.790,0.480
2023-03-20 18:24:00,0.490,0.260,0.440
2023-03-20 18:26:00,0.440,0.310,0.430
2023-03-20 18:28:00,0.450,0.560,0.440
2023-03-20 18:30:00,0.440,0.330,0.440
2023-03-20 18:32:00,0.420,0.500,0.430
2023-03-20 18:34:00,0.340,0.210,0.400
2023-03-20 18:36:00,0.350,0.400,0.390
2023-03-20 18:38:00,0.330,0.260,0.370
2023-03-20 18:40:00,0.340,0.290,0.360
2023-03-20 18:42:00,0.550,0.860,0.440
2023-03-20 18:44:00,0.520,0.430,0.450
2023-03-20 18:46:00,0.510,0.590,0.450
2023-03-20 18:48:00,0.410,0.230,0.420
2023-03-20 18:50:00,0.390,0.360,0.410
2023-03-20 18:52:00,0.360,0.260,0.400
2023-03-20 18:54:00,0.370,0.380,0.390
2023-03-20 18:56:00,0.330,0.300,0.370
2023-03-20 18:58:00,0.280,0.270,0.350
2023-03-20 19:00:00,0.240,0.180,0.320
2023-03-20 19:02:00,0.210,0.130,0.300
2023-03-20 19:04:00,0.250,0.240,0.300
2023-03-20 19:06:00,0.340,0.570,0.330
2023-03-20 19:08:00,0.320,0.310,0.320
2023-03-20 19:10:00,0.280,0.260,0.300
2023-03-20 19:12:00,0.310,0.280,0.310
2023-03-20 19:14:00,0.450,0.710,0.360
2023-03-20 19:16:00,0.430,0.340,0.360
2023-03-20 19:18:00,0.390,0.360,0.350
2023-03-20 19:20:00,0.370,0.340,0.350
2023-03-20 19:22:00,0.350,0.310,0.350
2023-03-20 19:24:00,0.350,0.330,0.350
2023-03-20 19:26:00,0.310,0.180,0.340
2023-03-20 19:28:00,0.320,0.290,0.350
2023-03-20 19:30:00,0.350,0.460,0.350
2023-03-20 19:32:00,0.280,0.200,0.330
2023-03-20 19:34:00,0.300,0.360,0.330
2023-03-20 19:36:00,0.290,0.260,0.320
2023-03-20 19:38:00,0.310,0.350,0.320
2023-03-20 19:40:00,0.370,0.440,0.350
2023-03-20 19:42:00,0.270,0.130,0.310
2023-03-20 19:44:00,0.360,0.620,0.330
2023-03-20 19:46:00,0.330,0.270,0.320
2023-03-20 19:48:00,0.540,0.800,0.400
2023-03-20 19:50:00,0.460,0.410,0.390
2023-03-20 19:52:00,0.380,0.210,0.360
2023-03-20 19:54:00,0.390,0.420,0.370
2023-03-20 19:56:00,0.300,0.170,0.340
2023-03-20 19:58:00,0.330,0.320,0.350
2023-03-20 20:00:00,0.290,0.210,0.330
2023-03-20 20:02:00,0.560,1.38,0.420
2023-03-20 20:04:00,0.660,0.690,0.470
2023-03-20 20:06:00,0.580,0.510,0.460
2023-03-20 20:08:00,0.570,0.570,0.470
2023-03-20 20:10:00,0.560,0.430,0.480
2023-03-20 20:12:00,0.500,0.360,0.460
2023-03-20 20:14:00,0.480,0.380,0.450
2023-03-20 20:16:00,0.410,0.320,0.440
2023-03-20 20:18:00,0.360,0.300,0.410
2023-03-20 20:20:00,0.310,0.200,0.380
2023-03-20 20:22:00,0.290,0.240,0.360
2023-03-20 20:24:00,0.260,0.190,0.340
2023-03-20 20:26:00,0.480,0.910,0.410
2023-03-20 20:28:00,0.480,0.500,0.430
2023-03-20 20:30:00,0.380,0.230,0.390
2023-03-20 20:32:00,0.440,0.580,0.410
