"Time","Transmit Total (cilium_host)","Transmit Total (cilium_net)","Transmit Total (cilium_vxlan)","Transmit Total (enp1s0)","Transmit Total (lxc00b02f3908fd)","Transmit Total (lxc0e2771075e46)","Transmit Total (lxc1e2a40cae5f0)","Transmit Total (lxc1eee36049311)","Transmit Total (lxc1f8ee7cb496e)","Transmit Total (lxc20efeaa95647)","Transmit Total (lxc3a8168be8fb2)","Transmit Total (lxc4c9782567f15)","Transmit Total (lxc4e6897478d09)","Transmit Total (lxc51cdd8ff1bad)","Transmit Total (lxc658d02a437db)","Transmit Total (lxc75a8ec1f1cf4)","Transmit Total (lxc798052b5689f)","Transmit Total (lxc878bb64d0384)","Transmit Total (lxc8ab2ea2d4458)","Transmit Total (lxc9b65d3feae75)","Transmit Total (lxc9f89014ebd36)","Transmit Total (lxc_health)","Transmit Total (lxca09c7476b2bb)","Transmit Total (lxca7dd72a275da)","Transmit Total (lxcacf2089d5184)","Transmit Total (lxcbd375acf295f)","Transmit Total (lxcc9469532d43c)","Transmit Total (lxcd07ed415f195)","Transmit Total (lxce2678e98ee06)","Transmit Total (lxce7062d29f75b)","Transmit Total (lxce7c28d678a8f)","Transmit Total (lxcfc36a1177bf4)","Receive Total (cilium_host)","Receive Total (cilium_net)","Receive Total (cilium_vxlan)","Receive Total (enp1s0)","Receive Total (lxc00b02f3908fd)","Receive Total (lxc0e2771075e46)","Receive Total (lxc1e2a40cae5f0)","Receive Total (lxc1eee36049311)","Receive Total (lxc1f8ee7cb496e)","Receive Total (lxc20efeaa95647)","Receive Total (lxc3a8168be8fb2)","Receive Total (lxc4c9782567f15)","Receive Total (lxc4e6897478d09)","Receive Total (lxc51cdd8ff1bad)","Receive Total (lxc658d02a437db)","Receive Total (lxc75a8ec1f1cf4)","Receive Total (lxc798052b5689f)","Receive Total (lxc878bb64d0384)","Receive Total (lxc8ab2ea2d4458)","Receive Total (lxc9b65d3feae75)","Receive Total (lxc9f89014ebd36)","Receive Total (lxc_health)","Receive Total (lxca09c7476b2bb)","Receive Total (lxca7dd72a275da)","Receive Total (lxcacf2089d5184)","Receive Total (lxcbd375acf295f)","Receive Total (lxcc9469532d43c)","Receive Total (lxcd07ed415f195)","Receive Total (lxce2678e98ee06)","Receive Total (lxce7062d29f75b)","Receive Total (lxce7c28d678a8f)","Receive Total (lxcfc36a1177bf4)"
2023-03-20 13:00:00,0,82.2,14734,48095,270,0,10689,4353,4318,0,1742,116,0,117,1355,306,32.9,468,68251,4.13,0,31.8,65.7,66.1,0,107,0.600,121,20311,302,2586,221,82.2,0,20771,120492,270,0,3028,1438,1413,0,186,27.7,0,27.7,89.5,379,22.4,261,2525,4.27,0,25.7,40.3,42.8,0,234,0.600,29.0,11329,442,1281,218
2023-03-20 13:02:00,0,80,14755,49535,285,0,15448,4760,28220,0,1964,117,0,118,287,308,32.1,457,68390,4.13,0,31.6,66.1,66.1,0,105,45.0,121,28158,507,2584,222,80,0,28833,158609,279,0.389,3723,1479,1993,0,178,27.7,0,27.7,73.9,376,21.6,255,2509,4.27,0,25.5,41,41.4,0,230,36.2,29.0,11188,585,1279,222
2023-03-20 13:04:00,0,80,13626,46958,285,0,12431,4713,4316,0,1751,127,0,128,71.2,308,30.7,466,68171,3.90,0,31.8,65.7,65.7,0,104,45.0,110,18390,507,2584,223,80,0,19111,120048,280,0.389,3062,1467,1397,0,195,30.3,0,30.3,70.2,376,19.7,260,2498,4.03,0,25.7,41,41,0,231,36.2,26.3,10032,587,1279,218
2023-03-20 13:06:00,0,77.4,15785,49875,268,0,15351,4341,4536,0,1952,111,0,112,296,306,32.9,468,68389,3.82,0,31.6,65.4,65.4,0,105,0,121,20264,305,2583,221,77.4,0,20715,125250,268,0,3664,1432,1421,0,191,26.3,0,26.3,79.9,379,22.4,260,2510,3.57,0,25.5,39.9,40.6,0,231,0,29.0,12385,440,1277,215
2023-03-20 13:08:00,0,90.3,16058,50529,270,0,17421,4799,6614,0,1951,116,0,117,287,304,31.5,468,68402,3.82,0,31.6,65.8,65.8,0,185,0.600,126,21696,302,2585,221,90.3,0,22174,131456,270,0,3802,1511,1497,0,183,27.7,0,27.7,75.0,381,20.6,261,2508,3.57,0,25.5,40.3,41.4,0,262,0.600,30.3,12660,441,1281,215
2023-03-20 13:10:00,0,84.0,14513,47820,270,0,10854,4353,4322,0,1747,128,0,129,80.0,307,31.5,468,68261,3.90,0,31.6,66.1,66.0,0,107,0,126,20317,304,2585,220,84.0,0,20794,119489,270,0,3020,1429,1396,0,184,30.3,0,30.3,75.5,378,20.6,263,2527,4.42,0,25.5,40.6,41.4,0,236,0,30.3,11094,439,1281,215
2023-03-20 13:12:00,0,83.3,13938,48063,269,0,15463,4729,4540,0,1974,122,0,124,295,307,30.7,468,68416,4.13,0,31.6,65.8,66.4,0,104,38.2,131,26919,503,2583,223,83.3,0,27594,132581,269,0,3709,1475,1396,0,189,29.0,0,29.0,79.9,379,19.7,261,2537,4.27,0,25.5,40.3,41.9,0,232,35.3,31.6,10363,587,1277,224
2023-03-20 13:14:00,0,79.3,12913,46473,270,0,12957,4753,4437,0,1838,128,0,129,142,303,34.3,468,68299,3.90,0,31.6,66.1,65.8,0,104,38.2,126,17254,503,2583,220,79.3,0,17956,119578,270,0,3286,1478,1431,0,181,30.3,0.389,30.3,71.7,380,24.3,261,2519,4.03,0,25.5,41,41.5,0,231,35.3,30.3,9321,588,1276,220
2023-03-20 13:16:00,0,82.6,14632,48488,270,0,13190,4339,4462,0,1893,128,0,129,2507,306,30.7,470,68342,3.43,0,31.6,66.0,66.1,0,104,0,126,29832,303,2585,221,82.6,0,30273,135235,270,0,3442,1425,1427,0,188,30.3,0,30.3,110,379,19.7,262,2506,3.57,0,25.5,41.4,42.1,0,231,0,30.3,11230,441,1280,215
2023-03-20 13:18:00,0,76.0,15185,49476,269,0,15506,4724,4537,0,1974,122,0,124,2569,304,31.1,471,68405,3.43,0,31.6,66.5,66.1,0,187,0.600,121,19999,306,2586,226,76.0,0,20491,127876,269,0,3750,1492,1412,0,209,29.0,0,29.0,107,379,19.7,263,2533,3.57,0,25.5,41.1,42.1,0,260,0.600,29.0,11769,441,1282,223
