"Time","Read (dm-0)","Read (vda)","Read (vdb)","Write (dm-0)","Write (vda)","Write (vdb)"
2023-03-20 13:00:00,0,0,0,277641,277641,0
2023-03-20 13:02:00,0,0,0,340173,340173,0
2023-03-20 13:04:00,0,0,0,280530,280530,0
2023-03-20 13:06:00,0,0,0,312775,312775,0
2023-03-20 13:08:00,0,0,0,338330,338330,0
2023-03-20 13:10:00,0,0,0,273044,273044,0
2023-03-20 13:12:00,0,0,0,344565,344565,0
2023-03-20 13:14:00,0,0,0,299895,299895,0
2023-03-20 13:16:00,0,0,0,303150,303150,0
2023-03-20 13:18:00,0,0,0,332186,332186,0
2023-03-20 13:20:00,0,0,0,283807,283807,0
2023-03-20 13:22:00,0,0,0,327111,327111,0
2023-03-20 13:24:00,0,0,0,286561,286561,0
2023-03-20 13:26:00,0,0,0,316075,316075,0
2023-03-20 13:28:00,0,0,0,336327,336327,0
2023-03-20 13:30:00,0,0,0,281486,281486,0
2023-03-20 13:32:00,0,0,0,338739,338739,0
2023-03-20 13:34:00,0,0,0,283034,283034,0
2023-03-20 13:36:00,0,0,0,284353,284353,0
2023-03-20 13:38:00,0,0,0,319716,319716,0
2023-03-20 13:40:00,0,0,0,257479,257479,0
2023-03-20 13:42:00,0,0,0,388346,388346,0
2023-03-20 13:44:00,0,0,0,298030,298030,0
2023-03-20 13:46:00,0,0,0,335189,335189,0
2023-03-20 13:48:00,0,0,0,345498,345498,0
2023-03-20 13:50:00,0,0,0,273476,273476,0
2023-03-20 13:52:00,0,0,0,335713,335713,0
2023-03-20 13:54:00,0,0,0,295049,295049,0
2023-03-20 13:56:00,0,0,0,316006,316006,0
2023-03-20 13:58:00,0,0,0,340127,340127,0
2023-03-20 14:00:00,0,0,0,269517,269517,0
2023-03-20 14:02:00,0,0,0,337510,337510,0
2023-03-20 14:04:00,0,0,0,301010,301010,0
2023-03-20 14:06:00,0,0,0,314095,314095,0
2023-03-20 14:08:00,0,0,0,375421,375421,0
2023-03-20 14:10:00,0,0,0,276571,276571,0
2023-03-20 14:12:00,0,0,0,333210,333210,0
2023-03-20 14:14:00,0,0,0,296346,296346,0
2023-03-20 14:16:00,0,0,0,305706,305706,0
2023-03-20 14:18:00,0,0,0,338967,338967,0
2023-03-20 14:20:00,0,0,0,277345,277345,0
2023-03-20 14:22:00,0,0,0,336577,336577,0
2023-03-20 14:24:00,0,0,0,283079,283079,0
2023-03-20 14:26:00,0,0,0,309999,309999,0
2023-03-20 14:28:00,0,0,0,333210,333210,0
2023-03-20 14:30:00,0,0,0,273772,273772,0
2023-03-20 14:32:00,0,0,0,333119,333119,0
2023-03-20 14:34:00,0,0,0,290384,290384,0
2023-03-20 14:36:00,0,0,0,315096,315096,0
2023-03-20 14:38:00,0,0,0,336987,336987,0
