"Time","Receive Errors (cilium_host)","Receive Errors (cilium_net)","Receive Errors (cilium_vxlan)","Receive Errors (enp1s0)","Receive Errors (lxc045e0df77a65)","Receive Errors (lxc04ba3655f7bb)","Receive Errors (lxc058f11ae84e2)","Receive Errors (lxc101aa30b6d42)","Receive Errors (lxc1055eece523d)","Receive Errors (lxc17545d6a2c13)","Receive Errors (lxc1b3ec4421f95)","Receive Errors (lxc25dc796f779e)","Receive Errors (lxc2cf3504ea230)","Receive Errors (lxc2f20023e145d)","Receive Errors (lxc42de66ecdcc8)","Receive Errors (lxc53962ca4487f)","Receive Errors (lxc586756a19dbd)","Receive Errors (lxc6609bc973c6e)","Receive Errors (lxc8f825b75ba1b)","Receive Errors (lxc901c98c966b2)","Receive Errors (lxc970c5453f2c7)","Receive Errors (lxc9bf9c5e25fda)","Receive Errors (lxc9d9580e18417)","Receive Errors (lxc_health)","Receive Errors (lxca2b0b9903cdc)","Receive Errors (lxca3d1fbc08b7c)","Receive Errors (lxcaee2fab0754f)","Receive Errors (lxcb3f5b6163447)","Receive Errors (lxcbba06f29c914)","Receive Errors (lxccc10b9c35713)","Receive Errors (lxccd3f5d5c9dab)","Receive Errors (lxcd19ab656bbb2)","Receive Errors (lxcd4e1a68a8393)","Receive Errors (lxcf0be76b85bba)","Receive Total (cilium_host)","Receive Total (cilium_net)","Receive Total (cilium_vxlan)","Receive Total (enp1s0)","Receive Total (lxc045e0df77a65)","Receive Total (lxc04ba3655f7bb)","Receive Total (lxc058f11ae84e2)","Receive Total (lxc101aa30b6d42)","Receive Total (lxc1055eece523d)","Receive Total (lxc17545d6a2c13)","Receive Total (lxc1b3ec4421f95)","Receive Total (lxc25dc796f779e)","Receive Total (lxc2cf3504ea230)","Receive Total (lxc2f20023e145d)","Receive Total (lxc42de66ecdcc8)","Receive Total (lxc53962ca4487f)","Receive Total (lxc586756a19dbd)","Receive Total (lxc6609bc973c6e)","Receive Total (lxc8f825b75ba1b)","Receive Total (lxc901c98c966b2)","Receive Total (lxc970c5453f2c7)","Receive Total (lxc9bf9c5e25fda)","Receive Total (lxc9d9580e18417)","Receive Total (lxc_health)","Receive Total (lxca2b0b9903cdc)","Receive Total (lxca3d1fbc08b7c)","Receive Total (lxcaee2fab0754f)","Receive Total (lxcb3f5b6163447)","Receive Total (lxcbba06f29c914)","Receive Total (lxccc10b9c35713)","Receive Total (lxccd3f5d5c9dab)","Receive Total (lxcd19ab656bbb2)","Receive Total (lxcd4e1a68a8393)","Receive Total (lxcf0be76b85bba)","Transmit Errors (cilium_host)","Transmit Errors (cilium_net)","Transmit Errors (cilium_vxlan)","Transmit Errors (enp1s0)","Transmit Errors (lxc045e0df77a65)","Transmit Errors (lxc04ba3655f7bb)","Transmit Errors (lxc058f11ae84e2)","Transmit Errors (lxc101aa30b6d42)","Transmit Errors (lxc1055eece523d)","Transmit Errors (lxc17545d6a2c13)","Transmit Errors (lxc1b3ec4421f95)","Transmit Errors (lxc25dc796f779e)","Transmit Errors (lxc2cf3504ea230)","Transmit Errors (lxc2f20023e145d)","Transmit Errors (lxc42de66ecdcc8)","Transmit Errors (lxc53962ca4487f)","Transmit Errors (lxc586756a19dbd)","Transmit Errors (lxc6609bc973c6e)","Transmit Errors (lxc8f825b75ba1b)","Transmit Errors (lxc901c98c966b2)","Transmit Errors (lxc970c5453f2c7)","Transmit Errors (lxc9bf9c5e25fda)","Transmit Errors (lxc9d9580e18417)","Transmit Errors (lxc_health)","Transmit Errors (lxca2b0b9903cdc)","Transmit Errors (lxca3d1fbc08b7c)","Transmit Errors (lxcaee2fab0754f)","Transmit Errors (lxcb3f5b6163447)","Transmit Errors (lxcbba06f29c914)","Transmit Errors (lxccc10b9c35713)","Transmit Errors (lxccd3f5d5c9dab)","Transmit Errors (lxcd19ab656bbb2)","Transmit Errors (lxcd4e1a68a8393)","Transmit Errors (lxcf0be76b85bba)","Receive Dropped (cilium_host)","Receive Dropped (cilium_net)","Receive Dropped (cilium_vxlan)","Receive Dropped (enp1s0)","Receive Dropped (lxc045e0df77a65)","Receive Dropped (lxc04ba3655f7bb)","Receive Dropped (lxc058f11ae84e2)","Receive Dropped (lxc101aa30b6d42)","Receive Dropped (lxc1055eece523d)","Receive Dropped (lxc17545d6a2c13)","Receive Dropped (lxc1b3ec4421f95)","Receive Dropped (lxc25dc796f779e)","Receive Dropped (lxc2cf3504ea230)","Receive Dropped (lxc2f20023e145d)","Receive Dropped (lxc42de66ecdcc8)","Receive Dropped (lxc53962ca4487f)","Receive Dropped (lxc586756a19dbd)","Receive Dropped (lxc6609bc973c6e)","Receive Dropped (lxc8f825b75ba1b)","Receive Dropped (lxc901c98c966b2)","Receive Dropped (lxc970c5453f2c7)","Receive Dropped (lxc9bf9c5e25fda)","Receive Dropped (lxc9d9580e18417)","Receive Dropped (lxc_health)","Receive Dropped (lxca2b0b9903cdc)","Receive Dropped (lxca3d1fbc08b7c)","Receive Dropped (lxcaee2fab0754f)","Receive Dropped (lxcb3f5b6163447)","Receive Dropped (lxcbba06f29c914)","Receive Dropped (lxccc10b9c35713)","Receive Dropped (lxccd3f5d5c9dab)","Receive Dropped (lxcd19ab656bbb2)","Receive Dropped (lxcd4e1a68a8393)","Receive Dropped (lxcf0be76b85bba)","Transmit Dropped (cilium_host)","Transmit Dropped (cilium_net)","Transmit Dropped (cilium_vxlan)","Transmit Dropped (enp1s0)","Transmit Dropped (lxc045e0df77a65)","Transmit Dropped (lxc04ba3655f7bb)","Transmit Dropped (lxc058f11ae84e2)","Transmit Dropped (lxc101aa30b6d42)","Transmit Dropped (lxc1055eece523d)","Transmit Dropped (lxc17545d6a2c13)","Transmit Dropped (lxc1b3ec4421f95)","Transmit Dropped (lxc25dc796f779e)","Transmit Dropped (lxc2cf3504ea230)","Transmit Dropped (lxc2f20023e145d)","Transmit Dropped (lxc42de66ecdcc8)","Transmit Dropped (lxc53962ca4487f)","Transmit Dropped (lxc586756a19dbd)","Transmit Dropped (lxc6609bc973c6e)","Transmit Dropped (lxc8f825b75ba1b)","Transmit Dropped (lxc901c98c966b2)","Transmit Dropped (lxc970c5453f2c7)","Transmit Dropped (lxc9bf9c5e25fda)","Transmit Dropped (lxc9d9580e18417)","Transmit Dropped (lxc_health)","Transmit Dropped (lxca2b0b9903cdc)","Transmit Dropped (lxca3d1fbc08b7c)","Transmit Dropped (lxcaee2fab0754f)","Transmit Dropped (lxcb3f5b6163447)","Transmit Dropped (lxcbba06f29c914)","Transmit Dropped (lxccc10b9c35713)","Transmit Dropped (lxccd3f5d5c9dab)","Transmit Dropped (lxcd19ab656bbb2)","Transmit Dropped (lxcd4e1a68a8393)","Transmit Dropped (lxcf0be76b85bba)","Transmit Total (cilium_host)","Transmit Total (cilium_net)","Transmit Total (cilium_vxlan)","Transmit Total (enp1s0)","Transmit Total (lxc045e0df77a65)","Transmit Total (lxc04ba3655f7bb)","Transmit Total (lxc058f11ae84e2)","Transmit Total (lxc101aa30b6d42)","Transmit Total (lxc1055eece523d)","Transmit Total (lxc17545d6a2c13)","Transmit Total (lxc1b3ec4421f95)","Transmit Total (lxc25dc796f779e)","Transmit Total (lxc2cf3504ea230)","Transmit Total (lxc2f20023e145d)","Transmit Total (lxc42de66ecdcc8)","Transmit Total (lxc53962ca4487f)","Transmit Total (lxc586756a19dbd)","Transmit Total (lxc6609bc973c6e)","Transmit Total (lxc8f825b75ba1b)","Transmit Total (lxc901c98c966b2)","Transmit Total (lxc970c5453f2c7)","Transmit Total (lxc9bf9c5e25fda)","Transmit Total (lxc9d9580e18417)","Transmit Total (lxc_health)","Transmit Total (lxca2b0b9903cdc)","Transmit Total (lxca3d1fbc08b7c)","Transmit Total (lxcaee2fab0754f)","Transmit Total (lxcb3f5b6163447)","Transmit Total (lxcbba06f29c914)","Transmit Total (lxccc10b9c35713)","Transmit Total (lxccd3f5d5c9dab)","Transmit Total (lxcd19ab656bbb2)","Transmit Total (lxcd4e1a68a8393)","Transmit Total (lxcf0be76b85bba)"
2023-03-20 13:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.05,0,11.9,165,0,2.04,0.383,0.472,0.278,0.383,7.26,0.539,4.42,0.00556,11.6,0.900,0.0833,1.51,0.950,0,3.36,2.37,0.350,0.333,0.861,3.56,0.550,0.100,3.45,0,0,0.350,1.30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.05,10.4,184,0,2.83,0.256,0.511,0.439,0.256,9,0.983,5.32,0,12,1.09,0.0722,1.71,1.34,0,4.70,3.01,0.233,0.400,0.867,4.88,0.994,0.200,3.59,0,0,0.233,1.46,0
2023-03-20 13:02:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.28,0,33.1,195,0,1.88,0.367,0.517,0.289,0.367,7.63,0.539,12.6,0.00556,11.2,0.839,0.0722,1.52,0.950,0,3.29,2.28,0.383,0.333,0.922,3.32,0.550,1.46,4.07,0,0,0.367,24.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.28,31.2,238,0,2.82,0.244,0.544,0.444,0.244,9.24,0.989,13.4,0,11.9,1.04,0.0667,1.67,1.34,0,4.62,3.17,0.256,0.400,0.922,4.94,0.994,1.64,4.17,0,0,0.244,24.7,0
2023-03-20 13:04:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.69,0,26.3,180,0,1.85,0.333,0.467,0.311,0.350,7.38,0.539,10.6,0,11.5,0.850,0.0722,1.52,0.961,0,3.37,2.21,0.367,0.339,0.822,3.35,0.539,1.46,3.92,0,0,0.383,15.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.69,24.0,202,0,2.74,0.222,0.511,0.450,0.233,9.01,0.989,11.4,0,11.8,1.04,0.0667,1.68,1.35,0,4.63,3.02,0.244,0.406,0.822,5.13,0.983,1.64,4.04,0,0,0.256,16.3,0
2023-03-20 13:06:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.71,0,13.1,170,0,2.14,0.383,0.450,0.300,0.383,7.64,0.556,4.47,0,11.8,0.822,0.0833,1.53,0.956,0,3.23,2.34,0.317,0.339,0.906,3.51,0.556,0.100,3.54,0,0,0.333,1.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.71,10.9,191,0,2.94,0.256,0.500,0.444,0.256,9.33,0.989,5.26,0,12.3,1.02,0.0778,1.70,1.34,0,4.66,3.08,0.211,0.406,0.917,5.43,0.994,0.200,3.63,0,0,0.222,1.51,0
2023-03-20 13:08:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.88,0,13.2,171,0,2.02,0.367,0.433,0.278,0.350,7.67,0.561,4.47,0,11.4,1.01,0.0667,1.52,0.950,0,3.48,2.32,0.367,0.333,1.04,3.31,0.556,0.100,3.66,0,0,0.367,1.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.88,11.5,195,0,2.91,0.250,0.489,0.433,0.233,9.43,0.994,5.28,0,11.9,1.18,0.0611,1.67,1.33,0,4.92,3.16,0.244,0.400,1.18,4.97,0.994,0.200,3.80,0,0,0.244,1.43,0
2023-03-20 13:10:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.98,0,12.4,165,0,1.94,0.383,0.494,0.289,0.383,7.39,0.550,4.45,0,11.1,0.872,0.0778,1.53,0.933,0,3.50,2.18,0.350,0.333,0.889,3.20,0.561,0.100,3.40,0,0,0.367,1.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.98,10.4,183,0,2.83,0.256,0.533,0.439,0.256,9.03,0.994,5.30,0,11.7,1.07,0.0667,1.69,1.32,0,5.02,2.99,0.233,0.400,0.894,5.13,0.989,0.200,3.54,0,0,0.244,1.46,0
2023-03-20 13:12:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.08,0,33.1,186,0,1.97,0.383,0.517,0.361,0.367,7.53,0.533,12.2,0,11.6,0.872,0.0722,1.48,0.944,0,3.46,2.38,0.367,0.333,1,3.40,0.544,1.49,4.03,0,0,0.367,24.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.08,31.0,220,0,2.84,0.256,0.544,0.489,0.244,9.33,0.983,12.9,0,12.4,1.07,0.0667,1.70,1.33,0,4.98,3.16,0.244,0.400,1,5.37,0.989,1.63,4.15,0,0,0.244,24.6,0
2023-03-20 13:14:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.53,0,32.4,185,0,1.94,0.367,0.450,0.400,0.383,7.39,0.544,12.1,0,11.4,0.861,0.0722,1.51,0.950,0,3.48,2.41,0.400,0.322,0.811,3.35,0.539,1.49,3.82,0,0,0.400,24.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.53,30.2,213,0,2.79,0.244,0.500,0.533,0.256,9.12,0.983,13.0,0,12.1,1.06,0.0667,1.68,1.33,0,4.96,3.08,0.267,0.389,0.811,4.98,0.983,1.63,3.92,0,0,0.267,24.6,0
2023-03-20 13:16:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.29,0,12.4,168,0,2.09,0.367,0.450,0.300,0.350,7.48,0.539,4.41,0,11.4,0.833,0.0611,1.54,0.944,0,3.43,2.40,0.383,0.317,0.911,3.51,0.544,0.100,3.53,0,0,0.383,1.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.29,10.7,190,0,2.87,0.244,0.500,0.456,0.233,9.26,0.983,5.27,0,12.0,1.03,0.0556,1.67,1.33,0,4.81,3.10,0.256,0.383,0.911,4.94,0.989,0.200,3.64,0,0,0.256,1.47,0.00556
2023-03-20 13:18:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.50,0,12.9,173,0,2.24,0.372,0.467,0.272,0.383,7.63,0.550,4.39,0,11.7,1.02,0.0611,1.54,0.944,0,3.17,2.54,0.383,0.317,0.939,3.45,0.561,0.100,3.72,0,0,0.383,1.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.50,10.7,194,0,2.98,0.244,0.517,0.433,0.256,9.32,0.994,5.26,0,12.2,1.19,0.0500,1.68,1.33,0,4.44,3.20,0.256,0.383,0.939,5.51,0.989,0.200,3.83,0,0,0.256,1.44,0.00556
