,Time,Type,Response,Code
0,2023-03-20 02:12:29.653271,Public,0.005055,200
0,2023-03-20 02:12:29.759871,Public,0.005164,200
0,2023-03-20 02:12:29.866550,Public,0.00515,200
0,2023-03-20 02:12:29.973391,Public,0.005311,200
0,2023-03-20 02:12:30.080412,Public,0.005486,200
0,2023-03-20 02:12:30.187274,Public,0.005248,200
0,2023-03-20 02:12:30.294322,Public,0.005481,200
0,2023-03-20 02:12:30.400296,Public,0.004554,200
0,2023-03-20 02:12:30.506376,Public,0.004755,200
0,2023-03-20 02:12:30.612347,Public,0.004679,200
0,2023-03-20 02:12:30.718436,Public,0.00482,200
0,2023-03-20 02:12:30.824618,Public,0.004888,200
0,2023-03-20 02:12:30.930398,Public,0.004501,200
0,2023-03-20 02:12:31.036368,Public,0.00467,200
0,2023-03-20 02:12:31.143306,Public,0.005475,200
0,2023-03-20 02:12:31.249527,Public,0.004672,200
0,2023-03-20 02:12:31.355268,Public,0.004513,200
0,2023-03-20 02:12:31.461303,Public,0.004726,200
0,2023-03-20 02:12:31.567445,Public,0.004827,200
0,2023-03-20 02:12:31.673496,Public,0.004714,200
0,2023-03-20 02:12:31.779601,Public,0.004782,200
0,2023-03-20 02:12:31.886532,Public,0.005552,200
0,2023-03-20 02:12:31.992993,Public,0.004951,200
0,2023-03-20 02:12:32.099160,Public,0.004836,200
0,2023-03-20 02:12:32.205240,Public,0.004697,200
0,2023-03-20 02:12:32.312082,Public,0.005362,200
0,2023-03-20 02:12:32.419161,Public,0.005417,200
0,2023-03-20 02:12:32.526249,Public,0.00543,200
0,2023-03-20 02:12:32.633546,Public,0.005628,200
0,2023-03-20 02:12:32.739835,Public,0.004755,200
0,2023-03-20 02:12:32.845868,Public,0.004703,200
0,2023-03-20 02:12:32.952150,Public,0.004977,200
0,2023-03-20 02:12:33.058120,Public,0.004668,200
0,2023-03-20 02:12:33.164013,Public,0.004565,200
0,2023-03-20 02:12:33.270351,Public,0.004982,200
0,2023-03-20 02:12:33.377776,Public,0.005983,200
0,2023-03-20 02:12:33.484110,Public,0.004729,200
0,2023-03-20 02:12:33.590262,Public,0.004795,200
0,2023-03-20 02:12:33.696165,Public,0.004569,200
0,2023-03-20 02:12:33.802418,Public,0.004915,200
0,2023-03-20 02:12:33.908601,Public,0.004865,200
0,2023-03-20 02:12:34.014639,Public,0.004733,200
0,2023-03-20 02:12:34.121805,Public,0.005679,200
0,2023-03-20 02:12:34.228472,Public,0.005161,200
0,2023-03-20 02:12:34.340883,Public,0.011021,200
0,2023-03-20 02:12:34.447262,Public,0.005042,200
0,2023-03-20 02:12:34.553682,Public,0.00508,200
0,2023-03-20 02:12:34.660640,Public,0.005415,200
0,2023-03-20 02:12:34.766848,Public,0.004839,200
0,2023-03-20 02:12:34.873233,Public,0.005024,200
0,2023-03-20 02:12:34.979379,Public,0.004801,200
0,2023-03-20 02:12:35.085486,Public,0.004796,200
0,2023-03-20 02:12:35.191601,Public,0.004775,200
0,2023-03-20 02:12:35.297755,Public,0.00481,200
0,2023-03-20 02:12:35.404074,Public,0.004881,200
0,2023-03-20 02:12:35.510410,Public,0.004981,200
0,2023-03-20 02:12:35.617249,Public,0.005423,200
0,2023-03-20 02:12:35.723710,Public,0.004973,200
0,2023-03-20 02:12:35.830126,Public,0.005042,200
0,2023-03-20 02:12:35.936226,Public,0.004747,200
0,2023-03-20 02:12:36.042677,Public,0.005077,200
0,2023-03-20 02:12:36.148999,Public,0.004964,200
0,2023-03-20 02:12:36.255359,Public,0.00502,200
0,2023-03-20 02:12:36.361632,Public,0.004948,200
0,2023-03-20 02:12:36.468644,Public,0.005549,200
0,2023-03-20 02:12:36.575884,Public,0.005583,200
0,2023-03-20 02:12:36.682875,Public,0.005322,200
0,2023-03-20 02:12:36.789920,Public,0.005416,200
0,2023-03-20 02:12:36.896938,Public,0.005357,200
0,2023-03-20 02:12:37.004798,Public,0.0058,200
0,2023-03-20 02:12:37.112213,Public,0.005708,200
0,2023-03-20 02:12:37.218844,Public,0.005071,200
0,2023-03-20 02:12:37.325086,Public,0.004867,200
0,2023-03-20 02:12:37.431450,Public,0.004986,200
0,2023-03-20 02:12:37.543387,Public,0.010595,200
