,Time,Type,Response,Code
0,2023-03-20 18:39:54.498871,Public,0.006564,200
0,2023-03-20 18:39:54.619736,Public,0.018184,200
0,2023-03-20 18:39:54.739242,Public,0.015776,200
0,2023-03-20 18:39:54.846249,Public,0.005216,200
0,2023-03-20 18:39:54.956954,Public,0.008741,200
0,2023-03-20 18:39:55.076633,Public,0.017033,200
0,2023-03-20 18:39:55.197928,Public,0.017268,200
0,2023-03-20 18:39:55.317611,Public,0.015776,200
0,2023-03-20 18:39:55.438503,Public,0.0177,200
0,2023-03-20 18:39:55.560696,Public,0.018215,200
0,2023-03-20 18:39:55.681954,Public,0.017112,200
0,2023-03-20 18:39:55.795374,Public,0.009746,200
0,2023-03-20 18:39:55.916506,Public,0.01836,200
0,2023-03-20 18:39:56.038218,Public,0.01739,200
0,2023-03-20 18:39:56.147132,Public,0.00571,200
0,2023-03-20 18:39:56.267163,Public,0.01754,200
0,2023-03-20 18:39:56.379295,Public,0.008931,200
0,2023-03-20 18:39:56.499729,Public,0.017109,200
0,2023-03-20 18:39:56.616046,Public,0.012895,200
0,2023-03-20 18:39:56.735578,Public,0.016467,200
0,2023-03-20 18:39:56.857006,Public,0.018254,200
0,2023-03-20 18:39:56.970392,Public,0.010374,200
0,2023-03-20 18:39:57.076874,Public,0.00506,200
0,2023-03-20 18:39:57.183103,Public,0.004912,200
0,2023-03-20 18:39:57.303107,Public,0.017473,200
0,2023-03-20 18:39:57.415752,Public,0.009161,200
0,2023-03-20 18:39:57.536137,Public,0.017834,200
0,2023-03-20 18:39:57.657325,Public,0.017233,200
0,2023-03-20 18:39:57.764926,Public,0.0049,200
0,2023-03-20 18:39:57.885369,Public,0.017904,200
0,2023-03-20 18:39:57.993168,Public,0.005089,200
0,2023-03-20 18:39:58.113831,Public,0.018165,200
0,2023-03-20 18:39:58.235526,Public,0.01759,200
0,2023-03-20 18:39:58.356629,Public,0.017156,200
0,2023-03-20 18:39:58.477756,Public,0.017102,200
0,2023-03-20 18:39:58.599761,Public,0.017961,200
0,2023-03-20 18:39:58.721173,Public,0.017779,200
0,2023-03-20 18:39:58.842804,Public,0.017566,200
0,2023-03-20 18:39:58.950414,Public,0.004827,200
0,2023-03-20 18:39:59.057383,Public,0.005624,200
0,2023-03-20 18:39:59.163788,Public,0.005074,200
0,2023-03-20 18:39:59.270706,Public,0.005639,200
0,2023-03-20 18:39:59.376725,Public,0.004715,200
0,2023-03-20 18:39:59.482891,Public,0.004861,200
0,2023-03-20 18:39:59.589091,Public,0.004907,200
0,2023-03-20 18:39:59.695359,Public,0.004937,200
0,2023-03-20 18:39:59.802165,Public,0.005457,200
0,2023-03-20 18:39:59.922524,Public,0.017625,200
0,2023-03-20 18:40:00.048306,Public,0.021511,200
0,2023-03-20 18:40:00.161669,Public,0.010251,200
0,2023-03-20 18:40:00.271106,Public,0.007451,200
0,2023-03-20 18:40:00.391189,Public,0.017044,200
0,2023-03-20 18:40:00.514010,Public,0.018993,200
0,2023-03-20 18:40:00.623408,Public,0.007075,200
0,2023-03-20 18:40:00.733957,Public,0.008398,200
0,2023-03-20 18:40:00.840420,Public,0.005041,200
0,2023-03-20 18:40:00.953550,Public,0.010947,200
0,2023-03-20 18:40:01.063924,Public,0.008081,200
0,2023-03-20 18:40:01.171953,Public,0.006463,200
0,2023-03-20 18:40:01.291716,Public,0.017275,200
0,2023-03-20 18:40:01.412539,Public,0.017256,200
0,2023-03-20 18:40:01.525268,Public,0.00948,200
0,2023-03-20 18:40:01.633241,Public,0.006422,200
0,2023-03-20 18:40:01.753816,Public,0.018161,200
0,2023-03-20 18:40:01.860973,Public,0.004848,200
0,2023-03-20 18:40:01.972728,Public,0.009846,200
0,2023-03-20 18:40:02.095017,Public,0.018662,200
0,2023-03-20 18:40:02.217067,Public,0.01795,200
0,2023-03-20 18:40:02.336553,Public,0.01555,200
0,2023-03-20 18:40:02.457781,Public,0.017587,200
0,2023-03-20 18:40:02.571516,Public,0.01086,200
0,2023-03-20 18:40:02.693332,Public,0.01853,200
0,2023-03-20 18:40:02.815035,Public,0.017616,200
0,2023-03-20 18:40:02.932892,Public,0.013996,200
0,2023-03-20 18:40:03.046184,Public,0.010491,200
0,2023-03-20 18:40:03.167072,Public,0.017692,200
0,2023-03-20 18:40:03.288272,Public,0.017168,200
0,2023-03-20 18:40:03.409834,Public,0.017391,200
0,2023-03-20 18:40:03.518122,Public,0.005478,200
0,2023-03-20 18:40:03.624831,Public,0.005382,200
0,2023-03-20 18:40:03.731373,Public,0.005231,200
0,2023-03-20 18:40:03.852150,Public,0.018419,200
0,2023-03-20 18:40:03.973016,Public,0.017416,200
