"Time","EGRESS","EGRESS","EGRESS","INGRESS","INGRESS","INGRESS"
2023-03-23 03:00:00,613430,330148,1578749,1662580,644276,2083917
2023-03-23 03:02:00,600086,943496,1615817,2239956,668516,2140496
2023-03-23 03:04:00,607030,337861,1546644,1639457,624720,2109335
2023-03-23 03:06:00,707968,985929,1726055,2382287,683910,2630792
2023-03-23 03:08:00,626572,921641,1618806,2231960,676330,2238957
2023-03-23 03:10:00,625248,683138,1574588,1666527,630209,2105364
2023-03-23 03:12:00,610910,928605,1567972,2226892,643474,2121607
2023-03-23 03:14:00,652453,331932,1580920,1639615,624236,2143889
2023-03-23 03:16:00,647241,986879,1574989,2256974,668771,2378165
2023-03-23 03:18:00,628847,376716,1986292,1809269,711058,2467748
2023-03-23 03:20:00,609613,930418,1859771,2262607,646616,2351656
2023-03-23 03:22:00,600074,1001194,2332263,2221390,730712,2439875
2023-03-23 03:24:00,589526,341860,1859355,1647150,651003,2354411
2023-03-23 03:26:00,688730,971621,1942694,2272622,683489,2732838
2023-03-23 03:28:00,633021,383489,1996288,1702651,705769,2542579
2023-03-23 03:30:00,614852,925038,1896482,2240722,640161,2374358
2023-03-23 03:32:00,613754,1342149,3162496,2212463,1343112,2528979
2023-03-23 03:34:00,597994,680419,1864055,1629842,630756,2320171
2023-03-23 03:36:00,700174,970318,1981014,2370853,663266,2841014
2023-03-23 03:38:00,623452,385573,2016404,1694146,706872,2588929
2023-03-23 03:40:00,598847,912588,1875007,2238679,628366,2320755
2023-03-23 03:42:00,661242,1276406,3929120,2146333,1969963,2727757
2023-03-23 03:44:00,607934,915784,1879645,2226276,633950,2375831
2023-03-23 03:46:00,671101,963638,1910114,2237362,641374,2778013
2023-03-23 03:48:00,621205,365425,2163198,1954558,698584,2483352
2023-03-23 03:50:00,602536,908423,1869854,2245493,633854,2315883
2023-03-23 03:52:00,606145,1226269,3676591,1664518,2118669,2571204
2023-03-23 03:54:00,594072,916776,1944238,2242724,664289,2438563
2023-03-23 03:56:00,670942,938407,1877288,2233028,650314,2720627
2023-03-23 03:58:00,646184,649936,1897725,1654003,643833,2498767
2023-03-23 04:00:00,654243,924398,1901485,2242565,634182,2404159
2023-03-23 04:02:00,617388,915377,2897439,1660243,1614990,2505812
2023-03-23 04:04:00,611157,933306,1980789,2261691,662683,2428136
2023-03-23 04:06:00,712925,502901,1989456,2251108,657110,2837236
2023-03-23 04:08:00,625748,936407,1871316,2227140,637411,2458728
2023-03-23 04:10:00,598695,920347,1878063,2236363,634414,2366299
2023-03-23 04:12:00,591466,560376,2040743,1662158,1015787,2367420
2023-03-23 04:14:00,615436,2196488,4873978,2289626,2815441,2798056
2023-03-23 04:16:00,645132,386213,1878168,1650259,638637,2707025
2023-03-23 04:18:00,609759,942744,1888728,2220573,648688,2466894
2023-03-23 04:20:00,603893,884895,1869950,2216137,631271,2333741
2023-03-23 04:22:00,599365,706778,1856363,1688668,683709,2369306
2023-03-23 04:24:00,609379,957570,1985512,2277159,712820,2438826
2023-03-23 04:26:00,661007,381375,1911308,1659685,651723,2730716
2023-03-23 04:28:00,636738,936622,2515844,3530748,627745,2455448
2023-03-23 04:30:00,623566,719773,1837609,2132822,637355,2324640
2023-03-23 04:32:00,589384,928702,1786580,2213925,626510,2282075
2023-03-23 04:34:00,644991,942839,1873702,2278528,696285,2333551
2023-03-23 04:36:00,678992,452836,2367780,1783655,735395,2812420
2023-03-23 04:38:00,640576,944035,1893002,2265879,679785,2470167
2023-03-23 04:40:00,613513,337840,1826022,1653548,614422,2310052
2023-03-23 04:42:00,606873,930507,1815473,2220613,645792,2307552
2023-03-23 04:44:00,661436,904481,2476623,3535249,680064,2353567
2023-03-23 04:46:00,682361,1125536,3074467,1662867,1269395,2895456
2023-03-23 04:48:00,602457,949559,1860799,2262693,687138,2406120
2023-03-23 04:50:00,607875,352487,1924959,1690023,664116,2390658
2023-03-23 04:52:00,667666,925707,1835876,2224211,632176,2366903
2023-03-23 04:54:00,618216,463354,1834051,2102964,646495,2332935
2023-03-23 04:56:00,679342,1683325,3816248,2250782,1833354,2900647
2023-03-23 04:58:00,605805,944147,1869454,2259737,683853,2452839
2023-03-23 05:00:00,619778,375199,1952505,1735556,739294,2434736
2023-03-23 05:02:00,610250,919203,1825954,2220179,633208,2346488
2023-03-23 05:04:00,614835,343363,1813656,1643931,629420,2306928
2023-03-23 05:06:00,691673,1836383,3944634,2374603,2127872,3020383
2023-03-23 05:08:00,610861,922951,1805764,2221286,662974,2376004
2023-03-23 05:10:00,597358,365309,1923395,1709127,694377,2349624
2023-03-23 05:12:00,602774,913885,1797540,2224294,642313,2267638
2023-03-23 05:14:00,623184,338489,1836660,1634759,622087,2364644
2023-03-23 05:16:00,669133,1745881,3588681,2794055,1977441,2876116
2023-03-23 05:18:00,608123,834689,1810454,2120524,639269,2360550
2023-03-23 05:20:00,641747,959622,1965319,2297380,701628,2454530
2023-03-23 05:22:00,581179,914827,1780815,2235950,650433,2255958
2023-03-23 05:24:00,603052,355697,1880291,1668113,676541,2362653
2023-03-23 05:26:00,666190,1430384,2527348,2229386,1419999,2742496
2023-03-23 05:28:00,602516,345760,1828727,1638621,623677,2401364
2023-03-23 05:30:00,658627,948647,1872945,2275655,688249,2405319
2023-03-23 05:32:00,618861,873956,1810299,2186755,642524,2312538
2023-03-23 05:34:00,609458,950691,2028159,2019169,868606,2355789
2023-03-23 05:36:00,700140,1126181,1981648,2361042,925932,2788075
2023-03-23 05:38:00,598077,355207,1793143,1640684,630806,2362339
2023-03-23 05:40:00,606683,919693,1802493,2234060,628252,2271116
2023-03-23 05:42:00,611197,333315,1879725,1663235,648730,2310394
2023-03-23 05:44:00,609219,939338,1853383,2261635,674695,2339673
2023-03-23 05:46:00,721745,961618,1965496,2299886,707624,2777028
2023-03-23 05:48:00,649834,354533,1853817,1640945,645087,2462738
2023-03-23 05:50:00,607085,928212,1836506,2257582,647856,2331225
2023-03-23 05:52:00,590498,347904,1793652,1652345,642041,2283498
2023-03-23 05:54:00,602660,939304,1864670,2251297,680841,2338311
2023-03-23 05:56:00,660803,520436,1948825,1802208,700814,2752234
2023-03-23 05:58:00,612997,939735,1797314,2222779,634481,2365500
2023-03-23 06:00:00,601648,917150,1822159,2226634,645727,2303573
2023-03-23 06:02:00,604672,346721,1804368,1642119,631273,2348253
2023-03-23 06:04:00,601885,917844,1796552,2225873,633671,2271456
2023-03-23 06:06:00,707290,417194,2039314,1834534,717778,2838949
2023-03-23 06:08:00,655526,942763,1901592,3522720,628556,2471639
2023-03-23 06:10:00,601319,828864,1876641,2151806,639401,2366030
2023-03-23 06:12:00,622983,920248,1830828,2252326,667847,2335047
2023-03-23 06:14:00,603187,913715,1808923,2230729,638505,2344683
2023-03-23 06:16:00,694988,418452,1968968,1746554,738496,2851010
2023-03-23 06:18:00,634533,1148234,2639506,2256514,1005977,2519851
2023-03-23 06:20:00,601948,352459,1857325,1699793,670553,2328222
2023-03-23 06:22:00,672892,927066,1832160,2246630,659159,2358698
2023-03-23 06:24:00,652053,838640,1828661,2160716,665370,2385341
2023-03-23 06:26:00,685940,985232,2065919,2259988,900956,2732661
2023-03-23 06:28:00,653898,1479012,3400140,2268276,1567748,2672418
2023-03-23 06:30:00,593161,362886,1876960,1710917,705120,2385504
2023-03-23 06:32:00,625211,916708,2141664,2480551,650129,2428118
2023-03-23 06:34:00,597016,343845,1803048,1632753,628522,2302924
2023-03-23 06:36:00,670699,962922,1910168,2355402,650521,2716121
2023-03-23 06:38:00,618812,1675341,3781045,2154318,2072406,2666450
2023-03-23 06:40:00,636145,937297,1888616,2273807,669908,2378823
2023-03-23 06:42:00,602827,944092,1936063,2267156,718437,2377258
2023-03-23 06:44:00,593444,337527,1797471,1634795,620621,2281459
2023-03-23 06:46:00,675925,985488,1859450,2231926,1450061,2731725
2023-03-23 06:48:00,639865,1228544,3738174,1686758,2125275,2604376
2023-03-23 06:50:00,604891,931903,1802623,2268365,662995,2255979
2023-03-23 06:52:00,585556,875652,1911242,2188683,699017,2366706
2023-03-23 06:54:00,600988,926300,1830409,2219979,647436,2304675
2023-03-23 06:56:00,693532,962156,1846532,2233857,636056,2735125
2023-03-23 06:58:00,603288,987535,2913505,1655956,1726675,2524986
2023-03-23 07:00:00,602459,928352,1825708,2249727,652206,2316325
2023-03-23 07:02:00,581912,374421,1914471,1699288,696827,2375390
2023-03-23 07:04:00,596112,916036,1801352,2223741,633635,2283693
2023-03-23 07:06:00,678388,906097,1968685,2308864,685830,2815475
2023-03-23 07:08:00,609242,1255584,2136786,2225694,1173115,2445520
2023-03-23 07:10:00,606851,915763,1797892,2250429,641610,2327894
2023-03-23 07:12:00,633495,344232,1802571,1692189,658490,2389651
2023-03-23 07:14:00,594867,921976,1659089,2214875,633895,2257760
2023-03-23 07:16:00,646611,397564,1770758,1672189,657687,2666252
2023-03-23 07:18:00,602655,945325,1793220,2231080,657582,2426324
2023-03-23 07:20:00,609628,873256,1654389,2186060,626338,2229170
2023-03-23 07:22:00,596324,684663,1636831,1632033,627282,2197386
2023-03-23 07:24:00,601315,927835,1639527,2228562,652379,2199421
