"Time","AVG_resident_memory_bytes","MAX_resident_memory_bytes_max","MIN_resident_memory_bytes_min"
2023-03-23 03:00:00,154547541,156438528,153014272
2023-03-23 03:02:00,153665536,156438528,152244224
2023-03-23 03:04:00,155385856,157171712,152547328
2023-03-23 03:06:00,154789205,157249536,153071616
2023-03-23 03:08:00,153661440,154841088,151998464
2023-03-23 03:10:00,153363797,154841088,152043520
2023-03-23 03:12:00,154719573,155631616,153923584
2023-03-23 03:14:00,155967488,156725248,154464256
2023-03-23 03:16:00,156237824,157523968,154464256
2023-03-23 03:18:00,154243072,156725248,150962176
2023-03-23 03:20:00,154649941,156725248,152182784
2023-03-23 03:22:00,153963179,156725248,152440832
2023-03-23 03:24:00,154572117,156725248,153456640
2023-03-23 03:26:00,154262187,155693056,152825856
2023-03-23 03:28:00,154608981,154771456,154353664
2023-03-23 03:30:00,153223168,154701824,152162304
2023-03-23 03:32:00,154080597,155770880,151080960
2023-03-23 03:34:00,156239189,157663232,155389952
2023-03-23 03:36:00,156599637,157663232,155660288
2023-03-23 03:38:00,155794091,156475392,155246592
2023-03-23 03:40:00,156236459,156573696,155660288
2023-03-23 03:42:00,155018581,157114368,152281088
2023-03-23 03:44:00,155261611,158732288,152879104
2023-03-23 03:46:00,153034752,153690112,152682496
2023-03-23 03:48:00,152869547,153690112,151867392
2023-03-23 03:50:00,154872491,156291072,153690112
2023-03-23 03:52:00,154938027,156291072,152805376
2023-03-23 03:54:00,152776704,154648576,150249472
2023-03-23 03:56:00,153021099,154841088,151875584
2023-03-23 03:58:00,154704555,155918336,153419776
2023-03-23 04:00:00,153971371,155918336,152035328
2023-03-23 04:02:00,154223957,155918336,151986176
2023-03-23 04:04:00,154663595,155848704,153735168
2023-03-23 04:06:00,154445141,155848704,153735168
2023-03-23 04:08:00,155047253,155848704,153935872
2023-03-23 04:10:00,156037120,156635136,155627520
2023-03-23 04:12:00,156217344,157175808,155627520
2023-03-23 04:14:00,156846763,157982720,155627520
2023-03-23 04:16:00,157026987,158523392,155627520
2023-03-23 04:18:00,155477333,158793728,152469504
2023-03-23 04:20:00,154426027,155783168,152977408
2023-03-23 04:22:00,154875221,155783168,153518080
2023-03-23 04:24:00,155325781,156405760,153788416
2023-03-23 04:26:00,156226901,157945856,153788416
2023-03-23 04:28:00,156676096,159023104,153788416
2023-03-23 04:30:00,154801493,159023104,151592960
2023-03-23 04:32:00,155701248,159023104,153788416
2023-03-23 04:34:00,155512832,159023104,153726976
2023-03-23 04:36:00,156142251,159023104,153788416
2023-03-23 04:38:00,157582677,159023104,155410432
2023-03-23 04:40:00,157582677,159023104,155410432
2023-03-23 04:42:00,154716843,155410432,154189824
2023-03-23 04:44:00,155051349,155410432,154726400
2023-03-23 04:46:00,152966485,155410432,151478272
2023-03-23 04:48:00,154745515,155680768,153145344
2023-03-23 04:50:00,155092309,156221440,153645056
2023-03-23 04:52:00,154342741,156221440,153161728
2023-03-23 04:54:00,154607616,156487680,153419776
2023-03-23 04:56:00,153758379,154324992,153260032
2023-03-23 04:58:00,154056021,157024256,151453696
2023-03-23 05:00:00,152928256,153690112,151482368
2023-03-23 05:02:00,154299051,155037696,153690112
2023-03-23 05:04:00,153524907,154255360,152629248
2023-03-23 05:06:00,154860203,155979776,153542656
2023-03-23 05:08:00,156121771,158142464,153542656
2023-03-23 05:10:00,156179115,158142464,153714688
2023-03-23 05:12:00,154715477,156680192,153485312
2023-03-23 05:14:00,153240917,154517504,152096768
2023-03-23 05:16:00,152984235,154513408,152129536
2023-03-23 05:18:00,153088000,153448448,152576000
2023-03-23 05:20:00,154072405,155602944,151064576
2023-03-23 05:22:00,153374720,155602944,151666688
2023-03-23 05:24:00,154199381,155602944,153333760
2023-03-23 05:26:00,153191765,155873280,151322624
2023-03-23 05:28:00,154613077,156696576,151994368
2023-03-23 05:30:00,154435584,156971008,150646784
