"Time","192.168.0.211:6443"
2023-03-23 03:00:00,14611
2023-03-23 03:04:00,14612
2023-03-23 03:08:00,14614
2023-03-23 03:12:00,14615
2023-03-23 03:16:00,14624
2023-03-23 03:20:00,14620
2023-03-23 03:24:00,14620
2023-03-23 03:28:00,14623
2023-03-23 03:32:00,14626
2023-03-23 03:36:00,14623
2023-03-23 03:40:00,14620
2023-03-23 03:44:00,14638
2023-03-23 03:48:00,14623
2023-03-23 03:52:00,14629
2023-03-23 03:56:00,14633
2023-03-23 04:00:00,14630
2023-03-23 04:04:00,14627
2023-03-23 04:08:00,14633
2023-03-23 04:12:00,14633
2023-03-23 04:16:00,14645
2023-03-23 04:20:00,14637
2023-03-23 04:24:00,14639
2023-03-23 04:28:00,14641
2023-03-23 04:32:00,14643
2023-03-23 04:36:00,14651
2023-03-23 04:40:00,14645
2023-03-23 04:44:00,14646
2023-03-23 04:48:00,14644
2023-03-23 04:52:00,14646
2023-03-23 04:56:00,14650
2023-03-23 05:00:00,14572
2023-03-23 05:04:00,14563
2023-03-23 05:08:00,14562
2023-03-23 05:12:00,14564
2023-03-23 05:16:00,14569
2023-03-23 05:20:00,14554
2023-03-23 05:24:00,14556
2023-03-23 05:28:00,14554
2023-03-23 05:32:00,14553
2023-03-23 05:36:00,14555
2023-03-23 05:40:00,14546
2023-03-23 05:44:00,14545
2023-03-23 05:48:00,14546
2023-03-23 05:52:00,14549
2023-03-23 05:56:00,14557
2023-03-23 06:00:00,14549
2023-03-23 06:04:00,14551
2023-03-23 06:08:00,14548
2023-03-23 06:12:00,14548
2023-03-23 06:16:00,14555
2023-03-23 06:20:00,14549
2023-03-23 06:24:00,14547
2023-03-23 06:28:00,14547
2023-03-23 06:32:00,14551
2023-03-23 06:36:00,14557
2023-03-23 06:40:00,14551
2023-03-23 06:44:00,14547
2023-03-23 06:48:00,14551
2023-03-23 06:52:00,14554
2023-03-23 06:56:00,14557
2023-03-23 07:00:00,14548
2023-03-23 07:04:00,14548
2023-03-23 07:08:00,14546
2023-03-23 07:12:00,14549
2023-03-23 07:16:00,14556
2023-03-23 07:20:00,14546
2023-03-23 07:24:00,14549
2023-03-23 07:28:00,14550
2023-03-23 07:32:00,14549
2023-03-23 07:36:00,14562
2023-03-23 07:40:00,14551
2023-03-23 07:44:00,14546
2023-03-23 07:48:00,14545
2023-03-23 07:52:00,14546
2023-03-23 07:56:00,14553
2023-03-23 08:00:00,14545
2023-03-23 08:04:00,14545
2023-03-23 08:08:00,14542
2023-03-23 08:12:00,14554
2023-03-23 08:16:00,14552
2023-03-23 08:20:00,14552
2023-03-23 08:24:00,14546
2023-03-23 08:28:00,14546
2023-03-23 08:32:00,14547
2023-03-23 08:36:00,14556
2023-03-23 08:40:00,14549
2023-03-23 08:44:00,14544
2023-03-23 08:48:00,14549
2023-03-23 08:52:00,14550
2023-03-23 08:56:00,14554
2023-03-23 09:00:00,14545
2023-03-23 09:04:00,14546
2023-03-23 09:08:00,14549
2023-03-23 09:12:00,14552
2023-03-23 09:16:00,14564
2023-03-23 09:20:00,14553
2023-03-23 09:24:00,14557
2023-03-23 09:28:00,14559
2023-03-23 09:32:00,14565
2023-03-23 09:36:00,14569
2023-03-23 09:40:00,14564
2023-03-23 09:44:00,14562
2023-03-23 09:48:00,14567
2023-03-23 09:52:00,14569
2023-03-23 09:56:00,14576
2023-03-23 10:00:00,14571
2023-03-23 10:04:00,14571
2023-03-23 10:08:00,14570
2023-03-23 10:12:00,14570
2023-03-23 10:16:00,14575
2023-03-23 10:20:00,14572
2023-03-23 10:24:00,14572
2023-03-23 10:28:00,14567
2023-03-23 10:32:00,14568
2023-03-23 10:36:00,14576
2023-03-23 10:40:00,14567
2023-03-23 10:44:00,14572
