"Time","cattle-fleet-local-system","cattle-fleet-system","cattle-monitoring-system","cattle-system","cert-manager","cilium-monitoring","default","kube-system","longhorn-system","sock-shop"
2023-03-23 03:00:00,4280,3916,5100,6980,182,35782,0,5444,365,145
2023-03-23 03:04:00,4375,3530,4606,7054,176,35890,0,5114,367,142
2023-03-23 03:08:00,4621,3503,4858,8704,180,37721,0,5505,420,144
2023-03-23 03:12:00,4396,3449,5869,7115,182,37076,0,5672,364,262
2023-03-23 03:16:00,4558,3456,5751,9930,169,36213,0,5811,402,145
2023-03-23 03:20:00,4383,4067,5481,7030,164,35616,0,5672,365,143
2023-03-23 03:24:00,4338,3487,5301,7003,173,37063,0,5401,366,143
2023-03-23 03:28:00,4830,3519,5169,8449,181,36275,0.240,5298,428,141
2023-03-23 03:32:00,4564,3495,7974,7342,179,37172,0,8059,386,708
2023-03-23 03:36:00,9759,3618,5983,10723,181,36938,0,6084,369,144
2023-03-23 03:40:00,4205,3986,5597,6928,182,37728,0,5555,361,143
2023-03-23 03:44:00,4601,3498,5444,7190,183,38904,0,5603,369,143
2023-03-23 03:48:00,4756,3411,5742,8115,181,35504,0,5801,376,145
2023-03-23 03:52:00,4586,3403,7134,7703,169,36786,0,8393,394,570
2023-03-23 03:56:00,4213,3467,5439,10177,177,35763,0,5533,366,142
2023-03-23 04:00:00,4254,4032,5659,6907,178,35865,0,5664,362,145
2023-03-23 04:04:00,5109,3438,5629,8391,189,34801,0,5740,426,145
2023-03-23 04:08:00,4325,3390,5576,7102,172,35147,0,5751,367,143
2023-03-23 04:12:00,4529,3484,5719,7889,180,34576,0.343,5705,400,200
2023-03-23 04:16:00,4315,3439,4648,9259,178,33824,0.296,4946,365,143
2023-03-23 04:20:00,4300,4033,5756,6995,183,34564,0,5670,365,144
2023-03-23 04:24:00,4668,3503,5718,8530,168,38449,0,5701,428,144
2023-03-23 04:28:00,73100,3514,6194,7949,166,35266,0,6549,401,147
2023-03-23 04:32:00,4340,3527,5778,6996,171,35664,0,5520,364,143
2023-03-23 04:36:00,10627,3565,5977,10134,180,35762,0,7023,364,587
2023-03-23 04:40:00,4458,4007,4655,7872,177,35153,0,5054,394,144
2023-03-23 04:44:00,71177,3489,6231,7411,178,36064,0,5962,369,145
2023-03-23 04:48:00,4532,3498,5823,7795,177,36904,0,5626,397,146
2023-03-23 04:52:00,4284,3443,5783,7002,176,33420,0,5756,363,142
2023-03-23 04:56:00,4338,3522,8983,9393,168,35295,0,9277,362,749
2023-03-23 05:00:00,4772,3965,5591,8507,196,35657,0.209,5470,424,143
2023-03-23 05:04:00,4387,3510,4617,7249,185,37117,0,5147,367,143
2023-03-23 05:08:00,4312,3448,5095,7737,162,35891,0,5621,386,144
2023-03-23 05:12:00,4406,3525,5545,7055,179,39937,0,5598,364,143
2023-03-23 05:16:00,4394,3494,8577,10160,176,37103,0,9144,365,368
2023-03-23 05:20:00,4702,3961,5795,8027,178,39855,0,5902,407,144
2023-03-23 05:24:00,4637,3554,4978,7848,166,32947,0,5497,392,143
2023-03-23 05:28:00,4371,3500,4585,7095,183,34865,0,5013,363,146
2023-03-23 05:32:00,4291,3550,5084,6970,167,38575,0,5301,365,144
2023-03-23 05:36:00,10024,3565,6165,12471,165,37008,0,6362,428,150
2023-03-23 05:40:00,4425,4027,5573,6989,166,34935,0,5697,364,141
2023-03-23 05:44:00,4546,3513,5742,7904,181,36493,0,5589,400,143
2023-03-23 05:48:00,4395,3486,5773,7067,181,36945,0,5867,364,146
2023-03-23 05:52:00,4399,3494,5070,7089,185,36486,0,5143,369,144
2023-03-23 05:56:00,4697,3549,4867,8716,197,35676,0,5402,436,144
2023-03-23 06:00:00,4333,3995,5676,7071,177,33753,0,5432,376,147
2023-03-23 06:04:00,4356,3441,5419,7159,177,39756,0.239,5564,365,145
2023-03-23 06:08:00,70943,3484,6982,7031,183,36769,0,7346,362,625
2023-03-23 06:12:00,4375,3529,5612,7055,173,37286,0,5696,364,142
2023-03-23 06:16:00,4745,3436,5580,10378,178,37958,0.456,5970,417,142
2023-03-23 06:20:00,4597,4104,4499,7837,180,35729,0,5034,401,144
2023-03-23 06:24:00,4317,3534,4845,7104,176,36563,0,5331,367,145
2023-03-23 06:28:00,4367,3473,8540,7089,160,35884,0,9158,366,775
2023-03-23 06:32:00,4791,3465,6203,10392,165,38394,0,6150,434,142
2023-03-23 06:36:00,10177,3633,5762,11013,172,35531,0,5824,367,144
2023-03-23 06:40:00,4588,4120,5521,7657,168,36881,0,5992,397,143
2023-03-23 06:44:00,4361,3533,5174,6991,159,36931,0,5237,366,146
2023-03-23 06:48:00,4307,3503,8079,7148,188,36144,0,8370,365,682
2023-03-23 06:52:00,4724,3496,5264,8450,171,34550,0,4948,424,143
2023-03-23 06:56:00,4501,3555,5778,10088,178,36995,0,5977,395,144
