"Time","cattle-fleet-local-system","cattle-fleet-system","cattle-monitoring-system","cattle-system","cert-manager","cilium-monitoring","default","kube-system","longhorn-system","sock-shop"
2023-03-23 03:00:00,1421,1400,7393,1626,148,3242,0,7697,78.2,594
2023-03-23 03:04:00,1432,1391,6962,1692,147,3134,0,7350,79.5,592
2023-03-23 03:08:00,1470,1382,7214,2453,158,3235,0,8038,82.4,579
2023-03-23 03:12:00,1449,1348,8378,1652,148,3102,0,8016,79.7,1074
2023-03-23 03:16:00,1470,1371,8337,2062,140,3431,0,8392,82.9,595
2023-03-23 03:20:00,1494,1448,7823,1681,140,3191,0,7915,81.6,583
2023-03-23 03:24:00,1422,1375,7597,1676,146,3286,0,7645,80.3,584
2023-03-23 03:28:00,1444,1378,7450,2343,149,2945,0,7717,81.9,591
2023-03-23 03:32:00,1453,1386,9893,1740,145,3244,0,10566,77.9,4875
2023-03-23 03:36:00,1683,1416,8531,1752,152,3394,0,8727,80.4,585
2023-03-23 03:40:00,1352,1432,8044,1613,151,3266,0,7795,74.9,591
2023-03-23 03:44:00,1426,1377,7778,1579,145,3183,0.206,7866,73.2,570
2023-03-23 03:48:00,1459,1340,8253,2141,157,2985,0,8245,72.2,584
2023-03-23 03:52:00,1419,1327,9578,1929,142,3060,0,11033,76.0,4599
2023-03-23 03:56:00,1391,1364,7940,1740,160,3050,0,7889,78.8,578
2023-03-23 04:00:00,1377,1446,7961,1558,147,3267,0,7879,75.3,573
2023-03-23 04:04:00,1501,1350,7988,2311,158,3140,0,8145,81.7,585
2023-03-23 04:08:00,1427,1324,7928,1659,144,3044,0,8129,81.2,592
2023-03-23 04:12:00,1420,1378,8432,2067,151,3125,0.343,8327,81.1,1769
2023-03-23 04:16:00,1404,1351,7331,1718,147,2947,0,7443,79.4,575
2023-03-23 04:20:00,1394,1434,8291,1631,151,3165,0,8239,74.2,574
2023-03-23 04:24:00,1421,1355,8075,2300,148,3126,0,8042,74.0,579
2023-03-23 04:28:00,2878,1355,9174,2048,144,3304,0,9769,75.5,592
2023-03-23 04:32:00,1440,1378,8103,1622,142,3252,0,7793,77.2,581
2023-03-23 04:36:00,1715,1385,8968,1650,147,2890,0,9808,74.6,2859
2023-03-23 04:40:00,1362,1425,7021,2009,151,3168,0,7318,73.7,599
2023-03-23 04:44:00,3123,1350,9183,1789,147,3182,0.229,8942,80.9,595
2023-03-23 04:48:00,1409,1369,8208,1983,146,3189,0,7963,77.8,588
2023-03-23 04:52:00,1395,1344,8094,1573,151,3148,0,7927,79.7,571
2023-03-23 04:56:00,1431,1374,11532,1775,144,3174,0,12110,79.1,5814
2023-03-23 05:00:00,1418,1444,8148,2392,162,2918,0,7897,80.8,576
2023-03-23 05:04:00,1439,1371,7087,1903,152,2962,0,7361,79.4,581
2023-03-23 05:08:00,1418,1347,7861,1949,137,2971,0,7940,78.7,570
2023-03-23 05:12:00,1457,1387,7943,1636,149,3333,0,7890,77.6,588
