"Time","cattle-fleet-local-system","cattle-fleet-system","cattle-monitoring-system","cattle-system","cert-manager","cilium-monitoring","default","kube-system","longhorn-system","sock-shop"
2023-03-23 03:00:00,0.00247,0.00346,0.165,0.0388,0.00222,0.00870,0.0000200,0.214,0.0302,0.0308
2023-03-23 03:02:00,0.00212,0.00329,0.390,0.0428,0.00157,0.00858,0.0000600,0.229,0.0256,0.0393
2023-03-23 03:04:00,0.00212,0.00362,0.326,0.0386,0.00224,0.00989,0,0.238,0.0290,0.0330
2023-03-23 03:06:00,0.00221,0.00314,0.395,0.0342,0.00174,0.00880,2.84e-7,0.228,0.0264,0.0291
2023-03-23 03:08:00,0.00230,0.00330,0.381,0.0352,0.00193,0.00926,0.000109,0.258,0.0279,0.0301
2023-03-23 03:10:00,0.00286,0.00391,0.193,0.0389,0.00208,0.0103,0.0000166,0.292,0.0295,0.0323
2023-03-23 03:12:00,0.00231,0.00320,0.411,0.0449,0.00151,0.0104,3.54e-7,0.317,0.0273,0.0367
2023-03-23 03:14:00,0.00255,0.00417,0.0627,0.0429,0.00215,0.00981,0.0000169,0.324,0.0312,0.0329
2023-03-23 03:16:00,0.00249,0.00381,0.438,0.0364,0.00191,0.00879,0.00000118,0.306,0.0281,0.0302
2023-03-23 03:18:00,0.00289,0.00446,0.429,0.0379,0.00208,0.00839,0.0000691,0.324,0.0301,0.0300
2023-03-23 03:20:00,0.00266,0.00427,0.330,0.0389,0.00180,0.00864,9.92e-7,0.348,0.0293,0.0310
2023-03-23 03:22:00,0.00218,0.00317,0.378,0.0429,0.00157,0.00873,6.86e-7,0.349,0.0254,0.0325
2023-03-23 03:24:00,0.00720,0.00405,0.169,0.0376,0.00189,0.00912,0.0000239,0.372,0.0297,0.0295
2023-03-23 03:26:00,0.00258,0.00362,0.327,0.0348,0.00200,0.00830,0.0000908,0.369,0.0282,0.0294
2023-03-23 03:28:00,0.00252,0.00367,0.407,0.0386,0.00212,0.00939,7.13e-7,0.410,0.0305,0.0324
2023-03-23 03:30:00,0.00236,0.00344,0.405,0.0338,0.00166,0.00810,5.72e-7,0.370,0.0271,0.0292
2023-03-23 03:32:00,0.00265,0.00310,0.421,0.0439,0.00168,0.00919,0.00000154,0.394,0.0271,0.0318
2023-03-23 03:34:00,0.00210,0.00328,0.180,0.0374,0.00186,0.00995,4.86e-7,0.413,0.0291,0.0310
2023-03-23 03:36:00,0.00250,0.00309,0.380,0.0326,0.00182,0.00871,3.19e-7,0.390,0.0244,0.0279
2023-03-23 03:38:00,0.00258,0.00327,0.148,0.0373,0.00211,0.00984,0.0000197,0.470,0.0306,0.0316
2023-03-23 03:40:00,0.00642,0.00281,0.377,0.0330,0.00189,0.00922,0.00000176,0.420,0.0260,0.0297
2023-03-23 03:42:00,0.00186,0.00275,0.336,0.0392,0.00166,0.00891,3.01e-7,0.430,0.0262,0.0300
2023-03-23 03:44:00,0.00171,0.00264,0.305,0.0336,0.00179,0.00918,0.0000331,0.445,0.0264,0.0296
2023-03-23 03:46:00,0.00177,0.00326,0.382,0.0325,0.00168,0.00847,0.00000153,0.444,0.0253,0.0293
2023-03-23 03:48:00,0.00211,0.00292,0.210,0.0356,0.00206,0.00935,0.0000181,0.498,0.0274,0.0307
2023-03-23 03:50:00,0.00201,0.00287,0.326,0.0328,0.00198,0.00930,0,0.483,0.0276,0.0305
2023-03-23 03:52:00,0.00172,0.00322,0.224,0.0437,0.00189,0.00988,0,0.484,0.0273,0.0303
2023-03-23 03:54:00,0.00178,0.00270,0.474,0.0322,0.00163,0.00902,8.84e-7,0.470,0.0247,0.0287
2023-03-23 03:56:00,0.00192,0.00337,0.354,0.0330,0.00196,0.00884,8.3e-7,0.495,0.0264,0.0310
2023-03-23 03:58:00,0.00243,0.00388,0.0951,0.0382,0.00178,0.00954,0.0000157,0.524,0.0276,0.0308
2023-03-23 04:00:00,0.00197,0.00255,0.417,0.0322,0.00184,0.00838,0.0000438,0.477,0.0241,0.0289
2023-03-23 04:02:00,0.00561,0.00307,0.211,0.0373,0.00125,0.0129,0,0.393,0.0202,0.0224
2023-03-23 04:04:00,0.00162,0.00308,0.401,0.0305,0.00147,0.00865,0.00000284,0.475,0.0242,0.0300
2023-03-23 04:06:00,0.00191,0.00347,0.378,0.0327,0.00168,0.00803,0,0.475,0.0259,0.0279
2023-03-23 04:08:00,0.00156,0.00280,0.335,0.0259,0.00122,0.00772,0.00000119,0.371,0.0191,0.0211
2023-03-23 04:10:00,0.00170,0.00323,0.322,0.0334,0.00159,0.0101,0.00000129,0.540,0.0263,0.0283
2023-03-23 04:12:00,0.00232,0.00341,0.303,0.0472,0.00177,0.00933,0.00000103,0.601,0.0274,0.0309
2023-03-23 04:14:00,0.00228,0.00314,0.358,0.0322,0.00171,0.00819,0.000109,0.559,0.0250,0.0358
2023-03-23 04:16:00,0.00190,0.00330,0.302,0.0336,0.00188,0.00852,0.00000180,0.633,0.0260,0.0447
2023-03-23 04:18:00,0.00220,0.00385,0.405,0.0335,0.00166,0.00861,0.0000197,0.565,0.0258,0.0281
2023-03-23 04:20:00,0.00190,0.00343,0.329,0.0340,0.00169,0.00904,0.00000118,0.591,0.0267,0.0276
2023-03-23 04:22:00,0.00178,0.00341,0.240,0.0433,0.00199,0.00964,0.0000233,0.592,0.0270,0.0303
2023-03-23 04:24:00,0.00194,0.00357,0.448,0.0340,0.00161,0.00859,0.0000423,0.572,0.0256,0.0295
2023-03-23 04:26:00,0.00185,0.00354,0.123,0.0356,0.00187,0.00864,0.0000180,0.709,0.0279,0.0411
2023-03-23 04:28:00,0.00197,0.00359,0.389,0.0324,0.00183,0.00866,0.0000806,0.601,0.0256,0.0303
2023-03-23 04:30:00,0.00190,0.00322,0.473,0.0346,0.00201,0.00917,0.00000109,0.647,0.0279,0.0321
2023-03-23 04:32:00,0.00217,0.00371,0.379,0.0435,0.00171,0.00889,0.0000192,0.635,0.0265,0.0291
2023-03-23 04:34:00,0.00198,0.00374,0.385,0.0344,0.00177,0.00900,0.0000203,0.620,0.0251,0.0283
2023-03-23 04:36:00,0.00228,0.00385,0.154,0.0338,0.00188,0.00855,0.0000189,0.711,0.0281,0.0346
2023-03-23 04:38:00,0.00179,0.00287,0.356,0.0322,0.00163,0.00886,0,0.635,0.0261,0.0291
2023-03-23 04:40:00,0.00165,0.00323,0.402,0.0317,0.00185,0.00875,0.00000121,0.692,0.0261,0.0316
2023-03-23 04:42:00,0.00147,0.00246,0.387,0.0323,0.00114,0.00769,0.0000503,0.391,0.0181,0.0189
2023-03-23 04:44:00,0.00145,0.00243,0.385,0.0238,0.00108,0.00775,7.74e-7,0.373,0.0177,0.0178
2023-03-23 04:46:00,0.00132,0.00249,0.214,0.0222,0.00108,0.00674,0,0.369,0.0172,0.0180
2023-03-23 04:48:00,0.00131,0.00237,0.337,0.0243,0.00104,0.00704,9.46e-7,0.373,0.0178,0.0176
2023-03-23 04:50:00,0.00141,0.00239,0.281,0.0228,0.00103,0.00742,5.18e-7,0.378,0.0173,0.0178
2023-03-23 04:52:00,0.00183,0.00322,0.428,0.0402,0.00173,0.00794,0.00000175,0.621,0.0240,0.0273
2023-03-23 04:54:00,0.00128,0.00240,0.338,0.0229,0.00110,0.00789,0.0000168,0.395,0.0172,0.0182
2023-03-23 04:56:00,0.00134,0.00252,0.358,0.0239,0.00115,0.00751,0.0000900,0.436,0.0183,0.0191
2023-03-23 04:58:00,0.00135,0.00239,0.394,0.0218,0.000991,0.00827,8.92e-7,0.382,0.0170,0.0171
2023-03-23 05:00:00,0.00151,0.00256,0.348,0.0229,0.00105,0.00739,0.0000191,0.421,0.0175,0.0174
2023-03-23 05:02:00,0.00148,0.00249,0.447,0.0316,0.00107,0.00789,3.09e-7,0.425,0.0184,0.0179
2023-03-23 05:04:00,0.00148,0.00251,0.132,0.0238,0.00115,0.00736,0.00000105,0.441,0.0182,0.0181
2023-03-23 05:06:00,0.00143,0.00253,0.430,0.0224,0.00103,0.00755,9.08e-7,0.423,0.0182,0.0180
2023-03-23 05:08:00,0.00150,0.00262,0.396,0.0213,0.00115,0.00729,8.23e-7,0.423,0.0178,0.0174
2023-03-23 05:10:00,0.00155,0.00249,0.286,0.0217,0.00107,0.00721,0.0000168,0.428,0.0182,0.0177
2023-03-23 05:12:00,0.00149,0.00245,0.407,0.0305,0.00100,0.00760,8.63e-7,0.432,0.0175,0.0178
2023-03-23 05:14:00,0.00673,0.00243,0.105,0.0227,0.00114,0.00681,0.0000320,0.455,0.0176,0.0181
2023-03-23 05:16:00,0.00157,0.00247,0.358,0.0221,0.00117,0.00756,0.0000181,0.441,0.0179,0.0173
2023-03-23 05:18:00,0.00157,0.00276,0.433,0.0210,0.00105,0.00756,0.0000165,0.459,0.0175,0.0190
2023-03-23 05:20:00,0.00140,0.00225,0.325,0.0218,0.00108,0.00747,0.0000388,0.423,0.0179,0.0174
2023-03-23 05:22:00,0.00145,0.00256,0.347,0.0311,0.00121,0.00750,0.0000195,0.437,0.0177,0.0176
2023-03-23 05:24:00,0.00149,0.00246,0.321,0.0220,0.00117,0.00708,8.85e-7,0.439,0.0186,0.0172
2023-03-23 05:26:00,0.00146,0.00266,0.383,0.0216,0.00104,0.00717,2.86e-7,0.428,0.0175,0.0169
2023-03-23 05:28:00,0.00138,0.00246,0.190,0.0208,0.00110,0.00693,0.0000160,0.452,0.0173,0.0214
2023-03-23 05:30:00,0.00138,0.00235,0.406,0.0209,0.00102,0.00721,9.02e-7,0.421,0.0171,0.0165
2023-03-23 05:32:00,0.00132,0.00227,0.353,0.0294,0.000998,0.00746,0.0000177,0.429,0.0166,0.0169
2023-03-23 05:34:00,0.00135,0.00228,0.225,0.0210,0.000981,0.00752,9.41e-7,0.425,0.0170,0.0160
2023-03-23 05:36:00,0.00133,0.00239,0.380,0.0198,0.00109,0.00722,0.0000149,0.442,0.0170,0.0169
2023-03-23 05:38:00,0.00123,0.00231,0.100,0.0197,0.00101,0.00674,0.0000188,0.454,0.0163,0.0225
2023-03-23 05:40:00,0.00620,0.00238,0.381,0.0205,0.00102,0.00720,0.0000169,0.436,0.0168,0.0164
2023-03-23 05:42:00,0.00145,0.00232,0.274,0.0295,0.00101,0.00763,0.0000162,0.444,0.0176,0.0165
2023-03-23 05:44:00,0.00133,0.00228,0.352,0.0204,0.00100,0.00708,0.0000360,0.441,0.0166,0.0161
2023-03-23 05:46:00,0.00137,0.00245,0.379,0.0207,0.00108,0.00680,0.0000153,0.449,0.0175,0.0163
2023-03-23 05:48:00,0.00136,0.00245,0.252,0.0200,0.000976,0.00701,0.0000194,0.474,0.0168,0.0235
2023-03-23 05:50:00,0.00156,0.00235,0.403,0.0207,0.000997,0.00726,2.65e-7,0.451,0.0173,0.0162
2023-03-23 05:52:00,0.00147,0.00245,0.170,0.0305,0.000985,0.00721,5.37e-7,0.464,0.0172,0.0163
2023-03-23 05:54:00,0.00136,0.00238,0.401,0.0207,0.00101,0.00693,0.0000154,0.463,0.0166,0.0163
2023-03-23 05:56:00,0.00140,0.00267,0.313,0.0211,0.00100,0.00707,8.01e-7,0.468,0.0169,0.0167
2023-03-23 05:58:00,0.00149,0.00247,0.400,0.0203,0.00103,0.00766,4.19e-7,0.487,0.0168,0.0210
2023-03-23 06:00:00,0.00142,0.00241,0.355,0.0202,0.00104,0.00723,5.46e-7,0.474,0.0172,0.0165
2023-03-23 06:02:00,0.00148,0.00240,0.355,0.0303,0.00101,0.0297,0.0000142,0.485,0.0175,0.0166
2023-03-23 06:04:00,0.00138,0.00245,0.440,0.0219,0.000956,0.00774,0.0000182,0.488,0.0170,0.0162
2023-03-23 06:06:00,0.00141,0.00249,0.168,0.0214,0.00102,0.00756,0.0000177,0.484,0.0171,0.0161
2023-03-23 06:08:00,0.00133,0.00245,0.355,0.0203,0.000972,0.00749,0.0000161,0.508,0.0173,0.0195
2023-03-23 06:10:00,0.00129,0.00234,0.344,0.0205,0.000973,0.00750,0.0000151,0.499,0.0170,0.0167
2023-03-23 06:12:00,0.00144,0.00243,0.402,0.0310,0.000956,0.00698,7.72e-7,0.495,0.0168,0.0164
2023-03-23 06:14:00,0.00141,0.00239,0.366,0.0216,0.000975,0.00733,0.0000166,0.507,0.0169,0.0166
2023-03-23 06:16:00,0.00136,0.00254,0.0953,0.0208,0.00105,0.00738,0.0000212,0.512,0.0172,0.0167
2023-03-23 06:18:00,0.00148,0.00234,0.436,0.0222,0.00104,0.00758,0.00000110,0.511,0.0168,0.0178
2023-03-23 06:20:00,0.00135,0.00232,0.108,0.0210,0.000939,0.00724,0.0000163,0.516,0.0172,0.0173
2023-03-23 06:22:00,0.00140,0.00236,0.352,0.0305,0.00102,0.00709,9.29e-7,0.512,0.0171,0.0165
2023-03-23 06:24:00,0.00138,0.00246,0.417,0.0219,0.00107,0.00723,0.0000158,0.530,0.0172,0.0166
2023-03-23 06:26:00,0.00147,0.00236,0.354,0.0205,0.00104,0.00694,0.0000193,0.516,0.0169,0.0163
2023-03-23 06:28:00,0.00136,0.00236,0.438,0.0202,0.000958,0.00745,0.0000428,0.520,0.0167,0.0156
2023-03-23 06:30:00,0.00138,0.00247,0.105,0.0209,0.000971,0.00738,2.12e-7,0.518,0.0169,0.0164
2023-03-23 06:32:00,0.00146,0.00231,0.412,0.0292,0.000996,0.00743,0.0000197,0.521,0.0170,0.0163
2023-03-23 06:34:00,0.00755,0.00232,0.208,0.0206,0.000991,0.00720,0.00000116,0.519,0.0168,0.0160
2023-03-23 06:36:00,0.00147,0.00245,0.446,0.0199,0.000988,0.00751,8.92e-7,0.528,0.0164,0.0165
2023-03-23 06:38:00,0.00141,0.00236,0.385,0.0209,0.00101,0.00749,0.0000175,0.542,0.0167,0.0163
2023-03-23 06:40:00,0.00136,0.00238,0.334,0.0202,0.00105,0.00758,9.05e-7,0.546,0.0170,0.0164
2023-03-23 06:42:00,0.00136,0.00236,0.450,0.0285,0.000975,0.00694,8.55e-7,0.540,0.0167,0.0166
2023-03-23 06:44:00,0.00136,0.00229,0.0567,0.0203,0.001000,0.00735,0,0.537,0.0167,0.0161
2023-03-23 06:46:00,0.00139,0.00237,0.363,0.0201,0.000985,0.00744,0.0000169,0.544,0.0170,0.0160
2023-03-23 06:48:00,0.00134,0.00233,0.141,0.0202,0.000990,0.00709,9.55e-7,0.540,0.0167,0.0160
2023-03-23 06:50:00,0.00139,0.00230,0.341,0.0202,0.000988,0.00752,0.0000148,0.551,0.0163,0.0170
2023-03-23 06:52:00,0.00145,0.00241,0.363,0.0283,0.00102,0.00724,0.0000192,0.556,0.0167,0.0164
2023-03-23 06:54:00,0.00141,0.00241,0.398,0.0200,0.00100,0.00743,4.17e-7,0.551,0.0168,0.0161
2023-03-23 06:56:00,0.00132,0.00248,0.399,0.0205,0.000976,0.00732,4e-7,0.552,0.0168,0.0164
2023-03-23 06:58:00,0.00134,0.00233,0.229,0.0208,0.000990,0.00790,5.04e-7,0.566,0.0169,0.0168
2023-03-23 07:00:00,0.00131,0.00227,0.414,0.0212,0.000990,0.00743,0,0.575,0.0165,0.0209
2023-03-23 07:02:00,0.00127,0.00239,0.272,0.0287,0.00102,0.00785,3.38e-7,0.568,0.0169,0.0166
2023-03-23 07:04:00,0.00126,0.00236,0.367,0.0215,0.00101,0.00734,6.46e-7,0.578,0.0169,0.0162
2023-03-23 07:06:00,0.00134,0.00249,0.406,0.0203,0.000984,0.00722,0.0000195,0.576,0.0168,0.0165
2023-03-23 07:08:00,0.00132,0.00234,0.276,0.0208,0.00101,0.00696,0.0000197,0.573,0.0172,0.0163
2023-03-23 07:10:00,0.00132,0.00230,0.411,0.0201,0.000989,0.00727,8.51e-7,0.601,0.0168,0.0209
2023-03-23 07:12:00,0.00134,0.00243,0.258,0.0299,0.000980,0.00683,9.62e-7,0.586,0.0169,0.0166
2023-03-23 07:14:00,0.00133,0.00230,0.372,0.0214,0.00107,0.00738,5.48e-7,0.588,0.0169,0.0162
2023-03-23 07:16:00,0.00129,0.00248,0.264,0.0202,0.00101,0.00697,0.00000119,0.597,0.0170,0.0162
2023-03-23 07:18:00,0.00573,0.00225,0.405,0.0204,0.000985,0.00757,0.0000187,0.594,0.0167,0.0160
2023-03-23 07:20:00,0.00154,0.00238,0.365,0.0200,0.00111,0.00746,2.66e-7,0.629,0.0171,0.0219
2023-03-23 07:22:00,0.00141,0.00246,0.265,0.0298,0.000989,0.00764,0,0.603,0.0167,0.0163
2023-03-23 07:24:00,0.00156,0.00231,0.413,0.0222,0.00105,0.00723,9.48e-7,0.603,0.0169,0.0164
