"Time","cattle-fleet-local-system","cattle-fleet-system","cattle-monitoring-system","cattle-system","cert-manager","cilium-monitoring","default","kube-system","longhorn-system","sock-shop"
2023-03-23 03:00:00,51347456,82980864,1849802752,819093504,106254336,284278784,17313792,803323904,568471552,1708232704
2023-03-23 03:02:00,51347456,82980864,2192891904,811323392,105668608,260362240,17313792,822718464,568496128,1705943040
2023-03-23 03:04:00,51347456,82980864,1948868608,815267840,105549824,255127552,17313792,834064384,568496128,1705570304
2023-03-23 03:06:00,65695744,83767296,2087727104,816812032,106213376,263299072,17313792,828604416,567140352,1704308736
2023-03-23 03:08:00,61104128,83767296,2267467776,816865280,105181184,258052096,17313792,814047232,567537664,1704976384
2023-03-23 03:10:00,51408896,82980864,1974259712,786202624,105394176,251908096,17313792,827658240,567160832,1703702528
2023-03-23 03:12:00,51163136,82980864,2213289984,802406400,105394176,252416000,17313792,827224064,567791616,1704431616
2023-03-23 03:14:00,51163136,82980864,2201124864,814465024,105394176,251191296,17313792,851275776,567414784,1704910848
2023-03-23 03:16:00,51163136,82980864,2072621056,801886208,105263104,258912256,17313792,840495104,567488512,1704763392
2023-03-23 03:18:00,51032064,82718720,2040246272,799510528,105295872,254124032,17313792,844099584,567824384,1704484864
2023-03-23 03:20:00,51032064,82718720,1900879872,787193856,105295872,255004672,17313792,842362880,567300096,1704665088
2023-03-23 03:22:00,51032064,83767296,2114953216,815968256,105345024,246784000,17313792,865845248,567693312,1705807872
2023-03-23 03:24:00,83267584,82984960,2076303360,817287168,105259008,246038528,17313792,861167616,567750656,1705852928
2023-03-23 03:26:00,53772288,82984960,1991999488,805707776,105263104,251215872,17313792,840343552,567402496,1705631744
2023-03-23 03:28:00,51331072,82984960,2114539520,800632832,105263104,249106432,17313792,863358976,567787520,1705541632
2023-03-23 03:30:00,51200000,82984960,1994121216,784707584,105263104,253788160,17313792,842780672,567746560,1705873408
2023-03-23 03:32:00,51200000,82984960,2120597504,800718848,105263104,255565824,17313792,879816704,568078336,1703546880
2023-03-23 03:34:00,51200000,82984960,2025291776,800333824,105132032,252317696,17313792,875671552,567562240,1702969344
2023-03-23 03:36:00,60039168,83771392,2279088128,816074752,105132032,255221760,17313792,877711360,567742464,1703878656
2023-03-23 03:38:00,47550464,83771392,1790939136,816566272,105132032,254566400,17313792,884654080,567787520,1703993344
2023-03-23 03:40:00,65122304,82919424,2028089344,786624512,105017344,248938496,17313792,895225856,567484416,1704288256
2023-03-23 03:42:00,49602560,82919424,1892626432,802095104,105017344,252571648,17313792,895119360,567926784,1704419328
2023-03-23 03:44:00,49471488,82919424,2129694720,799170560,105811968,249180160,17313792,895533056,567877632,1702662144
2023-03-23 03:46:00,49508352,82919424,2201522176,794951680,105811968,251650048,17313792,897753088,567820288,1703313408
2023-03-23 03:48:00,49508352,82919424,1936044032,799801344,105226240,250380288,17313792,912805888,567820288,1703608320
2023-03-23 03:50:00,49508352,82923520,2260242432,786874368,105226240,251580416,17313792,914624512,567828480,1699717120
2023-03-23 03:52:00,49508352,83775488,2138054656,814157824,105095168,255021056,17313792,926081024,567828480,1697730560
2023-03-23 03:54:00,49508352,83124224,2072948736,815882240,105095168,249106432,17313792,916365312,567762944,1697779712
2023-03-23 03:56:00,49508352,83124224,2295332864,799768576,105095168,259080192,17313792,915996672,566968320,1698885632
2023-03-23 03:58:00,49922048,83124224,1861980160,791535616,105095168,252936192,17313792,929587200,567738368,1698451456
2023-03-23 04:00:00,49946624,83124224,2200956928,792002560,105095168,258109440,17313792,941371392,567914496,1698619392
2023-03-23 04:02:00,55586816,83124224,1686114304,799424512,105709568,334974976,17313792,941637632,567934976,1699385344
2023-03-23 04:04:00,51220480,83124224,2202087424,800108544,106602496,269357056,17313792,954658816,567885824,1701539840
2023-03-23 04:06:00,61255680,83783680,1660575744,809807872,106602496,262889472,17313792,932003840,567439360,1701777408
2023-03-23 04:08:00,48787456,83128320,1998323712,810717184,105095168,236953600,17313792,962842624,563228672,1701822464
2023-03-23 04:10:00,48963584,83128320,2214498304,786485248,105099264,260997120,17313792,961585152,563453952,1702506496
2023-03-23 04:12:00,49315840,83128320,2077212672,804253696,105099264,258539520,17313792,982212608,563052544,1702227968
2023-03-23 04:14:00,49487872,82931712,1962532864,800321536,105099264,258711552,17313792,972365824,563113984,1705476096
2023-03-23 04:16:00,49512448,82931712,2001129472,795054080,105099264,249274368,17313792,981721088,562827264,1701441536
2023-03-23 04:18:00,49516544,82931712,2065739776,791838720,105279488,246222848,17313792,1006747648,563351552,1701261312
2023-03-23 04:20:00,49516544,82931712,2245599232,777052160,105279488,252776448,17313792,981483520,563568640,1701154816
2023-03-23 04:22:00,49532928,83783680,2045198336,809099264,106475520,259477504,17313792,957816832,563073024,1701216256
2023-03-23 04:24:00,49541120,83062784,2211049472,817958912,105447424,267149312,17313792,1013026816,563339264,1701953536
2023-03-23 04:26:00,49541120,83062784,2157113344,800198656,105451520,267669504,17313792,982159360,563290112,1701531648
2023-03-23 04:28:00,84033536,82931712,2280734720,792821760,105467904,256118784,17313792,1009954816,563208192,1702465536
2023-03-23 04:30:00,52359168,82931712,1628459008,779198464,105496576,257667072,17313792,990441472,563212288,1702367232
2023-03-23 04:32:00,51064832,82931712,1919492096,792821760,105537536,259104768,17313792,1015390208,562581504,1702469632
2023-03-23 04:34:00,51068928,82931712,2215989248,800112640,105537536,260747264,17313792,996270080,563179520,1702334464
2023-03-23 04:36:00,64962560,83783680,2202443776,807473152,105566208,259420160,17313792,1022603264,563220480,1704034304
2023-03-23 04:38:00,58380288,83062784,2222612480,808468480,105455616,260288512,17313792,1016635392,563220480,1703985152
2023-03-23 04:40:00,51412992,83062784,1881518080,782659584,105455616,260575232,17313792,1043656704,563269632,1704116224
2023-03-23 04:42:00,51216384,83062784,2047950848,795803648,105467904,255176704,17313792,1036709888,563064832,1704611840
2023-03-23 04:44:00,72806400,83062784,2276159488,795820032,105480192,256802816,17313792,1040216064,563060736,1704845312
2023-03-23 04:46:00,50053120,83062784,2093318144,793698304,105218048,252604416,17313792,1048858624,563331072,1706917888
2023-03-23 04:48:00,50085888,83062784,2182459392,794411008,105218048,252653568,17313792,1060388864,563335168,1706225664
2023-03-23 04:50:00,50085888,83062784,2210820096,778838016,105218048,252203008,17313792,1042419712,563339264,1705930752
2023-03-23 04:52:00,50085888,83783680,2287144960,807936000,105218048,256946176,17313792,1031442432,562946048,1706975232
2023-03-23 04:54:00,50085888,83783680,2055122944,808849408,105480192,264302592,17313792,1047719936,563388416,1706676224
2023-03-23 04:56:00,50085888,82931712,2020016128,803528704,105480192,262778880,17313792,1086484480,563396608,1704931328
2023-03-23 04:58:00,50085888,82931712,2070982656,798515200,105480192,245522432,17313792,1069522944,563441664,1704116224
2023-03-23 05:00:00,50085888,82931712,2153472000,779182080,105283584,259813376,17313792,1059594240,563367936,1704398848
2023-03-23 05:02:00,50085888,82931712,2081746944,794669056,105287680,266629120,17313792,1068601344,563367936,1704316928
2023-03-23 05:04:00,50085888,82931712,2013941760,794669056,105287680,251703296,17313792,1087143936,563388416,1702940672
2023-03-23 05:06:00,67469312,83783680,2059628544,822513664,105287680,255496192,17313792,1102921728,563396608,1698058240
2023-03-23 05:08:00,58384384,82931712,1969082368,769957888,105287680,260313088,17313792,1103519744,562913280,1697755136
2023-03-23 05:10:00,51249152,82931712,2072330240,774631424,105295872,249212928,17313792,1093648384,563523584,1698140160
2023-03-23 05:12:00,51249152,82931712,2196008960,792141824,105295872,249667584,17313792,1091350528,563556352,1697931264
2023-03-23 05:14:00,81510400,82931712,1920192512,778752000,105553920,252346368,17313792,1111642112,563531776,1698234368
2023-03-23 05:16:00,54161408,82931712,2220904448,807800832,105508864,260128768,17313792,1100771328,563302400,1700810752
2023-03-23 05:18:00,51372032,82931712,1823891456,768135168,105570304,261296128,17313792,1099325440,563355648,1701638144
2023-03-23 05:20:00,51331072,82931712,1924579328,769044480,105254912,264093696,17313792,1117413376,563453952,1702178816
2023-03-23 05:22:00,51134464,83783680,2261254144,816627712,105177088,263831552,17313792,1120366592,563453952,1702539264
2023-03-23 05:24:00,51019776,83783680,1764802560,773844992,105177088,259256320,17313792,1131962368,563372032,1702608896
2023-03-23 05:26:00,51019776,82931712,2193416192,806428672,105177088,259805184,17313792,1096650752,563249152,1703251968
2023-03-23 05:28:00,51019776,82931712,2128850944,769064960,105181184,258277376,17313792,1133285376,562954240,1705623552
2023-03-23 05:30:00,51019776,82931712,2127613952,775618560,105181184,258617344,17313792,1138499584,563310592,1706303488
