"Time","alertmanager-rancher-monitoring-alertmanager-0","carts-764fc55cb5-28vx2","carts-db-b8857f897-7p4xn","catalogue-64499f4dc4-zwhjl","catalogue-db-5b6696d9bd-fbb5s","cert-manager-85f7c4c4b8-cdjxb","cert-manager-cainjector-7656fbb787-pkv8n","cert-manager-webhook-797b5db9c6-hhdgx","cilium-hks2q","cilium-lnk87","cilium-operator-d7fc69fd7-f2msg","cilium-xsrc2","coredns-7b5bbc6644-tpp2m","csi-attacher-54dfc6cdf4-2d2sn","csi-attacher-54dfc6cdf4-9nwjl","csi-attacher-54dfc6cdf4-m58tc","csi-provisioner-7544d7867c-8h99q","csi-provisioner-7544d7867c-fdqx9","csi-provisioner-7544d7867c-jmgt2","csi-resizer-59fc8b7895-66tql","csi-resizer-59fc8b7895-k8fz9","csi-resizer-59fc8b7895-s45wt","csi-snapshotter-69f4795cf8-68mkk","csi-snapshotter-69f4795cf8-brzk9","csi-snapshotter-69f4795cf8-lp65b","deathstar-6cf8dd5457-jgbrm","deathstar-6cf8dd5457-vmvfq","engine-image-ei-881c42db-dq56c","engine-image-ei-881c42db-gp65l","engine-image-ei-881c42db-sflls","fleet-agent-59557c8896-7lp6n","fleet-controller-6f8f94fffb-wcgt6","front-end-5c6fdd77d7-q2jtq","gitjob-766b5f678d-4rrlp","grafana-67b5cf6bdd-bbv8c","hubble-relay-6565cf56c6-52kkq","hubble-ui-64bd8dcbf5-7x4nn","instance-manager-e-40c0f7f8","instance-manager-e-6b83fa90","instance-manager-e-a461837b","instance-manager-r-10aaabb9","instance-manager-r-8266b245","instance-manager-r-f7a5bf94","kubearmor-8v62p","kubearmor-8v7lc","kubearmor-annotation-manager-85857fc8d7-j2v79","kubearmor-host-policy-manager-7b9c9db44-vsgj9","kubearmor-policy-manager-8569dd9d6f-s8wgx","kubearmor-relay-64c6fff875-9cxdt","kubearmor-wcph8","local-path-provisioner-687d6d7765-dblqm","longhorn-admission-webhook-5bc44d4c9c-ffgx6","longhorn-admission-webhook-5bc44d4c9c-hvw2b","longhorn-conversion-webhook-595c45975-h7lhl","longhorn-conversion-webhook-595c45975-nk4bs","longhorn-csi-plugin-lc9ss","longhorn-csi-plugin-w6s4p","longhorn-csi-plugin-zc8xs","longhorn-driver-deployer-86487c7d89-d2mwr","longhorn-manager-mqctm","longhorn-manager-sfh8w","longhorn-manager-tmf5v","longhorn-ui-6588b76644-wdhzj","metrics-server-667586758d-9bmlb","orders-846cc4998f-d2dbw","orders-db-64cf56d65-8wpxb","payment-7f8c55ccdb-r6ssj","prometheus-678fcbcfb7-7jkrz","prometheus-rancher-monitoring-prometheus-0","pushprox-k3s-server-client-5xvrv","pushprox-k3s-server-client-kqnvf","pushprox-k3s-server-client-tmr89","pushprox-k3s-server-proxy-575bb76848-wfk24","queue-master-7f97ddc64c-ggs74","rabbitmq-6d4b4d589f-2vrzz","rancher-747786585f-8dkk4","rancher-747786585f-ckbfh","rancher-747786585f-fj5hc","rancher-monitoring-grafana-68576c5cfc-ptnxf","rancher-monitoring-kube-state-metrics-7798b97f8-528sn","rancher-monitoring-operator-7f84c87bfc-swdnn","rancher-monitoring-prometheus-adapter-d7f6d6b87-t8wwr","rancher-monitoring-prometheus-node-exporter-8bj82","rancher-monitoring-prometheus-node-exporter-bmktd","rancher-monitoring-prometheus-node-exporter-bq4nv","rancher-webhook-555dd59d4c-lsjlj","session-db-74fb9d6f76-87cd7","shipping-748699d84b-5jw4t","svclb-traefik-72825b3b-d5nvs","svclb-traefik-72825b3b-j6q8w","svclb-traefik-72825b3b-lqlx5","tiefighter","traefik-64b96ccbcd-64qtj","ubuntu","user-665b475d67-fhr6l","user-db-847ddd8676-twtdk","xwing"
2023-03-23 03:00:00,21569536,327249920,70598656,4276224,217100288,39878656,64720896,10498048,266285056,262406144,24768512,265498624,20652032,9707520,8204288,8269824,8880128,9052160,12091392,8953856,9117696,11464704,8359936,8118272,9437184,8462336,8376320,18513920,17895424,18251776,60858368,49160192,77733888,36286464,66338816,13332480,9629696,6651904,6754304,6660096,4820992,4825088,4882432,123105280,116699136,22224896,17035264,18694144,10702848,115576832,7774208,66576384,68927488,42262528,43864064,14938112,14594048,15024128,10502144,56352768,52645888,52887552,2621440,21270528,293318656,69509120,3952640,330207232,1629614080,6541312,6791168,7745536,7528448,270761984,90472448,668184576,907935744,998072320,115924992,17166336,38612992,666775552,13242368,11694080,11636736,53190656,2662400,292864000,610304,606208,618496,286720,44904448,65740800,5488640,34435072,278528
2023-03-23 03:02:00,21602304,327258112,70656000,4292608,217100288,39288832,64720896,10502144,266661888,256471040,24174592,264876032,20643840,9707520,8204288,8269824,8880128,9052160,12091392,8953856,9117696,11464704,8368128,8118272,9437184,8462336,8376320,18513920,17895424,18255872,59420672,49156096,75628544,36294656,69763072,13201408,9629696,6651904,6758400,6668288,4820992,4825088,4882432,120266752,110256128,23633920,17068032,19439616,10768384,117780480,7774208,66568192,68931584,42262528,43864064,14938112,14594048,15024128,10502144,56434688,52641792,53014528,2621440,22081536,293318656,69509120,3973120,307425280,1523671040,6590464,6791168,8327168,7520256,270761984,90480640,668192768,907939840,982994944,115625984,16547840,36556800,659353600,11894784,11288576,11698176,53190656,2793472,292864000,610304,606208,618496,286720,49754112,65740800,5488640,34435072,278528
2023-03-23 03:04:00,18374656,327258112,70873088,4292608,217100288,39178240,64720896,10498048,266747904,259710976,24174592,268906496,19542016,9707520,8204288,8269824,8884224,9052160,12091392,8953856,9117696,11464704,8368128,8118272,9437184,8462336,8376320,18513920,17895424,18255872,59420672,49156096,74993664,36294656,69795840,13201408,9629696,6651904,6758400,6660096,4820992,4820992,4886528,124719104,121925632,20926464,16867328,19357696,10829824,117690368,7774208,66572288,68927488,42262528,43864064,14934016,14594048,15028224,10502144,56438784,52645888,53014528,2621440,20905984,293318656,69513216,3997696,302067712,1655574528,6565888,6717440,7442432,7815168,270761984,90497024,668192768,907935744,994242560,118374400,16789504,35688448,640466944,12648448,13017088,11747328,53190656,2662400,292864000,610304,606208,618496,286720,49819648,65740800,5533696,34435072,278528
2023-03-23 03:06:00,19894272,327258112,70868992,4292608,217100288,39833600,64720896,10498048,267313152,259551232,24182784,269807616,19644416,9707520,8204288,8269824,8880128,9052160,12091392,8953856,9117696,11464704,8368128,8122368,9437184,8462336,8376320,18513920,17895424,18255872,59420672,49160192,74653696,36294656,71032832,13201408,9629696,6651904,6754304,6660096,4820992,4825088,4886528,119287808,119836672,21655552,16973824,19116032,10883072,117530624,7774208,66564096,68919296,42258432,43864064,14934016,14594048,15024128,10502144,56434688,52641792,53018624,2621440,20955136,293318656,69513216,3993600,308703232,1475784704,6430720,7118848,7475200,7950336,270761984,90497024,668188672,907935744,950366208,118042624,16416768,35672064,532353024,11587584,11378688,12910592,53190656,2662400,292864000,610304,606208,618496,286720,44716032,65740800,5521408,34439168,278528
2023-03-23 03:08:00,20627456,327258112,70873088,4292608,217100288,38801408,64720896,10498048,267440128,259579904,24174592,267059200,19533824,9707520,8204288,8269824,8880128,9052160,12091392,8953856,9117696,11415552,8368128,8122368,9437184,8462336,8376320,18513920,17895424,18251776,69025792,49942528,75362304,36294656,68546560,13201408,9629696,6656000,6758400,6660096,4820992,4825088,4886528,121339904,121724928,22421504,16941056,19218432,10944512,114401280,7774208,66568192,68927488,42262528,43868160,14934016,14594048,15024128,10502144,56168448,52641792,52453376,2621440,20504576,293318656,69513216,3993600,300437504,1606746112,6705152,6594560,8294400,7528448,270761984,89219072,668196864,907931648,995778560,114659328,16420864,35672064,650522624,11788288,13066240,14049280,53190656,2793472,292864000,610304,606208,618496,286720,44802048,65740800,5521408,34439168,278528
2023-03-23 03:10:00,20647936,327258112,70873088,4243456,217100288,38805504,64720896,10498048,262262784,259264512,24174592,267513856,19550208,9707520,8204288,8269824,8880128,9052160,12091392,8953856,9117696,11415552,8368128,8122368,9441280,8462336,8376320,18513920,17895424,18251776,59482112,49946624,74506240,36425728,67260416,13365248,9629696,6647808,6758400,6660096,4820992,4820992,4882432,130473984,118902784,22892544,16711680,19148800,10989568,121237504,7774208,66564096,68923392,42258432,43864064,14934016,14594048,15024128,10502144,56143872,52637696,52563968,2621440,20852736,293318656,69513216,3993600,299458560,1629503488,6598656,6643712,7557120,7659520,270761984,89219072,668864512,907939840,964644864,115720192,16551936,35786752,638627840,13688832,11165696,11214848,53190656,2662400,292864000,610304,606208,618496,286720,44142592,65740800,5521408,34439168,278528
2023-03-23 03:12:00,19955712,327258112,70873088,4247552,217100288,39014400,64720896,10498048,264146944,261447680,24174592,267644928,18698240,9707520,8204288,8269824,8884224,9052160,12091392,8953856,9117696,11415552,8368128,8122368,9441280,8462336,8376320,18513920,17895424,18255872,59236352,49156096,74387456,36294656,67293184,13230080,9629696,6651904,6754304,6660096,4820992,4825088,4886528,128491520,123052032,21225472,16801792,19197952,11038720,120180736,7774208,66564096,68927488,42262528,43864064,14934016,14594048,15024128,10502144,56135680,52641792,52436992,2621440,21860352,293318656,69517312,3952640,300171264,1405054976,6705152,6643712,7442432,7512064,270761984,89227264,668864512,907939840,980721664,115908608,16547840,36319232,655151104,11456512,11288576,11685888,53190656,2793472,292864000,610304,606208,618496,286720,47886336,65740800,5423104,34390016,278528
2023-03-23 03:14:00,19955712,327262208,70873088,4247552,217100288,39014400,64720896,10498048,264679424,263430144,24281088,268525568,19644416,9711616,8208384,8269824,8884224,9052160,12095488,8953856,9117696,11415552,8368128,8122368,9441280,8462336,8376320,18513920,17895424,18251776,59244544,49156096,75198464,36294656,67297280,13230080,9629696,6647808,6758400,6660096,4820992,4825088,4886528,132218880,124129280,21028864,16826368,19181568,11067392,120451072,7774208,66568192,68927488,42262528,43864064,14934016,14594048,15024128,10502144,56254464,52641792,52543488,2621440,21078016,293318656,69517312,3948544,298856448,1561124864,6705152,6635520,8261632,7479296,270761984,89219072,668860416,907943936,992763904,116367360,16588800,36982784,666976256,11689984,11460608,12554240,53190656,2793472,292864000,610304,606208,618496,286720,48635904,65740800,5423104,34443264,278528
2023-03-23 03:16:00,20725760,327262208,70873088,4292608,217100288,38883328,64720896,10502144,264593408,263647232,25731072,269266944,20131840,9728000,8204288,8269824,8884224,9052160,12095488,8953856,9117696,11415552,8368128,8122368,9441280,8462336,8376320,18513920,17899520,18251776,59236352,49156096,75300864,36294656,73023488,13234176,9629696,6651904,6758400,6660096,4820992,4820992,4886528,119939072,119255040,22642688,16687104,19185664,11046912,121552896,7774208,66572288,68927488,42262528,43864064,14934016,14594048,15024128,10502144,56119296,52637696,52547584,2621440,20471808,293318656,69517312,4001792,300138496,1517760512,6696960,6537216,7860224,7602176,270761984,89219072,668868608,907943936,947642368,115507200,16592896,35508224,581361664,12156928,14217216,11829248,53190656,2666496,292864000,610304,606208,618496,286720,48623616,65740800,5484544,34439168,278528
2023-03-23 03:18:00,20676608,327262208,70873088,4292608,217100288,38887424,64720896,10530816,264867840,261246976,24358912,269299712,19492864,9740288,8204288,8269824,8884224,9052160,12095488,8953856,9117696,11415552,8368128,8122368,9441280,8462336,8376320,18513920,21037056,18251776,59105280,49160192,75104256,36294656,70049792,13332480,9629696,6651904,6754304,6664192,4820992,4825088,4886528,123531264,127242240,23916544,16691200,19271680,11055104,123240448,7774208,66564096,68919296,42262528,43864064,14934016,14594048,15024128,10506240,56102912,52637696,52543488,2621440,20332544,293318656,69517312,3997696,300777472,1628942336,6705152,6643712,8237056,7520256,270761984,89219072,668864512,907939840,977776640,116916224,16601088,35508224,655437824,11919360,11739136,14147584,53190656,2662400,292864000,610304,606208,618496,286720,45449216,65740800,5484544,34439168,278528
