"Time","cilium-hks2q","cilium-lnk87","cilium-operator-d7fc69fd7-f2msg","cilium-xsrc2","coredns-7b5bbc6644-tpp2m","hubble-relay-6565cf56c6-52kkq","hubble-ui-64bd8dcbf5-7x4nn","kubearmor-8v62p","kubearmor-8v7lc","kubearmor-annotation-manager-85857fc8d7-j2v79","kubearmor-host-policy-manager-7b9c9db44-vsgj9","kubearmor-policy-manager-8569dd9d6f-s8wgx","kubearmor-relay-64c6fff875-9cxdt","kubearmor-wcph8","local-path-provisioner-687d6d7765-dblqm","metrics-server-667586758d-9bmlb","svclb-traefik-72825b3b-d5nvs","svclb-traefik-72825b3b-j6q8w","svclb-traefik-72825b3b-lqlx5","traefik-64b96ccbcd-64qtj"
2023-03-23 03:00:00,462,320,571,585,3.44,0.947,0,,,,,,,,0.0733,7.76,0,0,0,1.50
2023-03-23 03:02:00,462,320,571,585,3.44,0.947,0,,,,,,,,0.0733,7.76,0,0,0,1.50
2023-03-23 03:04:00,462,320,571,585,3.44,0.947,0,,,,,,,,0.0733,7.76,0,0,0,1.50
2023-03-23 03:06:00,254,193,448,427,3.75,0.933,0,195,248,3.61,0.903,3.21,91.3,446,0.0667,7.21,0,0,0,15.2
2023-03-23 03:08:00,254,193,448,427,3.75,0.933,0,195,248,3.61,0.903,3.21,91.3,446,0.0667,7.21,0,0,0,15.2
2023-03-23 03:10:00,251,152,393,414,3.46,0.960,0,152,255,3.82,0.897,3.12,90.5,392,0.0600,7.86,0,0,0.00333,1.35
2023-03-23 03:12:00,251,152,393,414,3.46,0.960,0,152,255,3.82,0.897,3.12,90.5,392,0.0600,7.86,0,0,0.00333,1.35
2023-03-23 03:14:00,251,152,393,414,3.46,0.960,0,152,255,3.82,0.897,3.12,90.5,392,0.0600,7.86,0,0,0.00333,1.35
2023-03-23 03:16:00,258,196,456,429,3.74,0.957,0.00333,194,257,3.72,0.867,3.34,90.5,454,0.0733,7.39,0,0.00333,0,15.1
2023-03-23 03:18:00,258,196,456,429,3.74,0.957,0.00333,194,257,3.72,0.867,3.34,90.5,454,0.0733,7.39,0,0.00333,0,15.1
2023-03-23 03:20:00,253,153,385,401,3.52,0.950,0,152,253,3.67,0.907,3.22,85.5,396,0.0700,7.24,0,0,0,1.31
2023-03-23 03:22:00,253,153,385,401,3.52,0.950,0,152,253,3.67,0.907,3.22,85.5,396,0.0700,7.24,0,0,0,1.31
2023-03-23 03:24:00,253,153,385,401,3.52,0.950,0,152,253,3.67,0.907,3.22,85.5,396,0.0700,7.24,0,0,0,1.31
2023-03-23 03:26:00,263,196,462,463,3.58,0.967,0,198,264,3.65,0.820,3.10,93.3,449,0.0567,7.44,0,0,0,15.1
2023-03-23 03:28:00,263,196,462,463,3.58,0.967,0,198,264,3.65,0.820,3.10,93.3,449,0.0567,7.44,0,0,0,15.1
2023-03-23 03:30:00,260,152,396,398,3.49,0.947,0,148,251,3.74,0.897,3.32,88.1,405,0.0767,7.55,0,0,0,1.39
2023-03-23 03:32:00,260,152,396,398,3.49,0.947,0,148,251,3.74,0.897,3.32,88.1,405,0.0767,7.55,0,0,0,1.39
2023-03-23 03:34:00,260,152,396,398,3.49,0.947,0,148,251,3.74,0.897,3.32,88.1,405,0.0767,7.55,0,0,0,1.39
2023-03-23 03:36:00,250,194,450,455,3.59,0.957,0,195,257,3.69,0.810,3.23,90.9,451,0.0833,7.19,0,0,0,15.2
2023-03-23 03:38:00,250,194,450,455,3.59,0.957,0,195,257,3.69,0.810,3.23,90.9,451,0.0833,7.19,0,0,0,15.2
2023-03-23 03:40:00,261,152,414,391,3.66,0.933,0,153,263,3.65,0.890,3.24,87.1,397,0.0800,7.61,0,0,0,1.31
2023-03-23 03:42:00,261,152,414,391,3.66,0.933,0,153,263,3.65,0.890,3.24,87.1,397,0.0800,7.61,0,0,0,1.31
2023-03-23 03:44:00,261,152,414,391,3.66,0.933,0,153,263,3.65,0.890,3.24,87.1,397,0.0800,7.61,0,0,0,1.31
