"Time","Load[5m]","Load[1m]","Load[15m]"
2023-03-23 03:00:00,1.17,1.09,1.08
2023-03-23 03:02:00,1.20,1.38,1.10
2023-03-23 03:04:00,1.25,1.50,1.12
2023-03-23 03:06:00,1.21,1.06,1.11
2023-03-23 03:08:00,1.35,1.54,1.17
2023-03-23 03:10:00,1.24,1.30,1.14
2023-03-23 03:12:00,1.16,1,1.12
2023-03-23 03:14:00,1.60,2.91,1.28
2023-03-23 03:16:00,1.50,1.58,1.28
2023-03-23 03:18:00,1.54,1.53,1.32
2023-03-23 03:20:00,1.39,1.39,1.27
2023-03-23 03:22:00,1.54,1.99,1.33
2023-03-23 03:24:00,1.51,1.52,1.34
2023-03-23 03:26:00,1.35,1.14,1.31
2023-03-23 03:28:00,1.47,1.69,1.35
2023-03-23 03:30:00,1.53,1.47,1.40
2023-03-23 03:32:00,1.54,1.52,1.40
2023-03-23 03:34:00,1.45,1.23,1.39
2023-03-23 03:36:00,1.40,1.62,1.37
2023-03-23 03:38:00,1.86,3.19,1.52
2023-03-23 03:40:00,1.65,1.29,1.49
2023-03-23 03:42:00,1.56,1.60,1.46
2023-03-23 03:44:00,1.37,0.880,1.41
2023-03-23 03:46:00,1.42,1.59,1.43
2023-03-23 03:48:00,1.59,1.79,1.48
2023-03-23 03:50:00,1.96,2.71,1.63
2023-03-23 03:52:00,2.12,2.29,1.73
2023-03-23 03:54:00,2.40,3.10,1.86
2023-03-23 03:56:00,2.66,3.72,2.02
2023-03-23 03:58:00,2.32,2.12,1.96
2023-03-23 04:00:00,2.58,3.48,2.08
2023-03-23 04:02:00,2.39,2.54,2.07
2023-03-23 04:04:00,2.08,1.62,1.99
2023-03-23 04:06:00,1.95,1.39,1.96
2023-03-23 04:08:00,1.69,1.25,1.85
2023-03-23 04:10:00,1.55,1.05,1.78
2023-03-23 04:12:00,1.50,1.52,1.74
2023-03-23 04:14:00,1.27,1.04,1.61
2023-03-23 04:16:00,1.48,1.76,1.64
2023-03-23 04:18:00,1.34,1.20,1.56
2023-03-23 04:20:00,1.41,1.87,1.55
2023-03-23 04:22:00,1.55,2.16,1.58
2023-03-23 04:24:00,1.62,1.69,1.60
2023-03-23 04:26:00,1.84,2.25,1.66
2023-03-23 04:28:00,1.76,1.44,1.66
2023-03-23 04:30:00,1.68,1.69,1.64
2023-03-23 04:32:00,1.74,1.64,1.66
2023-03-23 04:34:00,1.94,2.37,1.74
2023-03-23 04:36:00,1.88,1.84,1.73
2023-03-23 04:38:00,1.60,1.10,1.64
2023-03-23 04:40:00,1.74,2.01,1.68
2023-03-23 04:42:00,1.70,1.56,1.66
2023-03-23 04:44:00,1.77,1.55,1.69
2023-03-23 04:46:00,1.59,1.53,1.63
2023-03-23 04:48:00,1.76,1.87,1.70
2023-03-23 04:50:00,1.85,2.23,1.72
2023-03-23 04:52:00,2.11,2.40,1.84
2023-03-23 04:54:00,1.94,1.64,1.80
2023-03-23 04:56:00,1.91,1.70,1.81
2023-03-23 04:58:00,2.06,2.35,1.88
2023-03-23 05:00:00,1.76,1.25,1.77
2023-03-23 05:02:00,1.71,1.76,1.74
2023-03-23 05:04:00,1.47,1.13,1.64
2023-03-23 05:06:00,1.38,1.23,1.58
2023-03-23 05:08:00,1.70,2.15,1.68
2023-03-23 05:10:00,1.49,1.02,1.59
2023-03-23 05:12:00,1.37,1.07,1.54
2023-03-23 05:14:00,1.41,1.67,1.52
2023-03-23 05:16:00,1.33,1.20,1.47
2023-03-23 05:18:00,1.30,1.36,1.44
2023-03-23 05:20:00,1.12,0.760,1.36
2023-03-23 05:22:00,1.69,3.20,1.51
2023-03-23 05:24:00,1.57,1.39,1.48
2023-03-23 05:26:00,1.48,1.64,1.45
2023-03-23 05:28:00,1.53,1.42,1.48
2023-03-23 05:30:00,1.41,1.15,1.44
2023-03-23 05:32:00,1.57,1.90,1.48
2023-03-23 05:34:00,1.55,1.66,1.48
2023-03-23 05:36:00,1.52,1.50,1.47
2023-03-23 05:38:00,1.73,2.20,1.54
2023-03-23 05:40:00,1.73,1.80,1.57
2023-03-23 05:42:00,1.52,1.39,1.49
2023-03-23 05:44:00,1.35,1.12,1.43
2023-03-23 05:46:00,1.32,1.05,1.42
2023-03-23 05:48:00,1.51,1.89,1.46
2023-03-23 05:50:00,1.40,1.10,1.42
2023-03-23 05:52:00,1.27,1.08,1.38
2023-03-23 05:54:00,1.04,0.630,1.27
2023-03-23 05:56:00,1.17,1.34,1.28
2023-03-23 05:58:00,1.26,1.26,1.30
2023-03-23 06:00:00,1.26,1.54,1.29
2023-03-23 06:02:00,1.46,1.95,1.35
2023-03-23 06:04:00,1.36,1.21,1.32
2023-03-23 06:06:00,1.31,1.43,1.29
2023-03-23 06:08:00,1.27,1.37,1.28
2023-03-23 06:10:00,1.43,1.38,1.34
2023-03-23 06:12:00,1.55,1.47,1.39
2023-03-23 06:14:00,1.36,1.03,1.33
2023-03-23 06:16:00,1.43,1.62,1.36
2023-03-23 06:18:00,1.50,1.55,1.40
2023-03-23 06:20:00,1.39,0.850,1.37
2023-03-23 06:22:00,1.38,1.18,1.36
2023-03-23 06:24:00,1.21,0.890,1.31
2023-03-23 06:26:00,1.30,1.46,1.33
2023-03-23 06:28:00,1.23,1.12,1.30
2023-03-23 06:30:00,1.12,0.970,1.23
2023-03-23 06:32:00,1.24,1.40,1.25
2023-03-23 06:34:00,1.24,1.20,1.25
2023-03-23 06:36:00,1.24,1.33,1.24
2023-03-23 06:38:00,1.41,1.62,1.31
2023-03-23 06:40:00,1.23,0.980,1.24
2023-03-23 06:42:00,1.30,1.06,1.27
2023-03-23 06:44:00,1.33,1.32,1.29
2023-03-23 06:46:00,1.66,2.82,1.40
2023-03-23 06:48:00,1.53,1.63,1.38
2023-03-23 06:50:00,1.39,1.09,1.33
2023-03-23 06:52:00,1.72,2.45,1.45
2023-03-23 06:54:00,1.53,1.16,1.42
2023-03-23 06:56:00,1.80,1.95,1.51
2023-03-23 06:58:00,1.86,1.98,1.58
