"Time","Load[5m] (192.168.0.211:9796)","Load[5m] (192.168.0.221:9796)","Load[5m] (192.168.0.222:9796)","Load[1m] (192.168.0.211:9796)","Load[1m] (192.168.0.221:9796)","Load[1m] (192.168.0.222:9796)","Load[15m] (192.168.0.211:9796)","Load[15m] (192.168.0.221:9796)","Load[15m] (192.168.0.222:9796)"
2023-03-23 03:00:00,0.350,0.350,0.470,0.250,0.360,0.480,0.350,0.300,0.430
2023-03-23 03:02:00,0.500,0.310,0.390,0.860,0.300,0.220,0.400,0.290,0.410
2023-03-23 03:04:00,0.630,0.280,0.340,0.950,0.280,0.270,0.460,0.270,0.390
2023-03-23 03:06:00,0.560,0.320,0.330,0.410,0.360,0.290,0.450,0.290,0.370
2023-03-23 03:08:00,0.450,0.570,0.330,0.170,1.06,0.310,0.430,0.380,0.360
2023-03-23 03:10:00,0.430,0.440,0.370,0.430,0.270,0.600,0.420,0.350,0.370
2023-03-23 03:12:00,0.370,0.440,0.350,0.230,0.440,0.330,0.400,0.360,0.360
2023-03-23 03:14:00,0.720,0.540,0.340,1.65,0.870,0.390,0.520,0.400,0.360
2023-03-23 03:16:00,0.640,0.480,0.380,0.700,0.370,0.510,0.510,0.400,0.370
2023-03-23 03:18:00,0.600,0.440,0.500,0.360,0.360,0.810,0.520,0.390,0.410
2023-03-23 03:20:00,0.620,0.340,0.430,0.830,0.210,0.350,0.530,0.350,0.390
2023-03-23 03:22:00,0.660,0.420,0.460,0.930,0.570,0.490,0.550,0.380,0.400
2023-03-23 03:24:00,0.540,0.410,0.560,0.440,0.420,0.660,0.520,0.370,0.450
2023-03-23 03:26:00,0.530,0.380,0.440,0.490,0.380,0.270,0.520,0.370,0.420
2023-03-23 03:28:00,0.440,0.520,0.510,0.290,0.860,0.540,0.490,0.410,0.450
2023-03-23 03:30:00,0.510,0.510,0.510,0.630,0.420,0.420,0.510,0.430,0.460
2023-03-23 03:32:00,0.550,0.460,0.530,0.570,0.500,0.450,0.520,0.410,0.470
2023-03-23 03:34:00,0.610,0.380,0.460,0.720,0.190,0.320,0.550,0.390,0.450
2023-03-23 03:36:00,0.430,0.480,0.490,0.170,0.780,0.670,0.490,0.420,0.460
2023-03-23 03:38:00,0.350,0.580,0.930,0.140,0.690,2.36,0.450,0.460,0.610
2023-03-23 03:40:00,0.450,0.420,0.780,0.520,0.180,0.590,0.470,0.420,0.600
2023-03-23 03:42:00,0.580,0.290,0.690,1.11,0.0500,0.440,0.510,0.360,0.590
2023-03-23 03:44:00,0.600,0.260,0.510,0.530,0.160,0.190,0.530,0.350,0.530
2023-03-23 03:46:00,0.640,0.260,0.520,0.860,0.170,0.560,0.550,0.340,0.540
2023-03-23 03:48:00,0.530,0.430,0.630,0.380,0.610,0.800,0.520,0.390,0.570
2023-03-23 03:50:00,0.760,0.580,0.620,1.23,0.850,0.630,0.600,0.450,0.580
2023-03-23 03:52:00,0.740,0.510,0.870,0.580,0.490,1.22,0.620,0.440,0.670
2023-03-23 03:54:00,0.530,1.08,0.790,0.220,2.23,0.650,0.550,0.650,0.660
2023-03-23 03:56:00,0.870,0.930,0.860,1.70,0.750,1.27,0.670,0.650,0.700
2023-03-23 03:58:00,0.690,0.740,0.890,0.660,0.480,0.980,0.620,0.610,0.730
2023-03-23 04:00:00,0.840,0.930,0.810,1.25,1.65,0.580,0.680,0.680,0.720
2023-03-23 04:02:00,0.700,0.660,1.03,0.620,0.280,1.64,0.640,0.620,0.810
2023-03-23 04:04:00,0.610,0.460,1.01,0.510,0.0700,1.04,0.610,0.550,0.830
2023-03-23 04:06:00,0.540,0.420,0.990,0.380,0.220,0.790,0.590,0.520,0.850
2023-03-23 04:08:00,0.570,0.350,0.770,0.690,0.190,0.370,0.590,0.480,0.780
2023-03-23 04:10:00,0.690,0.280,0.580,0.640,0.180,0.230,0.630,0.440,0.710
2023-03-23 04:12:00,0.570,0.320,0.610,0.410,0.360,0.750,0.600,0.440,0.700
2023-03-23 04:14:00,0.500,0.280,0.490,0.470,0.220,0.350,0.560,0.410,0.640
2023-03-23 04:16:00,0.550,0.340,0.590,0.700,0.510,0.550,0.560,0.410,0.670
2023-03-23 04:18:00,0.440,0.410,0.490,0.310,0.570,0.320,0.520,0.420,0.620
2023-03-23 04:20:00,0.490,0.460,0.460,0.580,0.890,0.400,0.530,0.430,0.590
2023-03-23 04:22:00,0.560,0.400,0.590,0.810,0.350,1,0.550,0.410,0.620
2023-03-23 04:24:00,0.560,0.390,0.670,0.560,0.440,0.690,0.550,0.400,0.650
2023-03-23 04:26:00,0.820,0.320,0.700,1.20,0.240,0.810,0.640,0.370,0.650
2023-03-23 04:28:00,0.760,0.470,0.530,0.730,0.500,0.210,0.640,0.420,0.600
2023-03-23 04:30:00,0.630,0.340,0.710,0.490,0.140,1.06,0.600,0.380,0.660
2023-03-23 04:32:00,0.710,0.330,0.700,0.670,0.300,0.670,0.640,0.360,0.660
2023-03-23 04:34:00,0.610,0.610,0.720,0.540,1.03,0.800,0.610,0.460,0.670
2023-03-23 04:36:00,0.560,0.580,0.740,0.480,0.660,0.700,0.590,0.460,0.680
2023-03-23 04:38:00,0.480,0.510,0.610,0.400,0.340,0.360,0.550,0.450,0.640
2023-03-23 04:40:00,0.570,0.520,0.650,0.800,0.500,0.710,0.570,0.460,0.650
2023-03-23 04:42:00,0.450,0.530,0.720,0.280,0.490,0.790,0.520,0.470,0.670
2023-03-23 04:44:00,0.590,0.440,0.740,0.660,0.240,0.650,0.560,0.440,0.690
2023-03-23 04:46:00,0.490,0.400,0.700,0.380,0.270,0.880,0.530,0.430,0.670
2023-03-23 04:48:00,0.740,0.350,0.670,1.15,0.160,0.560,0.620,0.410,0.670
2023-03-23 04:50:00,0.810,0.450,0.590,0.980,0.700,0.550,0.660,0.430,0.630
2023-03-23 04:52:00,0.770,0.860,0.480,0.650,1.49,0.260,0.660,0.590,0.590
2023-03-23 04:54:00,0.590,0.810,0.540,0.240,0.730,0.670,0.610,0.600,0.590
2023-03-23 04:56:00,0.510,0.730,0.670,0.270,0.710,0.720,0.580,0.590,0.640
2023-03-23 04:58:00,0.680,0.730,0.650,1.02,0.860,0.470,0.630,0.610,0.640
2023-03-23 05:00:00,0.730,0.530,0.500,0.720,0.250,0.280,0.650,0.540,0.580
2023-03-23 05:02:00,0.800,0.450,0.460,1.09,0.290,0.380,0.680,0.510,0.550
