"Time","Transmit Total (192.168.0.211:9796)","Transmit Total (192.168.0.221:9796)","Transmit Total (192.168.0.222:9796)","Receive Total (192.168.0.211:9796)","Receive Total (192.168.0.221:9796)","Receive Total (192.168.0.222:9796)"
2023-03-23 03:00:00,440471,145260,216098,193959,128013,214805
2023-03-23 03:02:00,477796,196690,194735,244599,188018,167667
2023-03-23 03:04:00,453628,149910,210127,227256,128930,194956
2023-03-23 03:06:00,394914,165318,196342,194219,135872,168250
2023-03-23 03:08:00,414712,153379,204807,202177,131956,179234
2023-03-23 03:10:00,398530,149436,206396,193560,128891,193881
2023-03-23 03:12:00,478073,202381,200815,248136,190447,175029
2023-03-23 03:14:00,483921,159784,206641,245936,146516,191088
2023-03-23 03:16:00,395784,167712,199935,196519,136703,171987
2023-03-23 03:18:00,407683,153309,201182,199177,130864,175112
2023-03-23 03:20:00,397769,159210,203876,190445,133917,189339
2023-03-23 03:22:00,479198,181511,198164,245018,181069,174260
2023-03-23 03:24:00,511820,171081,231954,251587,167503,215413
2023-03-23 03:26:00,398002,164386,194395,192079,135139,169138
2023-03-23 03:28:00,403874,152830,204484,194647,130862,185762
2023-03-23 03:30:00,397629,166712,194346,191924,137432,168494
2023-03-23 03:32:00,464492,181622,197630,235823,180736,173012
2023-03-23 03:34:00,485112,182884,209787,253796,182817,194900
2023-03-23 03:36:00,400926,169359,200725,203006,137687,176366
2023-03-23 03:38:00,411738,149936,212526,202603,129952,197070
2023-03-23 03:40:00,423347,169020,220914,197231,138979,196005
2023-03-23 03:42:00,467378,181320,231924,216776,180877,207335
2023-03-23 03:44:00,498872,192062,223280,257097,187541,205050
2023-03-23 03:46:00,401700,158276,201955,199878,132530,176046
2023-03-23 03:48:00,409315,146422,208854,198131,126793,190906
2023-03-23 03:50:00,406590,166465,194035,192011,138115,177581
2023-03-23 03:52:00,403828,168720,204754,196396,161081,183775
2023-03-23 03:54:00,488469,197382,198600,251483,189370,169077
2023-03-23 03:56:00,410796,151416,201740,200188,138841,176394
2023-03-23 03:58:00,412629,151766,212085,200276,130153,196825
2023-03-23 04:00:00,404387,172243,197887,194248,140840,175157
2023-03-23 04:02:00,425791,154235,231193,195931,138527,215634
2023-03-23 04:04:00,509762,201523,222643,251639,192109,196592
2023-03-23 04:06:00,401957,150952,202097,199497,130126,176302
2023-03-23 04:08:00,412470,159228,216787,206964,133341,197486
2023-03-23 04:10:00,402912,150708,199595,198149,129886,175816
2023-03-23 04:12:00,403498,143804,205024,192384,124456,188974
2023-03-23 04:14:00,597348,266775,195413,325696,306762,168125
2023-03-23 04:16:00,702379,254767,208735,405257,305254,189482
2023-03-23 04:18:00,453310,164763,200683,234689,134996,169120
2023-03-23 04:20:00,422128,152023,210061,197671,130274,193714
2023-03-23 04:22:00,421328,148126,220002,197241,126863,207573
