"Time","0(192.168.0.211:10250)","0(192.168.0.211:6443)","200(192.168.0.211:10250)","200(192.168.0.211:6443)","201(192.168.0.211:10250)","201(192.168.0.211:6443)","403(192.168.0.211:10250)","403(192.168.0.211:6443)","404(192.168.0.211:10250)","404(192.168.0.211:6443)","409(192.168.0.211:10250)","409(192.168.0.211:6443)","422(192.168.0.211:10250)","422(192.168.0.211:6443)","500(192.168.0.211:10250)","500(192.168.0.211:6443)","503(192.168.0.211:10250)","503(192.168.0.211:6443)","504(192.168.0.211:10250)","504(192.168.0.211:6443)"
2023-03-23 03:00:00,0,0,22.9,22.9,0.372,0.378,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-23 03:02:00,0,0,23.1,23.1,0.406,0.389,0,0,0.0167,0.0167,0,0,0,0,0,0,0,0,0,0
2023-03-23 03:04:00,0,0,22.9,22.9,0.356,0.339,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-23 03:06:00,0,0,23.0,23.0,0.428,0.433,0,0,0.0111,0.0111,0,0,0,0,0,0,0,0,0,0
2023-03-23 03:08:00,0,0,23.0,23.0,0.422,0.428,0,0,0.0111,0.0111,0,0,0,0,0,0,0,0,0,0
2023-03-23 03:10:00,0,0,23.0,22.9,0.372,0.383,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-23 03:12:00,0,0,22.9,22.9,0.433,0.439,0,0,0.0111,0.0111,0,0,0,0,0,0,0,0,0,0
2023-03-23 03:14:00,0,0,22.9,22.9,0.361,0.367,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-23 03:16:00,0,0,23.2,23.2,0.389,0.394,0,0,0.0111,0.0111,0,0,0,0,0,0,0,0,0,0
2023-03-23 03:18:00,0,0,22.9,22.8,0.411,0.406,0,0,0.0111,0.0111,0,0,0,0,0,0,0,0,0,0
2023-03-23 03:20:00,0,0,22.8,22.7,0.383,0.378,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-23 03:22:00,0,0,23.0,23.0,0.439,0.444,0,0,0.0111,0.0111,0,0,0,0,0,0,0,0,0,0
2023-03-23 03:24:00,0,0,23.0,22.9,0.406,0.389,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-23 03:26:00,0,0,23.1,23.1,0.394,0.400,0,0,0.0111,0.0111,0,0,0,0,0,0,0,0,0,0
2023-03-23 03:28:00,0,0,22.6,22.6,0.383,0.383,0,0,0.0111,0.0111,0,0,0,0,0,0,0,0,0,0
2023-03-23 03:30:00,0,0,22.8,22.8,0.350,0.339,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-23 03:32:00,0,0,23.1,23.1,0.433,0.422,0,0,0.0111,0.0111,0,0,0,0,0,0,0,0,0,0
2023-03-23 03:34:00,0,0,22.8,22.8,0.411,0.400,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-23 03:36:00,0,0,23.5,23.6,0.383,0.394,0,0,0.0111,0.0111,0,0,0,0,0,0,0,0,0,0
2023-03-23 03:38:00,0,0,23.6,23.5,0.428,0.444,0,0,0.0111,0.0111,0,0,0,0,0,0,0,0,0,0
2023-03-23 03:40:00,0,0,23.2,23.2,0.356,0.361,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-23 03:42:00,0,0,23.1,23.0,0.439,0.439,0,0,0.0167,0.0167,0,0,0,0,0,0,0,0,0,0
2023-03-23 03:44:00,0,0,22.6,22.6,0.417,0.417,0,0,0.00556,0.00556,0,0,0,0,0,0,0,0,0,0
2023-03-23 03:46:00,0,0,22.9,22.9,0.394,0.383,0,0,0.0111,0.0111,0,0,0,0,0,0,0,0,0,0
2023-03-23 03:48:00,0,0,23.9,23.7,0.389,0.406,0,0,0.0167,0.0167,0,0,0,0,0,0,0,0,0,0
2023-03-23 03:50:00,0,0,23.7,23.8,0.361,0.361,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-23 03:52:00,0,0,23.1,23.1,0.372,0.378,0,0,0.0111,0.0111,0,0,0,0,0,0,0,0,0,0
