"Time","idle","iowait","irq","nice","softirq","steal","system","user"
2023-03-23 03:00:00,0.911,0.000750,0,0,0.00200,0.00346,0.0137,0.0647
2023-03-23 03:02:00,0.913,0.00100,0,0,0.00142,0.00433,0.0154,0.0581
2023-03-23 03:04:00,0.919,0.000750,0,0,0.00129,0.00387,0.0129,0.0557
2023-03-23 03:06:00,0.908,0.000833,0,0,0.00104,0.00433,0.0153,0.0659
2023-03-23 03:08:00,0.922,0.000667,0,0,0.00121,0.00479,0.0153,0.0505
2023-03-23 03:10:00,0.914,0.000583,0,0,0.000833,0.00512,0.0153,0.0562
2023-03-23 03:12:00,0.892,0.000792,0,0,0.00154,0.00558,0.0169,0.0763
2023-03-23 03:14:00,0.914,0.000792,0,0,0.00133,0.00388,0.0145,0.0578
2023-03-23 03:16:00,0.914,0.000917,0,0,0.00138,0.00450,0.0143,0.0573
2023-03-23 03:18:00,0.901,0.000793,0,0,0.00133,0.00463,0.0158,0.0685
2023-03-23 03:20:00,0.911,0.000667,0,0,0.00125,0.00433,0.0155,0.0580
2023-03-23 03:22:00,0.908,0.000708,0,0,0.00225,0.00583,0.0165,0.0563
2023-03-23 03:24:00,0.901,0.000708,0,0,0.00171,0.00442,0.0142,0.0698
2023-03-23 03:26:00,0.904,0.000958,0,0,0.00158,0.00550,0.0163,0.0645
2023-03-23 03:28:00,0.908,0.000708,0,0,0.00117,0.00533,0.0160,0.0624
2023-03-23 03:30:00,0.896,0.000792,0,0,0.000833,0.00467,0.0146,0.0747
2023-03-23 03:32:00,0.907,0.000958,0,0,0.00225,0.00725,0.0168,0.0578
2023-03-23 03:34:00,0.906,0.000625,0,0,0.000750,0.00571,0.0157,0.0633
2023-03-23 03:36:00,0.892,0.000958,0,0,0.001000,0.00546,0.0158,0.0765
2023-03-23 03:38:00,0.903,0.000833,0,0,0.00112,0.00525,0.0165,0.0654
2023-03-23 03:40:00,0.905,0.000792,0,0,0.00100,0.00517,0.0148,0.0642
2023-03-23 03:42:00,0.896,0.000751,0,0,0.00246,0.00667,0.0160,0.0712
2023-03-23 03:44:00,0.904,0.000792,0,0,0.000750,0.00525,0.0161,0.0689
2023-03-23 03:46:00,0.897,0.00217,0,0.000542,0.00121,0.00629,0.0199,0.0658
2023-03-23 03:48:00,0.889,0.000875,0,0,0.00179,0.00542,0.0149,0.0802
2023-03-23 03:50:00,0.898,0.000750,0,0,0.000958,0.00479,0.0161,0.0691
2023-03-23 03:52:00,0.895,0.000750,0,0,0.00213,0.00625,0.0163,0.0705
2023-03-23 03:54:00,0.883,0.000708,0,0,0.00104,0.00625,0.0170,0.0824
2023-03-23 03:56:00,0.903,0.000833,0,0,0.00137,0.00562,0.0175,0.0634
2023-03-23 03:58:00,0.892,0.000958,0,0,0.00183,0.00529,0.0184,0.0705
2023-03-23 04:00:00,0.877,0.000833,0,0,0.00179,0.00546,0.0184,0.0880
2023-03-23 04:02:00,0.900,0.000833,0,0,0.00171,0.0127,0.0149,0.0685
2023-03-23 04:04:00,0.913,0.000792,0,0,0.00104,0.00521,0.0133,0.0617
2023-03-23 04:06:00,0.896,0.000917,0,0,0.000875,0.00813,0.0160,0.0752
2023-03-23 04:08:00,0.910,0.000750,0,0,0.000792,0.00792,0.0126,0.0660
2023-03-23 04:10:00,0.889,0.000792,0,0,0.00104,0.00633,0.0197,0.0730
2023-03-23 04:12:00,0.885,0.000708,0,0,0.00108,0.00475,0.0164,0.0859
2023-03-23 04:14:00,0.889,0.000708,0,0,0.00325,0.00788,0.0169,0.0762
2023-03-23 04:16:00,0.895,0.000875,0,0,0.00142,0.00558,0.0166,0.0723
2023-03-23 04:18:00,0.883,0.000708,0,0,0.00167,0.00488,0.0145,0.0863
2023-03-23 04:20:00,0.891,0.000833,0,0,0.00112,0.00642,0.0177,0.0723
2023-03-23 04:22:00,0.888,0.000708,0,0,0.00133,0.00579,0.0171,0.0778
2023-03-23 04:24:00,0.869,0.000708,0,0,0.00183,0.00625,0.0172,0.0948
2023-03-23 04:26:00,0.885,0.000792,0,0,0.00183,0.00671,0.0176,0.0769
2023-03-23 04:28:00,0.885,0.000667,0,0,0.00158,0.00575,0.0168,0.0800
2023-03-23 04:30:00,0.881,0.000792,0,0,0.00137,0.00567,0.0173,0.0849
2023-03-23 04:32:00,0.883,0.000833,0,0,0.00121,0.00554,0.0187,0.0812
2023-03-23 04:34:00,0.880,0.000667,0,0,0.00129,0.00663,0.0182,0.0814
2023-03-23 04:36:00,0.878,0.000792,0,0,0.00258,0.00637,0.0166,0.0881
2023-03-23 04:38:00,0.885,0.000708,0,0,0.00137,0.00542,0.0161,0.0828
2023-03-23 04:40:00,0.886,0.000667,0,0,0.00154,0.00542,0.0162,0.0808
2023-03-23 04:42:00,0.911,0.000833,0,0,0.00158,0.00525,0.0108,0.0665
2023-03-23 04:44:00,0.934,0.000792,0,0,0.000917,0.00500,0.00946,0.0457
2023-03-23 04:46:00,0.921,0.000750,0,0,0.00167,0.00821,0.0104,0.0577
