"Time","Load[5m]","Load[1m]","Load[15m]"
2023-03-23 03:00:00,0.470,0.480,0.430
2023-03-23 03:02:00,0.390,0.220,0.410
2023-03-23 03:04:00,0.340,0.270,0.390
2023-03-23 03:06:00,0.330,0.290,0.370
2023-03-23 03:08:00,0.330,0.310,0.360
2023-03-23 03:10:00,0.370,0.600,0.370
2023-03-23 03:12:00,0.350,0.330,0.360
2023-03-23 03:14:00,0.340,0.390,0.360
2023-03-23 03:16:00,0.380,0.510,0.370
2023-03-23 03:18:00,0.500,0.810,0.410
2023-03-23 03:20:00,0.430,0.350,0.390
2023-03-23 03:22:00,0.460,0.490,0.400
2023-03-23 03:24:00,0.560,0.660,0.450
2023-03-23 03:26:00,0.440,0.270,0.420
2023-03-23 03:28:00,0.510,0.540,0.450
2023-03-23 03:30:00,0.510,0.420,0.460
2023-03-23 03:32:00,0.530,0.450,0.470
2023-03-23 03:34:00,0.460,0.320,0.450
2023-03-23 03:36:00,0.490,0.670,0.460
2023-03-23 03:38:00,0.930,2.36,0.610
2023-03-23 03:40:00,0.780,0.590,0.600
2023-03-23 03:42:00,0.690,0.440,0.590
2023-03-23 03:44:00,0.510,0.190,0.530
2023-03-23 03:46:00,0.520,0.560,0.540
2023-03-23 03:48:00,0.630,0.800,0.570
2023-03-23 03:50:00,0.620,0.630,0.580
2023-03-23 03:52:00,0.870,1.22,0.670
2023-03-23 03:54:00,0.790,0.650,0.660
2023-03-23 03:56:00,0.860,1.27,0.700
2023-03-23 03:58:00,0.890,0.980,0.730
2023-03-23 04:00:00,0.810,0.580,0.720
2023-03-23 04:02:00,1.03,1.64,0.810
2023-03-23 04:04:00,1.01,1.04,0.830
2023-03-23 04:06:00,0.990,0.790,0.850
2023-03-23 04:08:00,0.770,0.370,0.780
2023-03-23 04:10:00,0.580,0.230,0.710
2023-03-23 04:12:00,0.610,0.750,0.700
2023-03-23 04:14:00,0.490,0.350,0.640
2023-03-23 04:16:00,0.590,0.550,0.670
2023-03-23 04:18:00,0.490,0.320,0.620
2023-03-23 04:20:00,0.460,0.400,0.590
2023-03-23 04:22:00,0.590,1,0.620
2023-03-23 04:24:00,0.670,0.690,0.650
