"Time","Transmit Total (cilium_host)","Transmit Total (cilium_net)","Transmit Total (cilium_vxlan)","Transmit Total (enp1s0)","Transmit Total (lxc00b02f3908fd)","Transmit Total (lxc0e2771075e46)","Transmit Total (lxc1e2a40cae5f0)","Transmit Total (lxc1eee36049311)","Transmit Total (lxc1f8ee7cb496e)","Transmit Total (lxc20efeaa95647)","Transmit Total (lxc365bec88272f)","Transmit Total (lxc3a8168be8fb2)","Transmit Total (lxc4c9782567f15)","Transmit Total (lxc4e6897478d09)","Transmit Total (lxc51cdd8ff1bad)","Transmit Total (lxc75a8ec1f1cf4)","Transmit Total (lxc798052b5689f)","Transmit Total (lxc878bb64d0384)","Transmit Total (lxc8ab2ea2d4458)","Transmit Total (lxc9b65d3feae75)","Transmit Total (lxc9f89014ebd36)","Transmit Total (lxc_health)","Transmit Total (lxca09c7476b2bb)","Transmit Total (lxca7dd72a275da)","Transmit Total (lxcacf2089d5184)","Transmit Total (lxcbd375acf295f)","Transmit Total (lxcc9469532d43c)","Transmit Total (lxcd07ed415f195)","Transmit Total (lxce2678e98ee06)","Transmit Total (lxce7062d29f75b)","Transmit Total (lxce7c28d678a8f)","Transmit Total (lxce90b7b3404f6)","Transmit Total (lxcfc36a1177bf4)","Receive Total (cilium_host)","Receive Total (cilium_net)","Receive Total (cilium_vxlan)","Receive Total (enp1s0)","Receive Total (lxc00b02f3908fd)","Receive Total (lxc0e2771075e46)","Receive Total (lxc1e2a40cae5f0)","Receive Total (lxc1eee36049311)","Receive Total (lxc1f8ee7cb496e)","Receive Total (lxc20efeaa95647)","Receive Total (lxc365bec88272f)","Receive Total (lxc3a8168be8fb2)","Receive Total (lxc4c9782567f15)","Receive Total (lxc4e6897478d09)","Receive Total (lxc51cdd8ff1bad)","Receive Total (lxc75a8ec1f1cf4)","Receive Total (lxc798052b5689f)","Receive Total (lxc878bb64d0384)","Receive Total (lxc8ab2ea2d4458)","Receive Total (lxc9b65d3feae75)","Receive Total (lxc9f89014ebd36)","Receive Total (lxc_health)","Receive Total (lxca09c7476b2bb)","Receive Total (lxca7dd72a275da)","Receive Total (lxcacf2089d5184)","Receive Total (lxcbd375acf295f)","Receive Total (lxcc9469532d43c)","Receive Total (lxcd07ed415f195)","Receive Total (lxce2678e98ee06)","Receive Total (lxce7062d29f75b)","Receive Total (lxce7c28d678a8f)","Receive Total (lxce90b7b3404f6)","Receive Total (lxcfc36a1177bf4)"
2023-03-23 03:00:00,0,86.6,13150,61036,270,0,11629,4402,4825,0,1159,2641,133,0,135,310,33.7,124,73096,4.37,0,31.6,66.6,65.7,0,9796,0.600,437,27881,305,2764,1331,385,86.6,0,28311,164249,270,0,2155,1464,1454,0,657,249,31.6,0,31.6,375,18.9,29.0,2675,4.50,0,25.5,41.4,41.7,0,301,0.600,247,9401,441,1299,719,227
2023-03-23 03:02:00,0,82.2,13541,62239,286,0,9837,4722,4398,0,1171,1850,132,0,134,307,61.4,124,72568,4.13,0.389,31.6,66.1,65.3,0,104,45.6,452,17950,508,2592,1227,235,82.2,0,18673,126678,280,0,1893,1503,1442,0,664,229,31.6,0,31.6,378,70.5,29.0,2663,4.27,0,25.5,41,41.4,0,233,36.8,257,9565,586,1283,718,230
2023-03-23 03:04:00,0,78.9,14351,63661,286,0,10285,4347,4539,0,1158,1974,133,0,140,305,34.8,124,72683,4.13,0.389,31.6,65.7,65.7,0,103,45.0,448,30709,511,2598,1218,227,78.9,0,31371,140478,280,0,1962,1450,1436,0,656,235,31.6,0,32.9,378,23.3,29.0,2644,4.27,0,25.5,40.3,41,0,233,36.2,258,10433,584,1287,711,218
2023-03-23 03:06:00,0,78.2,15119,62825,270,0,9535,4705,4330,0,1160,1732,122,0,124,308,30.7,124,72523,4.13,0,31.8,65.3,65.7,0,103,0,447,18290,308,2596,1219,226,78.2,0,18737,125771,270,0,1869,1492,1441,0,657,205,29.0,0,29.0,378,19.7,29.0,2627,4.27,0,25.7,40.3,41.4,0,232,0,257,11359,438,1287,711,220
2023-03-23 03:08:00,0.389,81.8,15231,64850,270,0,10287,4777,6611,0,1174,1950,122,0,118,308,30.7,124,72702,4.13,0,31.8,65.8,65.7,0,185,0.600,448,21030,307,2583,1223,225,81.8,0.389,21470,133576,270,0,1963,1520,1547,0,670,223,29.0,0,27.7,377,19.7,33.9,2661,4.27,0,25.7,40.3,41.7,0,263,0.600,253,11484,438,1279,714,220
2023-03-23 03:10:00,0,73.8,13960,61366,270,0,9980,4339,4456,0,1159,1886,128,0,129,306,33.5,124,72654,4.13,0,31.8,65.8,65.4,0,106,0,448,30488,306,2583,1210,222,73.8,0,30903,140322,270,0,1935,1457,1433,0,656,230,30.3,0,30.3,379,23.4,29.0,2651,4.27,0,25.7,40.3,40.6,0,236,0,253,10217,439,1278,707,216
2023-03-23 03:12:00,0,80,15020,64009,270,0,9775,4723,4392,0,1171,1816,128,0,129,306,34.3,130,72579,4.13,0,31.6,65.3,65.4,0,103,37.6,446,20965,503,2584,1227,223,80,0,21631,129670,270,0,1910,1507,1415,0,663,221,30.3,0,30.3,379,24.7,30.3,2632,4.27,0,25.5,40.3,40.3,0,232,34.7,249,11104,587,1279,715,224
2023-03-23 03:14:00,0,85.5,13109,62675,270,0,10291,4374,4564,0,1159,1964,128,0.389,124,307,30.7,124,72707,4.13,0,31.6,66.1,65.7,0,105,37.6,449,29413,505,2614,1212,225,85.5,0,30063,139127,270,0,1993,1440,1430,0,656,224,30.3,0,29.4,378,20.1,29.4,2666,4.27,0,25.5,41.4,40.6,0,231,34.7,259,9198,586,1295,710,221
2023-03-23 03:16:00,0,81.5,15950,63886,270,0,9778,4739,4449,0,1161,1833,133,0,134,306,30.7,135,72577,4.13,0,31.6,65.7,65.7,0,105,0,449,19429,306,2584,1211,222,81.5,0,19880,127369,270,0,1938,1501,1474,0,659,233,31.6,0,31.6,379,19.7,31.6,2658,4.27,0,25.5,40.6,40.6,0,232,0,254,12192,439,1279,707,217
2023-03-23 03:18:00,0,79.6,14795,64064,270,0,10066,4741,4481,0,1173,1904,133,0,135,306,32.1,141,72700,4.13,0,31.8,65.7,65.7,0,191,0.989,448,21015,307,2587,1224,222,79.6,0,21465,129898,270,0,2006,1515,1471,0,665,243,31.6,0,31.6,380,21.5,32.9,2683,4.27,0,25.7,40.3,41,0,261,0.600,253,11041,436,1287,714,217
2023-03-23 03:20:00,0,91.0,13115,60963,270,0,10071,4376,4481,0.389,1159,1895,133,0,129,307,32.3,124,72682,4.13,0,31.8,65.7,66.2,0,108,0.389,448,28993,307,2587,1214,223,91.0,0,29427,137902,270,0,2006,1473,1477,0.389,656,238,36.5,0,30.3,378,21.5,29.0,2686,4.27,0,25.7,40.3,42.6,0,235,0,253,9362,437,1282,713,224
2023-03-23 03:22:00,0,83.4,13553,62713,269,0,9845,4775,4428,0.389,1149,1814,122,0,124,308,32.3,130,72639,4.13,0,31.6,65.7,66.1,0,105,37.6,447,20939,507,2555,1199,222,83.4,0,21599,130263,269,0,1935,1532,1490,0.389,652,220,33.9,0,29.0,378,21.5,30.3,2685,4.27,0,25.5,40.3,41.7,0,231,34.7,252,9639,583,1264,707,217
2023-03-23 03:24:00,0,75.6,14453,64611,270,0,10352,4443,27318,0,1174,1980,122,0,118,307,32.1,124,72757,4.13,0,31.6,65.7,66.4,0,106,37.6,449,28524,505,2583,1223,219,75.6,0,29159,162325,270,0,2039,1495,2009,0,665,241,29.0,0,27.7,378,21.5,29.0,2670,4.27,0,25.5,40.3,42.5,0,230,34.7,254,10557,586,1278,714,213
2023-03-23 03:26:00,0,84.8,13635,61170,269,0,10002,4732,4520,0,1171,1895,139,0,140,308,31.5,124,72641,4.60,0,32.0,66.1,66.2,0,104,0,450,18473,307,2584,1222,225,84.8,0,18936,127731,269,0,1981,1504,1453,0,663,231,32.9,0,32.9,377,20.6,29.0,2655,4.73,0,25.5,40.3,41.4,0,233,0,255,9883,439,1280,717,221
