"Time","Transmit Total (cilium_host)","Transmit Total (cilium_net)","Transmit Total (cilium_vxlan)","Transmit Total (enp1s0)","Transmit Total (lxc045e0df77a65)","Transmit Total (lxc04ba3655f7bb)","Transmit Total (lxc058f11ae84e2)","Transmit Total (lxc101aa30b6d42)","Transmit Total (lxc1055eece523d)","Transmit Total (lxc17545d6a2c13)","Transmit Total (lxc1b3ec4421f95)","Transmit Total (lxc25dc796f779e)","Transmit Total (lxc2cf3504ea230)","Transmit Total (lxc2f20023e145d)","Transmit Total (lxc42de66ecdcc8)","Transmit Total (lxc53962ca4487f)","Transmit Total (lxc586756a19dbd)","Transmit Total (lxc6237b799514f)","Transmit Total (lxc6609bc973c6e)","Transmit Total (lxc8f825b75ba1b)","Transmit Total (lxc901c98c966b2)","Transmit Total (lxc970c5453f2c7)","Transmit Total (lxc9bf9c5e25fda)","Transmit Total (lxc9d9580e18417)","Transmit Total (lxc_health)","Transmit Total (lxca3d1fbc08b7c)","Transmit Total (lxcaee2fab0754f)","Transmit Total (lxcb3f5b6163447)","Transmit Total (lxcbba06f29c914)","Transmit Total (lxccc10b9c35713)","Transmit Total (lxccd3f5d5c9dab)","Transmit Total (lxcd19ab656bbb2)","Transmit Total (lxcd39cb2af2558)","Transmit Total (lxcd4e1a68a8393)","Transmit Total (lxcf0be76b85bba)","Receive Total (cilium_host)","Receive Total (cilium_net)","Receive Total (cilium_vxlan)","Receive Total (enp1s0)","Receive Total (lxc045e0df77a65)","Receive Total (lxc04ba3655f7bb)","Receive Total (lxc058f11ae84e2)","Receive Total (lxc101aa30b6d42)","Receive Total (lxc1055eece523d)","Receive Total (lxc17545d6a2c13)","Receive Total (lxc1b3ec4421f95)","Receive Total (lxc25dc796f779e)","Receive Total (lxc2cf3504ea230)","Receive Total (lxc2f20023e145d)","Receive Total (lxc42de66ecdcc8)","Receive Total (lxc53962ca4487f)","Receive Total (lxc586756a19dbd)","Receive Total (lxc6237b799514f)","Receive Total (lxc6609bc973c6e)","Receive Total (lxc8f825b75ba1b)","Receive Total (lxc901c98c966b2)","Receive Total (lxc970c5453f2c7)","Receive Total (lxc9bf9c5e25fda)","Receive Total (lxc9d9580e18417)","Receive Total (lxc_health)","Receive Total (lxca3d1fbc08b7c)","Receive Total (lxcaee2fab0754f)","Receive Total (lxcb3f5b6163447)","Receive Total (lxcbba06f29c914)","Receive Total (lxccc10b9c35713)","Receive Total (lxccd3f5d5c9dab)","Receive Total (lxcd19ab656bbb2)","Receive Total (lxcd39cb2af2558)","Receive Total (lxcd4e1a68a8393)","Receive Total (lxcf0be76b85bba)"
2023-03-23 03:00:00,0,10893,38277,208080,0,2161,472,169,75.5,132,2125,65.6,413,0,11728,80.2,3.27,355,150,87.8,0,18315,2193,459,31.8,1753,66.3,19,333,0,0.389,452,141405,175,0,10893,0,19022,103470,0,209,264,98.7,92.0,31.6,2210,40.6,6288,0.389,3302,3687,3.27,81.3,131,67.7,0,18187,244,259,25.7,17088,42.5,38.5,390,0,0,253,6948,591,0
2023-03-23 03:02:00,0,10120,60497,193583,0,1840,470,163,38.0,127,1905,65.9,1772,0,13552,80.2,5.46,361,152,87.2,0,18293,1889,458,31.8,1534,65.9,302,391,0,0,453,147617,21943,0,10120,0,21010,109044,0,202,263,91.0,25.7,30.3,2279,41,25800,0,2718,3716,6.28,81.5,132,66.9,0,18180,250,257,25.7,17075,41,439,499,0,0,253,7415,24538,0
2023-03-23 03:04:00,0,11384,50968,184817,0,1955,471,173,35.5,121,1984,66.5,1366,0,14261,81.9,5.70,356,145,87.6,0,18291,1971,459,31.8,1669,65.9,302,395,0,0,453,149371,12343,0,11384,0,21317,109021,0,207,268,102,24.2,29.0,2188,42.6,17247,0,3053,3695,6.46,80.1,131,68.0,0,18192,228,263,25.7,17089,41.4,439,508,0.389,0,255,7358,13993,0
2023-03-23 03:06:00,0,11615,37064,166168,0.389,1716,472,166,30.7,132,1853,66.1,412,0,9694,80.0,4.30,339,145,87.9,0,18293,1742,458,32.3,1420,66.3,19.0,341,0,0,450,141889,158,0,11615,0,19734,103565,0,183,269,103,22.3,31.6,2308,40.6,6289,0,2411,3639,4.67,77.3,131,68.0,0,18187,205,262,26.2,17063,42.5,38.9,409,0,0,251,6652,592,0
2023-03-23 03:08:00,0,12475,37868,172576,0,1926,474,157,31.5,120,2049,65.9,416,0,15942,120,4.30,338,145,87.3,0,18299,1950,458,32.3,1611,66.8,19.4,349,0,0,450,146518,163,0,12475,0,20612,108683,0,195,266,93.2,22.4,29.0,2334,42.5,6289,0,3065,3656,4.73,77.3,131,68.4,0,18190,221,256,26.2,17070,41.8,38.5,430,0,0,252,7014,593,0
2023-03-23 03:10:00,0,10886,37504,168307,0,1853,475,167,32.9,132,1921,66.5,413,0,10437,81.2,4.17,348,147,87.9,0,18312,1885,454,32.3,1554,66.8,19,333,0,0,450,142396,163,0,10886,0,19031,103914,0,191,266,107,23.8,31.6,2193,42.2,6288,0,2792,3625,4.59,79.6,131,67.7,0.389,18184,228,253,26.2,17062,42.9,38.5,399,0,0,251,6805,597,0
2023-03-23 03:12:00,0,11582,60528,193264,0,1796,472,165,32.9,137,1899,65.9,1715,0,13601,79.7,6.17,354,145,87.5,0,18312,1819,460,32.3,1472,66.9,341,392,0,0,450,146949,21850,0,11582,0,22446,109967,0,202,264,97.3,23.9,32.9,2280,41.4,25682,0,2715,3656,6.61,80.1,130,68.0,0,18187,218,260,26.2,17073,42.8,574,502,0,0.389,251,7295,24430,0
2023-03-23 03:14:00,0,10133,61011,195605,0,1939,474,159,30.7,132,1989,65.8,1716,0,14281,79,5.57,360,144,87.5,0,18315,1959,445,32.0,1616,66.6,341,398,0,0,452,150233,21852,0,10133,0,21038,110247,0,195,265,89.7,20.4,31.6,2197,42.1,25682,0,3048,3639,6.01,81.1,131,66.2,0,18201,226,255,26.0,17090,42.8,574,510,0,0.389,253,7417,24428,0
2023-03-23 03:16:00,0,12432,37076,166175,0,1735,471,162,30.7,126,1864,66.2,413,0.389,9741,78.2,3.27,360,145,87.3,0,18309,1754,443,31.6,1470,66.4,19,336,0.389,0,451,141758,182,0,12432,0,20584,104081,0,200,263,93.1,20.1,35.2,2320,42.1,6290,0,2483,3563,3.27,81.1,132,67.7,0,18190,227,247,25.5,17089,41.7,38.5,399,0,0,253,6715,605,0.389
2023-03-23 03:18:00,0,11775,37597,169216,0,1891,476,166,34.9,121,1977,67.5,417,0.389,13858,118,4.87,348,146,87.3,0,18325,1900,460,31.6,1578,66.0,19,354,0.389,0,452,146021,175,0,11775,0,19939,107070,0,225,267,105,31.0,29.0,2322,42.6,6290,0,2943,3685,5.66,79.6,134,68.1,0,18193,240,261,25.5,17092,41.1,38.5,436,0,0,254,6990,595,0.389
2023-03-23 03:20:00,0,10039,37511,168782,0,1876,477,166,30.7,132,1933,66.7,414,0,10496,81.3,5.23,337,145,86.7,0,18332,1903,463,31.6,1608,66.2,19,338,0,0,451,141806,172,0,10039,0,18222,102386,0,211,268,106,20.1,31.6,2191,43.6,6290,0,2789,3642,5.99,77.7,130,67.0,0,18209,243,263,25.5,17099,42.2,38.5,407,0,0,253,6747,599,0
2023-03-23 03:22:00,0,10112,60507,193790,0,1803,472,160,30.7,131,1903,65.8,1715,0,15180,79.5,4.07,331,147,87.2,0,18327,1819,457,31.6,1548,66.0,344,382,0,0,450,147419,21837,0,10112,0,21046,109572,0,199,264,92.1,21.2,31.6,2276,41.7,25650,0,2740,3709,4.46,76.7,128,66.6,0,18202,230,255,25.5,17094,41,610,485,0,0,252,7379,24413,0
2023-03-23 03:24:00,0,11489,61033,219559,0,1964,473,157,31.5,121,1984,66.4,1719,0,16089,80.3,3.27,348,146,87.3,0,18304,1968,457,31.6,1637,66.4,344,393,0,0,450,151001,21816,0,11489,0,22394,112936,0,206,265,88.1,21.7,29.0,2189,41,25650,0,3153,3739,3.27,79.6,132,68.0,0,18187,225,256,25.5,17095,42.8,610,500,0,0,256,7508,24397,0
2023-03-23 03:26:00,0,10639,37537,168762,0,1871,475,164,33.5,115,1978,66.0,417,0,10439,79.6,5.10,332,143,86.9,0.389,18300,1888,457,32.0,1582,66.0,19,336,0,0,452,141563,164,0,10639,0,18798,102868,0,196,266,97.5,28.8,27.7,2321,41,6289,0,2780,3617,5.89,76.7,131,67.7,0,18189,221,257,26.0,17083,42.5,38.5,399,0,0,258,6716,598,0
2023-03-23 03:28:00,0,10513,37300,167514,0,1812,471,164,32.1,116,1935,66.5,410,0,13473,118,5.10,338,145,85.5,0,18295,1828,456,31.8,1516,66.3,19,357,0,0,441,146188,180,0,10513,0,18659,105472,0,195,264,103,26.5,27.7,2318,43.2,6289,0,2719,3624,11.0,77.3,130,65.5,0,18186,223,255,25.7,17088,42.5,38.5,435,0,0,247,6966,604,0
2023-03-23 03:30:00,0,10727,37511,168554,0,1874,470,159,30.7,126,1936,66.3,412,0,10491,82.2,3.73,337,147,85.9,0,18316,1898,457,31.6,1626,65.7,19.0,335,0,0,452,141242,176,0,10727,0,18919,102559,0,197,263,90.1,21.2,30.7,2190,43.2,6287,0,2799,3702,3.73,77.7,128,65.8,0,18202,230,256,25.5,17084,42.1,38.5,397,0,0,253,6688,607,0
