,Time,Type,Response,Code
0,2023-03-23 01:59:58.661220,Public,0.005402,200
0,2023-03-23 01:59:58.769831,Public,0.007128,200
0,2023-03-23 01:59:58.890575,Public,0.017605,200
0,2023-03-23 01:59:58.998810,Public,0.005342,200
0,2023-03-23 01:59:59.105031,Public,0.00486,200
0,2023-03-23 01:59:59.211549,Public,0.005144,200
0,2023-03-23 01:59:59.318020,Public,0.005082,200
0,2023-03-23 01:59:59.426240,Public,0.00633,200
0,2023-03-23 01:59:59.533693,Public,0.00586,200
0,2023-03-23 01:59:59.644366,Public,0.00912,200
0,2023-03-23 01:59:59.750652,Public,0.004896,200
0,2023-03-23 01:59:59.871029,Public,0.017768,200
0,2023-03-23 01:59:59.993373,Public,0.018048,200
0,2023-03-23 02:00:00.110101,Public,0.013644,200
0,2023-03-23 02:00:00.218704,Public,0.007154,200
0,2023-03-23 02:00:00.325202,Public,0.005062,200
0,2023-03-23 02:00:00.431817,Public,0.005256,200
0,2023-03-23 02:00:00.538682,Public,0.005458,200
0,2023-03-23 02:00:00.645219,Public,0.005127,200
0,2023-03-23 02:00:00.751564,Public,0.00498,200
0,2023-03-23 02:00:00.872147,Public,0.017938,200
0,2023-03-23 02:00:00.994870,Public,0.01842,200
0,2023-03-23 02:00:01.103115,Public,0.004947,200
0,2023-03-23 02:00:01.209392,Public,0.004909,200
0,2023-03-23 02:00:01.325516,Public,0.014018,200
0,2023-03-23 02:00:01.432498,Public,0.005144,200
0,2023-03-23 02:00:01.538763,Public,0.004937,200
0,2023-03-23 02:00:01.646602,Public,0.006212,200
0,2023-03-23 02:00:01.764663,Public,0.015293,200
0,2023-03-23 02:00:01.872261,Public,0.005123,200
0,2023-03-23 02:00:01.978487,Public,0.004883,200
0,2023-03-23 02:00:02.117929,Public,0.037006,200
0,2023-03-23 02:00:02.231946,Public,0.010128,200
0,2023-03-23 02:00:02.347506,Public,0.013099,200
0,2023-03-23 02:00:02.464219,Public,0.01387,200
0,2023-03-23 02:00:02.584054,Public,0.017288,200
0,2023-03-23 02:00:02.694190,Public,0.007244,200
0,2023-03-23 02:00:02.801091,Public,0.00532,200
0,2023-03-23 02:00:02.907453,Public,0.004966,200
0,2023-03-23 02:00:03.015144,Public,0.006244,200
0,2023-03-23 02:00:03.127420,Public,0.004953,200
0,2023-03-23 02:00:03.235198,Public,0.006182,200
0,2023-03-23 02:00:03.342005,Public,0.005273,200
0,2023-03-23 02:00:03.448453,Public,0.005037,200
0,2023-03-23 02:00:03.554880,Public,0.005096,200
0,2023-03-23 02:00:03.661644,Public,0.005383,200
0,2023-03-23 02:00:03.768491,Public,0.005503,200
0,2023-03-23 02:00:03.876384,Public,0.00645,200
0,2023-03-23 02:00:03.993360,Public,0.014469,200
0,2023-03-23 02:00:04.111332,Public,0.015183,200
0,2023-03-23 02:00:04.227385,Public,0.013284,200
0,2023-03-23 02:00:04.334524,Public,0.004957,200
0,2023-03-23 02:00:04.456011,Public,0.018844,200
0,2023-03-23 02:00:04.579053,Public,0.019384,200
0,2023-03-23 02:00:04.687268,Public,0.00531,200
0,2023-03-23 02:00:04.796054,Public,0.00724,200
0,2023-03-23 02:00:04.911737,Public,0.013449,200
0,2023-03-23 02:00:05.018622,Public,0.005193,200
0,2023-03-23 02:00:05.125043,Public,0.005043,200
0,2023-03-23 02:00:05.240313,Public,0.013292,200
0,2023-03-23 02:00:05.361552,Public,0.018126,200
0,2023-03-23 02:00:05.483842,Public,0.018504,200
0,2023-03-23 02:00:05.605665,Public,0.017667,200
0,2023-03-23 02:00:05.713978,Public,0.005819,200
0,2023-03-23 02:00:05.830164,Public,0.013859,200
0,2023-03-23 02:00:05.951410,Public,0.018404,200
0,2023-03-23 02:00:06.069346,Public,0.014478,200
0,2023-03-23 02:00:06.188938,Public,0.015965,200
0,2023-03-23 02:00:06.297205,Public,0.005017,200
0,2023-03-23 02:00:06.411357,Public,0.012006,200
0,2023-03-23 02:00:06.522958,Public,0.009317,200
0,2023-03-23 02:00:06.629724,Public,0.005249,200
0,2023-03-23 02:00:06.745316,Public,0.013606,200
0,2023-03-23 02:00:06.864148,Public,0.016363,200
0,2023-03-23 02:00:06.978588,Public,0.01158,200
0,2023-03-23 02:00:07.085785,Public,0.005551,200
0,2023-03-23 02:00:07.196378,Public,0.008887,200
0,2023-03-23 02:00:07.312901,Public,0.014095,200
0,2023-03-23 02:00:07.433974,Public,0.017824,200
0,2023-03-23 02:00:07.554917,Public,0.017253,200
0,2023-03-23 02:00:07.662319,Public,0.005019,200
0,2023-03-23 02:00:07.769629,Public,0.005677,200
0,2023-03-23 02:00:07.876415,Public,0.005352,200
0,2023-03-23 02:00:07.983011,Public,0.005222,200
0,2023-03-23 02:00:08.091287,Public,0.006822,200
0,2023-03-23 02:00:08.198996,Public,0.006019,200
0,2023-03-23 02:00:08.305662,Public,0.005051,200
0,2023-03-23 02:00:08.412152,Public,0.005169,200
0,2023-03-23 02:00:08.518890,Public,0.005438,200
0,2023-03-23 02:00:08.625685,Public,0.005419,200
0,2023-03-23 02:00:08.736027,Public,0.008895,200
0,2023-03-23 02:00:08.842833,Public,0.005499,200
0,2023-03-23 02:00:08.949995,Public,0.00575,200
0,2023-03-23 02:00:09.057120,Public,0.005785,200
0,2023-03-23 02:00:09.164003,Public,0.005527,200
0,2023-03-23 02:00:09.274624,Public,0.005317,200
0,2023-03-23 02:00:09.381337,Public,0.005327,200
