,Time,Type,Response,Code
0,2023-03-23 15:39:51.853425,Public,0.005152,200
0,2023-03-23 15:39:51.960064,Public,0.005146,200
0,2023-03-23 15:39:52.067102,Public,0.005744,200
0,2023-03-23 15:39:52.173830,Public,0.005377,200
0,2023-03-23 15:39:52.280611,Public,0.005431,200
0,2023-03-23 15:39:52.388364,Public,0.006404,200
0,2023-03-23 15:39:52.496983,Public,0.007233,200
0,2023-03-23 15:39:52.603381,Public,0.005052,200
0,2023-03-23 15:39:52.709619,Public,0.004882,200
0,2023-03-23 15:39:52.815960,Public,0.004966,200
0,2023-03-23 15:39:52.922986,Public,0.005417,200
0,2023-03-23 15:39:53.029762,Public,0.005417,200
0,2023-03-23 15:39:53.136289,Public,0.005111,200
0,2023-03-23 15:39:53.243472,Public,0.005742,200
0,2023-03-23 15:39:53.350029,Public,0.00521,200
0,2023-03-23 15:39:53.456604,Public,0.005271,200
0,2023-03-23 15:39:53.562991,Public,0.005031,200
0,2023-03-23 15:39:53.669725,Public,0.005213,200
0,2023-03-23 15:39:53.776211,Public,0.005082,200
0,2023-03-23 15:39:53.882884,Public,0.005363,200
0,2023-03-23 15:39:53.989270,Public,0.005091,200
0,2023-03-23 15:39:54.095872,Public,0.005237,200
0,2023-03-23 15:39:54.203793,Public,0.006538,200
0,2023-03-23 15:39:54.311393,Public,0.006019,200
0,2023-03-23 15:39:54.418242,Public,0.005248,200
0,2023-03-23 15:39:54.524890,Public,0.005299,200
0,2023-03-23 15:39:54.631265,Public,0.004911,200
0,2023-03-23 15:39:54.750552,Public,0.017669,200
0,2023-03-23 15:39:54.857648,Public,0.005438,200
0,2023-03-23 15:39:54.964824,Public,0.005881,200
0,2023-03-23 15:39:55.071646,Public,0.005437,200
0,2023-03-23 15:39:55.178248,Public,0.005067,200
0,2023-03-23 15:39:55.284718,Public,0.005142,200
0,2023-03-23 15:39:55.391289,Public,0.005233,200
0,2023-03-23 15:39:55.497779,Public,0.005154,200
0,2023-03-23 15:39:55.604416,Public,0.005243,200
0,2023-03-23 15:39:55.711011,Public,0.005067,200
0,2023-03-23 15:39:55.817954,Public,0.005531,200
0,2023-03-23 15:39:55.924968,Public,0.005414,200
0,2023-03-23 15:39:56.032205,Public,0.005907,200
0,2023-03-23 15:39:56.138811,Public,0.005164,200
0,2023-03-23 15:39:56.245817,Public,0.005597,200
0,2023-03-23 15:39:56.352269,Public,0.005134,200
0,2023-03-23 15:39:56.458896,Public,0.00526,200
0,2023-03-23 15:39:56.565567,Public,0.005351,200
0,2023-03-23 15:39:56.673199,Public,0.005984,200
0,2023-03-23 15:39:56.779851,Public,0.005122,200
0,2023-03-23 15:39:56.886241,Public,0.005089,200
0,2023-03-23 15:39:56.993007,Public,0.005423,200
0,2023-03-23 15:39:57.115357,Public,0.020616,200
0,2023-03-23 15:39:57.222644,Public,0.005899,200
0,2023-03-23 15:39:57.329560,Public,0.005527,200
0,2023-03-23 15:39:57.436181,Public,0.005207,200
0,2023-03-23 15:39:57.543217,Public,0.005523,200
0,2023-03-23 15:39:57.650336,Public,0.005726,200
0,2023-03-23 15:39:57.758178,Public,0.00622,200
0,2023-03-23 15:39:57.865647,Public,0.005673,200
0,2023-03-23 15:39:57.972400,Public,0.005217,200
0,2023-03-23 15:39:58.078865,Public,0.005082,200
0,2023-03-23 15:39:58.185486,Public,0.005301,200
0,2023-03-23 15:39:58.291792,Public,0.004917,200
0,2023-03-23 15:39:58.398158,Public,0.005061,200
0,2023-03-23 15:39:58.504762,Public,0.00531,200
0,2023-03-23 15:39:58.611238,Public,0.005141,200
0,2023-03-23 15:39:58.717676,Public,0.005117,200
0,2023-03-23 15:39:58.824064,Public,0.005071,200
0,2023-03-23 15:39:58.932653,Public,0.006817,200
0,2023-03-23 15:39:59.040076,Public,0.005805,200
0,2023-03-23 15:39:59.146878,Public,0.005441,200
0,2023-03-23 15:39:59.253281,Public,0.005104,200
0,2023-03-23 15:39:59.363208,Public,0.008558,200
0,2023-03-23 15:39:59.470144,Public,0.005484,200
0,2023-03-23 15:39:59.576746,Public,0.005194,200
0,2023-03-23 15:39:59.683205,Public,0.005085,200
0,2023-03-23 15:39:59.789481,Public,0.004894,200
0,2023-03-23 15:39:59.896053,Public,0.005252,200
0,2023-03-23 15:40:00.003162,Public,0.005767,200
0,2023-03-23 15:40:00.111429,Public,0.006679,200
0,2023-03-23 15:40:00.218809,Public,0.00596,200
0,2023-03-23 15:40:00.325542,Public,0.005259,200
0,2023-03-23 15:40:00.432985,Public,0.006015,200
0,2023-03-23 15:40:00.540342,Public,0.005743,200
0,2023-03-23 15:40:00.650949,Public,0.008468,200
0,2023-03-23 15:40:00.758136,Public,0.005656,200
0,2023-03-23 15:40:00.865049,Public,0.005395,200
0,2023-03-23 15:40:00.973564,Public,0.006804,200
0,2023-03-23 15:40:01.080417,Public,0.00537,200
0,2023-03-23 15:40:01.189789,Public,0.007736,200
0,2023-03-23 15:40:01.297973,Public,0.006586,200
0,2023-03-23 15:40:01.404656,Public,0.005201,200
0,2023-03-23 15:40:01.511068,Public,0.004966,200
0,2023-03-23 15:40:01.617940,Public,0.005407,200
0,2023-03-23 15:40:01.727045,Public,0.007505,200
0,2023-03-23 15:40:01.833752,Public,0.005364,200
0,2023-03-23 15:40:01.941057,Public,0.005891,200
0,2023-03-23 15:40:02.047273,Public,0.004766,200
0,2023-03-23 15:40:02.153897,Public,0.005254,200
0,2023-03-23 15:40:02.261471,Public,0.006096,200
0,2023-03-23 15:40:02.368820,Public,0.005684,200
0,2023-03-23 15:40:02.475990,Public,0.00579,200
0,2023-03-23 15:40:02.582548,Public,0.005235,200
0,2023-03-23 15:40:02.688769,Public,0.004909,200
0,2023-03-23 15:40:02.795822,Public,0.005661,200
0,2023-03-23 15:40:02.902750,Public,0.005438,200
0,2023-03-23 15:40:03.009866,Public,0.005738,200
0,2023-03-23 15:40:03.116752,Public,0.00536,200
0,2023-03-23 15:40:03.223481,Public,0.005384,200
0,2023-03-23 15:40:03.330330,Public,0.005411,200
0,2023-03-23 15:40:03.436986,Public,0.005177,200
0,2023-03-23 15:40:03.544068,Public,0.005624,200
0,2023-03-23 15:40:03.650469,Public,0.004939,200
0,2023-03-23 15:40:03.757942,Public,0.005887,200
0,2023-03-23 15:40:03.864491,Public,0.00494,200
0,2023-03-23 15:40:03.971426,Public,0.005481,200
0,2023-03-23 15:40:04.078469,Public,0.005517,200
0,2023-03-23 15:40:04.185296,Public,0.005395,200
0,2023-03-23 15:40:04.293745,Public,0.006895,200
0,2023-03-23 15:40:04.400978,Public,0.005545,200
0,2023-03-23 15:40:04.508046,Public,0.005545,200
0,2023-03-23 15:40:04.614887,Public,0.005508,200
0,2023-03-23 15:40:04.721662,Public,0.005431,200
0,2023-03-23 15:40:04.829133,Public,0.00601,200
0,2023-03-23 15:40:04.935986,Public,0.005371,200
0,2023-03-23 15:40:05.042521,Public,0.005156,200
0,2023-03-23 15:40:05.148821,Public,0.004967,200
0,2023-03-23 15:40:05.255367,Public,0.00522,200
0,2023-03-23 15:40:05.361872,Public,0.005027,200
0,2023-03-23 15:40:05.468454,Public,0.00524,200
0,2023-03-23 15:40:05.574696,Public,0.004886,200
0,2023-03-23 15:40:05.681725,Public,0.00545,200
0,2023-03-23 15:40:05.788155,Public,0.005092,200
0,2023-03-23 15:40:05.895226,Public,0.005736,200
0,2023-03-23 15:40:06.001696,Public,0.005103,200
0,2023-03-23 15:40:06.109673,Public,0.006638,200
0,2023-03-23 15:40:06.218857,Public,0.007836,200
0,2023-03-23 15:40:06.326369,Public,0.006047,200
0,2023-03-23 15:40:06.433898,Public,0.005796,200
0,2023-03-23 15:40:06.542024,Public,0.006333,200
0,2023-03-23 15:40:06.649281,Public,0.005746,200
0,2023-03-23 15:40:06.756468,Public,0.005769,200
0,2023-03-23 15:40:06.863669,Public,0.005802,200
0,2023-03-23 15:40:06.970260,Public,0.005231,200
0,2023-03-23 15:40:07.077106,Public,0.00526,200
0,2023-03-23 15:40:07.184034,Public,0.005575,200
0,2023-03-23 15:40:07.290218,Public,0.004864,200
0,2023-03-23 15:40:07.396652,Public,0.005083,200
0,2023-03-23 15:40:07.504058,Public,0.006002,200
0,2023-03-23 15:40:07.610760,Public,0.005289,200
0,2023-03-23 15:40:07.717184,Public,0.005021,200
0,2023-03-23 15:40:07.832515,Public,0.013807,200
0,2023-03-23 15:40:07.939878,Public,0.005752,200
0,2023-03-23 15:40:08.046433,Public,0.005031,200
0,2023-03-23 15:40:08.152873,Public,0.005147,200
0,2023-03-23 15:40:08.259304,Public,0.005016,200
0,2023-03-23 15:40:08.366379,Public,0.005667,200
0,2023-03-23 15:40:08.473178,Public,0.005261,200
0,2023-03-23 15:40:08.580602,Public,0.006095,200
0,2023-03-23 15:40:08.687025,Public,0.005055,200
0,2023-03-23 15:40:08.793824,Public,0.005445,200
0,2023-03-23 15:40:08.900553,Public,0.005319,200
0,2023-03-23 15:40:09.007105,Public,0.005209,200
0,2023-03-23 15:40:09.113329,Public,0.004896,200
0,2023-03-23 15:40:09.220118,Public,0.005404,200
0,2023-03-23 15:40:09.327092,Public,0.005561,200
0,2023-03-23 15:40:09.437116,Public,0.008361,200
0,2023-03-23 15:40:09.543910,Public,0.00529,200
0,2023-03-23 15:40:09.650587,Public,0.005057,200
0,2023-03-23 15:40:09.757255,Public,0.005265,200
0,2023-03-23 15:40:09.863972,Public,0.005323,200
0,2023-03-23 15:40:09.970361,Public,0.004905,200
0,2023-03-23 15:40:10.076444,Public,0.004778,200
0,2023-03-23 15:40:10.182824,Public,0.004999,200
0,2023-03-23 15:40:10.289076,Public,0.004906,200
0,2023-03-23 15:40:10.396315,Public,0.005859,200
0,2023-03-23 15:40:10.503855,Public,0.005937,200
0,2023-03-23 15:40:10.611404,Public,0.006131,200
0,2023-03-23 15:40:10.718616,Public,0.005655,200
0,2023-03-23 15:40:10.826280,Public,0.006113,200
0,2023-03-23 15:40:10.933264,Public,0.005433,200
0,2023-03-23 15:40:11.039674,Public,0.005078,200
0,2023-03-23 15:40:11.146287,Public,0.005206,200
0,2023-03-23 15:40:11.252844,Public,0.005182,200
0,2023-03-23 15:40:11.360045,Public,0.005776,200
0,2023-03-23 15:40:11.466792,Public,0.005288,200
0,2023-03-23 15:40:11.573119,Public,0.004957,200
0,2023-03-23 15:40:11.683117,Public,0.005664,200
0,2023-03-23 15:40:11.789357,Public,0.004841,200
0,2023-03-23 15:40:11.895705,Public,0.004981,200
0,2023-03-23 15:40:12.002525,Public,0.005414,200
0,2023-03-23 15:40:12.108746,Public,0.004878,200
0,2023-03-23 15:40:12.215325,Public,0.005213,200
0,2023-03-23 15:40:12.322597,Public,0.005876,200
0,2023-03-23 15:40:12.429518,Public,0.005355,200
0,2023-03-23 15:40:12.536375,Public,0.005478,200
0,2023-03-23 15:40:12.642624,Public,0.004907,200
0,2023-03-23 15:40:12.749366,Public,0.005342,200
0,2023-03-23 15:40:12.856386,Public,0.005506,200
0,2023-03-23 15:40:12.962898,Public,0.005105,200
0,2023-03-23 15:40:13.069510,Public,0.005287,200
0,2023-03-23 15:40:13.176327,Public,0.005452,200
0,2023-03-23 15:40:13.282686,Public,0.004942,200
0,2023-03-23 15:40:13.389137,Public,0.00491,200
0,2023-03-23 15:40:13.495579,Public,0.005129,200
0,2023-03-23 15:40:13.602098,Public,0.005138,200
0,2023-03-23 15:40:13.708722,Public,0.005213,200
