"Time","EGRESS","EGRESS","EGRESS","INGRESS","INGRESS","INGRESS"
2023-03-15 10:00:00,168,70.3,155,181,70.8,170
2023-03-15 10:02:00,186,87.1,163,204,85.7,178
2023-03-15 10:04:00,172,75.2,160,182,76.5,175
2023-03-15 10:06:00,562,206,378,711,209,393
2023-03-15 10:08:00,179,91.2,165,202,82.5,180
2023-03-15 10:10:00,171,75.7,161,183,74.9,175
2023-03-15 10:12:00,182,89.3,216,206,82.7,220
2023-03-15 10:14:00,172,76.4,166,183,75.6,181
2023-03-15 10:16:00,194,86.7,167,222,84.2,183
2023-03-15 10:18:00,175,87.3,160,199,86.2,175
2023-03-15 10:20:00,170,71.7,163,187,74.2,176
2023-03-15 10:22:00,240,233,347,267,234,332
2023-03-15 10:24:00,167,77.6,159,181,77.9,176
2023-03-15 10:26:00,195,84.7,165,218,83.1,179
2023-03-15 10:28:00,182,87.4,163,202,81.5,177
2023-03-15 10:30:00,182,90.2,169,214,82.9,183
2023-03-15 10:32:00,191,301,307,215,297,292
2023-03-15 10:34:00,166,69.1,156,179,70.2,171
2023-03-15 10:36:00,201,91,177,221,84.4,196
2023-03-15 10:38:00,164,71.6,153,177,71.9,168
2023-03-15 10:40:00,180,83.2,168,203,80.1,180
2023-03-15 10:42:00,180,158,198,203,153,206
2023-03-15 10:44:00,175,76,164,189,75.1,178
2023-03-15 10:46:00,195,89.4,176,217,89.2,190
2023-03-15 10:48:00,168,74.9,164,180,74.4,178
2023-03-15 10:50:00,179,87.9,159,199,81.7,176
2023-03-15 10:52:00,187,87.7,171,211,84.1,184
2023-03-15 10:54:00,176,83.7,165,194,81.7,181
2023-03-15 10:56:00,196,89.5,174,217,85.5,188
2023-03-15 10:58:00,172,74.6,165,183,76.6,180
2023-03-15 11:00:00,182,90.1,164,205,86.7,181
2023-03-15 11:02:00,186,87.4,171,210,86.2,186
2023-03-15 11:04:00,190,132,239,212,125,242
2023-03-15 11:06:00,202,89.3,176,224,85.0,193
2023-03-15 11:08:00,177,77.0,166,191,77.2,179
2023-03-15 11:10:00,180,87.4,163,201,82.9,176
2023-03-15 11:12:00,171,77.8,160,187,79.4,175
2023-03-15 11:14:00,182,257,351,211,256,318
2023-03-15 11:16:00,190,85.0,166,215,82.8,178
2023-03-15 11:18:00,169,75.6,165,186,78.6,178
2023-03-15 11:20:00,176,83.9,161,200,80.2,175
2023-03-15 11:22:00,173,73.3,164,199,76.1,178
2023-03-15 11:24:00,176,234,285,203,231,269
2023-03-15 11:26:00,187,72.2,166,212,74.0,180
2023-03-15 11:28:00,182,89.7,176,209,88.5,189
2023-03-15 11:30:00,175,86.0,155,198,80.2,169
2023-03-15 11:32:00,168,70.4,156,180,71.2,171
2023-03-15 11:34:00,177,102,168,199,96.2,181
2023-03-15 11:36:00,199,74.6,174,218,75.1,187
2023-03-15 11:38:00,189,92.5,176,213,87,190
2023-03-15 11:40:00,177,84.6,155,198,79.0,170
2023-03-15 11:42:00,175,74.9,164,188,75.1,177
2023-03-15 11:44:00,177,88.1,162,197,80.5,176
2023-03-15 11:46:00,185,73.9,167,200,75.1,181
2023-03-15 11:48:00,187,90.7,172,209,88.1,183
2023-03-15 11:50:00,182,85.8,164,201,83.9,179
2023-03-15 11:52:00,175,87.3,168,191,81.9,181
2023-03-15 11:54:00,182,88.9,170,204,83.8,182
2023-03-15 11:56:00,191,166,260,207,166,255
2023-03-15 11:58:00,185,87.8,165,205,83.9,179
2023-03-15 12:00:00,178,78.0,162,197,78.6,178
2023-03-15 12:02:00,180,86.2,163,196,82.6,177
2023-03-15 12:04:00,185,88.3,175,209,86.3,186
2023-03-15 12:06:00,204,291,374,222,293,343
2023-03-15 12:08:00,182,86.8,166,200,82.6,180
2023-03-15 12:10:00,173,75.4,162,188,74.4,174
2023-03-15 12:12:00,183,93.5,164,204,88.6,180
2023-03-15 12:14:00,183,90.3,173,207,86.7,185
2023-03-15 12:16:00,184,198,267,200,196,257
2023-03-15 12:18:00,180,89.1,165,201,84.3,177
2023-03-15 12:20:00,171,74.8,163,184,75.4,175
2023-03-15 12:22:00,235,84.7,166,262,83.7,178
2023-03-15 12:24:00,180,81.0,172,209,82.9,183
2023-03-15 12:26:00,185,85.6,171,210,81.6,184
2023-03-15 12:28:00,183,87.8,163,205,80.8,177
2023-03-15 12:30:00,168,71.8,162,186,75.5,173
2023-03-15 12:32:00,181,85.9,162,203,81.7,177
2023-03-15 12:34:00,180,74.8,168,208,76.3,180
2023-03-15 12:36:00,199,83.9,171,225,81.0,185
2023-03-15 12:38:00,176,85.6,162,200,81.1,176
2023-03-15 12:40:00,171,76.7,164,187,76.9,177
2023-03-15 12:42:00,174,85.5,158,196,79.5,171
2023-03-15 12:44:00,175,74.4,161,192,77.4,174
2023-03-15 12:46:00,190,82.1,170,213,82.8,181
2023-03-15 12:48:00,186,201,276,208,201,269
2023-03-15 12:50:00,226,87.0,189,240,84.5,205
2023-03-15 12:52:00,179,84.9,161,202,81.0,175
2023-03-15 12:54:00,172,76.6,161,188,77.4,175
2023-03-15 12:56:00,192,85.3,168,216,85.6,181
2023-03-15 12:58:00,182,283,352,204,286,322
2023-03-15 13:00:00,182,91.1,168,206,94.1,184
2023-03-15 13:02:00,183,88.9,160,202,85.1,177
2023-03-15 13:04:00,172,73.2,163,185,74.4,176
2023-03-15 13:06:00,198,86.5,174,223,81.4,187
2023-03-15 13:08:00,171,161,232,188,166,229
2023-03-15 13:10:00,183,86.8,171,207,87.4,184
2023-03-15 13:12:00,178,84.2,160,198,82.4,172
2023-03-15 13:14:00,167,72.3,163,185,75.8,175
2023-03-15 13:16:00,187,85.2,167,215,80.1,181
2023-03-15 13:18:00,173,72.3,164,189,74.2,176
2023-03-15 13:20:00,181,87.0,169,206,84.0,183
2023-03-15 13:22:00,176,79.3,161,202,78,174
2023-03-15 13:24:00,177,89.0,166,194,83.2,180
2023-03-15 13:26:00,192,83.8,171,217,84.3,184
2023-03-15 13:28:00,171,69.0,155,185,70.1,168
2023-03-15 13:30:00,179,84.8,164,209,83.6,176
2023-03-15 13:32:00,177,73.0,165,200,75.7,177
2023-03-15 13:34:00,178,85.8,158,203,81.3,171
2023-03-15 13:36:00,202,88.7,179,225,90.6,195
2023-03-15 13:38:00,168,70.2,157,186,73.3,172
2023-03-15 13:40:00,187,227,297,212,226,281
2023-03-15 13:42:00,175,75.1,164,192,74.9,178
2023-03-15 13:44:00,183,87.8,164,203,84.1,178
2023-03-15 13:46:00,198,85.1,173,223,85.6,184
2023-03-15 13:48:00,174,79.5,164,192,77.1,176
2023-03-15 13:50:00,186,293,356,210,292,325
2023-03-15 13:52:00,175,73.5,158,197,74.1,174
2023-03-15 13:54:00,179,86.6,159,200,83.0,173
2023-03-15 13:56:00,199,85.7,177,226,84.5,189
2023-03-15 13:58:00,169,83.3,160,185,82.6,171
2023-03-15 14:00:00,180,158,220,202,158,219
2023-03-15 14:02:00,173,74.0,163,187,75.4,177
2023-03-15 14:04:00,182,84.3,164,208,83.9,174
2023-03-15 14:06:00,208,197,322,233,274,406
2023-03-15 14:08:00,173,84.9,162,195,83.6,173
2023-03-15 14:10:00,181,85.7,162,201,81.1,175
2023-03-15 14:12:00,171,71.3,162,189,74.8,172
2023-03-15 14:14:00,180,85.7,165,203,84.5,176
2023-03-15 14:16:00,194,74.9,175,219,78.7,187
2023-03-15 14:18:00,180,82.9,159,201,82.4,170
2023-03-15 14:20:00,180,86.5,164,205,82.5,176
2023-03-15 14:22:00,173,108,206,190,110,211
2023-03-15 14:24:00,181,85.1,158,201,83.7,172
2023-03-15 14:26:00,187,73.8,171,205,74.8,185
2023-03-15 14:28:00,182,85.5,162,203,82.4,176
2023-03-15 14:30:00,176,84.2,158,198,80.5,171
2023-03-15 14:32:00,183,258,329,204,255,309
2023-03-15 14:34:00,178,84.2,160,203,80.2,172
2023-03-15 14:36:00,192,73.4,173,208,76.0,186
2023-03-15 14:38:00,179,86.9,158,200,81.9,173
2023-03-15 14:40:00,176,72.8,155,197,73.8,169
2023-03-15 14:42:00,191,275,331,218,274,305
2023-03-15 14:44:00,182,82.7,159,204,81.2,170
2023-03-15 14:46:00,187,73.1,165,202,76.6,180
2023-03-15 14:48:00,182,86.5,163,212,87.4,177
2023-03-15 14:50:00,176,70.5,176,198,73.9,193
2023-03-15 14:52:00,187,140,211,214,136,214
2023-03-15 14:54:00,173,83.4,154,194,79.7,169
2023-03-15 14:56:00,186,75.2,169,202,75,182
2023-03-15 14:58:00,183,87.5,162,204,81.5,176
2023-03-15 15:00:00,174,74.7,165,187,75.1,178
2023-03-15 15:02:00,193,94.2,177,216,88.4,190
2023-03-15 15:04:00,184,87.7,167,204,83.2,181
2023-03-15 15:06:00,199,89.9,179,215,85.6,194
2023-03-15 15:08:00,181,84.9,159,201,83,173
2023-03-15 15:10:00,172,76.5,161,186,74.6,176
2023-03-15 15:12:00,245,89.6,184,259,87.3,204
2023-03-15 15:14:00,179,129,219,200,124,221
2023-03-15 15:16:00,191,83.6,169,212,81.8,180
2023-03-15 15:18:00,185,89.1,170,200,88.0,182
2023-03-15 15:20:00,174,73.2,164,184,73.2,176
2023-03-15 15:22:00,185,85.6,161,205,84.2,173
2023-03-15 15:24:00,190,261,338,209,262,314
2023-03-15 15:26:00,195,87.6,167,218,81.9,185
2023-03-15 15:28:00,186,89.8,171,207,86.2,185
2023-03-15 15:30:00,177,75.8,164,188,74.7,179
2023-03-15 15:32:00,185,85.2,167,207,83.5,179
2023-03-15 15:34:00,174,230,291,186,231,276
2023-03-15 15:36:00,206,91.7,181,232,83.7,195
2023-03-15 15:38:00,189,86.1,174,211,85.2,185
2023-03-15 15:40:00,174,89.4,167,190,85.0,181
2023-03-15 15:42:00,186,88.5,166,211,84.4,179
2023-03-15 15:44:00,179,94.9,180,192,96.5,189
2023-03-15 15:46:00,196,86.8,175,216,84.7,189
2023-03-15 15:48:00,187,79.8,173,205,80.8,185
2023-03-15 15:50:00,183,86.8,167,200,86.7,184
2023-03-15 15:52:00,186,89.1,169,210,81.2,184
2023-03-15 15:54:00,172,76.4,166,183,76.2,182
2023-03-15 15:56:00,194,86.2,171,214,80.6,187
2023-03-15 15:58:00,183,77.5,166,198,78.7,183
2023-03-15 16:00:00,180,91.0,165,200,84.8,183
2023-03-15 16:02:00,185,87.9,167,202,85.5,186
2023-03-15 16:04:00,186,83.8,170,205,79.8,186
2023-03-15 16:06:00,215,162,284,236,156,278
2023-03-15 16:08:00,176,75.5,165,191,74.7,180
2023-03-15 16:10:00,182,86.4,169,204,82.2,183
2023-03-15 16:12:00,183,81.4,169,202,80.0,186
2023-03-15 16:14:00,187,90.6,175,211,86.8,191
2023-03-15 16:16:00,201,292,370,226,291,338
2023-03-15 16:18:00,175,75.3,164,189,74.3,180
2023-03-15 16:20:00,184,88.6,169,220,82.3,183
2023-03-15 16:22:00,172,70.7,163,184,74.0,175
2023-03-15 16:24:00,192,89.9,175,211,86.6,190
2023-03-15 16:26:00,197,226,261,220,222,256
2023-03-15 16:28:00,178,75.1,166,191,74.2,183
2023-03-15 16:30:00,185,89.9,167,203,87.8,183
2023-03-15 16:32:00,175,74.1,164,186,75.2,181
2023-03-15 16:34:00,190,88.5,178,212,89,191
2023-03-15 16:36:00,201,96.1,182,224,91.4,200
2023-03-15 16:38:00,185,89.6,167,205,84.3,184
2023-03-15 16:40:00,182,88.7,167,206,82.9,183
2023-03-15 16:42:00,175,78.1,168,186,78.2,186
2023-03-15 16:44:00,189,94.6,174,213,88.5,191
2023-03-15 16:46:00,188,75.3,174,204,73.4,189
2023-03-15 16:48:00,186,87.8,171,209,82.9,183
2023-03-15 16:50:00,230,90.4,193,251,83.0,212
2023-03-15 16:52:00,177,76.7,168,191,77.1,185
2023-03-15 16:54:00,184,88.0,168,203,83.4,184
2023-03-15 16:56:00,193,76.9,178,209,76.1,193
2023-03-15 16:58:00,193,192,295,214,187,285
2023-03-15 17:00:00,186,91.2,172,206,86.8,188
2023-03-15 17:02:00,173,76.9,167,186,76.2,182
2023-03-15 17:04:00,180,90.2,168,204,81.2,181
2023-03-15 17:06:00,198,74.3,176,211,74.5,193
2023-03-15 17:08:00,241,301,380,253,297,360
2023-03-15 17:10:00,188,91.1,172,207,85.4,190
2023-03-15 17:12:00,182,86.4,162,202,82.3,179
2023-03-15 17:14:00,191,88.1,168,223,84.1,184
2023-03-15 17:16:00,187,76.7,173,203,75.3,188
2023-03-15 17:18:00,183,203,238,205,200,235
2023-03-15 17:20:00,184,80.3,176,202,79.6,188
2023-03-15 17:22:00,187,86.8,169,209,86.5,182
2023-03-15 17:24:00,180,86.3,164,199,82.1,180
2023-03-15 17:26:00,186,74.8,172,202,74.7,189
2023-03-15 17:28:00,224,88.7,186,248,85.5,200
2023-03-15 17:30:00,180,81.8,166,195,80.8,181
2023-03-15 17:32:00,185,87.0,164,208,83.9,176
2023-03-15 17:34:00,182,85.0,161,198,82.6,177
2023-03-15 17:36:00,203,83.4,171,224,80.3,189
2023-03-15 17:38:00,181,87.5,162,205,82.9,176
2023-03-15 17:40:00,180,77.9,171,199,78.0,185
2023-03-15 17:42:00,183,87.7,162,204,87.6,176
2023-03-15 17:44:00,178,87.7,160,200,80,176
2023-03-15 17:46:00,196,89.5,169,216,84.9,185
2023-03-15 17:48:00,183,86.7,159,203,82.2,174
2023-03-15 17:50:00,184,197,309,197,195,291
2023-03-15 17:52:00,183,89.6,157,201,83.4,173
2023-03-15 17:54:00,172,79.4,163,186,77.9,178
2023-03-15 17:56:00,203,88.9,175,221,86.0,190
2023-03-15 17:58:00,186,86.0,164,205,83.7,177
2023-03-15 18:00:00,177,285,353,191,287,323
2023-03-15 18:02:00,183,89.8,158,204,82.7,174
2023-03-15 18:04:00,172,75.4,159,185,75.4,174
2023-03-15 18:06:00,212,94.5,182,236,89.1,199
2023-03-15 18:08:00,184,87.9,162,201,82.5,178
2023-03-15 18:10:00,176,175,212,192,170,216
2023-03-15 18:12:00,184,89.8,163,205,83.9,179
2023-03-15 18:14:00,173,72.9,163,185,72.5,177
2023-03-15 18:16:00,200,92.6,180,224,88.6,196
2023-03-15 18:18:00,183,78.1,163,201,75.9,176
2023-03-15 18:20:00,184,89.5,166,207,82.1,180
2023-03-15 18:22:00,184,85.2,166,208,80.8,179
2023-03-15 18:24:00,172,77.4,160,183,77.7,177
2023-03-15 18:26:00,200,90.7,179,224,87.5,196
2023-03-15 18:28:00,174,74.9,158,186,73.3,174
2023-03-15 18:30:00,184,91.5,166,202,87.3,182
2023-03-15 18:32:00,184,86.2,216,208,80.9,221
2023-03-15 18:34:00,174,75.4,166,190,75.0,180
2023-03-15 18:36:00,208,93.1,178,227,90.5,198
2023-03-15 18:38:00,224,75.6,188,238,73.7,204
2023-03-15 18:40:00,184,90.9,167,206,85.8,181
2023-03-15 18:42:00,197,231,336,220,228,313
2023-03-15 18:44:00,185,89.8,167,207,85.1,182
2023-03-15 18:46:00,194,91.0,178,217,83.5,191
2023-03-15 18:48:00,176,77.8,163,189,76.1,178
2023-03-15 18:50:00,186,87.0,169,209,83.7,182
2023-03-15 18:52:00,194,296,323,214,297,303
2023-03-15 18:54:00,182,91.0,164,202,82.6,178
2023-03-15 18:56:00,194,87.7,177,218,84.4,191
2023-03-15 18:58:00,175,75.2,162,187,74.5,177
2023-03-15 19:00:00,231,87.6,183,249,81.0,201
2023-03-15 19:02:00,180,140,202,199,144,208
2023-03-15 19:04:00,184,90.0,169,208,82.5,183
2023-03-15 19:06:00,200,87.7,176,225,83.9,191
2023-03-15 19:08:00,170,71.9,161,187,75.9,174
2023-03-15 19:10:00,178,82.7,160,202,79.2,174
2023-03-15 19:12:00,178,74.3,174,196,76.6,188
2023-03-15 19:14:00,177,84.0,160,203,82.0,176
2023-03-15 19:16:00,190,83.9,168,216,81.4,183
2023-03-15 19:18:00,182,89.5,172,211,83.4,185
2023-03-15 19:20:00,179,83.9,165,206,79.4,177
2023-03-15 19:22:00,179,74.0,170,198,76.9,182
2023-03-15 19:24:00,186,120,235,210,119,233
2023-03-15 19:26:00,188,78.1,172,208,80,188
2023-03-15 19:28:00,181,86.1,170,207,85.6,184
