"Time","EGRESS","EGRESS","EGRESS","INGRESS","INGRESS","INGRESS"
2023-03-15 10:00:00,547983,262247,1480150,1509271,586328,858716
2023-03-15 10:02:00,511010,825741,1462638,2082124,589808,816904
2023-03-15 10:04:00,511097,359284,1462946,1602921,580127,826766
2023-03-15 10:06:00,1274187,1013492,4241385,9850575,2640551,2063854
2023-03-15 10:08:00,506807,823549,1461275,2065653,586155,820526
2023-03-15 10:10:00,466746,264688,1439822,1505915,579837,781261
2023-03-15 10:12:00,546738,828284,1779572,2085151,599102,950756
2023-03-15 10:14:00,552269,265155,1490956,1503358,581791,872742
2023-03-15 10:16:00,524969,856896,1607376,2384586,646802,844507
2023-03-15 10:18:00,486453,799295,1458459,2042712,602883,799007
2023-03-15 10:20:00,529885,262965,1475534,1508974,579184,847151
2023-03-15 10:22:00,563725,1418751,3795514,3459968,1587221,1048144
2023-03-15 10:24:00,460815,267652,1436732,1498893,596578,773093
2023-03-15 10:26:00,530964,824391,1554135,2350510,588088,803062
2023-03-15 10:28:00,539666,728822,1461143,1998784,581279,833516
2023-03-15 10:30:00,496095,828343,1754942,2624722,601084,843658
2023-03-15 10:32:00,539900,1724838,3332372,2178264,2121732,1112850
2023-03-15 10:34:00,505319,261377,1474166,1507123,572310,855550
2023-03-15 10:36:00,537036,829783,1716895,2513554,606435,883731
2023-03-15 10:38:00,481871,263688,1450727,1504302,576187,826362
2023-03-15 10:40:00,568062,823947,1508151,2079040,584008,913549
2023-03-15 10:42:00,531703,1165551,2000633,2179598,1225988,999792
2023-03-15 10:44:00,506163,266628,1469323,1519045,580541,853895
2023-03-15 10:46:00,507488,828653,1613542,2331685,621904,866424
2023-03-15 10:48:00,502324,265099,1480684,1498503,593804,858076
2023-03-15 10:50:00,488852,827800,1449405,2075203,580512,828274
2023-03-15 10:52:00,558168,812640,1588403,2137546,685120,949084
2023-03-15 10:54:00,531970,605820,1495328,1814801,717304,882675
2023-03-15 10:56:00,525611,826176,1591280,2300276,707565,867738
2023-03-15 10:58:00,494557,264197,1466267,1502146,697983,846879
2023-03-15 11:00:00,500722,829155,1469874,2075739,719316,845155
2023-03-15 11:02:00,514103,757475,1566933,2066529,767335,914455
2023-03-15 11:04:00,541127,943003,2024508,2087226,871516,958169
2023-03-15 11:06:00,540210,825121,1707203,2520648,720707,879141
2023-03-15 11:08:00,520921,281497,1464100,1555320,736699,831500
2023-03-15 11:10:00,468978,827260,1389333,2070795,705451,749619
2023-03-15 11:12:00,493874,282186,1401177,1548649,746500,766736
2023-03-15 11:14:00,542470,1532299,3335077,2091925,1891067,1009982
2023-03-15 11:16:00,517607,811072,1518599,2287387,706585,792196
2023-03-15 11:18:00,513041,281130,1527565,1550960,753524,869319
2023-03-15 11:20:00,498900,823398,1403633,2073925,582395,779623
2023-03-15 11:22:00,504504,263562,1682963,2067311,579522,789603
2023-03-15 11:24:00,533009,1485973,2914411,2077911,1733944,939074
2023-03-15 11:26:00,478861,279317,1501220,2234169,578249,758376
2023-03-15 11:28:00,557351,872733,1585240,1980498,690258,929218
2023-03-15 11:30:00,497980,825838,1402845,2074297,600713,773057
2023-03-15 11:32:00,474653,262749,1391300,1513167,573506,759053
2023-03-15 11:34:00,486231,886318,1489629,2072657,686769,774552
2023-03-15 11:36:00,527489,265006,1639998,2386815,600423,802330
2023-03-15 11:38:00,514371,874968,1557979,2196644,686120,881838
2023-03-15 11:40:00,472625,817410,1378696,2064361,582492,747217
2023-03-15 11:42:00,509299,264827,1417975,1518387,595480,793014
2023-03-15 11:44:00,498257,827618,1403962,2070034,586966,781380
2023-03-15 11:46:00,525868,266119,1520923,1735363,582727,805478
2023-03-15 11:48:00,517738,859255,1516256,2161050,662931,852361
2023-03-15 11:50:00,530770,797978,1419755,2045917,584463,811701
2023-03-15 11:52:00,533806,826063,1425298,1517877,585618,819449
