"Time","Drop","PolicyVerdict","Trace"
2023-03-15 10:00:00,0.0200,1.10,84.4
2023-03-15 10:02:00,0.0600,1.26,84.6
2023-03-15 10:04:00,0.0200,1.10,85.1
2023-03-15 10:06:00,0.0400,1.46,98.8
2023-03-15 10:08:00,0,1.28,86.4
2023-03-15 10:10:00,0,1.10,83.9
2023-03-15 10:12:00,0,1.10,95.4
2023-03-15 10:14:00,0,1.12,85.3
2023-03-15 10:16:00,0.0200,1.62,89.1
2023-03-15 10:18:00,0.0200,1.26,84.3
2023-03-15 10:20:00,0,1.10,85.0
2023-03-15 10:22:00,0.0400,1.24,175
2023-03-15 10:24:00,0.0200,1.10,84
2023-03-15 10:26:00,0.0600,1.62,88.2
2023-03-15 10:28:00,0.0200,1.24,85.0
2023-03-15 10:30:00,0.0400,1.28,85
2023-03-15 10:32:00,0,1.26,206
2023-03-15 10:34:00,0,1.10,84.4
2023-03-15 10:36:00,0,1.62,88.6
2023-03-15 10:38:00,0,1.12,83.3
2023-03-15 10:40:00,0.0200,1.26,87.9
2023-03-15 10:42:00,0.0600,1.10,133
2023-03-15 10:44:00,0.0200,1.10,86.7
2023-03-15 10:46:00,0,1.46,88.5
2023-03-15 10:48:00,0.0800,1.10,84.9
2023-03-15 10:50:00,0.0200,1.26,84.7
2023-03-15 10:52:00,0.0800,1.10,86.3
2023-03-15 10:54:00,0.0400,1.10,85.4
2023-03-15 10:56:00,0,1.62,89.5
2023-03-15 10:58:00,0,1.10,83.3
2023-03-15 11:00:00,0,1.26,84.5
2023-03-15 11:02:00,0,1.26,86.3
2023-03-15 11:04:00,0.0200,1.10,106
2023-03-15 11:06:00,0.0400,1.62,89.9
2023-03-15 11:08:00,0.0400,1.10,84.6
2023-03-15 11:10:00,0.0600,1.26,84.0
2023-03-15 11:12:00,0.0200,1.12,85.9
2023-03-15 11:14:00,0.0400,1.26,193
2023-03-15 11:16:00,0.0200,1.46,88.0
2023-03-15 11:18:00,0,1.10,84.9
2023-03-15 11:20:00,0,1.26,84.7
2023-03-15 11:22:00,0,1.14,85.8
2023-03-15 11:24:00,0,1.10,197
2023-03-15 11:26:00,0,1.62,87.6
2023-03-15 11:28:00,0.0200,1.10,86.1
