"Time","FIN","RST","SYN","SYN-ACK"
2023-03-15 10:00:00,13.5,2.62,9.30,7.90
2023-03-15 10:02:00,13.7,2.70,9.40,7.96
2023-03-15 10:04:00,13.6,2.64,9.30,7.90
2023-03-15 10:06:00,13.6,2.80,9.58,8.12
2023-03-15 10:08:00,13.8,2.86,9.42,7.96
2023-03-15 10:10:00,13.5,2.70,9.30,7.90
2023-03-15 10:12:00,15.4,2.98,10.3,8.94
2023-03-15 10:14:00,13.5,2.70,9.34,7.92
2023-03-15 10:16:00,13.6,2.66,9.50,8.02
2023-03-15 10:18:00,13.5,2.76,9.38,7.94
2023-03-15 10:20:00,13.4,2.56,9.30,7.90
2023-03-15 10:22:00,29.3,18.2,18.9,14.3
2023-03-15 10:24:00,13.4,2.76,9.30,7.90
2023-03-15 10:26:00,13.6,2.72,9.50,8.02
2023-03-15 10:28:00,13.6,2.74,9.38,7.94
2023-03-15 10:30:00,13.5,2.78,9.42,7.96
2023-03-15 10:32:00,33.2,26.6,22.3,14.7
2023-03-15 10:34:00,13.4,2.66,9.30,7.90
2023-03-15 10:36:00,13.6,2.64,9.50,8.02
2023-03-15 10:38:00,13.5,2.68,9.34,7.92
2023-03-15 10:40:00,13.5,2.66,9.38,7.94
2023-03-15 10:42:00,19.8,12.2,14.1,9.60
2023-03-15 10:44:00,13.5,2.74,9.36,7.96
2023-03-15 10:46:00,13.8,2.70,9.42,7.98
2023-03-15 10:48:00,13.5,2.64,9.30,7.90
2023-03-15 10:50:00,13.5,2.78,9.38,7.94
2023-03-15 10:52:00,13.4,2.72,9.32,7.92
2023-03-15 10:54:00,13.5,2.72,9.28,7.90
2023-03-15 10:56:00,13.7,2.74,9.50,8.02
2023-03-15 10:58:00,13.4,2.66,9.30,7.90
2023-03-15 11:00:00,13.5,2.62,9.38,7.94
2023-03-15 11:02:00,13.6,2.80,9.40,7.96
2023-03-15 11:04:00,18.2,5.02,11.8,10.4
2023-03-15 11:06:00,13.6,2.66,9.50,8.02
2023-03-15 11:08:00,13.6,2.72,9.30,7.90
2023-03-15 11:10:00,13.4,2.60,9.38,7.94
2023-03-15 11:12:00,13.6,2.84,9.36,7.94
2023-03-15 11:14:00,32.2,22.2,20.9,15.3
2023-03-15 11:16:00,13.6,2.72,9.42,7.98
2023-03-15 11:18:00,13.5,2.70,9.30,7.90
2023-03-15 11:20:00,13.5,2.74,9.38,7.94
2023-03-15 11:22:00,13.5,2.82,9.40,7.96
2023-03-15 11:24:00,30.5,24.9,20.9,13.5
2023-03-15 11:26:00,13.6,2.76,9.50,8.02
2023-03-15 11:28:00,13.5,2.74,9.30,7.90
2023-03-15 11:30:00,13.6,2.72,9.34,7.92
2023-03-15 11:32:00,13.5,2.80,9.30,7.92
2023-03-15 11:34:00,16.9,8.02,12.0,8.62
2023-03-15 11:36:00,13.7,2.78,9.58,8.06
2023-03-15 11:38:00,13.6,2.70,9.34,7.92
2023-03-15 11:40:00,13.5,2.62,9.38,7.94
2023-03-15 11:42:00,13.5,2.80,9.32,7.92
2023-03-15 11:44:00,13.6,2.80,9.44,8
2023-03-15 11:46:00,13.7,2.68,9.56,8.06
2023-03-15 11:48:00,13.8,2.90,9.46,7.98
2023-03-15 11:50:00,13.5,2.72,9.38,7.94
2023-03-15 11:52:00,13.6,2.80,9.32,7.92
2023-03-15 11:54:00,13.5,2.70,9.38,7.94
2023-03-15 11:56:00,21.3,7.58,13.7,11.7
2023-03-15 11:58:00,13.5,2.76,9.30,7.90
2023-03-15 12:00:00,13.5,2.66,9.38,7.94
2023-03-15 12:02:00,13.6,2.82,9.36,7.94
2023-03-15 12:04:00,13.5,2.78,9.38,7.94
2023-03-15 12:06:00,33.9,24.5,22.3,15.9
2023-03-15 12:08:00,13.6,2.76,9.30,7.90
2023-03-15 12:10:00,13.6,2.84,9.38,7.94
2023-03-15 12:12:00,13.7,2.76,9.40,7.96
2023-03-15 12:14:00,13.5,2.74,9.38,7.94
2023-03-15 12:16:00,27.0,21.6,18.9,12.1
2023-03-15 12:18:00,13.5,2.72,9.30,7.90
2023-03-15 12:20:00,13.5,2.70,9.30,7.90
2023-03-15 12:22:00,13.6,2.76,9.40,7.96
2023-03-15 12:24:00,13.6,2.76,9.38,7.94
2023-03-15 12:26:00,14.7,4.66,10.5,8.04
2023-03-15 12:28:00,13.5,2.62,9.38,7.94
2023-03-15 12:30:00,13.6,2.74,9.30,7.90
2023-03-15 12:32:00,13.8,2.88,9.40,7.96
2023-03-15 12:34:00,13.3,2.72,9.30,7.90
2023-03-15 12:36:00,13.7,2.74,9.54,8.04
2023-03-15 12:38:00,13.6,2.68,9.38,7.94
2023-03-15 12:40:00,13.4,2.70,9.30,7.90
2023-03-15 12:42:00,13.6,2.78,9.32,7.92
2023-03-15 12:44:00,13.5,2.68,9.40,7.98
2023-03-15 12:46:00,13.9,2.66,9.58,8.06
2023-03-15 12:48:00,24.1,11.3,15.4,12.5
2023-03-15 12:50:00,13.5,2.86,9.30,7.90
2023-03-15 12:52:00,13.6,2.74,9.40,7.96
2023-03-15 12:54:00,13.5,2.76,9.30,7.90
2023-03-15 12:56:00,13.6,2.76,9.58,8.06
2023-03-15 12:58:00,35.0,26.6,23.1,15.8
2023-03-15 13:00:00,13.5,2.68,9.34,7.92
2023-03-15 13:02:00,13.6,2.82,9.40,7.96
2023-03-15 13:04:00,13.5,2.70,9.30,7.90
2023-03-15 13:06:00,13.6,2.82,9.66,8.10
2023-03-15 13:08:00,23.8,17.4,16.7,10.9
2023-03-15 13:10:00,13.6,2.66,9.38,7.94
