"Time","10250/TCP","3000/TCP","443/TCP","53/UDP","6443/TCP","80/TCP","8079/TCP","8080/TCP","8181/TCP","8443/TCP","8500/TCP","9093/TCP","9443/TCP"
2023-03-15 10:00:00,3.30,,1.52,,6,8.86,3.20,2.60,1.90,,5.18,1.70,1.66
2023-03-15 10:02:00,3.30,,1.62,,5.92,8.32,3.20,2.50,1.98,,5.20,1.74,1.76
2023-03-15 10:04:00,3.38,,1.52,,5.84,9.06,3.34,2.50,2.04,,5.22,1.72,1.68
2023-03-15 10:06:00,3.44,,2.48,2.14,6.34,9.08,3.28,2.56,2.10,,5.12,,1.78
2023-03-15 10:08:00,3.50,,1.66,,6.20,9.22,3.28,2.56,2.12,,5.22,1.78,1.68
2023-03-15 10:10:00,3.34,,1.52,,6.06,9.08,3.22,2.54,2.08,,5.26,1.66,1.68
2023-03-15 10:12:00,3.42,,1.62,,6.16,12.3,3.36,2.58,2,,5.10,1.64,1.68
2023-03-15 10:14:00,3.44,,1.52,,5.92,8.96,3.30,2.52,2.06,,5.20,1.74,1.68
2023-03-15 10:16:00,3.38,,1.88,2.22,6.16,8.98,3.22,2.56,2.08,,5.20,,1.68
2023-03-15 10:18:00,3.38,,1.58,,6.02,8.84,3.18,2.50,2.10,,5.16,1.72,1.68
2023-03-15 10:20:00,3.26,,1.52,,5.88,9.16,3.32,2.52,1.98,,5.18,1.70,1.68
2023-03-15 10:22:00,3.38,,,1.70,6.14,16.2,3.34,2.52,2.14,60.4,5.20,,1.68
2023-03-15 10:24:00,3.32,,1.52,,6.06,9.16,3.16,2.52,1.98,,5.16,1.76,1.68
2023-03-15 10:26:00,3.42,,1.88,2.18,6.10,8.80,3.30,2.50,2.12,,5.16,,1.68
2023-03-15 10:28:00,3.36,,1.58,,6.02,9,3.26,2.50,1.88,,5.04,1.74,1.68
2023-03-15 10:30:00,3.28,,1.52,,6.28,8.94,3.28,2.50,2.02,,5.20,1.74,1.68
2023-03-15 10:32:00,3.36,,,,6.12,12.7,3.44,2.52,2,96.1,5.22,1.72,1.78
2023-03-15 10:34:00,3.30,,1.52,,6.10,9.06,2.98,2.54,2,,5.20,1.72,1.68
2023-03-15 10:36:00,3.34,,1.88,2.16,6.10,8.94,3.20,2.50,2.12,,5.20,1.74,
2023-03-15 10:38:00,3.36,,1.58,,5.86,8.54,3.04,2.52,2.12,,5.24,1.76,1.68
2023-03-15 10:40:00,3.38,,1.52,,5.98,9.14,3.24,2.56,2.10,,5.16,1.82,1.68
2023-03-15 10:42:00,3.38,,,,6.20,9.08,3.34,2.56,2.06,41.1,5.18,1.72,1.78
2023-03-15 10:44:00,3.42,,1.70,,6.14,8.74,3.36,2.50,2.06,,5.20,1.84,1.74
2023-03-15 10:46:00,3.44,,2.06,1.88,6.14,9,3.28,2.50,2.10,,5.22,1.70,
2023-03-15 10:48:00,3.36,,1.58,,6,8.76,3.32,2.54,2.12,,5.24,1.84,1.68
2023-03-15 10:50:00,3.36,,1.52,,5.98,8.80,3.20,2.54,2.08,,5.20,1.72,1.68
2023-03-15 10:52:00,3.34,,1.62,,6.30,8.78,3.20,2.58,2.04,,5.16,1.64,1.72
2023-03-15 10:54:00,3.38,,1.52,,5.84,9.14,3.36,2.50,2.02,,5.26,1.78,1.68
2023-03-15 10:56:00,3.42,,1.88,2.18,5.86,9.08,3.18,2.60,2.06,,5.20,1.72,
2023-03-15 10:58:00,3.36,,1.58,,5.70,8.42,3.20,2.58,2.18,,5.20,1.66,1.66
2023-03-15 11:00:00,3.24,,1.52,,5.88,9.16,3.22,2.50,2.08,,5.12,1.64,1.68
2023-03-15 11:02:00,3.24,,1.62,,6.20,9.04,3.14,2.54,2.08,,5.26,1.66,1.70
2023-03-15 11:04:00,3.26,,,,5.96,14.3,3.22,2.50,2.04,6.58,5.18,1.80,1.66
2023-03-15 11:06:00,3.32,,1.88,2.18,6.22,9.22,3.12,2.54,2.10,,5.22,1.70,
2023-03-15 11:08:00,3.42,,1.66,,5.94,8.96,3.02,2.48,2.12,,5.24,1.84,1.68
2023-03-15 11:10:00,3.28,,1.52,,5.90,9.12,3.04,2.48,2.06,,5.14,1.72,1.68
2023-03-15 11:12:00,3.30,,1.62,,6.06,9.10,3.18,2.54,2.10,,5.24,1.78,1.70
2023-03-15 11:14:00,3.26,,,,6.10,15.8,3.30,2.58,2.12,76.5,5.18,1.72,1.68
2023-03-15 11:16:00,3.36,,1.88,1.88,6.10,9.06,2.96,2.52,2.04,,5.16,1.70,
2023-03-15 11:18:00,3.34,,1.58,,6.12,9.10,3.20,2.48,2.02,,5.24,1.70,1.68
2023-03-15 11:20:00,3.34,,1.52,,5.90,9,3.26,2.54,2.12,,5.20,1.64,1.68
2023-03-15 11:22:00,3.36,,1.62,,6.28,8.78,3.26,2.56,2.04,,5.12,1.76,1.68
2023-03-15 11:24:00,3.30,,,,6.10,10.8,3.36,2.58,2.18,93.3,5.24,1.68,1.68
2023-03-15 11:26:00,3.46,,1.88,2.16,5.96,8.72,3.30,2.58,2.10,,5.18,,1.68
2023-03-15 11:28:00,3.36,,1.58,,5.94,9.04,3.22,2.56,2,,5.16,1.78,1.70
2023-03-15 11:30:00,3.36,,1.52,,6.10,9.04,3.26,2.54,2.06,,5.18,1.74,1.68
2023-03-15 11:32:00,3.32,,1.62,,6.10,8.76,3.22,2.50,2,,5.18,1.62,1.68
2023-03-15 11:34:00,3.36,,,,6.16,8.82,3.14,2.54,2,24.2,5.16,1.74,1.68
2023-03-15 11:36:00,3.56,,1.88,2.06,6.12,8.96,3.16,2.56,2.10,,5.24,1.68,
2023-03-15 11:38:00,3.42,,1.58,,6,8.76,3.26,2.50,1.98,,5.12,1.66,1.72
2023-03-15 11:40:00,3.26,,1.52,,5.94,8.78,3.18,2.52,2.08,,5.20,1.74,1.68
2023-03-15 11:42:00,3.44,,1.62,,6.10,8.70,3.26,2.50,1.86,,5.16,1.80,1.64
2023-03-15 11:44:00,3.50,,1.70,,6.06,8.82,3.16,2.50,2.02,,5.20,1.64,1.68
2023-03-15 11:46:00,3.46,,2.06,1.84,5.84,8.84,3.28,2.54,2.08,,5.18,1.78,
2023-03-15 11:48:00,3.38,,1.58,,6.10,8.40,3.22,2.52,2.08,,5.20,1.74,1.78
2023-03-15 11:50:00,3.36,,1.52,,5.96,8.82,3.04,2.54,1.98,,5.20,1.78,1.68
2023-03-15 11:52:00,3.36,,1.62,,6.10,8.70,3.18,2.58,2.06,,5.20,1.70,1.68
2023-03-15 11:54:00,3.36,,1.52,,6.08,8.54,3.12,2.50,2.12,,5.18,1.72,1.68
2023-03-15 11:56:00,3.48,,1.88,2.70,6.10,15.9,3.36,2.58,2.02,17.4,5.12,,
2023-03-15 11:58:00,3.40,,1.58,,6.10,9.26,3.28,2.54,2.12,,5.20,1.74,1.68
2023-03-15 12:00:00,3.40,,1.52,,6,9.34,3.26,2.50,2.16,,5.16,1.76,1.68
2023-03-15 12:02:00,3.46,,1.62,,6.14,9.10,3.18,2.52,2.12,,5.24,1.74,1.76
2023-03-15 12:04:00,3.34,,1.52,,6.06,9.46,3.28,2.50,2.12,,5.14,1.72,1.70
2023-03-15 12:06:00,3.56,,1.88,2.70,6.14,16.3,3.38,2.52,2.12,86.9,5.20,,
2023-03-15 12:08:00,3.46,,1.66,,6.12,9.12,3.30,2.60,2.04,,5.22,1.78,1.74
2023-03-15 12:10:00,3.48,,1.52,,6.10,9.08,3.22,2.60,2.02,,5.18,1.78,1.76
2023-03-15 12:12:00,3.30,,1.62,,6.08,9.14,3.20,2.56,1.92,,5.24,1.78,1.68
2023-03-15 12:14:00,3.36,,1.52,,6.04,9.24,3.28,2.50,2.10,,5.18,1.80,1.68
2023-03-15 12:16:00,3.58,,1.88,1.86,6.08,9.30,3.40,2.62,2.06,78.7,5.16,,
2023-03-15 12:18:00,3.32,,1.58,,5.98,8.90,3.36,2.54,2.02,,5.16,1.82,1.68
2023-03-15 12:20:00,3.38,,1.52,,6.08,9.08,3.28,2.54,2.06,,5.16,1.80,1.68
2023-03-15 12:22:00,3.42,,1.62,,5.96,9.06,3.24,2.50,1.84,,5.18,1.70,1.66
2023-03-15 12:24:00,3.42,,1.52,,6.22,8.98,3.32,2.56,1.98,,5.20,1.74,1.68
2023-03-15 12:26:00,3.40,,1.88,1.94,6.48,9.12,3.16,2.56,2.06,9.64,5.20,,
2023-03-15 12:28:00,3.20,,1.58,,6.08,8.92,3.24,2.50,2.08,,5.22,1.66,1.66
2023-03-15 12:30:00,3.32,,1.52,,5.98,9.16,2.98,2.50,2.14,,5.20,1.78,1.68
2023-03-15 12:32:00,3.42,,1.62,,6,9.08,3.22,2.54,1.92,,5.14,1.74,1.68
2023-03-15 12:34:00,3.38,,1.52,,5.94,8.94,3.24,2.56,2,,5.12,1.80,1.68
2023-03-15 12:36:00,3.62,,1.88,2.18,5.98,8.92,3.34,2.48,2.10,,5.24,,1.68
2023-03-15 12:38:00,3.38,,1.58,,5.94,8.66,3.26,2.50,2.08,,5.22,1.72,1.68
2023-03-15 12:40:00,3.26,,1.52,,5.92,9,3.26,2.54,2.08,,5.14,1.74,1.68
2023-03-15 12:42:00,3.44,,1.62,,6.16,8.72,3.24,2.58,2.06,,5.22,1.58,1.66
2023-03-15 12:44:00,3.40,,1.70,,5.90,8.70,3.26,2.50,2.10,,5.18,1.78,1.70
2023-03-15 12:46:00,3.56,,2.06,2.22,5.90,8.86,3.22,2.52,2.08,,5.22,1.76,
2023-03-15 12:48:00,3.38,,,,5.94,15.5,3.40,2.54,2.10,33.1,5.26,1.70,1.68
2023-03-15 12:50:00,3.52,,1.52,,5.96,8.62,3.28,2.54,2.12,,5.18,1.72,1.66
2023-03-15 12:52:00,3.40,,1.62,,6.06,8.78,3.22,2.44,2.08,,5.12,1.74,1.66
2023-03-15 12:54:00,3.36,,1.52,,5.98,8.92,3.24,2.56,2.08,,5.18,1.74,1.68
2023-03-15 12:56:00,3.56,,1.88,2.20,6,8.86,3.08,2.56,2.04,,5.22,,1.68
2023-03-15 12:58:00,3.38,,,,6.14,16.1,3.30,2.54,2.14,97.3,5.18,1.80,1.68
